,Attribute,Importance,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Index_Category,Industry
48,trend_ema_40_45,0.22592956439467932,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
18,trend_ema_10_30,0.21698341204261365,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
34,trend_ema_20_45,0.19563510298705766,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
8,trend_ema_5_20,0.18434880377980284,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
22,trend_ema_10_50,0.1774693104351566,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
19,trend_ema_10_35,0.17695315302575945,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
25,trend_ema_15_30,0.17430081524223578,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
26,trend_ema_15_35,0.167531291855082,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
27,trend_ema_15_40,-0.1290319435163577,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
38,trend_ema_25_40,-0.14352451377471423,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
21,trend_ema_10_45,-0.14489849360524582,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
15,trend_ema_10_15,-0.15152322007888736,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
31,trend_ema_20_30,-0.19389018284610227,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
16,trend_ema_10_20,-0.22286515975621948,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
37,trend_ema_25_35,-0.24288010834066415,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
23,trend_ema_15_20,-0.3016709613021921,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
42,trend_ema_30_40,-0.31025805095345044,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
20,trend_ema_10_40,-0.33926076899959906,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
40,trend_ema_25_50,-0.38035234559457504,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
9,trend_ema_5_25,-0.40625806316487145,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
2,trend_aroon,-0.6410864863552393,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
49,trend_ema_40_50,-0.731570142016923,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
36,trend_ema_25_30,-0.842819955898388,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
4,trend_rsi_macd,-0.8945475882235884,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
