"","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"2021-10-13",85.980003,86.940002,84.940002,85.330002,2987900,85.330002
"2021-10-14",85.959999,86.459999,85.269997,85.599998,3619900,85.599998
"2021-10-15",85.809998,86.339996,85.160004,85.580002,3560000,85.580002
"2021-10-18",85.199997,86.019997,84.849998,85.43,1776300,85.43
"2021-10-19",85.470001,85.669998,84.410004,85,3219600,85
"2021-10-20",86.040001,86.040001,84.879997,84.93,3240900,84.93
"2021-10-21",85.029999,85.529999,84.599998,85.25,4113000,85.25
"2021-10-22",85.68,86.040001,84.489998,84.730003,1383600,84.730003
"2021-10-25",84.68,84.919998,84.050003,84.379997,2343700,84.379997
"2021-10-26",84.75,85.919998,84.580002,85.580002,2873800,85.580002
"2021-10-27",86,86,83.699997,84.879997,2201000,84.879997
"2021-10-28",85.099998,85.639999,84.330002,84.900002,1575800,84.900002
"2021-10-29",84.900002,85.389999,84.75,85,2701300,85
"2021-11-01",84.980003,85.800003,84.919998,85.459999,2297000,85.459999
"2021-11-02",85.830002,86.580002,85.389999,85.889999,2119700,85.889999
"2021-11-03",86.07,87.389999,86,87.32,2920800,87.32
"2021-11-04",87.279999,88.059998,86.790001,87.779999,1917000,87.779999
"2021-11-05",90.43,91.889999,89.870003,91.629997,4449400,91.629997
"2021-11-08",91.220001,91.809998,90.5,90.830002,2768700,90.830002
"2021-11-09",90.82,92.029999,90.18,91.760002,2127200,91.760002
"2021-11-10",91.900002,93.269997,91.790001,91.980003,2144400,91.980003
"2021-11-11",92.089996,92.709999,91.849998,92.269997,1683800,92.269997
"2021-11-12",92.449997,92.669998,90.980003,92.059998,1990000,92.059998
"2021-11-15",92.379997,93.080002,92.099998,93,2663600,93
"2021-11-16",93.349998,93.809998,92.260002,92.330002,2157500,92.330002
"2021-11-17",92.209999,92.470001,91.199997,91.400002,2055200,91.400002
"2021-11-18",91.150002,91.190002,88.610001,89.389999,2560200,89.389999
"2021-11-19",89.389999,89.989998,88.949997,89.300003,1940000,89.300003
"2021-11-22",92.010002,92.300003,89.360001,90.089996,3209300,90.089996
"2021-11-23",90.110001,90.510002,87.089996,88.620003,2827000,88.620003
"2021-11-24",87.889999,89.230003,87.889999,89.089996,1495200,89.089996
"2021-11-26",88.980003,88.989998,86.769997,87.050003,1257000,87.050003
"2021-11-29",87.209999,87.540001,86.559998,86.849998,1906700,86.849998
"2021-11-30",86.519997,86.800003,83.339996,83.779999,3541400,83.779999
"2021-12-01",84.550003,84.849998,80.919998,81.059998,3104600,81.059998
"2021-12-02",81.68,83.800003,81.68,82.959999,2799800,82.959999
"2021-12-03",83.32,83.860001,82.580002,83.699997,2411200,83.699997
"2021-12-06",84.599998,85.879997,83.949997,85.709999,1560200,85.709999
"2021-12-07",85.949997,88.790001,85.949997,88.370003,3884700,88.370003
"2021-12-08",88.199997,89.029999,87.529999,88.93,2309100,88.93
"2021-12-09",88.099998,88.879997,88.019997,88.300003,1492200,88.300003
"2021-12-10",89.019997,90.010002,88.709999,89.550003,2648400,89.550003
"2021-12-13",89.5,90.309998,88.849998,89.779999,1598400,89.779999
"2021-12-14",89.400002,90.669998,89.349998,90.370003,1982300,90.370003
"2021-12-15",90.480003,91.300003,89.639999,91.209999,2793200,91.209999
"2021-12-16",91.669998,92.620003,91.25,91.620003,2718800,91.620003
"2021-12-17",91.029999,93.110001,90.5,91.620003,5784400,91.620003
"2021-12-20",90.730003,91.779999,89.599998,91.639999,2859500,91.639999
"2021-12-21",91.669998,92.900002,91.650002,92.790001,1545900,92.790001
"2021-12-22",92.690002,93.529999,92.370003,93.480003,1154100,93.480003
"2021-12-23",93.720001,94.309998,93.360001,93.839996,1222200,93.839996
"2021-12-27",94.019997,94.910004,94.019997,94.800003,1017100,94.800003
"2021-12-28",94.900002,95.309998,94.349998,94.699997,1068600,94.699997
"2021-12-29",94.849998,95.989998,94.5,95.790001,1294300,95.790001
