"","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"2020-09-03",125.18,126.32,122.43,123.879997,1094100,117.967865
"2020-09-04",124.660004,125.870003,122.459999,123.120003,936000,117.244141
"2020-09-08",121.699997,123.410004,120.269997,121.629997,849700,115.825233
"2020-09-09",122.489998,125.089996,121.940002,122,686800,116.177597
"2020-09-10",121.669998,122.519997,120.309998,120.360001,900700,114.615852
"2020-09-11",121.32,121.32,119.139999,121.029999,941200,115.253876
"2020-09-14",122,123.989998,121.68,122.980003,722300,117.110832
"2020-09-15",124.139999,125.169998,123.800003,124.239998,718900,118.310684
"2020-09-16",124.379997,126,124.139999,124.239998,786300,118.310684
"2020-09-17",122.489998,124.980003,121.879997,124.18,1216600,118.253548
"2020-09-18",123.959999,125.050003,122.029999,122.540001,821200,116.691826
"2020-09-21",120.400002,120.650002,118.75,120.43,867700,114.682526
"2020-09-22",119.629997,121.470001,119.199997,120.610001,696500,114.85392
"2020-09-23",119,119.260002,115.910004,116.120003,815500,111.288704
"2020-09-24",115.339996,117.190002,113.540001,116.550003,698200,111.700813
"2020-09-25",116.239998,119.75,115.860001,118.970001,887300,114.020119
"2020-09-28",120.800003,123.18,120.559998,121.400002,732400,116.349022
"2020-09-29",121.519997,123.010002,120.410004,121.5,669600,116.444855
"2020-09-30",122.050003,123.889999,121.360001,122.449997,952500,117.355331
"2020-10-01",122.989998,124.980003,119.57,120.089996,1350800,115.093506
"2020-10-02",119.300003,120.940002,118.809998,119.169998,961400,114.211792
"2020-10-05",119.559998,121.209999,117.730003,118.360001,906800,113.435501
"2020-10-06",119.190002,119.690002,114.849998,115.309998,2389300,110.512405
"2020-10-07",116.43,117.690002,115.300003,116.510002,1150200,111.662476
"2020-10-08",117.690002,118.290001,114.849998,116.199997,911300,111.365372
"2020-10-09",117.75,121.720001,117.75,119.410004,1454500,114.441826
"2020-10-12",120.18,120.18,117.699997,118.639999,1208000,113.703857
"2020-10-13",118.129997,119.459999,116.029999,117.169998,1045000,112.295013
"2020-10-14",117.639999,118.400002,116.75,116.910004,892900,112.045837
"2020-10-15",115.529999,116.919998,115.139999,116.010002,912900,111.183289
"2020-10-16",116.68,117.629997,115.860001,116.269997,1237900,111.432457
"2020-10-19",116.669998,116.669998,112.800003,113.550003,1167700,108.825638
"2020-10-20",114,115.639999,113.080002,113.599998,1028700,108.87355
"2020-10-21",112.5,113.010002,110.150002,110.449997,1202000,105.854607
"2020-10-22",110.190002,112.239998,108.510002,111.849998,1133100,107.196365
"2020-10-23",113.239998,113.339996,109.949997,110.57,1678600,105.969604
"2020-10-26",109.839996,110.199997,107.660004,108.949997,1373200,104.417015
"2020-10-27",108.57,109.080002,105.300003,105.620003,2327300,101.225578
"2020-10-28",103.650002,104.75,101.279999,101.440002,2477000,97.219482
"2020-10-29",101,103.559998,99.540001,102.919998,1902000,98.637894
"2020-10-30",102.769997,103.349998,101.410004,102.660004,1564100,98.388718
"2020-11-02",104.290001,105.550003,103.75,105.07,1235100,100.698441
"2020-11-03",106.309998,107.900002,105.419998,107.230003,1068600,102.768578
"2020-11-04",107.279999,107.440002,104.879997,105.019997,1362300,100.650528
"2020-11-05",106.220001,108.279999,105.43,107.550003,1571700,103.075264
"2020-11-06",107.809998,109.190002,107.480003,108.559998,1415300,104.043243
"2020-11-09",114.120003,117.360001,112.110001,112.379997,2060800,107.704315
"2020-11-10",109.25,114.150002,107.57,112.440002,2536000,107.76181
"2020-11-11",112.800003,112.989998,108.269997,109.199997,1328300,104.656609
"2020-11-12",109.25,111.389999,108.449997,109.870003,1362500,105.298744
"2020-11-13",110.949997,113.379997,110.639999,112.169998,1306200,107.503044
"2020-11-16",114.150002,115.959999,112.309998,114.760002,1441800,109.985291
"2020-11-17",113.330002,114.690002,111.709999,114.510002,992800,109.745689
"2020-11-18",115,115.360001,112.25,112.389999,893800,107.713898
"2020-11-19",111.790001,112.410004,110.550003,111.949997,813300,107.292191
"2020-11-20",111.660004,112.82,111.190002,112.059998,1049600,107.397629
"2020-11-23",112.669998,113.610001,110.760002,111.279999,1020100,106.650078
"2020-11-24",112.099998,115.440002,111.830002,115.129997,1443000,110.33989
"2020-11-25",115.019997,115.019997,111.830002,112.400002,884300,107.72348
"2020-11-27",113.720001,114.709999,112.379997,112.870003,474100,108.17392
"2020-11-30",112.199997,112.68,110.169998,112.099998,2359900,107.435944
"2020-12-01",111.699997,113.199997,111.209999,111.620003,1375800,106.975922
"2020-12-02",111.949997,112.550003,110.849998,112.510002,1177000,107.828903
"2020-12-03",112.050003,114.419998,111.739998,112.639999,1851200,107.953491
"2020-12-04",113.68,116.239998,113.220001,116,2129400,111.173683
"2020-12-07",115.75,116.800003,114.419998,114.910004,1410300,110.129036
"2020-12-08",114.459999,115.629997,113.93,115.43,1125300,110.627411
"2020-12-09",115.830002,116.550003,114.019997,115.220001,1165400,110.426147
"2020-12-10",114.620003,114.730003,111.959999,112.589996,1085200,107.905571
"2020-12-11",112.010002,112.419998,109.529999,111.040001,1482400,106.420052
"2020-12-14",112.519997,112.769997,109.019997,109.25,1141200,104.704536
"2020-12-15",109.419998,111.57,108.879997,110.93,1665800,106.314636
"2020-12-16",111.669998,112.730003,110.589996,112.120003,1150800,107.455116
"2020-12-17",112.830002,114.120003,112.449997,113.580002,1031800,108.854378
"2020-12-18",113.370003,114.949997,111.550003,114.290001,3919000,109.534836
"2020-12-21",113.010002,114.620003,112.18,114.290001,2067100,109.534836
"2020-12-22",114.82,116.120003,114.389999,114.959999,2100500,110.176956
"2020-12-23",114.459999,114.839996,110.419998,110.529999,1539600,105.931267
"2020-12-24",110.040001,110.150002,109.260002,110.059998,626900,106.22081
"2020-12-28",110.550003,110.830002,108.830002,109.230003,1174100,105.419762
"2020-12-29",109.489998,111.260002,109.43,111.040001,1902800,107.166618
"2020-12-30",110.970001,111.660004,110.529999,111.260002,1876300,107.378952
"2020-12-31",110,110.050003,107.75,108.839996,3795400,105.043373
"2021-01-04",109.550003,109.830002,103.940002,105.080002,5097900,101.414528
"2021-01-05",105.510002,108.769997,104.709999,107.989998,5606100,104.223015
"2021-01-06",110.080002,114.43,109.690002,112.919998,5611700,108.981056
"2021-01-07",114.379997,118.75,113.68,118.650002,7707700,114.511177
"2021-01-08",119.57,121,117.790001,119,2861900,114.848961
"2021-01-11",117.669998,124.110001,117.25,122.449997,6187500,118.178612
"2021-01-12",126.269997,127.129997,123.599998,125.980003,8156400,121.58548
"2021-01-13",124.599998,125.120003,119.199997,121.519997,5635000,117.281052
"2021-01-14",120.650002,121.160004,118.849998,119.940002,5980300,115.756172
"2021-01-15",119.669998,119.669998,116.169998,117.720001,4942000,113.613617
"2021-01-19",118.739998,120.389999,117.139999,120.339996,4805300,116.142212
"2021-01-20",121.050003,121.860001,118.769997,120.080002,4251100,115.891289
"2021-01-21",118.410004,119.260002,115.459999,116,7635700,111.953606
"2021-01-22",115.330002,115.839996,114,115.809998,7202500,111.770241
"2021-01-25",116.889999,117.059998,114.660004,116.330002,10666200,112.272102
"2021-01-26",117.5,117.93,113.209999,113.779999,9340800,109.811043
"2021-01-27",111.709999,114.199997,109.540001,110.940002,11438700,107.070114
"2021-01-28",112,115.739998,110.839996,115.019997,11222500,111.007797
"2021-01-29",113.559998,115.18,110.839996,112.379997,19974800,108.459885
"2021-02-01",123,133.229996,117.010002,130.149994,30551300,125.610008
"2021-02-02",129.550003,132.990005,124.050003,124.230003,30334000,119.89653
"2021-02-03",124.959999,128.940002,124.760002,128.270004,15933300,123.795601
"2021-02-04",133.029999,139.619995,126.940002,126.940002,16109900,122.511993
"2021-02-05",126.580002,128.410004,125.93,127.059998,8794000,122.6278
"2021-02-08",127.870003,128.820007,125.32,127.25,7803400,122.81118
"2021-02-09",127.620003,128.789993,125.82,127.949997,5513900,123.486755
"2021-02-10",128.139999,141.520004,128.130005,135.570007,8140000,130.840973
"2021-02-11",135.600006,140.240005,133.720001,136.770004,5212000,131.9991
"2021-02-12",136.919998,139.509995,132.910004,134.059998,3069000,129.383621
"2021-02-16",134.690002,138.460007,134.100006,136.889999,7615500,132.114914
"2021-02-17",136.320007,138.570007,134.149994,137.669998,3203600,132.867691
"2021-02-18",137.699997,139.380005,136.649994,137.949997,3241000,133.137924
"2021-02-19",139.149994,140.309998,138.160004,139.5,3220600,134.633865
"2021-02-22",139.5,141.419998,138.210007,140.559998,2181600,135.656891
"2021-02-23",140.490005,140.490005,136.940002,138.919998,3222800,134.074081
"2021-02-24",139.369995,140.130005,136.979996,138.149994,2612800,133.330948
"2021-02-25",137.449997,138.970001,134.889999,136.630005,2425100,131.863968
"2021-02-26",136.339996,137.050003,133.800003,135.509995,2042500,130.783051
"2021-03-01",137.320007,141,137.210007,139.149994,2634500,134.296066
"2021-03-02",138.860001,139.440002,136.460007,137.149994,2037700,132.365829
"2021-03-03",136.850006,137.029999,131.639999,131.729996,2804600,127.134911
"2021-03-04",131.509995,132.660004,127.730003,130.889999,2296700,126.324211
"2021-03-05",132.169998,134.580002,129.559998,133.720001,2150300,129.055481
"2021-03-08",129.699997,134.669998,129.699997,131.229996,3868700,126.652351
"2021-03-09",132.550003,134.309998,131.130005,131.309998,2426200,126.729553
"2021-03-10",132.679993,136.649994,132.279999,135.289993,2305200,130.570694
"2021-03-11",136.899994,138.300003,135.850006,135.869995,1408000,131.130478
"2021-03-12",135.910004,136.029999,134.350006,134.839996,2671700,130.136429
"2021-03-15",134.550003,136.960007,134.550003,136.789993,5111700,132.018372
"2021-03-16",136.080002,137.380005,135.860001,136.679993,1314500,131.912216
"2021-03-17",137.029999,138.160004,136.479996,137.850006,1447000,133.041412
"2021-03-18",137.610001,138.690002,136.380005,137.679993,1706900,132.87735
"2021-03-19",137.339996,137.919998,135.259995,137.309998,5036100,132.520264
"2021-03-22",135.470001,137.660004,135.130005,137.300003,1085900,132.510605
"2021-03-23",136.789993,138,135.550003,136,1640200,131.255936
"2021-03-24",136.289993,138.75,136.289993,136.429993,1421300,131.670929
"2021-03-25",137.339996,139.899994,135.820007,139.410004,1813500,135.310684
"2021-03-26",140,140.949997,137.690002,140.520004,2209100,136.388062
"2021-03-29",140.029999,142.080002,139.869995,141.309998,2981900,137.1548
"2021-03-30",141.440002,142.160004,138.919998,139.75,2186500,135.640671
"2021-03-31",139.940002,141.190002,139.149994,139.610001,4312900,135.504791
"2021-04-01",139.759995,140.440002,138.419998,138.850006,1181200,134.767151
"2021-04-05",140.380005,140.619995,138.919998,139,1687000,134.91275
"2021-04-06",138.630005,141,138.559998,140.929993,1942800,136.78598
"2021-04-07",140.660004,140.660004,138.080002,138.5,954400,134.42746
"2021-04-08",137.619995,138.940002,137.199997,138.380005,874500,134.310974
"2021-04-09",139.089996,140.309998,138.419998,140.279999,1108200,136.155106
"2021-04-12",140.559998,140.820007,139.5,140.490005,3669700,136.358932
"2021-04-13",139.820007,141.490005,139.820007,140.789993,1124200,136.650101
"2021-04-14",140.979996,141.559998,140.179993,140.949997,897400,136.805389
"2021-04-15",141.339996,142.050003,140.779999,141.889999,986500,137.717758
"2021-04-16",143.029999,143.029999,141.029999,142.860001,2369300,138.659241
"2021-04-19",142.820007,143.179993,141.470001,142.919998,1649200,138.717484
"2021-04-20",143,143.039993,141.110001,141.820007,893500,137.649826
"2021-04-21",142.289993,144.029999,142.080002,143.860001,575700,139.629822
"2021-04-22",143.729996,144.020004,141.869995,142.490005,574800,138.300125
"2021-04-23",143.059998,144.850006,142.399994,144.539993,802700,140.289825
"2021-04-26",144.820007,145.529999,144.300003,144.5,855600,140.251007
"2021-04-27",143.679993,143.809998,142.009995,142.589996,1388600,138.397171
"2021-04-28",143.130005,144.080002,142.160004,143.779999,788800,139.5522
"2021-04-29",144.960007,145.520004,142.449997,144.130005,1257000,139.891907
"2021-04-30",143.850006,144.190002,141.619995,142.169998,1087700,137.989532
"2021-05-03",143.380005,144.940002,142.789993,144.119995,969400,139.882172
"2021-05-04",143.130005,145.509995,141.899994,145.5,1057500,141.221603
"2021-05-05",146,146,144.320007,144.669998,917100,140.416016
"2021-05-06",144.520004,146.529999,143.949997,146.509995,1183400,142.201904
"2021-05-07",145.630005,147.039993,145.509995,146.449997,835900,142.143677
"2021-05-10",147,147,142.479996,142.710007,1465100,138.513672
"2021-05-11",141.649994,141.839996,136.679993,138.679993,2589800,134.602142
"2021-05-12",138.389999,140.929993,135.270004,135.289993,1769400,131.311829
"2021-05-13",136.119995,139.330002,135.669998,138.649994,886800,134.573029
"2021-05-14",139.350006,141.850006,139.259995,141.210007,1098100,137.05777
"2021-05-17",140.880005,143.520004,140.550003,142.75,1433200,138.55246
"2021-05-18",143.270004,144,141.949997,142.020004,1929100,137.843933
"2021-05-19",140.919998,142.029999,139.830002,141.919998,1792400,137.746872
"2021-05-20",141.949997,142.699997,139.179993,139.380005,1181400,135.281586
"2021-05-21",140.160004,142,140,140.539993,1308400,136.407455
"2021-05-24",141.520004,142.470001,140.639999,141.860001,1044900,137.68866
"2021-05-25",142.070007,142.910004,141.059998,141.619995,779000,137.455704
"2021-05-26",141.360001,142.009995,140.270004,141.699997,984400,137.533356
"2021-05-27",142.360001,143.25,141.820007,142.839996,3640000,138.639816
"2021-05-28",142.039993,143.360001,140.960007,141.669998,911100,137.504227
"2021-06-01",143.179993,143.600006,140.839996,142.309998,1973400,138.125412
"2021-06-02",143,144.649994,142,143.669998,1888600,139.445419
"2021-06-03",143.029999,144.160004,142,142.710007,1092600,138.513672
"2021-06-04",143.330002,143.440002,141.699997,143,1415000,138.79512
"2021-06-07",143.440002,144.509995,142.240005,143.179993,696100,138.969833
"2021-06-08",143.259995,144.990005,142.699997,144.809998,994200,140.55188
"2021-06-09",144.820007,147.389999,144.660004,147.089996,1137900,142.764862
"2021-06-10",148.029999,148.169998,147.059998,147.75,1493800,143.405441
"2021-06-11",148.5,148.770004,145.630005,147.779999,1835400,143.434555
"2021-06-14",147.5,148.009995,146.589996,147.770004,1303500,143.424866
"2021-06-15",148.029999,148.100006,146.360001,147.229996,859000,142.900742
"2021-06-16",147.410004,148.240005,146.529999,147.270004,791300,142.939575
"2021-06-17",147.25,148.070007,144.720001,145.809998,1412200,141.522507
"2021-06-18",143.779999,145.630005,143.600006,144.860001,1842600,140.600433
"2021-06-21",146.289993,148.600006,145.660004,148.410004,821000,144.046051
"2021-06-22",148.880005,149.740005,147.529999,149.100006,900300,144.715744
"2021-06-23",149.059998,150.029999,148.380005,148.449997,927100,144.084854
"2021-06-24",148.5,148.990005,147.259995,148.419998,617900,144.806839
"2021-06-25",148.779999,149.990005,148.570007,148.960007,827100,145.333694
"2021-06-28",149.130005,149.279999,147.660004,148.789993,1014400,145.167816
"2021-06-29",148.949997,150.029999,148.220001,148.759995,664500,145.13858
"2021-06-30",148.009995,149.559998,147.479996,149.399994,1462700,145.762985
"2021-07-01",149.880005,150.160004,149.149994,149.389999,871500,145.753235
"2021-07-02",149.460007,150.070007,148.360001,149.990005,955700,146.338638
"2021-07-06",149.600006,149.990005,147.259995,147.910004,1060100,144.309265
"2021-07-07",147.360001,149.100006,146.770004,148.800003,642500,145.177597
"2021-07-08",146.949997,147.949997,146.25,147.800003,1406200,144.20195
"2021-07-09",149.470001,149.619995,147.059998,147.699997,1707900,144.10437
"2021-07-12",147.059998,149.029999,146.919998,148.580002,2216100,144.962952
"2021-07-13",148.610001,148.610001,144.529999,145.449997,1222700,141.909134
"2021-07-14",144.910004,145.619995,144.139999,144.710007,2025500,141.18718
"2021-07-15",144.770004,145.669998,143.350006,144,1083200,140.494446
"2021-07-16",144.039993,145.169998,142.679993,143.419998,1343500,139.928558
"2021-07-19",142.580002,142.910004,139.619995,140.110001,2290300,136.699142
"2021-07-20",140.289993,144.399994,140.089996,143.789993,1260200,140.289551
"2021-07-21",144.399994,145.279999,143.610001,144.979996,656500,141.450577
"2021-07-22",144.720001,146.509995,144.100006,146.050003,1298600,142.494553
"2021-07-23",146.880005,148.470001,145.770004,148.330002,582700,144.71904
"2021-07-26",148.339996,149.199997,147.910004,148.800003,692800,145.177597
"2021-07-27",148.009995,149.270004,147.240005,149.160004,1003600,145.528824
"2021-07-28",149.380005,149.440002,147.559998,148.470001,774200,144.855637
"2021-07-29",149.350006,150.100006,148.639999,149.130005,720400,145.499573
"2021-07-30",149.130005,150.770004,148.75,150.639999,738000,146.972794
"2021-08-02",151.490005,151.990005,149.470001,149.589996,1063600,145.94838
"2021-08-03",149.050003,150.679993,148.350006,150.110001,981400,146.455704
"2021-08-04",149,150.029999,147.770004,147.789993,2313500,144.192184
"2021-08-05",148.690002,149.740005,147.779999,148.080002,1045500,144.475128
"2021-08-06",148.080002,151.600006,147.179993,151.059998,1697900,147.382568
"2021-08-09",151.600006,153.830002,150.529999,153.729996,1632800,149.987564
"2021-08-10",154.259995,156.5,153.710007,156.350006,1269300,152.543808
"2021-08-11",157.029999,157.080002,155.880005,156.779999,793500,152.963318
"2021-08-12",156.809998,156.809998,155.270004,156.089996,1197800,152.290131
"2021-08-13",156.389999,157.059998,155.600006,156.75,555400,152.934067
"2021-08-16",156.5,156.550003,154.759995,155.559998,1085700,151.773026
"2021-08-17",154.860001,155.929993,153.259995,154.830002,793300,151.060822
"2021-08-18",154.070007,154.559998,151.419998,151.509995,1048000,147.821625
"2021-08-19",150.339996,151.350006,149.270004,149.399994,1369000,145.762985
"2021-08-20",149.009995,150,148.380005,149.759995,930000,146.114243
"2021-08-23",150.160004,150.550003,148.940002,150.240005,1088200,146.58255
"2021-08-24",150.919998,152.070007,150.199997,151.289993,1395700,147.606964
"2021-08-25",150.869995,152.429993,150.020004,151.669998,818300,147.977737
"2021-08-26",151.479996,151.729996,150.309998,151.029999,811400,147.353317
"2021-08-27",151.800003,152.419998,150.559998,151.830002,686800,148.13382
"2021-08-30",151.940002,152.350006,151.029999,151.199997,480400,147.51918
"2021-08-31",150.839996,151.820007,149.770004,151.5,1122800,147.811874
"2021-09-01",151.490005,151.679993,150.059998,150.460007,640800,146.797195
"2021-09-02",151.029999,151.970001,150.389999,151.429993,583000,147.743576
"2021-09-03",151.080002,152.369995,149.699997,150.910004,1210000,147.236237
"2021-09-07",150.039993,150.839996,148.279999,150.070007,926400,146.416687
"2021-09-08",149.850006,151.130005,148.830002,151.020004,800500,147.343567
"2021-09-09",150.320007,152.270004,150.259995,150.839996,1166100,147.167938
"2021-09-10",150.779999,151.070007,147.389999,147.589996,1062800,143.997055
"2021-09-13",148.940002,149,145.830002,147.589996,2561600,143.997055
"2021-09-14",147.539993,147.639999,143.089996,143.75,1550400,140.250549
"2021-09-15",143.850006,145.190002,143.410004,144.309998,814300,140.79689
"2021-09-16",144.029999,144.880005,142.919998,143.119995,748700,139.63588
"2021-09-17",141.460007,142.029999,134.660004,135.210007,4507400,131.918427
"2021-09-20",134.350006,137.190002,132.970001,134.970001,1720500,131.684265
"2021-09-21",135.110001,135.720001,131.399994,132.580002,1500300,129.352463
"2021-09-22",134.130005,134.5,131.089996,132.610001,1815500,129.381729
"2021-09-23",132.860001,134.910004,132.850006,132.889999,1266900,130.431931
"2021-09-24",132.440002,134.279999,131.25,132.639999,1504000,130.186554
"2021-09-27",132.529999,134.25,131.350006,131.589996,1186500,129.155975
"2021-09-28",131.300003,134.399994,130.509995,132.929993,2185400,130.471176
"2021-09-29",133.009995,135.289993,132.669998,134.080002,1416200,131.599915
"2021-09-30",134.660004,136.289993,133.490005,133.720001,1711200,131.246582
"2021-10-01",137.509995,143.75,135.679993,141.100006,4299100,138.490082
"2021-10-04",140.589996,141.860001,136.889999,138,2185100,135.447418
"2021-10-05",138,138.869995,135.179993,135.470001,1874700,132.964218
"2021-10-06",134.850006,137.589996,134.380005,137.509995,1012800,134.966461
"2021-10-07",138.770004,139.619995,137.699997,138.25,805300,135.692795
"2021-10-08",137.830002,139.660004,137.830002,138.039993,660000,135.486679
"2021-10-11",138.809998,140.740005,138.110001,140,1104200,137.410416
"2021-10-12",139.990005,143.559998,139.929993,143.440002,1265200,140.786789
"2021-10-13",143.410004,144.470001,141.75,144.350006,1364800,141.679977
"2021-10-14",145.75,149.119995,145.229996,148.320007,1215000,145.576523
"2021-10-15",149.119995,149.199997,147.369995,147.580002,982400,144.850204
"2021-10-18",146.520004,147.410004,145.160004,145.520004,935800,142.828308
"2021-10-19",146.199997,147.699997,145.009995,147.009995,759100,144.290756
"2021-10-20",146.809998,146.809998,144.529999,145.770004,668200,143.0737
"2021-10-21",145.240005,145.990005,144.649994,145.850006,687500,143.152206
"2021-10-22",146.210007,146.360001,145.050003,145.320007,581600,142.632034
"2021-10-25",146.080002,146.490005,145.300003,146.339996,1068400,143.633148
"2021-10-26",147.020004,148.820007,145.820007,148.089996,959200,145.350784
"2021-10-27",148.259995,149.240005,146.889999,148.259995,1549900,145.517639
"2021-10-28",148.619995,150.119995,148.149994,148.479996,929100,145.733566
"2021-10-29",147.679993,148.759995,146.25,147.449997,936500,144.72261
"2021-11-01",147.509995,147.979996,144,144.080002,900900,141.414963
"2021-11-02",143.979996,145.619995,143.830002,144.399994,1286800,141.729034
"2021-11-03",144.820007,146.380005,144.539993,145.289993,1801900,142.60257
"2021-11-04",145.210007,145.330002,141.279999,141.869995,1102500,139.245834
"2021-11-05",142.270004,144.149994,142.039993,143.600006,1201200,140.943832
"2021-11-08",144.220001,147.559998,143.960007,147.529999,2133900,144.801132
"2021-11-09",146.059998,154.149994,145.169998,153.119995,2856200,150.287735
"2021-11-10",153.559998,154.470001,150.830002,151.130005,1401000,148.334564
"2021-11-11",151.199997,151.699997,148.899994,150.25,855200,147.470825
"2021-11-12",150.550003,155,149.919998,152.580002,894400,149.757736
"2021-11-15",152.380005,152.520004,150.740005,152.360001,1448800,149.541809
"2021-11-16",152.720001,154.029999,152.029999,152.949997,970100,150.120895
"2021-11-17",152.630005,153.179993,150.880005,152.830002,1151900,150.003113
"2021-11-18",152.440002,153.130005,149.949997,150.050003,790100,147.274521
"2021-11-19",150.369995,150.919998,149.440002,150.029999,1015500,147.254898
"2021-11-22",150.460007,151.919998,149.279999,149.279999,626800,146.518768
"2021-11-23",149.029999,149.350006,146.649994,147.580002,883600,144.850204
"2021-11-24",146.639999,148.020004,146.600006,147.470001,557500,144.742249
"2021-11-26",144.470001,145.669998,143.669998,144.570007,711200,141.895889
"2021-11-29",145.380005,147.929993,144.600006,147.190002,1735500,144.467438
"2021-11-30",146.729996,146.919998,141.889999,142.169998,1812400,139.540298
"2021-12-01",144,146.589996,141.479996,141.5,1181200,138.88269
"2021-12-02",140.860001,142.509995,139.869995,140.5,1712500,137.901169
"2021-12-03",140.479996,142.429993,138.610001,140.770004,1269000,138.166183
"2021-12-06",142.139999,144.179993,141.660004,143.029999,1281900,140.384369
"2021-12-07",144.770004,146.610001,144.190002,145.110001,1110500,142.425919
"2021-12-08",145.470001,148.210007,144.080002,148.160004,1204100,145.419495
"2021-12-09",147.990005,148.889999,146.589996,147.479996,1155400,144.75206
"2021-12-10",148.759995,148.759995,146.020004,147.119995,1050400,144.398727
"2021-12-13",146.720001,148.25,145.940002,146.5,1925700,143.790192
"2021-12-14",146.25,147.850006,144.899994,145.710007,1960000,143.014801
"2021-12-15",145.699997,145.789993,142.509995,145.009995,965600,142.327744
"2021-12-16",145.970001,147.580002,144.800003,145.910004,1449500,143.211105
"2021-12-17",145.350006,145.350006,142.649994,144.429993,3280500,141.758469
"2021-12-20",142.419998,143.059998,139.619995,142.289993,1010900,139.658051
"2021-12-21",142.910004,144.300003,141.479996,142.690002,1011000,140.050674
"2021-12-22",142.220001,142.610001,141.660004,142.220001,677500,139.589371
"2021-12-23",142.429993,143.639999,142.210007,143.089996,627000,140.443268
"2021-12-27",143.100006,145.25,142.490005,145.210007,533300,143.315308
"2021-12-28",145,147.770004,144.610001,147.440002,694800,145.51619
"2021-12-29",147.470001,149.699997,147.110001,148.990005,1606500,147.045975
"2021-12-30",148.839996,149.929993,148.360001,148.559998,402700,146.621582
"2021-12-31",148.520004,151.229996,148.399994,150.649994,810100,148.684311
"2022-01-03",150.779999,151.860001,148.889999,149.119995,946900,147.174271
"2022-01-04",149.5,151.309998,148.690002,149.679993,1794600,147.726959
"2022-01-05",149.860001,150.690002,144.869995,144.919998,1409700,143.029083
"2022-01-06",145.020004,145.339996,142.410004,143.820007,682600,141.943436
"2022-01-07",144,144,141.929993,141.970001,1601900,140.117584
"2022-01-10",140.919998,141.289993,137.380005,140.589996,2062400,138.755569
