"","CPT.Open","CPT.High","CPT.Low","CPT.Close","CPT.Volume","CPT.Adjusted"
"2020-12-03",99.220001,100.800003,99.040001,100.07,615800,95.645729
"2020-12-04",100.610001,101.330002,99.419998,100.739998,642800,96.286125
"2020-12-07",100.129997,101.639999,100.129997,101.099998,424300,96.630203
"2020-12-08",100.75,101.18,99.410004,99.410004,460100,95.014931
"2020-12-09",99.870003,100.68,96.849998,98.309998,544100,93.963562
"2020-12-10",97.57,98.730003,95.860001,95.889999,618400,91.650551
"2020-12-11",95.099998,96.370003,95.099998,95.959999,480000,91.717445
"2020-12-14",96.519997,97.900002,95.639999,96.5,737500,92.233582
"2020-12-15",96.400002,98.110001,95.25,98.110001,656800,94.58593
"2020-12-16",98.620003,99.620003,98.150002,98.599998,729100,95.058319
"2020-12-17",99.059998,100.120003,97.879997,99.769997,726300,96.186302
"2020-12-18",100.68,101.25,95.919998,96.480003,943800,93.014488
"2020-12-21",94.870003,97.300003,94.730003,97.199997,702600,93.708626
"2020-12-22",97.110001,98.419998,96.730003,98.099998,513300,94.576286
"2020-12-23",98.660004,99.339996,97.160004,97.349998,566400,93.853226
"2020-12-24",97.580002,98.779999,97.18,98.699997,229300,95.154739
"2020-12-28",99.019997,99.980003,98.269997,99.099998,496400,95.540375
"2020-12-29",99.389999,100.239998,97.940002,98.529999,372600,94.990845
"2020-12-30",98.480003,99.75,97.980003,98.730003,499700,95.183662
"2020-12-31",98.860001,100.220001,97.440002,99.919998,386000,96.330917
"2021-01-04",99.779999,100.150002,96.120003,96.300003,523900,92.84095
"2021-01-05",96.300003,97.019997,94.589996,95.540001,851100,92.108246
"2021-01-06",95.940002,98.400002,95.349998,98.040001,860900,94.51844
"2021-01-07",98.029999,98.209999,96.099998,96.790001,530200,93.313347
"2021-01-08",96.790001,97.25,95.860001,96.790001,371700,93.313347
"2021-01-11",96.099998,97.050003,95.889999,96.010002,722600,92.561363
"2021-01-12",95.709999,96.870003,95.019997,96.599998,822400,93.130157
"2021-01-13",96.589996,97.949997,96.010002,97.080002,886900,93.592926
"2021-01-14",97.889999,99.599998,97.019997,99.18,444900,95.617493
"2021-01-15",98.879997,101.32,98.269997,100.580002,521700,96.967209
"2021-01-19",100.790001,100.900002,99.620003,99.82,538000,96.234505
"2021-01-20",99.870003,102.910004,99.25,102.639999,593800,98.953224
"2021-01-21",101.970001,102.739998,100.699997,102.57,369500,98.885735
"2021-01-22",102.110001,102.860001,101.120003,102.550003,422000,98.866447
"2021-01-25",102.169998,103.199997,101.25,102.709999,380000,99.020691
"2021-01-26",102.610001,104.040001,102.339996,103.599998,382400,99.878731
"2021-01-27",103.07,104.790001,101.199997,101.599998,524800,97.950577
"2021-01-28",101.720001,103.93,101.43,102.779999,486100,99.088173
"2021-01-29",102.190002,104.029999,100.190002,102.150002,549600,98.480812
"2021-02-01",102.849998,105,101.269997,104.889999,541100,101.122406
"2021-02-02",105.269997,106.089996,103.790001,104.260002,656200,100.515038
"2021-02-03",103.330002,104.120003,102.550003,103.739998,738700,100.013695
"2021-02-04",103.720001,104.800003,102.699997,103.620003,1082300,99.898018
"2021-02-05",104.089996,104.360001,100.400002,101.800003,1321200,98.143387
"2021-02-08",101.68,101.970001,100.400002,101.959999,1370700,98.29763
"2021-02-09",102.459999,103.589996,101.099998,101.139999,769100,97.507095
"2021-02-10",100.860001,103.57,100.129997,103.419998,821000,99.705193
"2021-02-11",103.940002,106.169998,103.419998,106,851600,102.192535
"2021-02-12",105.940002,108.040001,105.639999,106.540001,1084400,102.713127
"2021-02-16",106.459999,106.739998,105.059998,106.400002,581200,102.578171
"2021-02-17",106.410004,107.25,105,105.059998,527000,101.286301
"2021-02-18",104.699997,105.739998,103.699997,103.800003,564100,100.071548
"2021-02-19",104.269997,105.269997,103.620003,105.129997,546800,101.353775
"2021-02-22",102.900002,105.519997,102.900002,104.940002,1027900,101.170601
"2021-02-23",105.389999,107.900002,104.099998,107.589996,963900,103.725403
"2021-02-24",107.82,108.190002,105.980003,106.760002,1066800,102.925224
"2021-02-25",107.25,107.889999,104.769997,105.459999,652900,101.671921
"2021-02-26",105.720001,105.949997,104.029999,104.150002,626600,100.408981
"2021-03-01",106,106.730003,103.889999,104.010002,771500,100.27401
"2021-03-02",103.540001,104.669998,102.529999,103.779999,689600,100.052269
"2021-03-03",102.550003,104.199997,102.010002,103.230003,798900,99.522018
"2021-03-04",103.529999,103.529999,99.699997,100.43,1142300,96.822601
"2021-03-05",101.010002,103.059998,100.290001,102.690002,981100,99.001419
"2021-03-08",103.239998,104.910004,102.410004,103.099998,477600,99.39669
"2021-03-09",103.650002,105.199997,102.330002,102.489998,836700,98.808609
"2021-03-10",102.43,104.589996,101.730003,103.82,582400,100.090828
"2021-03-11",103.93,105,103.309998,104.050003,830300,100.312576
"2021-03-12",103.989998,106.769997,103.989998,106.610001,692600,102.780609
"2021-03-15",107.330002,110.580002,106.419998,110.290001,757100,106.328423
"2021-03-16",110.529999,110.870003,108.639999,109.699997,727900,105.759621
"2021-03-17",109.699997,109.860001,108.559998,109.449997,851600,105.5186
"2021-03-18",108.809998,110.800003,108.690002,110.720001,977100,106.742989
"2021-03-19",111,111.050003,107.019997,107.019997,1273700,103.175888
"2021-03-22",106.68,108.629997,106.68,108.190002,375900,104.303864
"2021-03-23",107.790001,109.839996,107.099998,108.910004,494400,104.998001
"2021-03-24",109.760002,110.650002,108.75,109.610001,776400,105.672859
"2021-03-25",109.059998,111.050003,107.769997,110.089996,569700,106.13562
"2021-03-26",110.949997,113.220001,110.620003,113.050003,530500,108.989304
"2021-03-29",112.720001,113.050003,110.269997,111.290001,495200,107.292519
"2021-03-30",110.230003,111.349998,110.089996,111.080002,691600,107.894722
"2021-03-31",111.169998,111.779999,109.860001,109.910004,807400,106.758286
"2021-04-01",110.300003,111.32,109.650002,111.260002,649400,108.069565
"2021-04-05",111.82,112.209999,109.230003,110.790001,790800,107.613052
"2021-04-06",110.550003,111.379997,109.760002,111.300003,972700,108.108429
"2021-04-07",111.489998,113.099998,111.230003,112.970001,647700,109.73053
"2021-04-08",112.669998,113.5,111.559998,111.620003,507300,108.419243
"2021-04-09",111.889999,112.699997,111.669998,112.330002,524200,109.108887
"2021-04-12",112.669998,112.730003,111.410004,112.220001,544400,109.002045
"2021-04-13",111.889999,113.889999,111.57,113.690002,540800,110.429893
"2021-04-14",113.940002,114.410004,113.440002,113.57,676900,110.313324
"2021-04-15",114.080002,115.18,113.57,115.129997,430200,111.82859
"2021-04-16",115.669998,116.309998,114.970001,116.050003,513700,112.722214
"2021-04-19",116.410004,117.150002,115.769997,117.120003,699500,113.761536
"2021-04-20",117.120003,119.760002,117.120003,119.489998,761700,116.06356
"2021-04-21",119.760002,121.230003,119.470001,120.650002,682900,117.1903
"2021-04-22",120.889999,121.419998,119.449997,119.769997,991800,116.335533
"2021-04-23",120,120.349998,118.610001,118.709999,852000,115.305939
"2021-04-26",118.75,120.690002,118.75,119.410004,717900,115.985863
"2021-04-27",119.910004,120.349998,119.150002,119.610001,632700,116.18013
"2021-04-28",119.989998,120.260002,118.290001,118.769997,589700,115.364212
"2021-04-29",119,120.18,118.879997,120.050003,515300,116.607513
"2021-04-30",119.190002,120.730003,118.160004,120.480003,1015100,117.025177
"2021-05-03",121.360001,121.419998,119.589996,119.989998,528300,116.549225
"2021-05-04",119.889999,121.230003,118.760002,119.309998,450100,115.888733
"2021-05-05",119.050003,119.050003,117.07,118.019997,506000,114.635727
"2021-05-06",118.779999,121.349998,118.779999,120.959999,489000,117.491409
"2021-05-07",120.690002,122.800003,120.690002,122.690002,534800,119.171806
"2021-05-10",123.32,124.690002,123.160004,123.269997,749700,119.735168
"2021-05-11",122.610001,123.059998,121.720001,122.580002,866300,119.064964
"2021-05-12",122.730003,123.120003,119.449997,119.669998,791200,116.238396
"2021-05-13",119.800003,123.199997,119.449997,122,745200,118.501595
"2021-05-14",122.25,123.370003,121.93,122.269997,453400,118.763847
"2021-05-17",122.919998,123.790001,121.860001,123.099998,452000,119.570045
"2021-05-18",122.690002,123.279999,122.18,122.529999,369400,119.016396
"2021-05-19",121.75,121.949997,120.129997,121.779999,723300,118.28791
"2021-05-20",120.870003,123.610001,120.650002,123.07,1024600,119.540901
"2021-05-21",123.010002,123.529999,122.260002,122.910004,715000,119.385498
"2021-05-24",123.610001,125.050003,123.510002,124.629997,527400,121.056175
"2021-05-25",124.639999,125.959999,123.559998,125.300003,897900,121.706963
"2021-05-26",125.300003,126.720001,125.139999,125.760002,654700,122.15377
"2021-05-27",125.879997,126.599998,124.339996,124.580002,903600,121.007607
"2021-05-28",125.029999,125.82,124.209999,125.379997,674900,121.784668
"2021-06-01",125.720001,127.75,125.110001,127.730003,865400,124.067291
"2021-06-02",128.369995,129.979996,128,129.899994,2093500,126.175056
"2021-06-03",129.570007,129.940002,128.339996,129.149994,1008500,125.446564
"2021-06-04",129.660004,129.660004,128.449997,129.179993,1130100,125.475693
"2021-06-07",129.820007,130.929993,129.330002,129.960007,1000100,126.23333
"2021-06-08",130.5,132.229996,130.039993,132.029999,1557900,128.243973
"2021-06-09",132.600006,134.020004,131.910004,132.830002,1490500,129.021042
"2021-06-10",132.759995,135.410004,132.75,135.039993,792900,131.167664
"2021-06-11",135.410004,135.639999,134.289993,135.259995,891500,131.381348
"2021-06-14",134.199997,135.259995,133.949997,135.190002,831600,131.313354
"2021-06-15",134.770004,135.190002,134.050003,134.440002,507100,130.584854
"2021-06-16",135.020004,135.440002,133.630005,133.669998,447100,129.83696
"2021-06-17",133.369995,134.800003,132.860001,134.5,517500,130.643173
"2021-06-18",134.399994,135.210007,132.509995,132.610001,1271900,128.807358
"2021-06-21",133.350006,135.669998,132.759995,135.440002,828100,131.556198
"2021-06-22",135.619995,135.720001,134.529999,134.979996,512000,131.109375
"2021-06-23",134.610001,136.009995,134.190002,135.289993,638600,131.410477
"2021-06-24",135.630005,135.970001,134.070007,134.979996,519700,131.109375
"2021-06-25",134.440002,135.580002,134.289993,135.220001,726200,131.342514
"2021-06-28",135.270004,135.380005,133.270004,134.779999,444000,130.9151
"2021-06-29",133.899994,134.889999,133.660004,133.949997,319900,130.9151
"2021-06-30",134.119995,134.839996,132.479996,132.669998,513000,129.664124
"2021-07-01",132.580002,134.550003,132.259995,133.490005,546300,130.465546
"2021-07-02",133.940002,135.25,132.820007,134.229996,536600,131.188766
"2021-07-06",134.199997,137.070007,132.820007,136.820007,544300,133.720093
"2021-07-07",136.550003,138.139999,135.699997,137.360001,617100,134.247864
"2021-07-08",136.25,138.979996,136.119995,138.830002,448900,135.684555
"2021-07-09",139.880005,141.199997,138.919998,141.179993,779700,137.981308
"2021-07-12",140.910004,142.539993,140.720001,142.149994,475400,138.929337
"2021-07-13",141.809998,143.039993,140.210007,140.910004,338600,137.717422
"2021-07-14",141.059998,142.419998,140.419998,141.979996,437900,138.763184
"2021-07-15",141.970001,143.149994,141.020004,143.039993,538500,139.799164
"2021-07-16",143.820007,144.550003,143.029999,144.020004,818600,140.756973
"2021-07-19",143.320007,144.149994,141.410004,142.919998,604000,139.681885
"2021-07-20",143.759995,147.850006,142.929993,146.789993,754300,143.464188
"2021-07-21",146.5,147.490005,146.089996,146.399994,499900,143.083038
"2021-07-22",146.300003,146.75,145.389999,145.949997,335700,142.643234
"2021-07-23",145.800003,147.449997,145.800003,147.229996,328800,143.894226
"2021-07-26",147.050003,147.770004,145.759995,146.320007,318200,143.004868
"2021-07-27",146.110001,147.929993,145.149994,146.839996,555500,143.513062
"2021-07-28",146.660004,147.600006,145.710007,146.080002,695800,142.770294
"2021-07-29",145.990005,149.080002,145.860001,148.75,713100,145.379807
"2021-07-30",151.649994,152.630005,147.059998,149.389999,704600,146.00531
"2021-08-02",150.25,151.479996,149.539993,150.119995,458900,146.71875
"2021-08-03",150,150.570007,147.229996,148.369995,724500,145.008408
"2021-08-04",148.960007,149,147.289993,147.990005,588600,144.637024
"2021-08-05",148.669998,149.479996,147.119995,149.070007,506700,145.692551
"2021-08-06",149.75,149.990005,147.600006,147.869995,560700,144.51973
"2021-08-09",147.300003,147.300003,145.559998,146.059998,697700,142.750763
"2021-08-10",146.229996,146.570007,142.740005,143.139999,1023300,139.896896
"2021-08-11",143.610001,144.740005,143.149994,144.289993,527200,141.020844
"2021-08-12",144.720001,145.25,143.559998,145.020004,263400,141.734314
"2021-08-13",145.190002,146.190002,144.5,146,337400,142.692108
"2021-08-16",145.880005,147.449997,144.889999,146.880005,304600,143.55217
"2021-08-17",146.75,147.080002,144.880005,146.669998,446200,143.346924
"2021-08-18",146.25,146.990005,145.360001,146.25,479900,142.936447
"2021-08-19",145.660004,147.130005,145.149994,146.960007,292300,143.630371
"2021-08-20",146.369995,147.619995,145.410004,146.699997,546700,143.376251
"2021-08-23",146.869995,147.449997,144.5,144.589996,706900,141.314056
"2021-08-24",144.679993,145.139999,141.699997,142.5,923900,139.271408
"2021-08-25",142.330002,145.479996,141.800003,144.220001,668000,140.952438
"2021-08-26",144.470001,146.570007,144.240005,145.710007,503000,142.408691
"2021-08-27",146.460007,147.740005,145.830002,146.759995,509400,143.434875
"2021-08-30",147.410004,149.029999,146.179993,148.789993,909900,145.4189
"2021-08-31",148.690002,150.279999,148.360001,150.039993,1113300,146.640564
"2021-09-01",150.940002,153,150.690002,152.509995,1585100,149.054611
"2021-09-02",152.860001,153.360001,151.570007,153,1063800,149.533508
"2021-09-03",152.600006,153.839996,151.550003,153.440002,608600,149.963547
"2021-09-07",153.440002,153.440002,149.279999,150.470001,723000,147.060822
"2021-09-08",149.619995,154.050003,149.029999,153.139999,871500,149.670334
"2021-09-09",152.649994,152.990005,150.350006,150.520004,945000,147.109695
"2021-09-10",150.470001,151.910004,149.809998,149.830002,1106200,146.435349
"2021-09-13",150.309998,151.550003,150.029999,150.389999,404400,146.982635
"2021-09-14",150.990005,151.889999,150.059998,151.130005,564200,147.705872
"2021-09-15",151.350006,152.75,150.740005,151.110001,573900,147.686325
"2021-09-16",150.759995,151.550003,149.419998,150.550003,405400,147.139023
"2021-09-17",151.059998,151.139999,148.330002,148.350006,1308600,144.988861
"2021-09-20",146.990005,149.580002,146.119995,148.690002,698500,145.321152
"2021-09-21",149.720001,151.800003,149.679993,150.149994,837500,146.748077
"2021-09-22",151.070007,151.889999,150.550003,150.75,976400,147.334473
"2021-09-23",151.899994,152.770004,150.660004,151.100006,433100,147.676559
"2021-09-24",150.789993,152.020004,149.710007,149.75,399200,146.357147
"2021-09-27",151.169998,151.449997,147.169998,147.229996,557100,143.894226
"2021-09-28",146.160004,148.649994,145.410004,148.080002,739100,144.724991
"2021-09-29",148.080002,150.720001,148.029999,150.089996,797300,147.516266
"2021-09-30",150.789993,151.059998,147.429993,147.470001,529900,144.941208
"2021-10-01",148.550003,150.539993,146.729996,149.539993,327600,146.975708
"2021-10-04",149.190002,151.550003,148.75,151.330002,492900,148.735016
"2021-10-05",152.190002,152.190002,150.199997,151.399994,747700,148.803818
"2021-10-06",150.710007,152.850006,147.199997,152.809998,545100,150.189636
"2021-10-07",152.809998,153.940002,151.759995,152.100006,423700,149.491821
"2021-10-08",151.809998,152.330002,150.550003,150.809998,298900,148.223923
"2021-10-11",150.5,151.789993,149.539993,151.070007,231700,148.479492
"2021-10-12",152.360001,154.690002,151.029999,154.190002,903900,151.545975
"2021-10-13",154.440002,156.910004,153.600006,156.75,680800,154.062073
"2021-10-14",157.619995,158.830002,156.910004,158.479996,494200,155.762405
"2021-10-15",158.630005,159.429993,156.160004,156.910004,398300,154.219345
"2021-10-18",156.559998,159.039993,155.940002,158.929993,629600,156.204681
"2021-10-19",159.429993,159.429993,155.899994,156,415800,153.324951
"2021-10-20",156.149994,157.990005,156.089996,157.970001,328100,155.261154
"2021-10-21",157.740005,158.419998,157.050003,158.330002,244900,155.614975
"2021-10-22",158.809998,159.820007,158.160004,159.050003,324600,156.322647
"2021-10-25",159.410004,159.410004,157.309998,157.899994,332600,155.192352
"2021-10-26",158.100006,159.929993,156.470001,159.279999,428400,156.548706
"2021-10-27",159.649994,159.759995,158.460007,159.440002,580400,156.705948
