"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume","PPG.Adjusted"
"2021-05-24",179.770004,180.389999,178.330002,179.570007,700500,176.767395
"2021-05-25",179.410004,180.300003,178.919998,179.100006,660100,176.304718
"2021-05-26",178.550003,179.399994,178.160004,178.75,767600,175.960175
"2021-05-27",179.960007,181.139999,179.419998,180.789993,3182800,177.968338
"2021-05-28",180.809998,181.350006,178.550003,179.720001,883500,176.915024
"2021-06-01",182.110001,182.949997,179.669998,180.75,1227400,177.92897
"2021-06-02",181.479996,181.979996,178.899994,180.339996,1332500,177.525345
"2021-06-03",179.509995,181.110001,178.830002,180.990005,1148200,178.165207
"2021-06-04",181.850006,182.580002,180.720001,182.330002,524000,179.484299
"2021-06-07",182.850006,182.970001,179.330002,179.979996,815800,177.170975
"2021-06-08",179.300003,179.570007,177.240005,179.070007,1092100,176.275208
"2021-06-09",178.360001,178.949997,176.729996,177.110001,992800,174.345779
"2021-06-10",178.690002,178.690002,176.509995,177.389999,816500,174.621399
"2021-06-11",178.399994,178.919998,176.610001,177.529999,557000,174.759232
"2021-06-14",177.169998,177.570007,174.070007,175.380005,588000,172.642776
"2021-06-15",176.139999,176.740005,174.490005,176.350006,801600,173.597656
"2021-06-16",175.669998,176.279999,174.229996,174.720001,769500,171.993088
"2021-06-17",174.839996,174.860001,168.919998,171.160004,1223600,168.488647
"2021-06-18",169.110001,170.309998,167.860001,168.119995,1777200,165.496078
"2021-06-21",169.789993,172.169998,169.149994,171.639999,976700,168.961136
"2021-06-22",172.479996,173.100006,170.860001,171.509995,785000,168.83316
"2021-06-23",171.449997,171.649994,169.470001,169.690002,710500,167.04158
"2021-06-24",170.490005,170.740005,168.419998,169.520004,794600,166.874237
"2021-06-25",170,170.759995,166.679993,167.210007,3390500,164.600296
"2021-06-28",167.860001,168.580002,165.509995,168.440002,1762800,165.811081
"2021-06-29",169.539993,170.850006,167.979996,168.559998,871800,165.929214
"2021-06-30",167.860001,170.100006,167.580002,169.770004,1143900,167.120331
"2021-07-01",170.949997,171.380005,169.139999,169.990005,758200,167.336899
"2021-07-02",169.809998,170.919998,168.660004,170.660004,608000,167.99646
"2021-07-06",170,170.220001,166.699997,169.009995,996300,166.372177
"2021-07-07",168.589996,172.520004,168.589996,172.300003,941500,169.61084
"2021-07-08",170.289993,170.600006,167.990005,168.970001,927700,166.332809
"2021-07-09",170.949997,172.309998,169.910004,171.410004,852200,168.734726
"2021-07-12",169.960007,172.320007,169.259995,172.080002,565100,169.394272
"2021-07-13",171.850006,171.850006,169.490005,169.940002,664900,167.287689
"2021-07-14",170.029999,171.5,168.860001,170.089996,640100,167.435333
"2021-07-15",169.210007,171.809998,169.210007,171.479996,680600,168.80365
"2021-07-16",171.850006,171.850006,169.059998,170.199997,957500,167.54361
"2021-07-19",167.070007,168.139999,164.179993,165.75,1623400,163.163071
"2021-07-20",154.800003,159.130005,152.350006,158.490005,4015400,156.016388
"2021-07-21",158.979996,160.929993,157.100006,159.770004,2045500,157.276413
"2021-07-22",160.149994,160.979996,159.320007,160.5,1322400,157.99501
"2021-07-23",161.520004,163.399994,161.220001,162.919998,1156500,160.377228
"2021-07-26",164.220001,165.070007,162.910004,164.940002,1428200,162.365707
"2021-07-27",163.889999,165.679993,162.75,165.139999,1740600,162.562592
"2021-07-28",165.240005,165.800003,162.720001,163.350006,1702800,160.800537
"2021-07-29",164.309998,164.589996,162.25,162.860001,1455600,160.318176
"2021-07-30",163.080002,165.059998,162.389999,163.520004,1297200,160.967896
"2021-08-02",164.800003,166.850006,163,163.300003,849500,160.751297
