"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"2021-01-05",137.990005,138.919998,136.270004,138.699997,6856400,132.956482
"2021-01-06",138.770004,141.039993,138.600006,140.160004,10578000,134.356049
"2021-01-07",139.75,140.130005,138.039993,138.850006,7355400,133.100281
"2021-01-08",138.470001,139.059998,137,138.789993,7448500,133.04277
"2021-01-11",138.75,139.440002,137.600006,137.850006,7239900,132.141678
"2021-01-12",137.850006,138.25,136.240005,137.050003,6333500,131.374817
"2021-01-13",137.100006,138.070007,137.100006,137.259995,6078800,131.576126
"2021-01-14",137.429993,137.649994,135.279999,135.800003,6172800,130.176575
"2021-01-15",135.25,136.199997,134.660004,134.779999,7757600,129.198822
"2021-01-19",135.699997,136.360001,133.559998,133.600006,9184900,128.067688
"2021-01-20",132.529999,133.800003,131.259995,131.929993,12506600,126.466827
"2021-01-21",130.649994,131.990005,130.509995,131.009995,8761600,126.342422
"2021-01-22",131.020004,131.470001,129.990005,130,7202800,125.368416
"2021-01-25",129.949997,133,129.899994,132.240005,9640000,127.528618
"2021-01-26",132.25,133.470001,131.429993,133.089996,5996700,128.348343
"2021-01-27",132.389999,133.100006,127.699997,128.380005,10826700,123.806137
"2021-01-28",127.839996,131.649994,127.440002,130.360001,8242000,125.715599
"2021-01-29",130.190002,130.289993,128.070007,128.210007,8344100,123.642197
"2021-02-01",129,129.660004,128.199997,128.970001,6534200,124.375122
"2021-02-02",129.600006,130.720001,128.690002,128.789993,6825600,124.201523
"2021-02-03",128.949997,129.199997,127.75,128.949997,7309400,124.355812
"2021-02-04",129.380005,129.460007,128.580002,129.029999,6613700,124.432976
"2021-02-05",129.119995,130.100006,129.029999,129.570007,5063700,124.953743
"2021-02-08",129.929993,130.100006,128.110001,129.169998,7011200,124.567993
"2021-02-09",129.460007,129.940002,128.229996,128.669998,5917800,124.085808
"2021-02-10",128.75,129.160004,127.959999,128.220001,8594100,123.65184
"2021-02-11",128.539993,129.330002,128.210007,128.330002,6139200,123.757919
"2021-02-12",128,128.130005,126.580002,127.620003,8407300,123.073219
"2021-02-16",127.970001,128.169998,126.989998,127.919998,8246000,123.362526
"2021-02-17",127.190002,129.490005,127.110001,128.460007,8845200,123.883293
"2021-02-18",127.809998,129.850006,127.589996,129.529999,6936400,124.915169
"2021-02-19",129.350006,129.440002,127.019997,127.120003,8277900,122.591026
"2021-02-22",126.790001,127.239998,126.379997,126.580002,6975500,122.070259
"2021-02-23",127.779999,129.929993,127.190002,127.519997,10145300,122.976768
"2021-02-24",127.349998,128.240005,126.910004,127.660004,7263000,123.111786
"2021-02-25",127.489998,128.990005,126.290001,126.580002,7790800,122.070259
"2021-02-26",126.540001,126.93,121.82,123.529999,17718800,119.128929
"2021-03-01",124.160004,125.489998,124,124.290001,7740200,119.861855
"2021-03-02",123.870003,124.860001,123.43,123.900002,10206500,119.485741
"2021-03-03",123.769997,124.199997,122.790001,123.160004,7537000,118.77211
"2021-03-04",123.099998,124.769997,121.540001,122.150002,10228100,117.798096
"2021-03-05",122.760002,126.330002,122.550003,125.980003,10490900,121.491646
"2021-03-08",125.760002,128.899994,125.32,127.309998,9224700,122.774246
"2021-03-09",127.650002,128.919998,126.059998,126.18,8859700,121.684517
"2021-03-10",126.150002,128.419998,125.470001,127.339996,9070900,122.803192
"2021-03-11",127.129997,127.849998,126.720001,126.910004,6941500,122.388512
"2021-03-12",127.650002,128.820007,127.650002,128.139999,6521900,123.574684
"2021-03-15",128.389999,129.039993,127.190002,128.559998,7172600,123.979713
"2021-03-16",128.509995,129.979996,128.509995,128.940002,6485200,124.346184
"2021-03-17",129.110001,129.839996,128.350006,128.419998,6192900,123.844711
"2021-03-18",128.210007,129.039993,127.040001,128.699997,6871300,124.114738
"2021-03-19",129.100006,129.740005,127.900002,128.009995,20262100,123.44931
"2021-03-22",128.009995,130.889999,128.009995,130.179993,8077600,125.542
"2021-03-23",130.410004,133.289993,129.990005,132.600006,9503800,127.875801
"2021-03-24",130.940002,133.139999,130.619995,132.559998,8318000,127.837196
"2021-03-25",133.089996,133.619995,132.050003,133.479996,7517300,128.724457
"2021-03-26",133.220001,135.610001,132.479996,135.449997,10821200,130.624237
"2021-03-29",135,137.600006,135,137.570007,11176000,132.668716
"2021-03-30",136.610001,137,135.139999,135.449997,8090600,130.624237
"2021-03-31",135.679993,136.75,135.259995,135.429993,9202600,130.60495
"2021-04-01",135.050003,135.479996,133.330002,134.279999,9117800,129.495926
"2021-04-05",134.960007,137.25,134.729996,136.449997,8279100,131.588608
"2021-04-06",136,137.020004,135.639999,136.5,6180600,131.636856
"2021-04-07",137.119995,137.330002,136.25,136.740005,10244500,131.868317
"2021-04-08",136.899994,137.630005,136.589996,137.259995,6190300,132.369766
"2021-04-09",136.509995,137.270004,135.559998,136.369995,5855400,131.511459
"2021-04-12",136.5,137.039993,135.710007,136.919998,6440900,132.04187
"2021-04-13",136.020004,136.389999,134.839996,135.110001,9161200,130.296371
"2021-04-14",135.520004,135.789993,134.580002,135.600006,7584000,130.768906
"2021-04-15",135.970001,137.759995,135.869995,137.240005,7945300,132.350479
"2021-04-16",137.610001,137.899994,136.880005,137.25,7708500,132.360138
"2021-04-19",136.940002,137.080002,135.389999,136.610001,9149400,131.74292
"2021-04-20",134.839996,138.589996,133.529999,137.75,10040500,132.842316
"2021-04-21",137.889999,138.570007,136.600006,136.850006,8465900,131.974365
"2021-04-22",135.369995,135.789993,134.059998,134.630005,7338300,130.664139
"2021-04-23",134.929993,135.080002,133.25,133.940002,6708300,129.994476
"2021-04-26",133.490005,133.759995,131.169998,131.259995,9910600,127.393394
"2021-04-27",131.240005,131.889999,130.289993,131.179993,8296800,127.31575
"2021-04-28",131.710007,131.850006,130.880005,131.399994,6262800,127.529274
"2021-04-29",131.309998,132.990005,131.309998,132.509995,6786800,128.606583
"2021-04-30",132.75,133.669998,132.259995,133.419998,9188600,129.489792
"2021-05-03",134.029999,135.679993,134.029999,135,8070300,131.023239
"2021-05-04",134.979996,135.830002,134.210007,134.539993,9624000,130.576782
"2021-05-05",134.369995,134.970001,133.369995,133.460007,8295900,129.52861
"2021-05-06",134.009995,135.369995,133.919998,135.139999,9771100,131.159103
"2021-05-07",135.080002,136.029999,134.759995,135.149994,6299100,131.168808
"2021-05-10",135.889999,138.419998,135.690002,137.669998,8852700,133.614578
"2021-05-11",138.490005,138.789993,136.470001,136.990005,10973700,132.95462
"2021-05-12",136.490005,137,135.490005,135.539993,8853700,131.547318
"2021-05-13",135.889999,138.529999,135.389999,137.720001,8753600,133.663116
"2021-05-14",137.669998,139.100006,137.669998,138.009995,5989500,133.94458
