"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume","NTRS.Adjusted"
"2021-01-14",99.139999,99.860001,98.089996,99.690002,832100,95.99276
"2021-01-15",97.879997,98.730003,95.730003,96.440002,751800,92.863297
"2021-01-19",96.57,97.989998,95.529999,97.360001,900400,93.749168
"2021-01-20",96.970001,96.970001,94.239998,94.800003,1751700,91.284103
"2021-01-21",95.440002,96.400002,93.360001,94.220001,1676500,90.725632
"2021-01-22",95.099998,95.400002,92.349998,94.599998,1311700,91.091522
"2021-01-25",93.370003,95.330002,93.099998,94.279999,1248300,90.783394
"2021-01-26",95.129997,95.129997,93.559998,93.599998,826200,90.128601
"2021-01-27",91.970001,93.849998,89.919998,90.269997,1410100,86.922112
"2021-01-28",91.669998,92.470001,91.07,91.190002,1082900,87.807999
"2021-01-29",90.68,91.230003,88.199997,89.190002,995900,85.882179
"2021-02-01",90.260002,91.199997,89.629997,90.559998,751800,87.201347
"2021-02-02",91.349998,93.209999,91.150002,92.120003,755900,88.703506
"2021-02-03",91.639999,93.940002,91.360001,93.519997,820100,90.051575
"2021-02-04",94.059998,96.599998,93.330002,96.529999,843400,92.949944
"2021-02-05",97.040001,97.650002,95.949997,97.160004,646800,93.556595
"2021-02-08",97.25,98,96.889999,97.650002,770900,94.028412
"2021-02-09",97.599998,98.339996,96.190002,97.75,739800,94.124702
"2021-02-10",97.889999,98.589996,96.660004,96.800003,713700,93.209938
"2021-02-11",96.68,98.089996,95.910004,96.989998,575900,93.392883
"2021-02-12",96.830002,98.190002,96.830002,98.139999,669600,94.500229
"2021-02-16",98.959999,99.980003,98.639999,98.919998,933800,95.251312
"2021-02-17",98.519997,99.150002,97.169998,97.459999,976100,93.845467
"2021-02-18",96.849998,97.339996,95.269997,96.010002,610200,92.449234
"2021-02-19",96.040001,97.099998,95.510002,96.309998,1070800,92.738098
"2021-02-22",95.790001,98.099998,95.75,97.629997,1172100,94.009148
"2021-02-23",99.110001,99.279999,97.370003,97.550003,931900,93.932121
"2021-02-24",97.349998,100.449997,97.349998,100.269997,691100,96.551231
"2021-02-25",100.449997,101.879997,97.400002,97.760002,1011200,94.134338
"2021-02-26",96.980003,97.32,94.870003,95.129997,1109300,91.601868
"2021-03-01",97.440002,100.040001,96.809998,98.849998,781900,95.183899
