"","DAL.Open","DAL.High","DAL.Low","DAL.Close","DAL.Volume","DAL.Adjusted"
"2020-11-09",37.400002,38.689999,34.68,36.77,58086400,36.77
"2020-11-10",36.099998,37.169998,35.689999,37.040001,28449400,37.040001
"2020-11-11",36.639999,36.790001,34.73,35.02,20970400,35.02
"2020-11-12",34.09,35.549999,34.02,34.380001,21676300,34.380001
"2020-11-13",34.950001,36.669998,34.849998,36.459999,20832400,36.459999
"2020-11-16",38.43,38.650002,37.240002,38,25376600,38
"2020-11-17",37.400002,38.049999,36.66,37.599998,16952700,37.599998
"2020-11-18",38.09,39.299999,37.889999,37.91,21199200,37.91
"2020-11-19",37.59,38.130001,37.48,37.91,13981600,37.91
"2020-11-20",37.990002,38.09,36.970001,37.130001,12490500,37.130001
"2020-11-23",37.799999,38.849998,37.43,38.790001,14802900,38.790001
"2020-11-24",40.049999,41.290001,39.41,41.259998,23818000,41.259998
"2020-11-25",40.799999,41.490002,40.049999,41.290001,14588900,41.290001
"2020-11-27",41.790001,42.189999,40.779999,41.060001,10516600,41.060001
"2020-11-30",40.529999,41.049999,39.349998,40.25,16732600,40.25
"2020-12-01",40.790001,41.060001,39.919998,39.959999,13184200,39.959999
"2020-12-02",39.810001,41.279999,39.060001,41.07,12937300,41.07
"2020-12-03",41.700001,43.759998,41.560001,42.950001,24526800,42.950001
"2020-12-04",43.200001,43.490002,42.07,42.360001,18453400,42.360001
"2020-12-07",42.400002,42.830002,41.740002,42.349998,13169100,42.349998
"2020-12-08",41.950001,42.880001,41.77,42.41,11530300,42.41
"2020-12-09",43.049999,43.48,41.330002,42.110001,16348300,42.110001
"2020-12-10",41.16,42.75,41.07,42.619999,10680700,42.619999
"2020-12-11",42.009998,42.43,41.139999,41.740002,12223100,41.740002
"2020-12-14",42.25,42.380001,40.669998,40.689999,12445200,40.689999
"2020-12-15",41.200001,41.93,40.16,41.849998,11433200,41.849998
"2020-12-16",41.75,41.810001,40.66,41.080002,11010600,41.080002
"2020-12-17",41.299999,41.419998,40.610001,41.110001,9656700,41.110001
"2020-12-18",40.880001,41.029999,40.279999,40.68,14312400,40.68
"2020-12-21",39.560001,40.349998,39.16,40.139999,16976800,40.139999
"2020-12-22",40.43,40.490002,38.84,38.939999,13461200,38.939999
"2020-12-23",39.299999,40.470001,39.18,40.240002,12659700,40.240002
"2020-12-24",40.419998,40.439999,39.599998,39.73,5176400,39.73
"2020-12-28",40.27,40.779999,40.009998,40.150002,10654400,40.150002
"2020-12-29",40.84,40.84,39.900002,40.029999,8142800,40.029999
"2020-12-30",40,40.91,39.889999,40.560001,8504600,40.560001
"2020-12-31",40.299999,40.740002,39.759998,40.209999,8705700,40.209999
"2021-01-04",40.169998,40.34,38.330002,38.73,15123400,38.73
"2021-01-05",38.490002,40.09,38.450001,39.549999,12317200,39.549999
"2021-01-06",39.639999,40.900002,39.540001,40.380001,12881100,40.380001
"2021-01-07",40.450001,40.950001,40.209999,40.23,9136300,40.23
