"","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume","EA.Adjusted"
"2020-11-25",120.809998,123.559998,120.599998,121.510002,2850900,120.4217
"2020-11-27",123.580002,125,122.410004,124.169998,2489400,123.057892
"2020-11-30",124.769997,128.399994,123.269997,127.75,10085200,126.60582
"2020-12-01",127.580002,128,125.660004,127.239998,2826200,126.268402
"2020-12-02",127.029999,129.75,126.480003,129.539993,1905700,128.550842
"2020-12-03",130.5,130.869995,128.179993,128.380005,2352200,127.399712
"2020-12-04",126.419998,129.149994,126.25,128.690002,2743100,127.707344
"2020-12-07",129.190002,130.979996,128.880005,130.839996,2671200,129.840927
"2020-12-08",130.429993,132.539993,129.720001,132.149994,2835800,131.140915
"2020-12-09",131.559998,133.630005,130.839996,133.169998,4229400,132.153137
"2020-12-10",131.660004,135.369995,131.25,134.679993,2903800,133.651596
"2020-12-11",134.779999,137.110001,134.630005,135.800003,3195700,134.763031
"2020-12-14",138.5,138.589996,136.600006,137.539993,3356900,136.489761
"2020-12-15",137.809998,140.800003,137.110001,140.660004,3394600,139.585938
"2020-12-16",139.5,143.449997,139.330002,141.600006,4029200,140.518753
"2020-12-17",141.949997,142.5,138.320007,139.850006,3625700,138.78212
"2020-12-18",140.660004,142.970001,139.580002,142.610001,4874000,141.521072
"2020-12-21",141.630005,142.369995,138.970001,141.009995,2631100,139.933273
"2020-12-22",141.240005,141.720001,138.690002,139.429993,2102900,138.365341
"2020-12-23",139.520004,142.389999,138.630005,141.509995,1762400,140.429428
"2020-12-24",141.320007,142.199997,140.779999,141.809998,688100,140.727173
"2020-12-28",142.330002,142.550003,138.779999,140.720001,1756100,139.645462
"2020-12-29",141,142.130005,140.279999,140.699997,1188400,139.625626
"2020-12-30",141.389999,142.630005,140.889999,142.050003,1684500,140.965317
"2020-12-31",141.910004,143.860001,141.910004,143.600006,1689900,142.50351
"2021-01-04",143.440002,143.649994,138.160004,139.509995,3587000,138.444717
"2021-01-05",140.229996,141.399994,138.490005,141.320007,2117800,140.240921
"2021-01-06",138.520004,140.199997,136.389999,136.800003,2398500,135.755417
"2021-01-07",137.330002,140.869995,137,140.740005,2936200,139.665344
"2021-01-08",140.860001,142,139.929993,141.860001,1902700,140.776779
"2021-01-11",141.520004,141.720001,139.309998,141.220001,2589800,140.141678
"2021-01-12",141.089996,141.800003,137.300003,139.059998,2166700,137.998154
"2021-01-13",138.570007,138.949997,134.630005,136.339996,3696500,135.29892
"2021-01-14",136.830002,139.380005,136.130005,138.940002,3511800,137.879074
"2021-01-15",139.259995,140.660004,137.910004,139,2443700,137.938614
"2021-01-19",139.410004,143,138,141.429993,2693300,140.350037
"2021-01-20",142.429993,145.919998,141.789993,145.600006,3288400,144.48822
"2021-01-21",145.610001,147.279999,144.740005,145.970001,3014000,144.855392
"2021-01-22",144.979996,146.479996,144.509995,146,3369200,144.885147
"2021-01-25",148.809998,150.300003,145.380005,146.300003,3728600,145.182877
"2021-01-26",146.360001,146.960007,145.190002,146.300003,3660300,145.182877
"2021-01-27",145.830002,148.929993,144.539993,146.229996,4368100,145.113403
"2021-01-28",146.199997,146.630005,142.899994,143.009995,3276700,141.917999
"2021-01-29",141,144.570007,140.470001,143.199997,3665400,142.106552
"2021-02-01",143.789993,147.289993,143.529999,145.869995,4123100,144.756149
"2021-02-02",146.149994,150.300003,146.149994,148.970001,4185700,147.832474
"2021-02-03",144.360001,144.610001,138.039993,140.820007,6695600,139.74472
"2021-02-04",140.559998,142.149994,137.759995,138.630005,3930200,137.571442
"2021-02-05",139.910004,142.470001,139.300003,141.220001,3899200,140.141678
"2021-02-08",142,142.490005,139.339996,142.460007,2538400,141.372192
"2021-02-09",142.570007,148.229996,142.429993,146.110001,4517900,144.994324
"2021-02-10",146.949997,147.410004,144.119995,144.610001,2827100,143.505768
"2021-02-11",145.330002,147.940002,144.610001,147.330002,2592700,146.205017
"2021-02-12",146.820007,147.839996,145.039993,147.740005,1666100,146.611877
"2021-02-16",146.850006,147.910004,144.619995,145.779999,2526400,144.66684
"2021-02-17",145.070007,146.029999,143.369995,145.830002,1653900,144.716446
"2021-02-18",146.050003,148.410004,144.179993,147.410004,2087500,146.284393
"2021-02-19",147.679993,148.979996,145.440002,145.949997,2144000,144.835541
"2021-02-22",144.660004,145.399994,142,142.259995,1833100,141.173706
"2021-02-23",140.229996,141.970001,136.190002,141.169998,2787000,140.092026
"2021-02-24",138.300003,139.619995,136.929993,137.679993,3735500,136.628693
"2021-02-25",137.25,138.960007,134.100006,135.240005,3042600,134.207352
"2021-02-26",135.710007,137.830002,133.910004,133.970001,3646600,132.947021
