"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume","DVN.Adjusted"
"2022-01-26",52,53.220001,50.700001,51.790001,16714600,50.104031
"2022-01-27",53.150002,54.259998,50.599998,51.740002,13642000,50.055664
"2022-01-28",52.540001,52.740002,50.299999,51.549999,9723700,49.871845
"2022-01-31",51.43,51.509998,49.639999,50.57,11896500,48.923744
"2022-02-01",50.279999,53.25,49.529999,52.560001,11710100,50.848969
"2022-02-02",52.119999,53.43,51.419998,53.240002,9387500,51.506832
"2022-02-03",52.919998,53.490002,51.580002,53.009998,9253200,51.284313
"2022-02-04",53.849998,55.439999,52.68,52.869999,12759300,51.148872
"2022-02-07",52.740002,53.810001,51.470001,52.59,10298200,50.877991
"2022-02-08",52.400002,52.59,50.549999,51.189999,9751900,49.523563
"2022-02-09",51.509998,52.849998,51.23,52.119999,7304600,50.423286
"2022-02-10",51.73,53.950001,51.73,52.220001,9753200,50.520035
"2022-02-11",52.639999,54.150002,52.139999,54.110001,11954900,52.348507
"2022-02-14",53.830002,53.860001,51.52,52.259998,11934400,50.558731
"2022-02-15",50.889999,51.790001,50.049999,51.419998,11265500,49.746075
"2022-02-16",52.220001,55.700001,52.07,53.849998,20745200,52.09697
"2022-02-17",54.310001,56.419998,54.049999,55.25,17642700,53.451397
"2022-02-18",54.25,55.209999,53.669998,54.779999,11707600,52.996696
"2022-02-22",58.029999,58.029999,51.25,52.669998,23309400,50.955383
"2022-02-23",53.360001,54.779999,52.889999,53.549999,12372100,51.806736
"2022-02-24",53.700001,54.099998,51.209999,52.75,21102500,51.03278
"2022-02-25",53.34,55.220001,52.779999,55.200001,12605600,53.403023
"2022-02-28",55.25,59.66,54.849998,59.549999,22585000,57.611412
"2022-03-01",60,60.740002,57.73,59.25,19146500,57.321178
"2022-03-02",60.060001,60.419998,58.110001,58.650002,17556100,56.740715
"2022-03-03",57.950001,59.330002,57.130001,58.849998,11719000,56.9342
"2022-03-04",59.060001,59.939999,56.799999,59.57,18185300,57.630764
"2022-03-07",60.5,62.790001,58.279999,59.889999,21979600,57.940346
"2022-03-08",61.299999,63.099998,56.040001,59.48,24167800,57.54369
"2022-03-09",57.799999,59.639999,56.009998,58.939999,17694700,57.021267
"2022-03-10",59.639999,60.880001,58.68,60.57,18048600,58.598209
"2022-03-11",58.279999,59.810001,58.200001,58.639999,10834400,57.68338
"2022-03-14",56.509998,56.93,52.099998,52.689999,21911600,51.830444
"2022-03-15",50.48,53.880001,50.200001,53.009998,17372900,52.145222
"2022-03-16",53.060001,54.48,51.560001,52.459999,13099700,51.604195
"2022-03-17",54.259998,57.900002,53.869999,57.52,14621200,56.581654
"2022-03-18",57.599998,58.630001,57.400002,58.27,19656000,57.319416
"2022-03-21",59.98,62.220001,59.509998,61.439999,17038100,60.437702
"2022-03-22",61,61.740002,59.720001,60.630001,9708300,59.640919
"2022-03-23",62.43,63.259998,60.950001,61.669998,11290700,60.663948
"2022-03-24",61.5,61.93,60.799999,61.540001,7501500,60.536072
"2022-03-25",61,62.880001,60.889999,62.5,8547300,61.480412
"2022-03-28",60.810001,61.040001,59.400002,60.450001,8959600,59.463852
"2022-03-29",58.549999,60.560001,57.66,60.509998,10398500,59.522873
"2022-03-30",61.200001,61.720001,60.139999,60.560001,7610600,59.57206
"2022-03-31",60.080002,61.529999,59.119999,59.130001,11344400,58.165386
"2022-04-01",59.369999,60.82,59.369999,60.349998,6292500,59.365482
"2022-04-04",61.330002,62.110001,59.720001,60.849998,8381600,59.857327
"2022-04-05",61.049999,61.619999,58.130001,58.470001,8667400,57.516155
"2022-04-06",59.299999,59.57,57.41,58.34,9136000,57.388275
"2022-04-07",58.990002,60.41,58.240002,60.23,7952600,59.24744
"2022-04-08",60.34,62.540001,60.209999,62.369999,10115100,61.352531
"2022-04-11",61.549999,61.599998,59.849998,60.029999,9011300,59.050705
"2022-04-12",61.450001,63.419998,61.439999,62.259998,9418900,61.244324
"2022-04-13",63.5,64.290001,62.279999,63.75,9955700,62.710018
"2022-04-14",63.259998,64.050003,62.529999,62.560001,8616800,61.539433
"2022-04-18",63.240002,64.239998,62.650002,63.540001,9422300,62.503445
"2022-04-19",63.240002,64.43,62.599998,63,8156000,61.972252
"2022-04-20",63.73,64.980003,63.529999,64.610001,7121200,63.555988
"2022-04-21",65,65.449997,60.860001,61.150002,10699200,60.152435
"2022-04-22",60.869999,61.68,57.689999,58.07,9734600,57.122677
"2022-04-25",55.990002,56.450001,53.119999,56.18,13608400,55.263512
"2022-04-26",56.950001,58.490002,56.139999,56.400002,9636500,55.479923
"2022-04-27",56.830002,58.880001,55.639999,58.07,8168000,57.122677
"2022-04-28",58.290001,60.52,56.490002,59.889999,7940000,58.912987
"2022-04-29",60.110001,60.790001,57.82,58.169998,7834600,57.221046
"2022-05-02",57.450001,58.630001,56.439999,58.349998,11320300,57.398109
"2022-05-03",60.900002,64.470001,59.369999,64.279999,22056300,63.231373
"2022-05-04",65.480003,67.910004,63.959999,67.739998,15072000,66.634926
"2022-05-05",68.739998,68.870003,65.099998,67.150002,13010400,66.054558
"2022-05-06",68.610001,69.75,66.040001,69.690002,14629700,68.553116
"2022-05-09",67.339996,67.599998,61.900002,62.02,18682400,61.00824
"2022-05-10",63.509998,65.580002,61.52,63.759998,12783500,62.719852
"2022-05-11",65.419998,68.269997,64.419998,64.68,12610000,63.624847
"2022-05-12",64.349998,65.43,62.52,64.610001,10767100,63.555988
"2022-05-13",66,69.330002,65.959999,68.699997,13287700,67.579262
"2022-05-16",68.900002,71.620003,68.800003,70.989998,12633200,69.831909
"2022-05-17",72.5,72.830002,71.519997,72.580002,10782300,71.395973
"2022-05-18",73,73.18,68.800003,69.919998,13801800,68.779366
"2022-05-19",67.82,71.370003,67.5,69.510002,10460700,68.376053
"2022-05-20",70.510002,72.269997,68.129997,69.919998,12971600,68.779366
"2022-05-23",70.849998,71.559998,69.839996,71.059998,9610300,69.900764
"2022-05-24",70.330002,71.32,69.050003,70.389999,7960600,69.241699
"2022-05-25",70.220001,72.190002,70,71.940002,8740500,70.766411
"2022-05-26",72.5,75.440002,72.309998,73.809998,12960200,72.605904
"2022-05-27",73.589996,75.830002,73.110001,75.800003,9335500,74.563446
"2022-05-31",78.480003,79.190002,74.470001,74.900002,22040700,73.678123
"2022-06-01",76.360001,77.599998,75.019997,76.480003,9911800,75.232353
"2022-06-02",75.410004,77.199997,74.839996,76.309998,7514300,75.065117
"2022-06-03",76.5,77.349998,76.080002,77.019997,7106800,75.763535
"2022-06-06",77.900002,78.169998,76.059998,77.050003,7709800,75.793053
"2022-06-07",76.739998,78.209999,76.260002,78.040001,10469500,76.766899
"2022-06-08",78.599998,78.699997,77.120003,77.93,9974100,76.658691
"2022-06-09",78.050003,79.400002,77.279999,77.849998,13712200,76.579994
"2022-06-10",75.790001,76.230003,72.480003,74.059998,14759700,74.059998
"2022-06-13",70.269997,71.480003,67.209999,69.239998,15218700,69.239998
"2022-06-14",71.510002,72.440002,69.129997,70.589996,11041500,70.589996
"2022-06-15",70.589996,71.209999,67.529999,68.459999,11457200,68.459999
"2022-06-16",66.169998,66.919998,62.599998,63.27,17448400,63.27
"2022-06-17",62.689999,62.98,56.549999,58.02,32304400,58.02
"2022-06-21",59.650002,61.209999,59.139999,60.560001,14929500,60.560001
"2022-06-22",56.32,58.529999,55.66,57.549999,13909100,57.549999
"2022-06-23",58.259998,58.43,53.48,54.740002,18060800,54.740002
"2022-06-24",55.91,56.509998,53.490002,53.77,34714100,53.77
"2022-06-27",54.450001,58.450001,54.450001,57.790001,17746100,57.790001
"2022-06-28",59.18,60.490002,58.049999,59.459999,18542000,59.459999
"2022-06-29",60.490002,60.990002,55.619999,55.82,12722000,55.82
