"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume","DVN.Adjusted"
"2020-10-07",9.8,9.95,9.59,9.87,9363500,8.9284
"2020-10-08",9.97,10.33,9.84,10.32,8722000,9.335469
"2020-10-09",10.41,10.46,10,10.07,8986300,9.10932
"2020-10-12",10,10.03,9.76,9.86,6470900,8.919353
"2020-10-13",9.8,9.97,9.48,9.5,8267600,8.593699
"2020-10-14",9.57,9.87,9.3,9.32,11721100,8.43087
"2020-10-15",9.12,9.44,8.93,9.42,10028800,8.521331
"2020-10-16",9.38,9.47,8.94,8.95,9136600,8.096169
"2020-10-19",9.05,9.09,8.77,8.86,8942500,8.014754
"2020-10-20",8.92,9.12,8.73,8.97,10046500,8.114262
"2020-10-21",8.88,9,8.62,8.63,13997300,7.806697
"2020-10-22",8.64,9.38,8.64,9.34,10617000,8.448961
"2020-10-23",9.41,9.56,9.21,9.36,8760000,8.467054
"2020-10-26",9.12,9.18,8.68,8.81,9174100,7.969525
"2020-10-27",8.72,8.85,8.6,8.69,8523700,7.860972
"2020-10-28",8.39,8.45,8.01,8.1,10995600,7.327259
"2020-10-29",7.89,8.46,7.73,8.45,12843600,7.643868
"2020-10-30",8.44,8.93,8.34,8.93,15694900,8.078076
"2020-11-02",9.07,9.58,8.67,9.43,9494800,8.530377
"2020-11-03",9.69,9.9,9.44,9.64,9360000,8.720343
"2020-11-04",9.71,10.02,9.3,9.81,16190000,8.874125
"2020-11-05",9.75,10.35,9.66,10.05,14737800,9.091228
"2020-11-06",9.95,10.28,9.73,9.77,13372700,8.837941
"2020-11-09",10.83,11.88,10.83,11.33,17784200,10.249116
"2020-11-10",11.55,11.78,11.2,11.76,12157100,10.638094
"2020-11-11",11.94,11.95,11.57,11.66,9466900,10.547634
"2020-11-12",11.4,11.82,11.06,11.22,7156200,10.149611
"2020-11-13",11.34,11.83,11.29,11.78,6255500,10.656185
"2020-11-16",12.53,12.58,12.21,12.53,9010500,11.334636
"2020-11-17",12.4,13.11,12.27,13.11,10544300,11.859303
"2020-11-18",13.22,13.64,12.75,12.76,13030700,11.542694
"2020-11-19",12.76,13.59,12.66,13.56,13796600,12.266374
"2020-11-20",13.5,13.57,13.04,13.16,9144000,11.904533
"2020-11-23",13.49,14.53,13.43,14.48,13055800,13.098605
"2020-11-24",15.04,15.44,14.8,15.3,15283200,13.840378
"2020-11-25",15.08,15.33,14.85,15.12,8835500,13.677549
"2020-11-27",14.98,15.23,14.66,14.78,4805800,13.369986
