"","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"2020-11-16",165.270004,166.729996,162.669998,163.259995,488400,156.544693
"2020-11-17",162.009995,165.270004,161.559998,162.820007,311900,156.122803
"2020-11-18",164.740005,165.080002,163,163.020004,258200,156.31456
"2020-11-19",162.259995,163.399994,160.690002,162.210007,275300,155.537888
"2020-11-20",162.199997,162.919998,157.710007,158.740005,530000,152.210602
"2020-11-23",160.100006,165.259995,160,165.110001,423800,158.318588
"2020-11-24",166.820007,172.539993,166.820007,170.869995,391500,163.84166
"2020-11-25",169.130005,169.5,165.130005,165.529999,284600,159.787354
"2020-11-27",165.630005,165.630005,163.399994,164.529999,139500,158.822052
"2020-11-30",163.199997,164.380005,159,160.190002,613000,154.632629
"2020-12-01",162.949997,166.550003,162.339996,164.419998,373600,158.715881
"2020-12-02",162.690002,164.910004,160.300003,163.169998,359300,157.509247
"2020-12-03",164.039993,166.089996,163.139999,163.729996,314500,158.04982
"2020-12-04",164.119995,169.619995,163.559998,167.690002,284600,161.872452
"2020-12-07",167.399994,170.380005,165.110001,170.039993,461100,164.1409
"2020-12-08",169.240005,172.740005,169.240005,171.589996,420000,165.637146
"2020-12-09",172.839996,174.929993,172.399994,173.440002,458000,167.422974
"2020-12-10",171.539993,176.270004,171.539993,174.460007,479700,168.407578
"2020-12-11",173.970001,179.279999,173.970001,177.699997,446800,171.535156
"2020-12-14",179,179.899994,174.059998,174.979996,412400,168.909515
"2020-12-15",175.399994,177.270004,173.779999,176.070007,311600,169.961746
"2020-12-16",176.449997,177.139999,173.119995,174.619995,310400,168.562012
"2020-12-17",174.630005,174.910004,170.399994,170.470001,414700,164.556
"2020-12-18",170.559998,172.509995,168.5,169.619995,977100,163.735474
"2020-12-21",166.869995,168.089996,163.440002,165.270004,420700,159.536407
"2020-12-22",164.990005,165.869995,163.029999,163.630005,298700,157.953293
"2020-12-23",164.559998,167.179993,163.979996,166.550003,177200,160.771988
"2020-12-24",166.600006,166.600006,163.880005,165.399994,94700,159.66188
"2020-12-28",166.369995,169.169998,166.039993,166.889999,178800,161.100189
"2020-12-29",167.960007,168.020004,164.809998,166.580002,252800,160.800949
"2020-12-30",166.610001,169.399994,166.369995,168.539993,198800,162.692963
"2020-12-31",168.039993,171.080002,167.550003,170.479996,286700,164.565643
