"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume","PNW.Adjusted"
"2021-05-14",85.5,86.540001,85.5,86.059998,456200,81.222214
"2021-05-17",86.059998,86.809998,85.290001,85.440002,713600,80.637077
"2021-05-18",85,85.919998,84.82,85.540001,1441100,80.731445
"2021-05-19",85.220001,85.449997,84.290001,85.43,620900,80.627632
"2021-05-20",85.550003,86.739998,85.300003,85.370003,777800,80.571014
"2021-05-21",85.510002,86.150002,85.160004,85.980003,1925700,81.146713
"2021-05-24",86.300003,86.589996,85.610001,86.489998,577500,81.628052
"2021-05-25",86.68,86.959999,85.629997,86.080002,1004400,81.241104
"2021-05-26",86.010002,86.459999,85.5,86.410004,697600,81.552544
"2021-05-27",86.760002,86.760002,83.940002,84.220001,1725000,79.485657
"2021-05-28",84.589996,85.230003,84.279999,84.580002,755600,79.825424
"2021-06-01",84.690002,84.980003,84.139999,84.449997,634700,79.702721
"2021-06-02",84.709999,85.720001,84.120003,85.639999,657700,80.825829
"2021-06-03",85.209999,87.099998,85.059998,86.970001,618500,82.08107
"2021-06-04",87.129997,87.269997,86.75,87.029999,526100,82.137688
"2021-06-07",87.199997,87.5,86.75,86.989998,374100,82.099937
"2021-06-08",87.089996,87.120003,86.32,86.860001,543300,81.977249
"2021-06-09",87.239998,87.540001,86.769997,87.160004,701900,82.260376
"2021-06-10",87.599998,88.339996,87.209999,88.120003,417300,83.166412
"2021-06-11",87.889999,88.32,87.43,87.68,624400,82.751144
"2021-06-14",87.730003,88.260002,87.290001,88.080002,556200,83.128677
"2021-06-15",88.339996,88.339996,87.220001,87.879997,837100,82.939903
"2021-06-16",88.050003,88.110001,85.910004,85.989998,1058500,81.156151
"2021-06-17",85.629997,86.160004,84.459999,84.589996,1958600,79.834846
"2021-06-18",83.900002,84.050003,80.68,81.050003,2583700,76.493851
"2021-06-21",81.489998,83.269997,81.489998,82.629997,1293600,77.985031
"2021-06-22",82.650002,83.510002,82.260002,82.260002,1436300,77.635826
"2021-06-23",82.209999,82.290001,81.120003,81.139999,1076100,76.578789
"2021-06-24",81.209999,81.699997,80.620003,81.510002,575300,76.927994
"2021-06-25",81.419998,82.730003,81.419998,82.629997,642400,77.985031
"2021-06-28",82.800003,83.370003,82.440002,82.730003,478700,78.079422
"2021-06-29",82.650002,83.199997,81.190002,81.410004,637900,76.833611
"2021-06-30",81.410004,82.169998,81.25,81.970001,568300,77.362137
"2021-07-01",82.050003,83.510002,81.800003,83.080002,750500,78.409737
"2021-07-02",83.160004,83.160004,82.449997,82.900002,442600,78.239853
"2021-07-06",82.599998,83.540001,81.559998,83.470001,498600,78.777809
"2021-07-07",83.529999,83.830002,82.980003,83.559998,441900,78.862747
"2021-07-08",83.220001,83.949997,82.82,83.059998,585700,78.390854
"2021-07-09",83.379997,83.970001,82.93,83.650002,560700,78.947701
"2021-07-12",83.190002,84,82.849998,83.779999,390700,79.070381
"2021-07-13",83.809998,84,82.779999,83.099998,348500,78.428619
"2021-07-14",82.940002,84.449997,82.860001,84.139999,662600,79.410149
