"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2020-10-08",222.660004,222.869995,219.940002,220.710007,2150700,219.436295
"2020-10-09",221.600006,226.169998,221.169998,226.059998,1619100,224.755386
"2020-10-12",226.779999,227.479996,225.110001,225.75,1889000,224.447174
"2020-10-13",224.419998,225.960007,224.380005,225.619995,1644900,224.317932
"2020-10-14",225.850006,227.199997,224.210007,226.550003,1790100,225.242554
"2020-10-15",223.050003,225.789993,220.679993,225.419998,1724600,224.119095
"2020-10-16",226.389999,229.449997,226,227.449997,2635100,226.13736
"2020-10-19",228.25,228.710007,222.25,223.830002,2283500,222.538269
"2020-10-20",224.009995,229,223.559998,227.029999,2326500,225.719788
"2020-10-21",228.759995,229.75,226.210007,226.550003,3762100,225.242554
"2020-10-22",226.779999,235.600006,225.779999,233.979996,2743200,232.629684
"2020-10-23",235.190002,236.550003,231.330002,232.660004,2269000,231.317307
"2020-10-26",231.419998,235.119995,231.210007,234.910004,2384200,233.554321
"2020-10-27",235.830002,240.509995,235.830002,239.779999,3268900,238.39621
"2020-10-28",237,238.669998,231.130005,232.100006,2844700,230.760529
"2020-10-29",232.279999,233.399994,228.330002,230.070007,2209100,228.742249
"2020-10-30",229,230.860001,225.399994,229.539993,2598300,228.215332
"2020-11-02",232.380005,235.229996,229.839996,232.440002,2510300,231.098602
"2020-11-03",235.119995,236.679993,232.839996,234.759995,1659300,233.405182
"2020-11-04",239.460007,245.490005,238.600006,240.520004,3032700,239.131927
"2020-11-05",247.039993,247.039993,239.740005,240.339996,3389300,238.952972
"2020-11-06",242.479996,247.75,239.770004,245.460007,2343300,244.043442
"2020-11-09",245.699997,248.320007,233.460007,233.779999,3883800,232.430832
"2020-11-10",233.169998,234.25,224.809998,225.880005,6233200,224.576431
"2020-11-11",227.970001,234.889999,226.139999,233.139999,3898000,231.794525
"2020-11-12",233.009995,235.490005,231.550003,232.990005,2316000,231.645386
"2020-11-13",235,236.279999,233.899994,234.679993,2486000,233.325638
"2020-11-16",236.339996,236.339996,228.820007,229.649994,2150800,228.324677
"2020-11-17",228.630005,232.070007,227.770004,229.350006,2400100,228.026398
"2020-11-18",229.729996,230.369995,223.119995,224.699997,2873800,223.403244
"2020-11-19",224.130005,227.210007,221.220001,225.830002,2770500,224.526733
"2020-11-20",225.669998,227.539993,224.119995,225.759995,2353100,224.457123
"2020-11-23",227,227.809998,218.770004,221.080002,2794900,219.804138
"2020-11-24",222.350006,222.399994,216.710007,218.259995,3940900,217.000397
"2020-11-25",214.639999,217.380005,212.419998,217.220001,3205900,215.966415
"2020-11-27",218.199997,218.550003,215.009995,216.779999,1407200,215.528946
"2020-11-30",219.509995,224.809998,219.009995,224.630005,3319500,223.333649
"2020-12-01",226.009995,228,223,225,3879600,223.701508
"2020-12-02",225.100006,226.020004,223.240005,224.800003,2126500,223.50264
"2020-12-03",224.619995,226.210007,222.449997,223.339996,3198000,222.051086
"2020-12-04",222.259995,224.690002,219.820007,224.429993,2521100,223.134796
"2020-12-07",225.410004,228,225.029999,226.149994,1845500,224.844849
"2020-12-08",225.300003,226.889999,223.25,223.5,2032300,222.210175
"2020-12-09",223.520004,224.309998,221.020004,222.839996,2500200,221.554001
"2020-12-10",223.009995,226.300003,221.940002,223.210007,3264500,221.92186
"2020-12-11",223.679993,226.050003,221.429993,223.75,1468400,222.458725
"2020-12-14",223.720001,225.610001,220.910004,221.100006,1925000,219.82402
"2020-12-15",221.869995,224.720001,220.830002,223.169998,2093000,221.88208
