"","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume","UHS.Adjusted"
"2020-11-27",133.759995,134.289993,131.339996,132.110001,309000,130.968735
"2020-11-30",131.990005,131.990005,129.070007,130.580002,1632400,129.45192
"2020-12-01",133.050003,134.330002,130.190002,130.839996,615900,129.709686
"2020-12-02",130.479996,132.699997,130.039993,132.009995,295700,130.869583
"2020-12-03",131.649994,132.880005,130.119995,132.399994,758700,131.256226
"2020-12-04",132.860001,135.729996,132.860001,135.179993,339300,134.012192
"2020-12-07",133.919998,134.839996,130.259995,131.020004,684300,129.888138
"2020-12-08",130.289993,133.589996,130.289993,132.669998,597200,131.523895
"2020-12-09",133.580002,134.210007,132.259995,133.910004,329000,132.753174
"2020-12-10",132.600006,135.970001,132.149994,135.369995,553500,134.200562
"2020-12-11",134.339996,135.160004,131.130005,132.350006,615000,131.206665
"2020-12-14",133.990005,137,131.779999,134.559998,791100,133.397568
"2020-12-15",136,137.449997,133.339996,135.669998,677600,134.497971
"2020-12-16",135.130005,138.729996,134.850006,137.630005,650400,136.44104
"2020-12-17",138.419998,140.240005,137.720001,139.729996,601000,138.522903
"2020-12-18",139.550003,140.190002,136.470001,137.289993,987400,136.103958
"2020-12-21",135.149994,136.399994,132.880005,135.809998,475700,134.636765
"2020-12-22",136.389999,137.240005,134.690002,135.800003,298100,134.626862
"2020-12-23",137,138.169998,136.639999,137.059998,257800,135.875946
"2020-12-24",137.559998,137.600006,135.330002,136.929993,98600,135.747086
"2020-12-28",137.860001,138.490005,136.080002,136.529999,279700,135.350555
"2020-12-29",136.839996,137.300003,135.229996,136.179993,288300,135.003555
"2020-12-30",136.270004,137.5,135.160004,136.130005,287500,134.953979
"2020-12-31",136.550003,137.919998,135.179993,137.5,225000,136.312149
"2021-01-04",137.800003,138.470001,133.119995,135.279999,487300,134.111328
"2021-01-05",133.100006,138.089996,131.850006,136.100006,514800,134.92424
"2021-01-06",138.130005,143.210007,138.130005,141.710007,634800,140.485794
"2021-01-07",142.539993,143.839996,140.970001,142.460007,527200,141.229324
"2021-01-08",142.770004,143.539993,140.160004,141.139999,510700,139.920731
"2021-01-11",138,140.570007,131.699997,135.119995,1260600,133.952713
"2021-01-12",135.149994,138.009995,134,137.570007,838500,136.381561
"2021-01-13",137.100006,137.990005,133.940002,135.679993,587700,134.507874
"2021-01-14",136.110001,136.779999,133.139999,133.589996,454000,132.435928
"2021-01-15",132.75,133.820007,131.830002,132.479996,521100,131.335526
"2021-01-19",133.309998,133.869995,129.820007,130.399994,513800,129.273499
"2021-01-20",130.410004,132.649994,129.75,131.699997,381300,130.562241
"2021-01-21",132.259995,132.779999,130.270004,130.740005,333600,129.610565
"2021-01-22",130.039993,131.020004,128.529999,129.100006,502100,127.984734
"2021-01-25",128.619995,128.669998,125.769997,127.559998,603700,126.458023
"2021-01-26",128.699997,129.100006,126.839996,127.75,605400,126.646393
"2021-01-27",125,126.629997,123.82,125.690002,1241400,124.604179
"2021-01-28",127.160004,129.589996,126.25,127.839996,927400,126.735603
"2021-01-29",127.400002,127.980003,123.849998,124.68,638000,123.602905
"2021-02-01",125.730003,128.309998,123.540001,127.68,658000,126.576996
