"","OGN.Open","OGN.High","OGN.Low","OGN.Close","OGN.Volume","OGN.Adjusted"
"2021-07-07",31,31.040001,29.870001,30.120001,2936200,29.140358
"2021-07-08",29.65,30.18,29.26,29.65,1931400,28.685646
"2021-07-09",29.950001,30.280001,29.59,30.1,2345700,29.121008
"2021-07-12",29.77,30.379999,29.57,29.74,1855700,28.772717
"2021-07-13",29.5,29.885,28.959999,29.1,2047900,28.153532
"2021-07-14",28.98,29.4,28.84,29.34,2004600,28.385725
"2021-07-15",28.85,29.49,28.690001,28.91,2112300,27.969711
"2021-07-16",28.77,29,28.42,28.870001,1757700,27.931015
"2021-07-19",28.629999,29.17,28.540001,29.139999,2261600,28.192232
"2021-07-20",29.17,29.780001,29.059999,29.610001,1922600,28.646946
"2021-07-21",29.66,30.5,29.530001,30.459999,2068400,29.469299
"2021-07-22",30.43,31.059999,30.25,30.92,2221100,29.914337
"2021-07-23",30.889999,30.92,29.712,29.799999,1618100,28.830767
"2021-07-26",29.709999,30.209999,29.18,29.66,1526900,28.69532
"2021-07-27",29.360001,29.639999,28.825001,29.120001,2005300,28.172882
"2021-07-28",29.129999,29.870001,29,29.74,1854600,28.772717
"2021-07-29",29.59,29.860001,29.209999,29.23,1777000,28.279305
"2021-07-30",29.059999,29.4,28.91,29.01,1504200,28.06646
"2021-08-02",29.08,29.635,29.040001,29.530001,1761600,28.569548
"2021-08-03",29.280001,29.58,29.01,29.51,1386700,28.550198
"2021-08-04",29.32,29.32,28.610001,28.629999,1851700,27.69882
"2021-08-05",28.639999,29.58,28.5,29.559999,2190600,28.598572
"2021-08-06",29.49,29.780001,29.17,29.5,1298600,28.540524
"2021-08-09",29.780001,30,28.92,29.1,1982600,28.153532
"2021-08-10",29.08,30.485001,28.92,30.35,2980200,29.362879
"2021-08-11",30.35,30.4,29.719999,29.93,1868800,28.956537
"2021-08-12",31.059999,34,31,33.5,7826700,32.410423
"2021-08-13",33.5,34.490002,32.860001,34.209999,3441500,33.097332
"2021-08-16",34.240002,34.790001,33.91,34.330002,2742100,33.213432
"2021-08-17",34.740002,35.82,34.439999,35.380001,4683500,34.229282
"2021-08-18",35.880001,36.490002,33.542,33.59,4685000,32.497498
"2021-08-19",33.400002,34.567001,33.014999,34.099998,2501300,32.99091
"2021-08-20",33.950001,34.459999,33.150002,33.220001,2354600,32.405621
"2021-08-23",33.549999,33.790001,32.860001,33.240002,2473600,32.425129
"2021-08-24",33.349998,33.82,32.959999,33.16,2117500,32.347088
"2021-08-25",33.009998,33.610001,32.369999,33.299999,1929400,32.483658
"2021-08-26",33.220001,34.360001,33.220001,33.959999,1607900,33.127476
"2021-08-27",33.98,34.32,33.73,34.25,1165700,33.410366
"2021-08-30",34.09,34.240002,33.66,33.720001,1069000,32.893364
"2021-08-31",33.540001,34.098,33.419998,33.889999,1694600,33.059193
"2021-09-01",34.450001,35.369999,34.259998,34.560001,2738500,33.712769
"2021-09-02",35.119999,35.639999,34.349998,35.610001,2560100,34.737026
"2021-09-03",35.470001,35.650002,34.860001,35.610001,1466400,34.737026
"2021-09-07",35.279999,35.75,34.869999,35.639999,2247200,34.766293
"2021-09-08",35.529999,35.529999,34.75,34.970001,2185000,34.11272
"2021-09-09",34.970001,35,34.240002,34.68,1573500,33.829826
"2021-09-10",34.91,35,33.869999,33.880001,1658400,33.049442
"2021-09-13",34.169998,34.18,33.530998,33.830002,1950100,33.000668
"2021-09-14",33.75,33.880001,33.25,33.419998,1570200,32.600716
"2021-09-15",33.5,34.259998,33.240002,33.720001,1953200,32.893364
"2021-09-16",33.889999,34.09,33.02,33.759998,1280600,32.932381
"2021-09-17",33.700001,34.080002,33.259998,34.029999,4341400,33.195759
"2021-09-20",33.240002,33.700001,32.77,32.939999,1937300,32.132481
"2021-09-21",33.189999,33.389999,32.75,32.889999,1162900,32.083706
"2021-09-22",33.09,33.240002,32.59,32.650002,1332100,31.849592
"2021-09-23",32.759998,33.470001,32.68,33.380001,1608400,32.561699
