"","BALL.Open","BALL.High","BALL.Low","BALL.Close","BALL.Volume","BALL.Adjusted"
"2020-11-19",96.059998,98.610001,95.510002,97.910004,1827100,96.525795
"2020-11-20",98.010002,98.879997,96.980003,97.25,2933600,95.875122
"2020-11-23",97.199997,98.199997,95.169998,95.440002,1374400,94.090706
"2020-11-24",95.620003,96.290001,95.510002,96.110001,1820700,94.751244
"2020-11-25",96.519997,96.800003,95.779999,96.300003,1326100,94.938553
"2020-11-27",95.910004,96.459999,95.110001,96.360001,658700,94.997704
"2020-11-30",96.580002,97.260002,95.349998,96.010002,2172800,94.800217
"2020-12-01",97.25,97.959999,95.949997,96.82,2789300,95.600006
"2020-12-02",96.559998,97.25,93.419998,94,1693500,92.815536
"2020-12-03",93.75,94.379997,92.389999,92.639999,1502100,91.472687
"2020-12-04",93,94.629997,92.730003,94.160004,1983300,92.973526
"2020-12-07",94.629997,96.050003,94.5,95.5,1603500,94.296638
"2020-12-08",94.699997,96.889999,94.699997,95.889999,1350900,94.681717
"2020-12-09",95.940002,96.160004,92.830002,93.360001,1733400,92.183609
"2020-12-10",93.169998,94.129997,92.580002,93.260002,1735500,92.084877
"2020-12-11",92.470001,93.040001,91.43,92.580002,2127500,91.413445
"2020-12-14",93.019997,93.790001,90.129997,90.300003,2902700,89.16217
"2020-12-15",91,93.290001,90.639999,92.040001,1937300,90.880241
"2020-12-16",92.099998,92.290001,90.230003,90.43,1702200,89.290527
"2020-12-17",90.980003,92.620003,90.809998,91.980003,1334500,90.821007
"2020-12-18",92.470001,92.690002,91.019997,92.190002,2752000,91.028366
"2020-12-21",90.919998,92.949997,90.160004,92.730003,1665600,91.561554
"2020-12-22",92.470001,93.279999,92.099998,92.489998,1305500,91.32457
"2020-12-23",92.379997,92.879997,91.379997,91.610001,1104800,90.455658
"2020-12-24",91.989998,92.419998,91.650002,92.339996,419700,91.17646
"2020-12-28",92.790001,93,91.080002,91.370003,959400,90.218689
"2020-12-29",92.040001,93.480003,91.93,92.239998,1030300,91.077728
"2020-12-30",93.010002,93.629997,92.809998,92.860001,794200,91.689911
"2020-12-31",93.099998,93.330002,91.580002,93.18,1043800,92.005875
"2021-01-04",91.730003,92.25,88.709999,89.760002,3659100,88.628975
"2021-01-05",89.75,90.989998,89.639999,90.620003,1451200,89.478142
"2021-01-06",91.010002,92.959999,90.709999,91.669998,1780500,90.5149
"2021-01-07",91.93,92.099998,90.290001,90.68,1448400,89.537392
"2021-01-08",90.940002,91.18,89.709999,90.57,1391200,89.428772
"2021-01-11",90.239998,90.989998,90.199997,90.559998,1307400,89.418884
"2021-01-12",90.209999,90.82,89.790001,90.239998,1517400,89.102921
"2021-01-13",90.720001,91.830002,89.910004,91.089996,1374300,89.942207
"2021-01-14",91.43,91.540001,89.860001,89.93,2216000,88.796837
"2021-01-15",89.75,90.459999,89.220001,90.419998,2023200,89.280655
"2021-01-19",90.849998,91.389999,90.040001,90.419998,1534000,89.280655
"2021-01-20",90.220001,93,90.139999,92.260002,1501400,91.097481
"2021-01-21",91.730003,92.580002,90.940002,91.300003,1495400,90.149559
"2021-01-22",91.129997,91.290001,89.849998,90.739998,1293700,89.596619
"2021-01-25",90.760002,90.919998,88.349998,89.860001,1434800,88.727722
"2021-01-26",89.919998,90.860001,88.75,88.800003,1875600,87.681068
"2021-01-27",87.540001,87.650002,85.150002,85.330002,2096800,84.254791
"2021-01-28",86.089996,88.699997,85.989998,88.260002,1604700,87.147865
"2021-01-29",87.790001,89,87.260002,88.019997,1965100,86.910904
"2021-02-01",88.699997,89.709999,88.050003,89.419998,2281100,88.293259
"2021-02-02",90.120003,91.639999,90.089996,90.510002,1093700,89.369522
"2021-02-03",90.550003,91.300003,90.040001,90.959999,1617600,89.81385
"2021-02-04",90.480003,91.660004,87.199997,88.900002,3186400,87.779808
"2021-02-05",89.580002,89.580002,87.620003,89.389999,2381400,88.263641
"2021-02-08",90.080002,90.529999,89.43,89.720001,1536700,88.58947
"2021-02-09",89.660004,90.629997,88.760002,88.790001,1230800,87.671188
"2021-02-10",89.68,90.470001,89.080002,89.910004,1081500,88.777092
"2021-02-11",90,90.089996,87.730003,88.529999,1625100,87.414474
"2021-02-12",88.089996,89.690002,88.010002,89.68,1029400,88.54998
"2021-02-16",90.099998,90.650002,89.129997,90.18,1299700,89.043686
"2021-02-17",89.709999,90.190002,89.129997,89.860001,1039100,88.727722
"2021-02-18",89.5,90.959999,89.389999,90.370003,1298100,89.2313
"2021-02-19",90.470001,91.269997,89.959999,90.480003,2331200,89.339905
"2021-02-22",89.800003,89.800003,87.830002,88.07,1442200,86.960266
"2021-02-23",88.379997,88.379997,86.199997,86.510002,2052900,85.419922
"2021-02-24",86.5,87,85.309998,86.260002,1867500,85.173065
"2021-02-25",86.209999,86.900002,85.809998,86.260002,1591100,85.173065
"2021-02-26",86.190002,86.970001,85.25,85.389999,2184000,84.460907
"2021-03-01",85.330002,87.309998,85.199997,86.5,1733800,85.55883
"2021-03-02",86.82,87.050003,86.199997,86.349998,1630700,85.410461
"2021-03-03",85.610001,86.269997,84.339996,84.599998,2295100,83.679497
"2021-03-04",84.5,85.300003,81.870003,83.5,1962300,82.591469
"2021-03-05",83.660004,83.800003,80.739998,82.209999,3227100,81.315514
"2021-03-08",82.209999,84.470001,81.190002,82.589996,1842800,81.691368
"2021-03-09",83.449997,86.5,82.889999,86.260002,2690500,85.321434
"2021-03-10",86.550003,86.660004,85.120003,85.220001,1282000,84.292755
"2021-03-11",85.519997,85.599998,83.120003,83.529999,1712200,82.621147
"2021-03-12",83.879997,85.099998,83.589996,84.639999,1392900,83.719063
"2021-03-15",84.410004,86.07,83.580002,85.400002,2071700,84.470795
"2021-03-16",85.139999,85.220001,83.470001,83.900002,2783300,82.987129
"2021-03-17",83.440002,84.040001,83.150002,83.519997,2441000,82.611252
"2021-03-18",83.120003,83.330002,81.620003,82.629997,2917500,81.730927
"2021-03-19",82.400002,83.120003,81.199997,81.25,4793900,80.365952
"2021-03-22",81.470001,84.779999,81.260002,84.32,4405700,83.40255
"2021-03-23",84.029999,86.309998,83.809998,85.330002,3108600,84.401558
"2021-03-24",84.93,86.440002,84.800003,85.349998,1648000,84.421341
"2021-03-25",85.769997,85.889999,83.699997,84.050003,2178300,83.135498
"2021-03-26",84.239998,84.459999,82.970001,84.089996,2174000,83.175041
"2021-03-29",83.559998,85.300003,82.650002,85.099998,2611100,84.174057
"2021-03-30",84.760002,84.809998,83.75,84.529999,1267500,83.610268
"2021-03-31",84.639999,85.410004,83.830002,84.739998,2443000,83.817978
"2021-04-01",85.400002,86.730003,84.980003,86.269997,2379100,85.331337
"2021-04-05",86.480003,87.129997,85.580002,86.870003,1719700,85.924805
"2021-04-06",87.07,88.32,86.07,87.989998,1903900,87.032616
"2021-04-07",87.949997,88.209999,86.080002,86.529999,1687200,85.588493
"2021-04-08",86.779999,87.639999,86.709999,87.629997,1511600,86.676529
"2021-04-09",88.809998,89.900002,88.650002,89.860001,2270400,88.882278
"2021-04-12",89.860001,91.309998,89.410004,90.699997,2370300,89.713127
"2021-04-13",90.309998,91.419998,90.07,90.760002,1619800,89.772484
"2021-04-14",90.489998,91,88.620003,89.470001,1597900,88.496521
"2021-04-15",90.089996,90.790001,89.839996,90.550003,2216700,89.564774
"2021-04-16",91.139999,91.32,90.110001,91.010002,5455700,90.01976
"2021-04-19",91.110001,91.470001,90.25,90.900002,1063400,89.91095
"2021-04-20",91.699997,92.889999,91.080002,92.290001,1761700,91.285835
"2021-04-21",92.110001,93.099998,92.010002,92.900002,1732000,91.889206
"2021-04-22",92.900002,93.580002,92.059998,92.690002,1357600,91.68148
"2021-04-23",92.849998,94.199997,92.669998,93.980003,1220100,92.957451
"2021-04-26",94.160004,94.290001,92.620003,92.900002,1005000,91.889206
"2021-04-27",92.519997,93.449997,91.900002,92.900002,757000,91.889206
"2021-04-28",93.099998,93.459999,91.129997,91.349998,1135300,90.356049
"2021-04-29",91.900002,93.650002,91.900002,93.379997,962700,92.363968
"2021-04-30",93.040001,93.699997,92.839996,93.639999,1243700,92.62114
"2021-05-03",94,94.150002,93.110001,93.260002,993900,92.245285
"2021-05-04",93.169998,94,93.080002,93.650002,1738100,92.631035
"2021-05-05",93.68,93.949997,92.769997,92.870003,1373100,91.859528
"2021-05-06",92.139999,92.849998,89.5,90.559998,1889600,89.574646
"2021-05-07",90.470001,92.230003,89.959999,90.699997,1840900,89.713127
"2021-05-10",91.650002,92.169998,89.650002,89.870003,1930200,88.892159
"2021-05-11",89.389999,90.610001,88.669998,90.599998,3188800,89.61422
"2021-05-12",90.129997,90.57,87.769997,87.830002,1417100,86.874359
