"","ZBH.Open","ZBH.High","ZBH.Low","ZBH.Close","ZBH.Volume","ZBH.Adjusted"
"2021-01-15",157.456314,157.951462,154.883499,155.456314,1451476,153.810715
"2021-01-19",156.592239,156.893204,154.650482,155.271851,1037828,153.628204
"2021-01-20",155.29126,159.339813,154.087372,158.699036,1220035,157.019119
"2021-01-21",159.29126,160.679611,157.796112,158.213593,1077483,156.538803
"2021-01-22",157.126221,158,155.912628,156.320389,1003632,154.665649
"2021-01-25",155.864075,156.310684,151.922333,154.669907,1383702,153.032639
"2021-01-26",155.58252,156.533981,152.737869,153.611649,867878,151.98558
"2021-01-27",150.70874,153.126221,147.592239,148.155334,1946700,146.587036
"2021-01-28",149.70874,154.43689,148.43689,152.456314,1586406,150.842484
"2021-01-29",151.456314,152.223297,147.427185,149.194168,1670145,147.614853
"2021-02-01",150.359222,151.466019,147.805832,149.41748,1464660,147.8358
"2021-02-02",150.640778,156,150.359222,153.883499,1763875,152.254547
"2021-02-03",153.184464,154.407761,151.320389,153.941742,970260,152.312195
"2021-02-04",155.262131,159.194168,153.631073,156.048538,1866566,154.396667
"2021-02-05",165.097092,165.097092,153.864075,155.233017,3651247,153.589798
"2021-02-08",155.504852,156.495148,152.669907,155.155334,1367119,153.512924
"2021-02-09",155.14563,155.592239,153.126221,154.514557,1230953,152.878922
"2021-02-10",155.339813,157.718445,154.873779,155.669907,1693629,154.022049
"2021-02-11",156.786407,159.106796,155.339813,157.485443,1138459,155.818375
"2021-02-12",156.553391,157.766983,155.669907,156.679611,1242386,155.021072
"2021-02-16",157.067963,157.067963,154.864075,155.699036,949557,154.050858
"2021-02-17",154.815536,154.912628,152.543686,153.961166,979633,152.331406
"2021-02-18",153.097092,153.466019,149.980576,152.242722,894040,150.631134
"2021-02-19",152.446609,153.339813,151.368927,152.106796,830798,150.496643
"2021-02-22",151.097092,156.475723,150.320389,155.669907,1315516,154.022049
"2021-02-23",157.009705,159.728149,155.825241,157.155334,1879544,155.49176
"2021-02-24",157.359222,160.398056,157.223297,158.922333,1048540,157.240036
"2021-02-25",158.203888,160.553391,157.485443,159.70874,1478771,158.018127
"2021-02-26",160.427185,161.514557,156.766983,158.310684,1617821,156.634872
"2021-03-01",160.213593,161.611649,157.932037,158.640778,1500298,156.961487
"2021-03-02",158.572815,158.941742,155.524277,156.495148,1411821,154.838547
"2021-03-03",156.56311,157.048538,153.242722,155.097092,2175978,153.455307
"2021-03-04",155.077667,155.077667,149.961166,151.699036,1971317,150.093201
"2021-03-05",153.339813,154.776703,149.611649,153.883499,1536760,152.254547
"2021-03-08",154.155334,156.213593,151.864075,151.941742,2334083,150.333344
"2021-03-09",153,155.864075,151.951462,152.097092,1328185,150.487045
"2021-03-10",153.349518,156.631073,152.194168,155.718445,1087062,154.070084
"2021-03-11",155.631073,156.932037,154.378647,155.631073,1413984,153.983643
"2021-03-12",155.29126,158.679611,155.048538,158.407761,1919405,156.730927
"2021-03-15",159.262131,160.669907,155.893204,156.766983,1121155,155.107498
"2021-03-16",156.310684,156.310684,153.864075,155.58252,1038961,153.935577
"2021-03-17",154.970871,156.747574,153.330093,155.844666,947909,154.194931
"2021-03-18",155.310684,156.378647,153.873779,154.262131,714202,152.629166
"2021-03-19",153.844666,156.941742,153.048538,155.495148,1455287,153.849136
"2021-03-22",155.029129,156.300964,154.456314,155.572815,687422,153.92598
"2021-03-23",154.883499,155.485443,150.660187,151.592239,1009297,149.987534
"2021-03-24",152.650482,154.019424,152,152.864075,715232,151.245926
"2021-03-25",153.70874,153.70874,150.368927,153.281555,1114357,151.658966
"2021-03-26",153.737869,156.786407,152.70874,156.621353,675474,155.199356
"2021-03-29",155.524277,156.572815,154.29126,155.543686,687113,154.13147
"2021-03-30",154.398056,156.805832,154.184464,156.524277,785787,155.103165
"2021-03-31",157.85437,159.203888,155.29126,155.41748,1296873,154.006409
"2021-04-01",155.41748,155.893204,153.747574,155.339813,812155,153.929474
"2021-04-05",157.048538,158.368927,156.262131,157.961166,812567,156.527008
"2021-04-06",158.252426,160.067963,157.728149,158.747574,819674,157.306274
"2021-04-07",158.85437,159.456314,156.58252,158.009705,712142,156.575104
"2021-04-08",159.300964,160.543686,158.815536,159.747574,828841,158.297195
"2021-04-09",161,164.640778,160.640778,164.543686,1553652,163.049744
"2021-04-12",163.776703,164.864075,162.805832,163.427185,1332511,161.94339
"2021-04-13",162.611649,164.213593,162.310684,163.56311,918966,162.078079
"2021-04-14",163.990295,165.56311,163.165054,163.407761,931944,161.924133
"2021-04-15",163.689316,167.320389,163.689316,166.757278,973968,165.24324
"2021-04-16",167.70874,168.174759,165.41748,166.873779,745102,165.358704
"2021-04-19",166.912628,167.990295,165.126221,167.504852,1140828,165.984039
"2021-04-20",167.504852,170.077667,167.203888,168.747574,1207984,167.215485
"2021-04-21",168.970871,172.281555,168.320389,171.504852,1121670,169.947708
"2021-04-22",171.43689,173.970871,170.349518,172.213593,1039476,170.65004
"2021-04-23",171.864075,173.660187,171.349518,172.446609,936682,170.88092
"2021-04-26",173.019424,173.019424,170.359222,170.601944,845630,169.053009
"2021-04-27",170.70874,172.572815,169.475723,171.213593,844085,169.659103
"2021-04-28",171.495148,173.43689,170.699036,173.300964,1006619,171.727539
"2021-04-29",174.029129,175.106796,171.902908,173.407761,922880,171.833359
"2021-04-30",172.902908,173.252426,170.951462,172,1330245,170.43837
"2021-05-03",173.300964,173.553391,171.825241,172.757278,1331687,171.188782
"2021-05-04",168.776703,170.932037,165.165054,167.893204,1808268,166.368851
