"","USB.Open","USB.High","USB.Low","USB.Close","USB.Volume","USB.Adjusted"
"2020-12-10",45.540001,46.27,45.349998,46.119999,7318300,43.528179
"2020-12-11",45.57,45.970001,45.32,45.84,5266800,43.263912
"2020-12-14",46.5,46.740002,44.700001,44.810001,5518000,42.291805
"2020-12-15",45.130001,45.27,44.5,45.189999,5787400,42.650444
"2020-12-16",45.240002,45.490002,45,45.349998,5711600,42.801453
"2020-12-17",45.540001,45.540001,44.799999,45.279999,6017900,42.735386
"2020-12-18",45.189999,45.389999,44.470001,44.860001,14375000,42.338985
"2020-12-21",45.080002,45.5,44.209999,45.330002,10715700,42.782578
"2020-12-22",45.599998,46.02,45.240002,45.59,8468900,43.027962
"2020-12-23",45.959999,46.959999,45.84,46.73,6693000,44.103897
"2020-12-24",46.68,46.73,46.02,46.490002,1980900,43.877392
"2020-12-28",46.860001,47.25,46.540001,46.66,4330800,44.03783
"2020-12-29",46.82,46.849998,46.09,46.130001,4083400,43.537617
"2020-12-30",45.889999,46.279999,45.82,46.150002,3157400,43.956715
"2020-12-31",46.130001,46.66,45.880001,46.59,3778500,44.375797
"2021-01-04",46.689999,46.900002,45.599998,46.119999,6738800,43.928131
"2021-01-05",46.110001,46.610001,45.560001,46.27,5334600,44.071003
"2021-01-06",47.529999,49.630001,47.029999,49.009998,12378300,46.680786
"2021-01-07",49.650002,50.93,49.560001,49.990002,7778600,47.614212
"2021-01-08",50.040001,50.23,48.810001,49.32,6574400,46.976051
"2021-01-11",48.790001,49.450001,48.509998,49.34,5631500,46.995098
"2021-01-12",49.84,50.099998,49.459999,49.650002,5901900,47.290367
"2021-01-13",49.400002,49.880001,49.150002,49.509998,5536300,47.157024
"2021-01-14",49.610001,49.790001,49.27,49.279999,6949400,46.93795
"2021-01-15",48.52,48.810001,48.02,48.400002,8547300,46.099773
"2021-01-19",48.360001,48.669998,48.029999,48.07,12398000,45.785461
"2021-01-20",47,47.450001,45.189999,45.580002,12256200,43.413795
"2021-01-21",45.689999,46.080002,45.189999,45.669998,12365900,43.499519
"2021-01-22",45.360001,46.200001,45.290001,45.860001,9036800,43.680489
"2021-01-25",45.560001,46.049999,44.91,45.759998,9576900,43.585243
"2021-01-26",46.150002,46.189999,45.18,45.189999,7909200,43.042328
"2021-01-27",44.599998,44.75,42.73,42.810001,11801800,40.775444
"2021-01-28",43.650002,44.099998,42.73,43.77,8597200,41.689819
"2021-01-29",43.720001,44,42.82,42.849998,7339300,40.813541
"2021-02-01",43.27,43.34,42.470001,42.75,6666900,40.718292
"2021-02-02",43.290001,44.52,43.290001,44.25,6487400,42.147003
"2021-02-03",44.009998,44.84,43.990002,44.73,5850300,42.604198
"2021-02-04",44.98,46.349998,44.740002,46.310001,6633800,44.109104
"2021-02-05",46.849998,46.889999,46.130001,46.349998,4146600,44.147198
"2021-02-08",46.459999,47.439999,46.439999,47.400002,5986200,45.147301
"2021-02-09",47.240002,47.849998,46.959999,47.610001,4940300,45.347321
"2021-02-10",47.880001,47.91,47.310001,47.349998,5625500,45.099674
"2021-02-11",47.259998,47.619999,46.849998,47.25,4413300,45.004433
"2021-02-12",47.119999,48.18,47.07,47.639999,4141600,45.3759
"2021-02-16",48.279999,48.959999,48.009998,48.650002,5603600,46.337894
"2021-02-17",48.490002,49.389999,48.150002,49.299999,6928600,46.957005
"2021-02-18",48.880001,49.5,48.349998,49.060001,7617300,46.728409
"2021-02-19",49.330002,50.169998,49.27,50.02,5374200,47.642788
"2021-02-22",49.799999,51.130001,49.799999,50.939999,7017900,48.519062
"2021-02-23",51.84,52.700001,51.25,51.610001,9904100,49.157227
"2021-02-24",51.669998,53.040001,51.540001,52.810001,6814400,50.30019
"2021-02-25",53.5,53.540001,51.580002,51.630001,6254500,49.176273
"2021-02-26",51.290001,51.330002,49.849998,50,9499600,47.623741
"2021-03-01",51.02,51.549999,50.880001,51.16,8921300,48.728607
"2021-03-02",51.189999,51.41,50.599998,50.650002,7360600,48.242847
"2021-03-03",50.91,52.18,50.709999,51.16,7442800,48.728607
"2021-03-04",51.099998,51.529999,50.040001,51.02,10901400,48.595261
"2021-03-05",51.740002,52.689999,50.400002,52.470001,10621000,49.976349
"2021-03-08",53,54.389999,52.529999,54.049999,9847600,51.481258
"2021-03-09",52.869999,53.84,52.470001,52.900002,8899100,50.385914
"2021-03-10",53.080002,54.169998,52.869999,53.779999,8455100,51.224091
"2021-03-11",53.34,54.049999,52.900002,53.349998,6141300,50.814526
"2021-03-12",54.189999,54.720001,54,54.639999,5415500,52.043217
"2021-03-15",54.639999,54.75,53.310001,53.98,6228000,51.414585
"2021-03-16",53.580002,53.849998,52.799999,53.84,9928300,51.281235
"2021-03-17",54.310001,54.689999,53.709999,54.490002,7768700,51.900352
"2021-03-18",55,57.02,54.93,56.27,11182900,53.595753
"2021-03-19",55.799999,55.950001,54.849998,55.209999,28076700,52.586124
"2021-03-22",55,55,53.84,54.240002,6976700,51.662231
"2021-03-23",53.68,54.549999,53.139999,53.580002,10640100,51.033596
"2021-03-24",53.869999,54.619999,53.470001,53.470001,6880700,50.928825
"2021-03-25",53.48,54.93,53.330002,54.889999,8728200,52.281338
"2021-03-26",55.529999,56.299999,55.310001,56.209999,9628300,53.538605
"2021-03-29",55.560001,56.099998,54.790001,55.599998,11780100,52.957596
"2021-03-30",55.66,56.16,55.27,55.869999,6624000,53.619804
"2021-03-31",55.57,56.049999,55.290001,55.310001,6752700,53.082359
"2021-04-01",55.130001,55.84,54.919998,55.830002,6219400,53.581413
"2021-04-05",56.439999,56.75,56.139999,56.369999,4769200,54.099663
"2021-04-06",56.09,56.41,55.720001,56.23,4513200,53.965298
"2021-04-07",56.5,56.869999,56.25,56.810001,5068800,54.521946
"2021-04-08",56.619999,57.060001,55.93,56.779999,6361400,54.493153
"2021-04-09",57.330002,57.450001,56.759998,57.290001,5990100,54.982616
"2021-04-12",57.599998,57.799999,57.310001,57.68,5185600,55.356903
"2021-04-13",57.220001,57.299999,56.580002,56.630001,6099300,54.34919
"2021-04-14",56.52,57.830002,56.240002,57.580002,6508900,55.260933
"2021-04-15",56.84,57.189999,54.529999,56.330002,13346400,54.061275
"2021-04-16",56.91,58.459999,56.549999,57.860001,7934200,55.529655
"2021-04-19",57.810001,58.200001,57.529999,57.720001,6586600,55.395294
"2021-04-20",57.049999,57.27,56.16,56.220001,10679900,53.955708
"2021-04-21",55.900002,57.09,55.43,56.990002,6051500,54.694698
"2021-04-22",56.599998,56.900002,56.16,56.16,6050400,53.898125
"2021-04-23",56.209999,57.66,56.080002,57.23,6229600,54.925026
"2021-04-26",57.549999,58.27,57.380001,57.790001,5588600,55.462475
"2021-04-27",58.189999,58.389999,57.830002,58.32,5627500,55.97113
"2021-04-28",58.5,59.189999,58.470001,58.970001,5281900,56.594952
"2021-04-29",59.389999,60.130001,59.279999,60.029999,6111800,57.612259
"2021-04-30",59.560001,59.869999,59.080002,59.349998,6581800,56.959641
"2021-05-03",59.630001,60.040001,59.23,59.290001,4870200,56.902065
"2021-05-04",59,60.66,58.82,60.599998,7908000,58.159298
"2021-05-05",60.580002,60.98,59.93,60.389999,6789200,57.957756
"2021-05-06",60.75,61.48,60.349998,61.439999,5512900,58.965469
"2021-05-07",60.330002,61.41,60.18,61.369999,6158800,58.898285
"2021-05-10",61.799999,62.27,61.099998,61.169998,7013500,58.706341
"2021-05-11",60.790001,61.57,60.049999,60.150002,6943500,57.727428
"2021-05-12",61.049999,61.290001,59.459999,59.560001,9206700,57.161186
"2021-05-13",59.360001,61.599998,59.310001,61.099998,5329700,58.639156
"2021-05-14",61.349998,62.09,61.259998,61.91,4087700,59.416538
"2021-05-17",61.560001,62.419998,61.459999,62.209999,4151300,59.704456
"2021-05-18",62.18,62.470001,60.810001,60.849998,5832200,58.399227
"2021-05-19",60.200001,60.310001,59.130001,60.07,8055000,57.650642
"2021-05-20",59.98,60.18,59.110001,59.630001,6338800,57.228371
"2021-05-21",59.799999,60.82,59.650002,60.369999,5347800,57.938557
"2021-05-24",60.580002,60.689999,60.139999,60.419998,3504600,57.986546
"2021-05-25",60.529999,61.099998,59.560001,59.650002,5028200,57.247562
"2021-05-26",59.75,59.849998,58.900002,59.73,7436100,57.324341
"2021-05-27",60.509998,61.25,60.27,60.740002,12453000,58.293663
"2021-05-28",60.77,60.959999,60.240002,60.779999,6127000,58.332054
"2021-06-01",61.509998,61.759998,60.740002,60.990002,4967000,58.533596
"2021-06-02",60.990002,61.310001,60.459999,60.669998,5573300,58.226479
"2021-06-03",60.490002,61.279999,60.299999,60.639999,4631500,58.197689
