"","EL.Open","EL.High","EL.Low","EL.Close","EL.Volume","EL.Adjusted"
"2021-09-03",343.179993,344.670013,340.48999,341.829987,739100,339.668274
"2021-09-07",341.269989,342.350006,335.329987,337.570007,971500,335.435211
"2021-09-08",336.980011,337.660004,333.320007,336.76001,899900,334.630341
"2021-09-09",337.309998,338.709991,336.670013,337.48999,894000,335.355713
"2021-09-10",341.269989,341.609985,335.440002,335.709991,612900,333.586975
"2021-09-13",338.670013,338.890015,329.230011,332.929993,825600,330.824554
"2021-09-14",333.880005,334.01001,330.029999,330.820007,842900,328.727905
"2021-09-15",331,331.630005,323.040009,326.25,1685900,324.186829
"2021-09-16",325.51001,326.019989,320.100006,323.130005,1019900,321.086548
"2021-09-17",320.720001,323.589996,318.549988,319.880005,1663100,317.857117
"2021-09-20",311.459991,313.600006,308.070007,310.600006,1881000,308.635773
"2021-09-21",313,315.179993,311.25,311.579987,953200,309.609589
"2021-09-22",314.369995,320.459991,312.609985,318.559998,1431400,316.54541
"2021-09-23",321,324.459991,320.73999,321.320007,1251600,319.287964
"2021-09-24",319.959991,321.549988,317.959991,320.649994,890800,318.622192
"2021-09-27",318.980011,322.299988,318.019989,318.679993,755500,316.664642
"2021-09-28",316.950012,317.959991,308,309.540009,1168100,307.582458
"2021-09-29",310.23999,310.929993,305.48999,306.399994,990900,304.462341
"2021-09-30",307.929993,308.380005,299.76001,299.929993,1685900,298.033234
"2021-10-01",303.480011,312.269989,301.670013,310.679993,1356200,308.715271
"2021-10-04",308.950012,311.160004,302.299988,306.200012,1325800,304.26358
"2021-10-05",309.920013,316.23999,307.549988,313.179993,1616700,311.199432
"2021-10-06",307.049988,313.980011,306.820007,313.549988,1063100,311.567078
"2021-10-07",316.350006,319.369995,314.190002,314.790009,800100,312.799255
"2021-10-08",315.630005,316.089996,311.459991,311.709991,588500,309.738739
"2021-10-11",311.940002,314.709991,309.410004,309.959991,775100,307.999817
"2021-10-12",310.619995,313.679993,307.820007,309.079987,845200,307.125336
"2021-10-13",310.390015,316.170013,309.679993,315.01001,1008700,313.017883
"2021-10-14",317.709991,321.950012,317.559998,319.540009,946300,317.519257
"2021-10-15",321.950012,322.540009,318.779999,320.820007,835000,318.791168
"2021-10-18",316.350006,318.820007,314.709991,318.359985,851200,316.34668
"2021-10-19",317.709991,319.079987,310.51001,312.429993,1228400,310.454224
"2021-10-20",314.890015,314.980011,303.98999,304.25,2832500,302.325928
"2021-10-21",305.98999,319.23999,305.230011,317.769989,1956600,315.760406
"2021-10-22",318.380005,328.859985,318.309998,327.640015,1447500,325.567993
"2021-10-25",327.519989,330.980011,323.23999,330.059998,1412700,327.972687
"2021-10-26",331,333.660004,329.429993,331.049988,1201000,328.956451
"2021-10-27",332.230011,333.26001,325.170013,325.369995,773000,323.312378
"2021-10-28",325.850006,327.299988,323.730011,325.5,942200,323.441559
"2021-10-29",323.73999,327.019989,322.649994,324.329987,1135600,322.278931
"2021-11-01",326.5,328.190002,320.359985,325.149994,1256600,323.093719
"2021-11-02",316.170013,341.679993,313.410004,338.619995,2683500,336.478577
"2021-11-03",335,341.25,331.059998,340.380005,1500800,338.227448
"2021-11-04",342,342,336.98999,339.75,842400,337.60144
"2021-11-05",340.660004,350.369995,340.130005,349.5,1317800,347.289764
"2021-11-08",351.079987,353.450012,345.130005,349.390015,795700,347.180481
"2021-11-09",349.029999,349.670013,345.570007,347.070007,673500,344.875122
"2021-11-10",345.450012,350.980011,343.519989,345.109985,1031300,342.927521
"2021-11-11",345.76001,347.589996,340.459991,344.410004,863400,342.231964
"2021-11-12",346.25,346.850006,343.529999,346.720001,1065100,344.527374
"2021-11-15",347.109985,350.679993,346.609985,348.070007,1045200,345.868805
"2021-11-16",347.950012,351.820007,347.190002,350.320007,797800,348.104584
"2021-11-17",352.850006,356.51001,348.799988,354.459991,1201800,352.218384
"2021-11-18",347.970001,348.5,342.040009,347.200012,1845500,345.004333
"2021-11-19",350.350006,354.929993,346.25,352.850006,1556800,350.618622
"2021-11-22",353.98999,357.820007,350.26001,350.470001,1034300,348.253632
"2021-11-23",349.130005,351.109985,346.089996,349.76001,1106700,347.548126
"2021-11-24",348.410004,350.579987,346.75,349.209991,1016500,347.001617
"2021-11-26",341.480011,345.839996,334.070007,334.350006,1381400,332.235596
"2021-11-29",336.890015,342.399994,334.480011,340.049988,1775700,338.506989
"2021-11-30",338.329987,338.480011,331.149994,332.070007,3478700,330.563202
"2021-12-01",335,337.089996,325.100006,325.329987,1308100,323.85376
"2021-12-02",327.660004,336.51001,326.51001,334.670013,1047100,333.151428
"2021-12-03",339.299988,347.350006,330.190002,335.299988,1463700,333.778534
"2021-12-06",337.579987,343.709991,337.329987,341.549988,1354900,340.000153
"2021-12-07",347.25,357.73999,347.25,353.640015,1344200,352.035339
"2021-12-08",353.600006,357,351.230011,356.149994,944200,354.533936
"2021-12-09",355.380005,361.019989,355.170013,355.839996,994000,354.225342
"2021-12-10",359.179993,362.700012,355.309998,361.390015,841800,359.750183
"2021-12-13",360.190002,362.470001,357.940002,360.339996,1116500,358.704926
"2021-12-14",358,358,352.869995,356.76001,1139900,355.141174
"2021-12-15",356.25,365.329987,355.049988,365.119995,1040200,363.463226
"2021-12-16",366.720001,369.23999,360.220001,362.679993,1389000,361.034302
"2021-12-17",360.160004,361.730011,343.450012,345.959991,2557000,344.390167
"2021-12-20",342.200012,346.149994,340.140015,345.540009,1125100,343.972076
"2021-12-21",348.980011,353.910004,347.299988,352.75,992000,351.149353
"2021-12-22",353.309998,361.910004,353.25,361.700012,1058500,360.058777
"2021-12-23",361.899994,367.950012,361.899994,365.98999,898100,364.329254
"2021-12-27",366,369.790009,366,369.269989,553000,367.594391
"2021-12-28",369.940002,370.829987,367.589996,367.799988,539300,366.131073
"2021-12-29",367.799988,371.730011,367.399994,370.079987,573400,368.400726
"2021-12-30",370,372.359985,367.100006,367.339996,505200,365.673157
"2021-12-31",367.660004,371.339996,367.450012,370.200012,613000,368.520203
"2022-01-03",368.48999,374.200012,366.910004,370.290009,1026700,368.609772
"2022-01-04",372.109985,373.980011,368.140015,371.859985,1012700,370.172638
"2022-01-05",367,368.660004,356.100006,356.109985,2075000,354.49411
"2022-01-06",357,357.570007,353,355.390015,1096200,353.777405
"2022-01-07",355,357.459991,350.070007,354.929993,936500,353.319458
"2022-01-10",349.5,349.600006,333.359985,335.890015,1863400,334.365875
