"","D.Open","D.High","D.Low","D.Close","D.Volume","D.Adjusted"
"2021-04-19",79.019997,79.220001,78.290001,78.739998,2956800,75.531464
"2021-04-20",78.93,80.540001,78.68,80.110001,3981300,76.845642
"2021-04-21",80.75,80.849998,80.010002,80.199997,4597000,76.931969
"2021-04-22",79.980003,80.580002,79.300003,79.419998,3076800,76.183762
"2021-04-23",79.400002,79.639999,78.919998,79.379997,3283700,76.145378
"2021-04-26",79.529999,79.540001,78.5,78.68,2671000,75.473907
"2021-04-27",78.5,78.669998,78.080002,78.290001,2290300,75.0998
"2021-04-28",78.480003,78.589996,77.629997,77.639999,3464100,74.476288
"2021-04-29",77.790001,79.050003,77.720001,79.019997,2992400,75.800056
"2021-04-30",79.330002,79.940002,78.800003,79.900002,3238000,76.644196
"2021-05-03",79.900002,81.080002,79.779999,80.370003,3100500,77.095047
"2021-05-04",80.309998,80.559998,79,79.410004,3691700,76.174164
"2021-05-05",79.25,79.419998,77.440002,77.949997,4167300,74.773659
"2021-05-06",78.220001,78.639999,77.580002,78.480003,3356900,75.282066
"2021-05-07",78.489998,79.220001,78.040001,78.449997,2670800,75.253273
"2021-05-10",78.709999,79.959999,78.309998,79.459999,4243600,76.222122
"2021-05-11",79.839996,80.160004,78.300003,78.629997,4544000,75.425941
"2021-05-12",78.610001,78.639999,77.089996,77.139999,3249100,73.996658
"2021-05-13",77.150002,79,76.82,78.379997,2797100,75.186134
"2021-05-14",78.650002,79.139999,78.050003,78.07,3334300,74.888763
"2021-05-17",78.18,78.839996,77.610001,77.669998,3120500,74.505058
"2021-05-18",77.309998,77.629997,76.809998,77.160004,3807200,74.015854
"2021-05-19",77.019997,77.209999,76.25,76.980003,3388200,73.843178
"2021-05-20",77.07,77.970001,76.790001,77.239998,3390700,74.092583
"2021-05-21",77.5,78.269997,77.349998,78.230003,5472300,75.042252
"2021-05-24",78.470001,78.580002,77.07,77.089996,3695100,73.948692
"2021-05-25",76.980003,77.099998,75.470001,76.010002,5383300,72.912712
"2021-05-26",75.949997,76.239998,75.449997,75.949997,3428700,72.855156
"2021-05-27",75.940002,76.150002,75.360001,75.489998,5900200,72.413895
"2021-05-28",75.940002,76.330002,75.790001,76.139999,4708000,73.037399
"2021-06-01",76.260002,76.389999,75.089996,75.550003,3410800,72.471458
"2021-06-02",75.830002,76.839996,75.519997,76.389999,3554800,73.277222
"2021-06-03",75.550003,77.029999,75.309998,76.709999,3859500,74.196083
"2021-06-04",76.889999,77.239998,76.330002,76.519997,3357100,74.012314
"2021-06-07",76.5,76.559998,76.080002,76.410004,3111900,73.90593
"2021-06-08",76.589996,76.660004,75.279999,75.809998,3616800,73.325584
"2021-06-09",76.099998,76.620003,75.82,76.5,2882200,73.992973
"2021-06-10",76.709999,77.57,76.440002,77.449997,2936200,74.911835
"2021-06-11",77.260002,77.370003,76.739998,77.32,2205600,74.786102
"2021-06-14",77.410004,78.300003,77.25,78.269997,3320600,75.704964
"2021-06-15",78.300003,78.489998,77.940002,78.120003,3630900,75.559891
"2021-06-16",78.400002,78.5,76.449997,76.5,3916400,73.992973
"2021-06-17",76.269997,77.25,76.040001,76.779999,4510400,74.263802
"2021-06-18",76.25,76.419998,74.739998,74.82,7225600,72.368027
"2021-06-21",75.010002,76.129997,74.589996,75.900002,3640100,73.412636
"2021-06-22",75.730003,76.349998,75.559998,75.650002,2734300,73.170837
"2021-06-23",75.43,75.459999,74.279999,74.550003,2482200,72.10688
"2021-06-24",74.540001,74.93,74.110001,74.610001,2854400,72.164909
"2021-06-25",74.349998,75.120003,74.230003,75.110001,2468700,72.648521
"2021-06-28",75.290001,75.68,75,75.239998,2047700,72.774261
"2021-06-29",74.800003,75.239998,73.309998,73.510002,3312500,71.100967
"2021-06-30",73.57,73.839996,73.279999,73.57,2818400,71.158997
"2021-07-01",73.690002,74.419998,73.110001,74.110001,2501000,71.68129
"2021-07-02",74.290001,74.489998,73.650002,74.209999,1831400,71.778015
"2021-07-06",74.459999,75.410004,74.050003,75.389999,3562100,72.91935
"2021-07-07",75.040001,75.940002,74.889999,75.639999,2281000,73.161156
"2021-07-08",75.459999,76.25,75.300003,75.949997,2527600,73.460991
"2021-07-09",76.050003,76.07,74.989998,75.550003,2163300,73.074104
"2021-07-12",75.25,75.639999,74.860001,75.550003,2327600,73.074104
"2021-07-13",75.269997,75.480003,74.300003,74.5,2066000,72.05851
"2021-07-14",74.419998,75.540001,74.120003,75.239998,2661800,72.774261
"2021-07-15",75.110001,76.169998,75.019997,76.139999,3210700,73.64476
"2021-07-16",76.360001,77.519997,76,77.160004,3401900,74.631348
"2021-07-19",77,78.129997,75.129997,75.860001,5314800,73.373955
"2021-07-20",76,76.790001,75.489998,75.669998,3701200,73.190163
"2021-07-21",75.760002,75.809998,74.690002,74.720001,3022100,72.271301
"2021-07-22",74.970001,75.150002,74.220001,74.389999,3317100,71.952118
"2021-07-23",74.599998,75.379997,74.290001,75.32,3353900,72.851639
"2021-07-26",75.309998,75.379997,74.639999,75.089996,3190100,72.629173
"2021-07-27",75.330002,77.279999,74.739998,76.830002,3188500,74.312149
"2021-07-28",76.790001,76.879997,75.269997,75.739998,2358700,73.257874
"2021-07-29",75.699997,75.989998,75.050003,75.510002,2053500,73.035416
"2021-07-30",75.5,76.190002,74.68,74.870003,3339000,72.416389
"2021-08-02",75,75.730003,74.830002,75.349998,2779700,72.880661
"2021-08-03",75.529999,76.370003,75.129997,75.5,2697300,73.025742
"2021-08-04",75,75.519997,74.440002,75.470001,2835300,72.996727
"2021-08-05",75.650002,76.139999,75.129997,76.080002,2519800,73.586731
"2021-08-06",76,76.379997,75.610001,76,2974700,73.509361
"2021-08-09",75.989998,76.199997,75.330002,76,3031400,73.509361
"2021-08-10",76.050003,76.879997,75.709999,76.440002,3931900,73.934944
"2021-08-11",76.239998,77.110001,76.139999,76.93,3919100,74.408875
"2021-08-12",76.82,77.510002,76.760002,77.360001,2914700,74.824799
"2021-08-13",77.470001,77.949997,77.099998,77.709999,2552900,75.163322
"2021-08-16",77.93,78.839996,77.699997,78.459999,3083100,75.888733
"2021-08-17",78.459999,78.809998,77.839996,78.620003,2245100,76.043503
"2021-08-18",78.620003,78.730003,77.559998,77.980003,2903900,75.424469
"2021-08-19",78.25,79.309998,77.879997,79.059998,4125700,76.46907
"2021-08-20",79.239998,80.099998,78.690002,80.050003,3742900,77.426636
"2021-08-23",79.889999,79.919998,78.900002,78.980003,4145300,76.391701
"2021-08-24",78.989998,79.050003,78.360001,78.540001,2860800,75.96611
"2021-08-25",78.349998,78.709999,78.010002,78.559998,2622100,75.985458
"2021-08-26",78.360001,78.589996,77.800003,78.449997,2170100,75.879059
"2021-08-27",78.559998,78.720001,78.019997,78.190002,3143600,75.627586
"2021-08-30",78.190002,78.610001,77.889999,78.300003,2147100,75.733986
"2021-08-31",77.879997,78.480003,77.440002,77.839996,4361300,75.289047
"2021-09-01",77.910004,79.099998,77.82,78.980003,3128800,76.391701
"2021-09-02",78.480003,79.010002,78.480003,78.889999,2073300,76.918198
"2021-09-03",78.900002,79.650002,78.169998,78.379997,2134300,76.420944
"2021-09-07",78.099998,78.129997,76.459999,76.519997,3647500,74.607437
"2021-09-08",76.400002,78.120003,76.120003,77.839996,3233300,75.89444
"2021-09-09",77.580002,78.910004,77.389999,78.459999,4458400,76.498947
"2021-09-10",78.410004,78.410004,77.029999,77.300003,3323100,75.367943
"2021-09-13",77.809998,77.809998,76.349998,76.540001,3133300,74.62693
