"","SJM.Open","SJM.High","SJM.Low","SJM.Close","SJM.Volume","SJM.Adjusted"
"2021-02-24",115,115.5,113.18,113.220001,1141200,109.199974
"2021-02-25",115.129997,119.480003,114.589996,115.029999,1931800,110.945709
"2021-02-26",115.089996,115.449997,111.919998,112,1709500,108.023293
"2021-03-01",112.089996,113.589996,111.589996,112.059998,1678400,108.081154
"2021-03-02",112.510002,114.150002,112.330002,113.029999,1347500,109.016716
"2021-03-03",112.709999,115.209999,112.400002,114,1294600,109.952278
"2021-03-04",114.870003,117.93,114.309998,116.220001,1515400,112.09346
"2021-03-05",116.489998,120.489998,116.139999,118.339996,1917900,114.138184
"2021-03-08",118.290001,121.410004,117.050003,119.769997,1133500,115.517403
"2021-03-09",119.169998,121.5,118.650002,118.989998,1100800,114.765099
"2021-03-10",119,121.709999,117.830002,121.07,966600,116.771248
"2021-03-11",120.360001,121.870003,120,120.25,1015500,115.98037
"2021-03-12",120.949997,122.769997,120.629997,121.440002,1387900,117.128113
"2021-03-15",121.800003,122.870003,121.279999,122.120003,772900,117.783966
"2021-03-16",122,123.839996,121.75,123.309998,1048700,118.931709
"2021-03-17",123.839996,124.699997,122.959999,124.120003,1043400,119.712959
"2021-03-18",123.980003,125.309998,123.449997,123.940002,1115300,119.539345
"2021-03-19",123.989998,127.620003,123.839996,126.389999,2867300,121.902359
"2021-03-22",125.169998,127.300003,124.940002,127.25,1059000,122.731819
"2021-03-23",128.080002,128.080002,125.830002,126.459999,903500,121.969872
"2021-03-24",124.599998,124.93,122.279999,123.139999,1142500,118.767754
"2021-03-25",124.059998,127.849998,123.330002,126.639999,1312400,122.143486
"2021-03-26",126.839996,128.899994,126.580002,128.5,1116000,123.937431
"2021-03-29",129.059998,131.570007,128.880005,131.050003,1084600,126.396904
"2021-03-30",131.020004,132.380005,127.919998,128.550003,1777800,123.985672
"2021-03-31",127.809998,128.070007,125.949997,126.529999,1030000,122.037392
"2021-04-01",126.400002,126.400002,123.459999,126.25,1413400,121.767334
"2021-04-05",126.510002,128.479996,125.730003,127.089996,676100,122.577499
"2021-04-06",127.129997,128.419998,126.449997,127.739998,852400,123.204422
"2021-04-07",128.300003,128.649994,127.029999,127.849998,724400,123.310516
"2021-04-08",127.260002,128.380005,127.050003,128.130005,1014900,123.580589
"2021-04-09",128.179993,128.970001,126.5,128.210007,859000,123.657745
"2021-04-12",128.880005,130.050003,128.460007,129.529999,1238700,124.93087
"2021-04-13",129.630005,131.089996,129.25,129.809998,1176600,125.200928
"2021-04-14",129.880005,129.880005,128.020004,129.070007,835600,124.487198
"2021-04-15",129,131.080002,129,130.789993,576200,126.146118
"2021-04-16",131.410004,132.179993,130.509995,131.720001,820300,127.043106
"2021-04-19",132.130005,132.679993,130.179993,132.149994,670600,127.457832
"2021-04-20",132.029999,134.119995,132,132.509995,1365300,127.805046
"2021-04-21",132.940002,133.800003,131.800003,133.660004,1178200,128.91423
"2021-04-22",133.259995,133.399994,131.880005,132.110001,732000,127.419273
"2021-04-23",131.889999,132.110001,129.199997,129.770004,778500,125.162346
"2021-04-26",129.729996,130.490005,128.279999,129.770004,1028700,125.162346
"2021-04-27",129.779999,131.110001,129.669998,131.039993,939100,126.387253
"2021-04-28",131.990005,132.5,130.080002,130.490005,901800,125.856766
"2021-04-29",130.449997,133.039993,130.449997,131.940002,767500,127.255302
"2021-04-30",131.880005,131.940002,129.809998,130.990005,965500,126.339027
"2021-05-03",131.020004,133.210007,130.860001,132.080002,584600,127.390335
"2021-05-04",132.5,133.300003,131.100006,132.470001,617800,127.766487
"2021-05-05",132.100006,135.100006,131.389999,134.839996,1179000,130.052338
"2021-05-06",136.139999,138.869995,136.110001,137.410004,2020900,132.531082
"2021-05-07",136.130005,137.149994,135.130005,136.600006,823800,131.749847
"2021-05-10",137.130005,139.570007,136.720001,138.490005,779900,133.572754
"2021-05-11",139.089996,139.139999,135.570007,136.820007,849800,131.962021
"2021-05-12",136.880005,137.270004,134.529999,134.800003,1098300,130.013763
"2021-05-13",133.070007,136.740005,132.119995,136.190002,937900,132.237289
"2021-05-14",136.419998,137.869995,135.289993,135.330002,837400,131.402267
"2021-05-17",135.5,136.080002,132.860001,133.509995,1241400,129.635056
"2021-05-18",133.320007,134.589996,133.130005,133.720001,629100,129.838974
"2021-05-19",133.880005,134.440002,132.479996,134.300003,574600,130.402145
"2021-05-20",135.300003,136.080002,134.600006,134.809998,568200,130.897339
"2021-05-21",134.610001,136.259995,134.610001,135.509995,817200,131.577011
