"","PLD.Open","PLD.High","PLD.Low","PLD.Close","PLD.Volume","PLD.Adjusted"
"2020-12-28",97.889999,98.489998,97.279999,98.220001,1327200,95.108627
"2020-12-29",99.040001,99.379997,97.68,97.720001,1512500,94.624466
"2020-12-30",97.980003,99.330002,97.900002,98.82,1568000,95.689621
"2020-12-31",98.660004,99.800003,98.059998,99.660004,1569300,96.503021
"2021-01-04",99.550003,99.889999,95.989998,96.040001,4454200,92.997688
"2021-01-05",96.150002,97.239998,95.910004,96.190002,3844400,93.142929
"2021-01-06",96.089996,96.360001,93.389999,93.910004,4786400,90.93515
"2021-01-07",93.910004,95.360001,93.709999,95.32,3187800,92.300491
"2021-01-08",95.269997,97.599998,95.150002,96.599998,2199700,93.539948
"2021-01-11",95.970001,96.480003,94.139999,94.660004,2268300,91.661392
"2021-01-12",94.510002,94.970001,93.080002,94.709999,2475000,91.709816
"2021-01-13",94.980003,96.440002,94.980003,95.410004,2621000,92.387642
"2021-01-14",95.879997,96.129997,94.459999,95.5,3269700,92.474792
"2021-01-15",95.269997,97.730003,95.25,97.68,2735200,94.585732
"2021-01-19",98.400002,98.589996,96.949997,98.010002,2540600,94.905281
"2021-01-20",97.730003,101.209999,97.110001,100.339996,2980100,97.161469
"2021-01-21",100.099998,100.529999,98.980003,100.43,2376200,97.248611
"2021-01-22",100.089996,101.769997,100.010002,101.220001,3065200,98.013596
"2021-01-25",101.389999,103.889999,101.139999,102.699997,2965700,99.446709
"2021-01-26",103.029999,106.949997,103,106.050003,4360400,102.69059
"2021-01-27",105.720001,106.889999,101.809998,103.279999,2884400,100.008331
"2021-01-28",103.019997,104.809998,101.660004,103.400002,2371600,100.124527
"2021-01-29",102.199997,104.690002,100.82,103.199997,3090900,99.93087
"2021-02-01",104.010002,106.029999,102.25,105.910004,2982300,102.555023
"2021-02-02",106.610001,107.440002,105.400002,106.879997,2148700,103.494293
"2021-02-03",106.879997,107,104.620003,106.040001,2440100,102.680901
"2021-02-04",106.639999,107.370003,106.040001,106.410004,2698000,103.039192
"2021-02-05",106.290001,107.199997,105.849998,106.699997,1704900,103.319992
"2021-02-08",106.75,107.120003,105.910004,107.080002,1754000,103.687958
"2021-02-09",106.919998,107.43,106.050003,107.419998,1328500,104.017189
"2021-02-10",108.379997,109.089996,107.290001,107.519997,1633500,104.114029
"2021-02-11",107.620003,108.540001,106.989998,107.760002,1372400,104.34642
"2021-02-12",107.209999,107.769997,106.75,107.669998,1393000,104.259277
"2021-02-16",108.040001,108.290001,105.099998,106.580002,3141000,103.203804
"2021-02-17",106.769997,106.959999,104.900002,105.830002,2005700,102.477562
"2021-02-18",105.82,106.010002,104.919998,105.779999,1947100,102.429138
"2021-02-19",106.279999,106.580002,105.18,105.300003,1999900,101.964348
"2021-02-22",104.5,105.099998,103.5,104.720001,2386200,101.402725
"2021-02-23",105.610001,105.870003,104.040001,104.550003,2213400,101.238106
"2021-02-24",104.489998,104.519997,102.949997,103.239998,3137100,99.969597
"2021-02-25",103.089996,103.449997,100.760002,101.389999,3636400,98.178207
"2021-02-26",101.919998,102.120003,99.010002,99.07,5937400,95.931709
"2021-03-01",100.110001,101.099998,99.309998,99.43,3055100,96.280296
"2021-03-02",99.540001,99.919998,97.57,99.089996,4855300,95.951065
"2021-03-03",98.5,99.010002,95.93,96.110001,3362400,93.06546
"2021-03-04",96.419998,97.949997,95.059998,95.639999,3403500,92.610344
"2021-03-05",95.989998,97.809998,94.139999,97.370003,3552800,94.285545
"2021-03-08",97.339996,98,95.919998,95.949997,3633200,92.910522
"2021-03-09",97.220001,99.709999,97.220001,98.32,3361900,95.20546
"2021-03-10",98.639999,99.050003,97.599998,97.720001,2705900,94.624466
"2021-03-11",97.919998,100.309998,97.720001,99.559998,2354000,96.406166
"2021-03-12",99.050003,101.290001,98.620003,101.290001,2660600,98.081375
"2021-03-15",101.239998,103.010002,100.419998,102.779999,2979200,99.52417
"2021-03-16",103.349998,104.690002,102.400002,104.230003,3374100,100.928238
"2021-03-17",103.419998,103.419998,100.709999,102.099998,4000200,98.865723
"2021-03-18",100.550003,102.360001,99.669998,102.110001,3069700,99.489288
"2021-03-19",102.279999,102.910004,100.309998,100.379997,4555300,97.803688
"2021-03-22",100.650002,103.699997,100.040001,103.650002,2652100,100.989769
"2021-03-23",103.519997,105.580002,103.150002,105.199997,3609500,102.499977
"2021-03-24",104.440002,105.269997,103.540001,103.82,2772700,101.155396
"2021-03-25",103.550003,104.650002,102.419998,104.43,1745600,101.749741
"2021-03-26",105,106.959999,104.080002,106.779999,2381800,104.039421
"2021-03-29",106.730003,107.239998,104.989998,106.769997,2928400,104.029686
"2021-03-30",106.480003,107.029999,105.769997,106.760002,2316900,104.019943
"2021-03-31",106.449997,107.339996,105.199997,106,4922800,103.279442
"2021-04-01",106.800003,108.610001,105.860001,108.5,2922400,105.715286
"2021-04-05",109,109.239998,107.769997,108.370003,3862900,105.588631
"2021-04-06",108.029999,109.379997,107.919998,109.32,2952000,106.514236
"2021-04-07",109.309998,109.779999,108.690002,109.629997,3400500,106.816277
"2021-04-08",109.43,110.32,108.230003,108.440002,2039500,105.656822
"2021-04-09",108.559998,109.940002,108.32,109.510002,2454000,106.699364
"2021-04-12",109.580002,109.889999,108.339996,109.839996,1725100,107.020882
"2021-04-13",110.199997,110.879997,109.639999,110.779999,2152400,107.936768
"2021-04-14",110.620003,111.25,109.519997,109.660004,1904900,106.845512
"2021-04-15",110.639999,112.5,110.010002,112.360001,2539600,109.476219
"2021-04-16",112.699997,113.029999,112.120003,112.559998,2373300,109.671082
"2021-04-19",112,113,110.690002,112.25,2554000,109.369034
"2021-04-20",112.379997,115.699997,111.510002,114.75,3351500,111.804878
"2021-04-21",115.029999,115.860001,114.550003,114.709999,2318600,111.765907
"2021-04-22",114.43,115.080002,113.68,114.68,2088300,111.736671
"2021-04-23",115.089996,115.389999,114.139999,114.870003,1749800,111.921791
"2021-04-26",115.230003,115.989998,114.709999,115.220001,1584400,112.26281
"2021-04-27",115.32,115.480003,114.769997,114.849998,2366600,111.902306
"2021-04-28",115.010002,115.800003,114.839996,115.099998,2249500,112.145889
"2021-04-29",115.389999,116.489998,115.260002,116.269997,1751600,113.285858
"2021-04-30",116.239998,116.970001,115.32,116.529999,3323100,113.539185
"2021-05-03",116.839996,116.93,115.639999,116.010002,2038000,113.032539
"2021-05-04",116,116.580002,114.720001,115.599998,2704400,112.633064
"2021-05-05",115.410004,115.489998,112.470001,113.010002,2512000,110.109535
"2021-05-06",113.330002,115,113.040001,114.720001,1866800,111.77565
"2021-05-07",114.889999,116.080002,114.889999,116.019997,2610100,113.042274
"2021-05-10",116.059998,117.610001,115.809998,116.199997,1900400,113.217659
"2021-05-11",115.480003,115.589996,113.32,114.860001,1871900,111.912056
"2021-05-12",113.919998,114.580002,112,112.370003,2086500,109.485954
"2021-05-13",112.739998,114.540001,112.040001,113.5,2066000,110.58696
"2021-05-14",114.129997,115.279999,113.940002,114.650002,2148300,111.707443
"2021-05-17",114.75,115.080002,113.800003,114.190002,1427300,111.259247
"2021-05-18",114.07,115.519997,113.389999,114.980003,1667100,112.028976
"2021-05-19",114.18,115.410004,113.580002,115.349998,2112100,112.389465
"2021-05-20",115.620003,117.790001,115.25,117.360001,2464200,114.347885
"2021-05-21",117.220001,118,116.970001,117.529999,2372200,114.513519
"2021-05-24",118.110001,119.040001,117.599998,118.150002,2280200,115.117615
"2021-05-25",118.389999,118.629997,116.75,118.18,2072100,115.146851
"2021-05-26",118.339996,118.699997,117.370003,117.510002,2231800,114.494041
"2021-05-27",117.650002,118.309998,116.709999,116.860001,3470100,113.860725
"2021-05-28",117.709999,118.620003,117.25,117.839996,2870700,114.815559
"2021-06-01",118.459999,120.110001,117.510002,119.830002,2547100,116.754494
