"","PHM.Open","PHM.High","PHM.Low","PHM.Close","PHM.Volume","PHM.Adjusted"
"2021-09-28",47.84,48.43,46.880001,47.189999,2305900,46.749443
"2021-09-29",47.380001,48.299999,47.380001,47.919998,1578500,47.47263
"2021-09-30",48.099998,48.16,45.900002,45.919998,2148500,45.491299
"2021-10-01",46.32,46.549999,45.580002,46.130001,2536800,45.699345
"2021-10-04",45.939999,46.900002,45.73,46.25,1704600,45.818218
"2021-10-05",46.52,46.919998,45.959999,46.529999,1644300,46.095608
"2021-10-06",46.23,47.360001,46.080002,46.990002,1844000,46.551315
"2021-10-07",47.290001,48.299999,47.290001,47.66,1620600,47.215054
"2021-10-08",47.720001,47.959999,47.139999,47.330002,1423900,46.888138
"2021-10-11",47.349998,47.779999,47.169998,47.25,1415900,46.808884
"2021-10-12",47.32,48.049999,47.139999,47.869999,2176300,47.423096
"2021-10-13",47.959999,48.459999,47.599998,47.779999,2396700,47.333935
"2021-10-14",48.040001,49.330002,47.98,49.240002,1855400,48.780308
"2021-10-15",49.630001,49.860001,48.360001,48.41,2921100,47.958054
"2021-10-18",48.18,49.41,47.950001,49.369999,2196700,48.909092
"2021-10-19",49.509998,49.630001,49.060001,49.23,1830900,48.770397
"2021-10-20",49.439999,50.560001,49.41,50.209999,1875400,49.741253
"2021-10-21",49.880001,50.419998,49.560001,50.099998,1319100,49.632275
"2021-10-22",50.330002,50.91,49.639999,49.720001,1970500,49.255825
"2021-10-25",49.669998,50.209999,49.34,49.860001,3076900,49.39452
"2021-10-26",49.360001,49.990002,47.869999,48.68,3646300,48.225536
"2021-10-27",49.330002,51.349998,48.740002,48.75,4439300,48.294884
"2021-10-28",49.060001,49.16,48.23,48.66,3058300,48.205723
"2021-10-29",48.720001,49.560001,47.990002,48.080002,2763300,47.631138
"2021-11-01",48.049999,48.959999,47.709999,48.68,1870800,48.225536
"2021-11-02",48.799999,48.799999,47.349998,47.790001,2397500,47.343842
"2021-11-03",47.540001,49.23,47.540001,48.389999,2932500,47.93824
"2021-11-04",48.880001,49.82,48.75,49.080002,2068300,48.621803
"2021-11-05",49.59,50.700001,49.43,50.43,2583700,49.959198
"2021-11-08",50.450001,50.669998,49.830002,50.27,2039700,49.800694
"2021-11-09",50.709999,52.27,50.619999,51.91,2608600,51.425381
"2021-11-10",51.450001,52.049999,50.540001,50.619999,2804100,50.147423
"2021-11-11",50.950001,51.380001,50.68,50.700001,2812600,50.226677
"2021-11-12",50.990002,51.599998,50.75,51.360001,1829200,50.880516
"2021-11-15",51.470001,51.540001,50.450001,50.57,1821400,50.097889
"2021-11-16",50.759998,52.009998,50.48,51.52,1721200,51.039021
