"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume","ALGN.Adjusted"
"2021-08-16",684.200012,690.840027,681.190002,690.75,310600,690.75
"2021-08-17",690.780029,690.780029,669.309998,680.890015,610300,680.890015
"2021-08-18",680.820007,690.960022,672.72998,675.26001,475000,675.26001
"2021-08-19",671.030029,685.530029,669.640015,679.859985,359100,679.859985
"2021-08-20",681.400024,684.26001,672.809998,681.570007,292900,681.570007
"2021-08-23",687.380005,699.530029,686.859985,697.5,417800,697.5
"2021-08-24",696.340027,715.73999,696.340027,712.840027,602500,712.840027
"2021-08-25",713.25,721.450012,711.719971,716.900024,526500,716.900024
"2021-08-26",714.650024,717.75,692.900024,696.559998,540600,696.559998
"2021-08-27",699.320007,709.150024,696,701.849976,384500,701.849976
"2021-08-30",706.419983,712.799988,698.679993,702.109985,351100,702.109985
"2021-08-31",702.01001,710.679993,700.280029,709,497700,709
"2021-09-01",713.140015,719.830017,708.789978,718.719971,431100,718.719971
"2021-09-02",721.590027,731.72998,719,729.030029,384300,729.030029
"2021-09-03",729.869995,729.869995,711.97998,721.5,356600,721.5
"2021-09-07",719.799988,720.51001,706,716.210022,439400,716.210022
"2021-09-08",716.97998,733.330017,715.119995,729.919983,503600,729.919983
"2021-09-09",734.460022,735.169983,723.780029,726.409973,422800,726.409973
"2021-09-10",730.219971,731.23999,718.75,720.669983,344400,720.669983
"2021-09-13",726.539978,726.539978,695.630005,710.679993,502800,710.679993
"2021-09-14",718.359985,724.640015,703.599976,706.450012,441100,706.450012
"2021-09-15",706.059998,713.849976,692.22998,710.309998,844000,710.309998
"2021-09-16",712.97998,731.200012,710.349976,728.289978,656800,728.289978
"2021-09-17",728.900024,730.609985,715,719.380005,834200,719.380005
"2021-09-20",708.02002,713.690002,698.030029,709.640015,684100,709.640015
"2021-09-21",717.140015,721,704.609985,709.150024,646900,709.150024
"2021-09-22",713.309998,725.27002,701.210022,716.609985,447900,716.609985
"2021-09-23",723,737.450012,720.179993,727.109985,349700,727.109985
"2021-09-24",718.469971,726.299988,715.289978,725.23999,272100,725.23999
"2021-09-27",716.590027,720.070007,693.390015,701.039978,473300,701.039978
"2021-09-28",692.070007,692.73999,672.650024,677.320007,496000,677.320007
"2021-09-29",679.400024,683.119995,671.440002,673.059998,356700,673.059998
"2021-09-30",684.619995,684.619995,665.409973,665.429993,433500,665.429993
"2021-10-01",672,674.950012,648.200012,662.059998,566600,662.059998
"2021-10-04",658.599976,659.380005,637.559998,640.400024,520800,640.400024
"2021-10-05",643.809998,657.159973,642.190002,648.580017,496500,648.580017
"2021-10-06",640.599976,651.349976,638.590027,650.650024,369800,650.650024
"2021-10-07",653.619995,671.900024,653.619995,661.409973,488300,661.409973
"2021-10-08",663.969971,664.450012,641.820007,643.559998,258300,643.559998
"2021-10-11",638,644.280029,631.140015,631.849976,252300,631.849976
"2021-10-12",632,632.380005,621.869995,627.429993,505700,627.429993
"2021-10-13",608.609985,608.609985,572.51001,596.219971,2044000,596.219971
"2021-10-14",600.98999,604,586.190002,597.719971,904200,597.719971
"2021-10-15",605.25,606.950012,587.059998,589.609985,742500,589.609985
"2021-10-18",586.450012,596.98999,580.109985,595.130005,560700,595.130005
"2021-10-19",601.390015,603.679993,592.659973,594.27002,393000,594.27002
"2021-10-20",597.059998,608.72998,592.52002,608.200012,532800,608.200012
"2021-10-21",611.190002,618.01001,597.599976,599.48999,780700,599.48999
