"","TRV.Open","TRV.High","TRV.Low","TRV.Close","TRV.Volume","TRV.Adjusted"
"2021-01-15",141.839996,144.119995,141.070007,143.240005,1915900,138.602371
"2021-01-19",143.630005,144.289993,142.039993,143.509995,1616400,138.863602
"2021-01-20",143.279999,145.550003,142.669998,145.020004,1929600,140.324722
"2021-01-21",148.130005,152.289993,147.100006,148.720001,2835300,143.904953
"2021-01-22",146.839996,147.970001,144.449997,145.839996,1237900,141.118179
"2021-01-25",144.5,146.559998,143.259995,146.360001,1284800,141.621353
"2021-01-26",146.809998,147.559998,143.690002,143.710007,1277300,139.057144
"2021-01-27",141.869995,143.919998,139.300003,139.5,1637600,134.983444
"2021-01-28",140.279999,141.380005,139.110001,140,1680700,135.467255
"2021-01-29",138.970001,138.970001,135.869995,136.300003,2277100,131.887039
"2021-02-01",137.080002,138.5,135.889999,138.210007,1232200,133.735214
"2021-02-02",139.160004,140.690002,138.25,139.830002,1403700,135.302765
"2021-02-03",139.410004,140.350006,138.020004,138.660004,1083400,134.170639
"2021-02-04",139.240005,144.179993,138.789993,143.929993,2701400,139.270004
"2021-02-05",144.660004,146.479996,143.570007,144.839996,933600,140.150543
"2021-02-08",144.580002,146.240005,143.850006,146.199997,756100,141.466522
"2021-02-09",146.130005,147.169998,145.679993,147.160004,795500,142.395432
"2021-02-10",147.210007,147.690002,145.330002,145.929993,1528600,141.205261
"2021-02-11",146,147.179993,145.580002,146.339996,887300,141.60199
"2021-02-12",145.839996,147.139999,144.839996,145.960007,1313000,141.234299
"2021-02-16",147.009995,147.919998,145.669998,147.419998,1122100,142.647018
"2021-02-17",146.910004,148.820007,146.759995,148.449997,924300,143.643661
"2021-02-18",148.309998,148.410004,146.360001,147.690002,918200,142.908295
"2021-02-19",148.139999,148.169998,145.740005,145.910004,1124700,141.185928
"2021-02-22",145.830002,148,144.889999,147.869995,1243900,143.082443
"2021-02-23",149.369995,149.960007,147.199997,149.330002,949200,144.495193
"2021-02-24",148.690002,151.240005,148.690002,150.960007,1484300,146.072418
"2021-02-25",151.309998,151.479996,147.869995,148,1259900,143.208252
"2021-02-26",148.089996,148.179993,145.179993,145.5,1529100,140.789185
"2021-03-01",147,151.009995,147,150.389999,1183900,145.520874
"2021-03-02",149.839996,150.919998,149.020004,149.119995,1221400,144.291992
"2021-03-03",149.110001,152.149994,148.710007,150.710007,1226200,145.830521
"2021-03-04",150.619995,152.020004,147.559998,149.020004,1107000,144.195221
"2021-03-05",150.449997,153.220001,149.220001,152.360001,1458700,147.427078
"2021-03-08",153,157.25,152.470001,155.75,1374800,150.707336
"2021-03-09",154.419998,155.960007,152.779999,153.820007,1420100,149.656555
"2021-03-10",153.559998,156.429993,153.050003,155.380005,1491600,151.174332
"2021-03-11",153.880005,155.369995,152.169998,155.089996,2105200,150.892151
"2021-03-12",157.050003,159.039993,155.970001,157.270004,1313300,153.013184
"2021-03-15",155.970001,157.5,155.600006,157.339996,873500,153.081284
"2021-03-16",156.869995,156.869995,154.410004,156.470001,1049100,152.234833
"2021-03-17",157.149994,158.179993,155.539993,157.919998,1393800,153.645584
"2021-03-18",159.800003,161.190002,156.350006,156.830002,2301300,152.585083
"2021-03-19",156.25,156.25,148.880005,149.300003,4099200,145.258896
"2021-03-22",149.149994,149.520004,146.759995,147.589996,1381800,143.595184
"2021-03-23",147.649994,149.410004,146.789993,147,1616400,143.021133
"2021-03-24",147.690002,151.070007,147.460007,149.279999,1995900,145.239441
"2021-03-25",149.880005,153.139999,147.919998,152.779999,1402100,148.644714
"2021-03-26",153.699997,153.860001,151.5,153.639999,1123000,149.481445
"2021-03-29",151.809998,154.5,150.770004,153.850006,1393700,149.685745
"2021-03-30",154.570007,155.229996,153.300003,154.029999,924000,149.860855
"2021-03-31",154.029999,154.130005,150.25,150.399994,1705200,146.329102
"2021-04-01",150.25,151.300003,149.460007,150.619995,1680000,146.543182
"2021-04-05",152.25,152.429993,150.600006,152.029999,1260700,147.915009
"2021-04-06",152.029999,153.940002,151.449997,151.75,1349200,147.642609
"2021-04-07",151.789993,152.449997,151.009995,152.289993,1694200,148.167969
"2021-04-08",150.789993,151.119995,149.529999,150.360001,1740700,146.290207
"2021-04-09",151.520004,152.550003,150.960007,151.649994,1377600,147.545288
"2021-04-12",151.889999,152.220001,151.270004,151.839996,1232200,147.730148
"2021-04-13",151.210007,152.399994,150.539993,152.210007,1911200,148.090149
"2021-04-14",152.419998,156.350006,152,155.429993,1850700,151.222961
"2021-04-15",155.529999,155.970001,153.779999,154.360001,1181300,150.181946
"2021-04-16",154.669998,156.460007,154.669998,155.949997,1315500,151.728897
"2021-04-19",156.580002,157.960007,153.570007,154.380005,1123100,150.201401
"2021-04-20",154.929993,157.399994,153.839996,155.729996,1840900,151.514862
"2021-04-21",156.279999,157.759995,156.029999,157.380005,859600,153.120193
"2021-04-22",156.710007,157.320007,154.309998,155.869995,1446000,151.651077
"2021-04-23",156.539993,158.339996,156.009995,157.839996,1079600,153.567734
"2021-04-26",157.839996,158.110001,155.429993,155.729996,1033200,151.514862
"2021-04-27",155.710007,156.440002,154.559998,155.199997,1339400,150.999191
"2021-04-28",155.729996,155.889999,152.850006,153.789993,1167500,149.62735
"2021-04-29",154.759995,155.820007,154.320007,155.699997,877000,151.485687
"2021-04-30",155.529999,156.600006,153.899994,154.660004,952300,150.473816
"2021-05-03",156.110001,158.080002,155.710007,156.589996,1094300,152.351593
"2021-05-04",156.389999,158.690002,155.970001,158.529999,1389900,154.239075
"2021-05-05",158.119995,159.679993,156.25,159.289993,1453200,154.9785
"2021-05-06",160,160.850006,159.160004,160.5,1007600,156.155746
"2021-05-07",158.300003,161.100006,158.139999,160.809998,1057300,156.457367
"2021-05-10",161.589996,162.710007,161.089996,161.669998,1214500,157.294067
"2021-05-11",161.869995,161.910004,156.320007,156.690002,1180100,152.448868
"2021-05-12",157.660004,157.669998,153.660004,153.75,1343300,149.588455
"2021-05-13",152.809998,158.740005,152.75,157.759995,1315400,153.489899
"2021-05-14",157.759995,160.860001,157.429993,160.509995,1001200,156.165466
"2021-05-17",159.360001,160.690002,158.960007,160.25,938000,155.912506
"2021-05-18",159.600006,159.639999,157.199997,157.289993,1377500,153.032639
"2021-05-19",156.770004,157.360001,154.110001,157,1332700,152.750504
"2021-05-20",157.210007,159.639999,156.509995,158.809998,1067100,154.51149
"2021-05-21",159.089996,160.949997,158.330002,159.080002,907000,154.774185
"2021-05-24",159.399994,160.199997,158.289993,158.729996,890800,154.43364
"2021-05-25",158.839996,159.5,156.080002,156.550003,1238600,152.312683
"2021-05-26",157,157.839996,156.580002,157.139999,1014000,152.886688
"2021-05-27",158.279999,159.479996,157.729996,159.350006,2438800,155.03688
"2021-05-28",160.399994,160.399994,158.960007,159.699997,963300,155.377396
"2021-06-01",161.119995,161.990005,160.259995,160.889999,901300,156.535187
"2021-06-02",161.679993,161.740005,159.889999,160.199997,976000,155.863876
"2021-06-03",159.910004,162.25,158.949997,161,812500,156.642227
"2021-06-04",160.580002,161,159.050003,160,960000,155.669281
"2021-06-07",160.429993,160.429993,157.639999,157.759995,980500,153.489899
"2021-06-08",157.190002,157.929993,155.830002,157.539993,988300,153.275864
"2021-06-09",156.070007,156.259995,154.5,154.740005,1099900,151.397354
"2021-06-10",155.630005,155.889999,153.929993,154.020004,900500,150.692917
"2021-06-11",153.899994,155.820007,153.899994,154.479996,933700,151.142944
"2021-06-14",154.25,154.399994,152.580002,153.25,880600,149.939529
"2021-06-15",153.869995,155.419998,152.690002,154.619995,864500,151.279938
"2021-06-16",153.899994,155.190002,152.679993,152.789993,1156200,149.489471
"2021-06-17",153.240005,153.570007,148.600006,148.869995,1108900,145.654144
"2021-06-18",146.839996,147.520004,144.440002,144.759995,3109200,141.632935
"2021-06-21",146.369995,149,145.809998,148.649994,931100,145.438889
"2021-06-22",148.529999,149.190002,147.139999,148.300003,727500,145.096481
"2021-06-23",148.839996,148.949997,147.830002,147.899994,649600,144.705109
"2021-06-24",148.899994,150.5,148.289993,149.970001,1026900,146.730408
"2021-06-25",150.710007,151.960007,150.100006,151.720001,1239700,148.442581
"2021-06-28",151.210007,151.350006,148.740005,149.449997,873300,146.221634
"2021-06-29",150.289993,151,148.899994,149.520004,701400,146.290115
"2021-06-30",149.139999,150.169998,148.899994,149.710007,996900,146.475998
"2021-07-01",150,152.179993,149.25,151.830002,855900,148.550217
"2021-07-02",150.800003,151.610001,150.460007,151.229996,662000,147.963165
"2021-07-06",151.169998,151.639999,148.369995,150.839996,1006500,147.581589
"2021-07-07",150.070007,152.5,149.5,152.190002,801000,148.902435
"2021-07-08",150.139999,151.039993,147.910004,148.520004,1346500,145.311722
"2021-07-09",151.070007,153.380005,150.389999,153.330002,988200,150.017807
"2021-07-12",154.149994,154.610001,152.720001,154.089996,1076400,150.761398
"2021-07-13",153.570007,154.679993,152.679993,152.990005,1066400,149.685165
"2021-07-14",153.350006,154.779999,152.809998,154.529999,1436600,151.191879
"2021-07-15",152.710007,155.75,152.449997,155.580002,1358700,152.219208
"2021-07-16",156.070007,156.949997,154.779999,156.389999,1387700,153.011719
"2021-07-19",153.929993,155.100006,149.720001,151.259995,1947800,147.992508
"2021-07-20",151.309998,154.410004,148.039993,151.089996,2367600,147.826187
"2021-07-21",152.360001,154.5,151.559998,151.839996,1307600,148.559998
"2021-07-22",148,149.770004,147.199997,147.759995,1540600,144.56813
"2021-07-23",148.929993,150.130005,146.759995,147.869995,1181400,144.675751
"2021-07-26",147.979996,149.880005,147.789993,148.820007,1320200,145.60524
"2021-07-27",148.119995,150.119995,147.550003,149.380005,861300,146.153137
"2021-07-28",149.839996,150.25,146.070007,146.820007,1427800,143.648438
"2021-07-29",147.449997,149,145.979996,148.880005,1221700,145.663956
"2021-07-30",148.759995,150.550003,148.320007,148.919998,984100,145.703064
"2021-08-02",149.820007,151.800003,148.679993,148.949997,898600,145.732422
"2021-08-03",149.080002,150.460007,147.5,150.389999,890000,147.141312
"2021-08-04",149.979996,150.630005,149.259995,149.520004,863500,146.290115
"2021-08-05",150.380005,151.539993,149.429993,150.580002,716800,147.327209
"2021-08-06",151.860001,153.380005,151.529999,152.820007,634100,149.518829
"2021-08-09",152.889999,153.910004,152.080002,153.369995,680000,150.056946
"2021-08-10",153.119995,155.160004,153.020004,154.220001,852000,150.88858
"2021-08-11",154.889999,156.279999,154.389999,156.210007,757700,152.835602
"2021-08-12",157,157.119995,155.309998,156.490005,722800,153.109543
"2021-08-13",156.639999,157.100006,155.669998,156.309998,594400,152.933441
"2021-08-16",156.309998,157.940002,155.479996,157.740005,980300,154.33255
"2021-08-17",157.580002,159.380005,157.330002,158.899994,875600,155.467484
"2021-08-18",157.979996,160.479996,157.660004,158.720001,1290700,155.291367
"2021-08-19",158.320007,161.050003,158.089996,159.479996,1105000,156.034958
"2021-08-20",159.25,162.199997,158.809998,160.839996,978500,157.36557
"2021-08-23",161.509995,162.330002,159.830002,159.899994,622700,156.445877
"2021-08-24",160.160004,161.050003,159.770004,160.639999,791300,157.169907
"2021-08-25",160.770004,163.289993,160.399994,162.580002,1034600,159.067993
"2021-08-26",162.5,162.779999,159.940002,159.970001,734100,156.514374
"2021-08-27",160.160004,162.270004,160.160004,162.089996,608000,158.588577
"2021-08-30",161.740005,161.740005,159.429993,159.440002,460700,155.995819
"2021-08-31",158.850006,160.800003,158.710007,159.710007,1568700,156.259995
"2021-09-01",159.429993,160.229996,158.210007,159.279999,1133800,155.839279
"2021-09-02",159.720001,160.100006,158.25,159.970001,912700,156.514374
"2021-09-03",159.229996,159.949997,158.399994,159.169998,698900,155.731644
"2021-09-07",158.949997,159.460007,156.649994,157.800003,1032200,154.391235
"2021-09-08",157.399994,159.830002,156.960007,158.740005,1328600,155.310944
"2021-09-09",158.009995,159.619995,157.389999,157.960007,1161800,155.409332
"2021-09-10",158.729996,158.899994,156.320007,156.360001,920500,153.835159
"2021-09-13",156.979996,159.029999,156.070007,158.899994,1225300,156.334137
"2021-09-14",159.190002,159.320007,155.889999,156.350006,1186700,153.825333
"2021-09-15",156.779999,157.820007,155.710007,157.580002,1401300,155.035461
"2021-09-16",157.559998,158.020004,155.5,156.669998,1238300,154.140152
"2021-09-17",156.589996,157.839996,155.649994,156.289993,2654900,153.766281
"2021-09-20",153.199997,154.070007,150.589996,152.660004,1958000,150.194901
"2021-09-21",153.190002,154.220001,151.679993,152.970001,1212700,150.499893
"2021-09-22",154.100006,155.580002,153.279999,154.380005,1440800,151.887146
"2021-09-23",155.570007,157.369995,155.460007,156.020004,821900,153.500641
"2021-09-24",155.970001,156.779999,155.479996,156.460007,833600,153.933548
"2021-09-27",157.690002,158.149994,156.169998,156.289993,1106300,153.766281
"2021-09-28",156.360001,157.119995,153.179993,153.490005,951300,151.011505
"2021-09-29",152.869995,155.630005,152.289993,154.880005,856800,152.379059
"2021-09-30",155.520004,156.350006,151.979996,152.009995,1095300,149.555389
"2021-10-01",152.410004,153.850006,150.289993,152.419998,1145600,149.958771
"2021-10-04",151.309998,153.649994,150.259995,151.380005,1310100,148.935593
"2021-10-05",152.820007,154.179993,150.839996,153.600006,1144500,151.119736
"2021-10-06",152.699997,155.149994,150.5,155.089996,1200800,152.585648
"2021-10-07",156.669998,158.160004,155.979996,157.240005,1359400,154.700958
"2021-10-08",157.350006,158.449997,156.369995,157.330002,989900,154.789505
"2021-10-11",157.300003,158.740005,156.179993,156.229996,796900,153.70726
"2021-10-12",156.119995,158.089996,155.520004,156.479996,1402000,153.953232
"2021-10-13",156.350006,156.740005,153.559998,156.389999,1203700,153.864685
"2021-10-14",156.639999,157.830002,156.070007,156.690002,1346400,154.159836
"2021-10-15",157.160004,158.460007,155.559998,155.639999,1040300,153.126785
"2021-10-18",154.419998,154.699997,152.160004,152.880005,1599300,150.411362
"2021-10-19",156.210007,158.270004,154.889999,155.389999,2380200,152.880829
"2021-10-20",155.809998,159.5,155.660004,158.690002,1548300,156.127533
"2021-10-21",158.169998,160.720001,158.169998,160.190002,1464500,157.603317
"2021-10-22",160.889999,163.160004,160.800003,162.369995,1362800,159.748093
"2021-10-25",162,162.460007,160.869995,161.580002,1041200,158.970871
"2021-10-26",161.770004,162.419998,160.360001,160.429993,847700,157.839432
"2021-10-27",160.740005,162.110001,159.729996,159.779999,1217200,157.199921
"2021-10-28",160.220001,162.449997,160.059998,161.570007,1260000,158.961044
"2021-10-29",162.130005,162.440002,160.660004,160.880005,1314100,158.282181
"2021-11-01",161.25,162.369995,159.070007,160.110001,1077500,157.524628
"2021-11-02",161.139999,161.690002,158.75,158.820007,994500,156.255447
"2021-11-03",158.220001,161.25,158.220001,160.25,1728700,157.662338
"2021-11-04",160.25,160.369995,156.119995,156.5,1526200,153.9729
"2021-11-05",157.740005,160.429993,156.929993,159.600006,1506200,157.022842
