"","AME.Open","AME.High","AME.Low","AME.Close","AME.Volume","AME.Adjusted"
"2020-11-02",99.809998,102.300003,99.709999,102.269997,1178700,101.134422
"2020-11-03",103.629997,105.800003,103.169998,105.290001,1122200,104.12088
"2020-11-04",104.519997,106.389999,103.07,105.389999,1094000,104.21978
"2020-11-05",106.860001,109.5,106.449997,109.050003,881000,107.839142
"2020-11-06",109.18,110.699997,108.860001,110.32,942400,109.095032
"2020-11-09",117.07,118.949997,113.93,114.07,1610400,112.803391
"2020-11-10",114.339996,117.43,113.779999,116.449997,1620000,115.156975
"2020-11-11",117,117.550003,116.059998,116.760002,1143900,115.463531
"2020-11-12",116.279999,116.949997,114.779999,115.449997,872700,114.168068
"2020-11-13",116.660004,117.510002,115.75,117.269997,829100,115.96785
"2020-11-16",118.860001,120.339996,118.400002,120.080002,1256100,118.746658
"2020-11-17",119.379997,119.900002,118.440002,118.760002,1058000,117.441315
"2020-11-18",119.209999,120.349998,118.25,119.239998,1009500,117.915985
"2020-11-19",118.970001,119.290001,117.129997,118.18,1048300,116.86776
"2020-11-20",118.300003,118.360001,116.519997,117.419998,862100,116.116196
"2020-11-23",118.480003,118.900002,117.349998,117.790001,817700,116.482086
"2020-11-24",118.900002,121.690002,117.559998,121.25,1679400,119.903664
"2020-11-25",120.589996,120.669998,118.949997,119.82,681600,118.489555
"2020-11-27",120.099998,120.349998,119.18,119.769997,423000,118.440094
"2020-11-30",119.720001,119.809998,117.540001,118.529999,964400,117.21386
"2020-12-01",119.540001,120.080002,117.150002,117.239998,1241900,115.938194
"2020-12-02",116.610001,117.209999,114.510002,115.019997,1380100,113.742836
"2020-12-03",114.82,116.019997,114.239998,114.43,927100,113.159401
"2020-12-04",114.480003,117.410004,114.480003,116.839996,858600,115.724678
"2020-12-07",117.230003,117.870003,116.709999,117.610001,725500,116.487328
"2020-12-08",116.910004,119.230003,116.910004,118.57,1130600,117.438156
"2020-12-09",118.839996,119.300003,118.190002,118.760002,849900,117.626343
"2020-12-10",118.110001,119.07,117.239998,118.349998,880600,117.220268
"2020-12-11",117.010002,118.540001,116.800003,118.379997,1045400,117.249977
"2020-12-14",119.480003,119.690002,116.239998,116.300003,763500,115.189835
"2020-12-15",117.529999,118.589996,116.220001,117.790001,754800,116.665604
"2020-12-16",117.900002,118.129997,116.269997,116.779999,660300,115.665245
"2020-12-17",117.269997,117.779999,116.839996,117.629997,789200,116.507133
"2020-12-18",117.610001,118.529999,116.980003,118.099998,1914100,116.972649
"2020-12-21",115.93,118.589996,114.629997,118.110001,756400,116.982552
"2020-12-22",118.32,118.57,117.239998,117.660004,560200,116.536842
"2020-12-23",118.25,119.440002,117.529999,118.620003,454000,117.487686
"2020-12-24",118.639999,119.32,118,119.040001,188500,117.903679
"2020-12-28",120.139999,120.900002,119.620003,119.760002,371200,118.616798
"2020-12-29",120.339996,120.339996,117.660004,118.660004,392200,117.527298
"2020-12-30",119.080002,120.349998,119.059998,119.830002,437000,118.686142
"2020-12-31",120.099998,121.07,118.82,120.940002,638700,119.785538
"2021-01-04",121.099998,122.330002,117.709999,118.379997,1154500,117.249977
