"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume","SLB.Adjusted"
"2020-09-03",18.77,19.559999,18.67,19.120001,16863200,18.5529
"2020-09-04",19.35,19.68,18.889999,19.309999,15384300,18.737259
"2020-09-08",18.9,19.02,17.93,18.379999,15677400,17.834846
"2020-09-09",18.48,18.74,18.370001,18.610001,9925300,18.058025
"2020-09-10",18.65,18.65,17.639999,17.709999,16190800,17.184717
"2020-09-11",17.76,17.969999,17.49,17.870001,8634200,17.339977
"2020-09-14",17.889999,18.209999,17.639999,18.030001,9913100,17.495228
"2020-09-15",18.07,18.450001,17.969999,18.200001,10611400,17.660185
"2020-09-16",18.540001,19.389999,18.219999,19.18,14177400,18.61112
"2020-09-17",18.809999,19.129999,18.450001,19.08,11677400,18.514086
"2020-09-18",18.790001,19.34,18.52,18.73,19118700,18.174467
"2020-09-21",18.1,18.190001,17.09,17.27,16106800,16.757769
"2020-09-22",17.41,17.74,17.17,17.33,8862700,16.815992
"2020-09-23",17.280001,17.620001,16.59,16.610001,10684200,16.117346
"2020-09-24",16.34,17.08,15.93,16.620001,17772300,16.127048
"2020-09-25",16.280001,16.41,15.82,15.92,16290200,15.447811
"2020-09-28",16.360001,16.85,16.26,16.450001,11912400,15.962091
"2020-09-29",16.35,16.4,15.47,15.6,15827200,15.137303
"2020-09-30",15.81,16.02,15.42,15.56,15527200,15.098491
"2020-10-01",15.36,15.53,14.88,15.01,17901600,14.564803
"2020-10-02",14.57,15.73,14.52,15.57,14625800,15.108192
"2020-10-05",15.77,16.129999,15.63,16.07,12192000,15.593363
"2020-10-06",16.440001,16.559999,15.64,15.67,13187300,15.205226
"2020-10-07",15.72,16.030001,15.58,15.95,10374000,15.476921
"2020-10-08",16.120001,16.440001,15.94,16.43,10855600,15.942685
"2020-10-09",16.58,16.6,16.049999,16.23,11704100,15.748615
"2020-10-12",16.030001,16.200001,15.76,16.120001,12381400,15.64188
"2020-10-13",15.96,16.139999,15.52,15.73,14015000,15.263446
"2020-10-14",15.75,16.51,15.74,15.95,15875200,15.476921
"2020-10-15",15.75,16.440001,15.55,16.42,15709600,15.932983
"2020-10-16",15.62,16.26,14.9,14.97,39866400,14.52599
"2020-10-19",15.16,15.44,14.91,15.01,18285500,14.564803
"2020-10-20",15.24,15.65,15.18,15.49,20802200,15.030565
"2020-10-21",15.36,15.59,14.98,15.01,18537500,14.564803
"2020-10-22",15.06,15.42,14.91,15.3,15937500,14.8462
"2020-10-23",15.46,15.78,15.17,15.4,13862100,14.943234
"2020-10-26",15.15,15.26,14.86,15.17,17382400,14.720056
"2020-10-27",15.11,15.23,14.75,15.09,14749700,14.642429
"2020-10-28",14.5,14.75,14.15,14.18,18198000,13.75942
"2020-10-29",13.9,14.49,13.7,14.45,16151800,14.021412
"2020-10-30",14.41,14.96,14.32,14.94,17496700,14.496877
"2020-11-02",15.12,15.8,14.78,15.58,18490900,15.117895
"2020-11-03",15.92,16.049999,15.56,15.76,13028200,15.292557
"2020-11-04",15.7,16.200001,15.07,15.97,17689400,15.496328
"2020-11-05",15.9,16.129999,15.5,15.52,15004600,15.059675
"2020-11-06",15.49,15.83,15.14,15.22,10324200,14.768575
"2020-11-09",17.02,18.76,16.93,18.25,31835600,17.708704
"2020-11-10",18.77,18.91,18,18.309999,19098500,17.766924
"2020-11-11",18.5,18.51,17.4,17.709999,16402100,17.184717
"2020-11-12",17.35,17.879999,17.16,17.299999,10762200,16.786882
"2020-11-13",17.440001,18.110001,17.42,18,9321400,17.466122
"2020-11-16",18.889999,20.049999,18.559999,20.040001,23092800,19.445616
"2020-11-17",19.440001,20.1,19.27,20.09,13972500,19.494131
"2020-11-18",20.18,20.57,19.92,19.969999,15408300,19.377687
"2020-11-19",19.690001,20.5,19.549999,20.459999,11924300,19.853153
"2020-11-20",20.360001,20.5,19.98,20.209999,10300900,19.610567
"2020-11-23",20.6,21.65,20.450001,21.610001,14791600,20.969044
"2020-11-24",22.440001,22.5,21.92,22.23,20774100,21.570658
"2020-11-25",21.73,22.309999,21.66,22.1,12188700,21.444515
"2020-11-27",21.969999,22.110001,21.709999,21.879999,6550900,21.231037
"2020-11-30",21.959999,21.98,20.780001,20.790001,21516100,20.173368
"2020-12-01",21.370001,21.58,20.870001,21.07,12717300,20.568731
"2020-12-02",20.950001,22.07,20.870001,21.639999,9741900,21.125172
"2020-12-03",21.85,22.440001,21.74,22.07,12517400,21.544941
"2020-12-04",22.559999,23.5,22.459999,23.450001,16201300,22.892111
"2020-12-07",23.299999,23.360001,22.709999,22.83,10067500,22.286861
"2020-12-08",22.5,23.299999,22.440001,23.23,8064600,22.677343
"2020-12-09",23.299999,23.790001,22.969999,23.370001,15063300,22.814013
"2020-12-10",22.469999,23.889999,22.219999,23.379999,13977800,22.823774
"2020-12-11",23.129999,23.190001,22.48,22.940001,14589200,22.394243
"2020-12-14",23.309999,23.4,21.99,22.18,11809700,21.652323
"2020-12-15",22.459999,23.07,22.24,22.969999,12686700,22.423529
"2020-12-16",22.92,23.07,22.450001,22.84,11062700,22.296621
"2020-12-17",22.99,23.120001,22.66,22.93,8481200,22.384485
"2020-12-18",22.85,22.959999,22.24,22.309999,20038600,21.779232
"2020-12-21",21.41,21.98,21.08,21.780001,10778300,21.261839
"2020-12-22",21.780001,21.82,21.24,21.360001,17182900,20.851831
"2020-12-23",21.5,22.299999,21.450001,21.92,9474500,21.39851
"2020-12-24",21.98,21.99,21.459999,21.639999,3664900,21.125172
"2020-12-28",21.610001,22.030001,21.459999,21.57,6461100,21.056837
"2020-12-29",21.709999,21.77,21.129999,21.379999,7140300,20.871357
"2020-12-30",21.42,21.98,21.290001,21.879999,7077100,21.359459
"2020-12-31",21.469999,21.969999,21.440001,21.83,7844300,21.31065
"2021-01-04",22.08,22.379999,21.59,21.950001,8743400,21.427797
"2021-01-05",22.219999,23.809999,22.209999,23.129999,16256600,22.579721
"2021-01-06",23.959999,25.030001,23.709999,24.41,19456300,23.829271
"2021-01-07",24.540001,25.469999,24.469999,24.879999,14502400,24.288088
"2021-01-08",25,25.370001,24.48,24.84,11951900,24.249043
"2021-01-11",24.200001,25.120001,24.049999,24.99,16877000,24.395472
"2021-01-12",25.5,26.73,25.17,26.139999,20803200,25.518114
"2021-01-13",26.18,26.450001,25.25,25.459999,11276800,24.854288
"2021-01-14",25.530001,26.379999,25.450001,25.959999,10285800,25.342396
"2021-01-15",25.450001,25.690001,24.639999,24.91,13449000,24.317375
"2021-01-19",25.200001,25.9,25.110001,25.42,21249400,24.815243
"2021-01-20",25.549999,25.68,24.92,25.35,10571800,24.746908
"2021-01-21",25.120001,25.33,23.950001,24.190001,21086200,23.614508
"2021-01-22",23.709999,24.530001,23.450001,24.41,13559500,23.829271
"2021-01-25",24.370001,24.370001,23.209999,23.74,15541000,23.175207
"2021-01-26",24.07,24.389999,22.73,22.74,20225800,22.198999
"2021-01-27",22.450001,22.620001,21.23,21.809999,17044000,21.291126
"2021-01-28",22.120001,22.950001,21.969999,22.639999,12418200,22.101381
"2021-01-29",22.4,22.83,22,22.209999,15573600,21.68161
"2021-02-01",22.5,22.58,21.799999,22.16,10081500,21.632799
"2021-02-02",22.75,23.09,22.35,22.51,11058000,21.974474
"2021-02-03",22.700001,24.25,22.639999,24.18,15843700,23.604742
"2021-02-04",24.34,24.950001,23.74,24.809999,12894700,24.219753
"2021-02-05",25.23,25.65,24.860001,25.01,11370200,24.414997
"2021-02-08",25.450001,26.17,25.34,25.99,11496300,25.371679
"2021-02-09",25.75,26.299999,25.43,26,10799800,25.381445
"2021-02-10",26.24,26.73,25.969999,26.620001,11602000,25.986694
"2021-02-11",26.389999,26.780001,25.940001,26.370001,9773300,25.742643
"2021-02-12",26.059999,26.790001,25.950001,26.77,9063400,26.133127
"2021-02-16",27,27.549999,26.799999,26.809999,14337900,26.294954
"2021-02-17",27.15,27.15,26.35,26.870001,11554300,26.353804
"2021-02-18",26.6,26.74,25.549999,25.58,11173100,25.088583
"2021-02-19",25.639999,26.440001,25.559999,26.120001,10063700,25.618212
"2021-02-22",26,28.18,25.98,27.540001,13964700,27.010931
"2021-02-23",27.76,27.9,26.389999,27.74,13549000,27.207088
"2021-02-24",28.08,29.68,27.77,29.41,21674000,28.845009
"2021-02-25",29.4,29.870001,28.200001,28.51,20387400,27.962296
"2021-02-26",27.82,28.35,26.540001,27.91,22478700,27.373823
"2021-03-01",28.76,29.1,28.370001,28.719999,17121600,28.168262
"2021-03-02",28.75,29.200001,28.120001,28.139999,13582700,27.599403
"2021-03-03",28.34,29.02,28.32,28.370001,20695600,27.824987
"2021-03-04",28.700001,29.309999,27.67,28.58,21586700,28.030952
"2021-03-05",29.67,29.709999,27.91,29.07,26809000,28.511539
"2021-03-08",29.360001,30.07,28.799999,29.709999,14971200,29.139244
"2021-03-09",29.790001,29.98,28.959999,29.35,20585200,28.786161
"2021-03-10",29.34,30.07,29,29.950001,18685600,29.374636
"2021-03-11",30.08,30.41,29.33,29.4,13239500,28.835199
"2021-03-12",29.42,29.6,28.879999,29.01,12829500,28.452692
"2021-03-15",29.15,29.49,28.66,29.120001,7888000,28.560579
"2021-03-16",28.74,28.790001,27.83,28.059999,11347200,27.520943
"2021-03-17",27.83,28.42,27.57,28.309999,11302800,27.766138
"2021-03-18",28.01,28.799999,27.17,27.25,14585300,26.726503
"2021-03-19",27.26,27.6,26.83,27.049999,22577500,26.530344
"2021-03-22",27.049999,27.870001,26.75,27.65,19700200,27.11882
"2021-03-23",26.98,27.790001,26.48,26.67,14459000,26.157646
"2021-03-24",27.280001,28,27.16,27.42,13642400,26.893238
"2021-03-25",26.77,27.530001,26.190001,27.4,14595800,26.873619
"2021-03-26",27.84,28.35,27.6,28.309999,11722600,27.766138
"2021-03-29",28.23,28.52,27.49,27.700001,11397400,27.167858
"2021-03-30",27.379999,27.790001,27.139999,27.219999,11439700,26.697079
"2021-03-31",27.219999,27.379999,26.91,27.190001,11046300,26.667656
"2021-04-01",27.450001,28.139999,27.110001,28.1,10463300,27.560175
"2021-04-05",28.280001,28.299999,27.35,27.549999,9880900,27.020741
"2021-04-06",27.610001,28.34,27.389999,27.440001,9306600,26.912853
"2021-04-07",27.51,27.700001,27.15,27.35,7973300,26.824583
"2021-04-08",27,27.18,26.440001,27.059999,10548700,26.540154
"2021-04-09",27.110001,27.23,26.42,26.76,8624800,26.245916
"2021-04-12",26.870001,27.1,26.32,26.540001,10969200,26.030144
"2021-04-13",26.24,26.469999,25.860001,26.040001,13688500,25.539747
"2021-04-14",26.26,27.780001,26.26,27.309999,14755400,26.785349
"2021-04-15",27.209999,27.360001,26.57,26.66,9107100,26.147837
"2021-04-16",26.889999,26.959999,26.25,26.290001,9234300,25.784948
"2021-04-19",26.389999,26.780001,26.25,26.530001,7711200,26.020336
"2021-04-20",26.16,26.33,25.02,25.25,12657300,24.764927
"2021-04-21",24.75,25.790001,24.52,25.73,13113300,25.235703
"2021-04-22",25.700001,25.77,25.200001,25.25,16091800,24.764927
"2021-04-23",24.809999,25.98,24.57,25.709999,12875200,25.216087
"2021-04-26",25.860001,26.68,25.75,26.370001,13934000,25.863409
"2021-04-27",26.4,26.610001,25.65,26.18,13033500,25.677059
"2021-04-28",26.370001,27.49,26.16,27.360001,10643900,26.834391
"2021-04-29",27.719999,28.09,27.27,27.82,13827900,27.285553
"2021-04-30",27.48,27.809999,26.959999,27.049999,13237300,26.530344
"2021-05-03",27.530001,28.5,27.48,28.219999,12395600,27.677866
"2021-05-04",28.24,28.68,27.83,28.389999,15195400,27.844601
"2021-05-05",28.77,30.35,28.57,30.34,22805400,29.757141
"2021-05-06",30.23,30.77,29.620001,30.73,15034800,30.139648
"2021-05-07",30.290001,32,30.190001,31.889999,16483400,31.277365
"2021-05-10",32.220001,32.869999,31.610001,31.629999,16905900,31.022356
"2021-05-11",30.93,31.57,30.639999,31.26,18232800,30.65947
"2021-05-12",31.35,32.639999,31.25,32.099998,23375400,31.483326
"2021-05-13",31.68,32.470001,31.32,31.76,16385800,31.14986
"2021-05-14",32.240002,32.98,32.189999,32.810001,11637200,32.179695
"2021-05-17",32.529999,34.099998,32.400002,34.049999,14531300,33.395863
"2021-05-18",34.119999,34.330002,33.009998,33.07,12438600,32.434692
"2021-05-19",32.400002,32.52,31.66,32,13633600,31.385252
"2021-05-20",31.99,32,31.200001,31.77,12478300,31.15967
"2021-05-21",32.27,32.459999,31.860001,31.950001,8573800,31.336214
"2021-05-24",32.130001,32.130001,31.559999,31.700001,9755900,31.091017
"2021-05-25",31.629999,31.809999,31.08,31.24,10064400,30.639851
"2021-05-26",31.129999,31.84,30.969999,31.549999,9358100,30.943897
"2021-05-27",31.82,32.029999,31.309999,31.34,14893200,30.73793
"2021-05-28",31.639999,31.65,31.09,31.33,8307800,30.728121
"2021-06-01",31.959999,33.09,31.950001,32.93,15701900,32.426762
"2021-06-02",33.389999,35.599998,32.709999,35.459999,28422100,34.918098
"2021-06-03",35.25,36.580002,35.200001,36.52,19992700,35.961903
"2021-06-04",36.610001,36.869999,35.57,36.419998,13756400,35.863422
"2021-06-07",36.52,36.779999,35.66,35.830002,10082500,35.282448
"2021-06-08",35.59,36.209999,35.220001,35.900002,12822000,35.351376
"2021-06-09",35.91,36.139999,35.490002,35.759998,9229900,35.213516
"2021-06-10",36.16,36.23,34.740002,34.939999,11364300,34.406044
"2021-06-11",35.380001,35.66,34.759998,34.889999,7243600,34.356812
"2021-06-14",34.869999,35.169998,33.759998,34.049999,10015500,33.529644
"2021-06-15",34.060001,34.720001,34,34.189999,9834000,33.667507
"2021-06-16",33.849998,34.66,33.529999,34.040001,10924400,33.519794
"2021-06-17",33.970001,34.259998,31.889999,32.470001,14511300,31.973795
"2021-06-18",31.790001,32.09,31.280001,31.290001,24774200,30.811823
"2021-06-21",31.75,33.240002,31.67,33.119999,11198400,32.613857
"2021-06-22",32.84,33.360001,32.630001,33.02,7675200,32.515388
"2021-06-23",33.549999,34.080002,32.869999,32.880001,8113100,32.377525
"2021-06-24",33.049999,33.349998,32.529999,33.259998,6238300,32.751717
"2021-06-25",33.310001,33.490002,33.060001,33.349998,7823400,32.84034
"2021-06-28",33.150002,33.240002,31.77,32.02,11191500,31.530668
"2021-06-29",32.279999,32.66,31.84,31.879999,7321600,31.392807
"2021-06-30",32.099998,32.380001,31.870001,32.009998,10883200,31.520819
"2021-07-01",33,33.560001,32.779999,33.07,9819000,32.564621
"2021-07-02",32.799999,32.93,32.529999,32.790001,7582700,32.288902
"2021-07-06",32.970001,32.970001,31.040001,31.17,13943600,30.693661
"2021-07-07",31.120001,31.360001,30.07,30.68,10579700,30.211149
"2021-07-08",29.959999,30.85,29.870001,30.530001,8903000,30.063438
"2021-07-09",31,31.540001,30.639999,31.190001,8547300,30.713352
"2021-07-12",30.77,31.51,30.5,31.219999,5799700,30.742895
"2021-07-13",30.92,31.129999,30.459999,30.610001,8169700,30.142216
"2021-07-14",30.98,31.450001,29.33,29.549999,11845600,29.098415
"2021-07-15",29.23,29.610001,28.530001,28.73,12341400,28.290947
"2021-07-16",29.129999,29.200001,27.6,27.870001,12381500,27.44409
"2021-07-19",26.530001,26.92,25.91,26.65,18636600,26.242731
"2021-07-20",26.700001,27.67,26.440001,27.24,11854700,26.823717
"2021-07-21",28.030001,28.68,28.02,28.43,12423400,27.995531
"2021-07-22",28.34,28.459999,27.719999,27.98,11761400,27.552406
"2021-07-23",28.280001,28.780001,27.620001,28.41,12759200,27.975836
"2021-07-26",29.07,29.629999,28.67,29.459999,12815500,29.00979
"2021-07-27",29.030001,29.440001,28.540001,29.18,9333500,28.73407
"2021-07-28",29.290001,29.68,28.809999,29.32,7088100,28.871931
"2021-07-29",29.860001,29.98,29.33,29.639999,7420800,29.187038
"2021-07-30",29.34,29.549999,28.65,28.83,9241600,28.38942
"2021-08-02",28.85,29.709999,28.4,28.5,12466300,28.064461
"2021-08-03",28.309999,28.92,27.690001,28.9,8724900,28.458349
"2021-08-04",28.51,28.75,27.610001,27.629999,14324200,27.207756
"2021-08-05",27.860001,28.309999,27.58,27.92,10146900,27.493324
"2021-08-06",28.35,28.75,28.16,28.42,6061000,27.985683
"2021-08-09",27.780001,28.129999,27.440001,27.99,7758700,27.562254
"2021-08-10",28.190001,28.620001,28.07,28.42,9416000,27.985683
"2021-08-11",28.379999,29.139999,28.16,28.98,7649400,28.537125
"2021-08-12",28.74,29.030001,28.1,28.549999,7432700,28.113697
"2021-08-13",28.530001,28.629999,28.18,28.35,7430800,27.916756
"2021-08-16",27.93,27.98,27.370001,27.780001,9864300,27.355465
"2021-08-17",27.48,27.84,26.799999,27.190001,10539800,26.774481
"2021-08-18",27.26,27.540001,26.790001,26.809999,9697100,26.400288
"2021-08-19",26.15,26.5,25.9,26.440001,18962600,26.035942
"2021-08-20",26.1,26.58,25.92,26.459999,12082300,26.055634
"2021-08-23",26.99,27.690001,26.9,27.49,8298000,27.069897
"2021-08-24",27.690001,28.469999,27.68,28.219999,8183200,27.788738
"2021-08-25",28.219999,28.77,27.92,28.450001,6545200,28.015226
"2021-08-26",28.25,28.6,28.02,28.129999,6150300,27.700115
"2021-08-27",28.48,29.299999,28.48,29.08,7534300,28.635599
"2021-08-30",29.27,29.34,28.24,28.280001,6887200,27.847824
"2021-08-31",27.959999,28.49,27.889999,28.040001,9872700,27.734079
"2021-09-01",28.07,28.4,27.809999,27.98,9724400,27.674732
"2021-09-02",28.309999,28.76,28.209999,28.610001,9514100,28.297859
"2021-09-03",28.540001,28.75,27.93,28.09,6174700,27.783533
"2021-09-07",27.620001,28.200001,27.379999,27.83,8178400,27.526369
"2021-09-08",27.959999,28.129999,26.6,26.66,13279700,26.369133
"2021-09-09",26.59,27.24,26.440001,26.620001,10975000,26.329571
"2021-09-10",27.040001,27.129999,26.48,26.780001,7712200,26.487827
"2021-09-13",27.27,28.25,27.25,28.110001,9877900,27.803314
"2021-09-14",28.469999,28.49,27.549999,27.67,7106200,27.368116
"2021-09-15",28.200001,29.299999,28.030001,29.24,11912200,28.920984
"2021-09-16",28.99,29.290001,28.559999,28.860001,8079200,28.545132
"2021-09-17",28.700001,29.26,28,28.309999,17376500,28.001131
"2021-09-20",27.370001,27.709999,26.709999,27.25,10708200,26.952698
"2021-09-21",27.610001,27.780001,26.639999,26.93,10499100,26.636189
"2021-09-22",27.51,27.809999,27.120001,27.15,10547600,26.853788
"2021-09-23",27.32,29.129999,27.23,28.879999,13562300,28.564913
"2021-09-24",28.709999,29.370001,28.57,29.01,7414100,28.693497
"2021-09-27",29.799999,30.639999,29.76,30.190001,13469000,29.860622
"2021-09-28",30.809999,31.58,30.66,30.91,19922800,30.572765
"2021-09-29",30.959999,30.959999,30.139999,30.33,13176500,29.999094
"2021-09-30",30.27,30.35,29.41,29.639999,13322800,29.316622
"2021-10-01",29.84,31.629999,29.6,30.360001,12079600,30.028767
"2021-10-04",30.93,31.469999,30.65,30.879999,16285600,30.543095
"2021-10-05",31.26,31.690001,30.549999,30.59,12264600,30.25626
"2021-10-06",30.09,30.540001,29.48,29.940001,12070700,29.61335
"2021-10-07",30.629999,31.200001,30.549999,31.02,15928000,30.681566
"2021-10-08",31.389999,31.959999,31.120001,31.66,11854100,31.314585
"2021-10-11",32.290001,33.240002,32.049999,32.459999,16941800,32.105858
"2021-10-12",32.450001,33.459999,32.220001,32.880001,18377900,32.521271
"2021-10-13",32.459999,32.93,31.9,32.759998,12504100,32.40258
"2021-10-14",33.259998,33.580002,32.939999,33.52,8671200,33.154293
"2021-10-15",33.98,34.209999,33.759998,34,9352100,33.629055
"2021-10-18",34.139999,34.639999,33.810001,34.16,11548300,33.787308
"2021-10-19",34.400002,34.77,33.700001,34.540001,10417100,34.163162
"2021-10-20",34.029999,34.759998,33.799999,34.740002,10818700,34.360981
"2021-10-21",34.349998,34.610001,33.849998,34.299999,12151400,33.925781
"2021-10-22",33.849998,34.549999,33.389999,33.91,12077000,33.540035
"2021-10-25",34.43,34.77,34.029999,34.360001,9768400,33.985126
"2021-10-26",34.700001,34.990002,34.240002,34.259998,11666500,33.886215
"2021-10-27",33.869999,34.18,32.490002,32.540001,13929600,32.184982
"2021-10-28",32.52,33.310001,32.5,33.299999,11364300,32.936691
"2021-10-29",33.189999,33.189999,32.169998,32.259998,13940600,31.908039
"2021-11-01",32.75,33.57,32.580002,33.299999,8514000,32.936691
"2021-11-02",33,33.59,32.91,33.200001,7293900,32.837784
"2021-11-03",32.560001,33.369999,32.189999,32.98,10448800,32.620182
"2021-11-04",33.619999,33.740002,32.740002,33.150002,12516200,32.788326
"2021-11-05",33.700001,34.060001,33.43,33.509998,11279200,33.144398
"2021-11-08",33.689999,34.639999,33.560001,34.299999,14225900,33.925781
"2021-11-09",34.209999,34.290001,33.32,34.139999,10925500,33.767525
"2021-11-10",33.939999,34.080002,32.490002,32.73,10311700,32.37291
"2021-11-11",32.880001,33.130001,32.599998,32.779999,6363900,32.422363
"2021-11-12",32.48,32.869999,32.34,32.759998,7346100,32.40258
"2021-11-15",32.689999,32.950001,32.220001,32.720001,8358900,32.363018
"2021-11-16",32.82,33.349998,32.470001,32.889999,7683800,32.531162
"2021-11-17",32.509998,33.060001,31.83,32.060001,9716800,31.71022
"2021-11-18",31.98,32.330002,31.299999,31.860001,8860200,31.5124
"2021-11-19",31.200001,31.209999,29.879999,30.049999,19098700,29.722149
"2021-11-22",30.01,30.9,29.950001,30.34,12772600,30.008986
"2021-11-23",30.92,31.559999,30.82,31.18,10914800,30.839819
"2021-11-24",30.82,31.93,30.82,31.41,9490500,31.067312
"2021-11-26",29.25,29.809999,28.41,29.700001,12412300,29.375969
"2021-11-29",30.440001,30.74,29.530001,29.65,12588500,29.326513
"2021-11-30",28.92,29.360001,28.34,28.68,39947700,28.487194
"2021-12-01",29.58,29.959999,28.34,28.379999,14888300,28.189209
"2021-12-02",28.459999,29.49,28.059999,29.32,12517300,29.12289
"2021-12-03",29.83,29.950001,28.809999,29.24,9816300,29.043428
"2021-12-06",29.75,30.43,29.370001,30.01,8977600,29.808252
"2021-12-07",30.5,31.120001,30.34,30.76,9153800,30.553211
"2021-12-08",30.92,31.27,30.67,31.059999,8963300,30.851192
"2021-12-09",30.530001,30.74,30.280001,30.620001,6726700,30.414152
"2021-12-10",31.09,31.17,30.4,30.99,7445900,30.781664
"2021-12-13",30.559999,30.76,29.59,29.83,8387000,29.629461
"2021-12-14",29.690001,30.280001,29.559999,29.67,8515900,29.470539
"2021-12-15",29.59,29.66,28.530001,29.309999,9370000,29.112959
"2021-12-16",29.709999,30.459999,29.58,29.700001,8547600,29.500338
"2021-12-17",29.58,29.620001,28.639999,28.969999,17089100,28.775244
"2021-12-20",28.1,28.549999,27.65,28.469999,10479400,28.278605
"2021-12-21",28.950001,29.6,28.82,29.450001,8440200,29.252018
"2021-12-22",29.41,29.75,29.030001,29.5,9699500,29.301682
"2021-12-23",29.5,29.879999,29.43,29.57,7160100,29.37121
"2021-12-27",29.51,29.860001,28.959999,29.84,6891400,29.639395
"2021-12-28",29.799999,30.24,29.700001,30.110001,7146300,29.907581
"2021-12-29",29.950001,30.049999,29.51,29.65,6817700,29.45067
"2021-12-30",29.700001,30.049999,29.639999,29.82,7205000,29.61953
"2021-12-31",29.57,30.16,29.49,29.950001,7785200,29.748655
"2022-01-03",30.07,31.969999,29.98,31.719999,18781000,31.506756
"2022-01-04",32.139999,33.529999,32.130001,33.259998,17954000,33.0364
"2022-01-05",33.619999,34.07,33.240002,33.259998,15846900,33.0364
"2022-01-06",34.369999,34.419998,33.439999,34.049999,11163900,33.821091
"2022-01-07",34.02,35.139999,34,35.029999,14324300,34.794502
"2022-01-10",34.970001,35.389999,34.48,35.119999,15515600,34.8839
"2022-01-11",35.400002,36.529999,35.23,36.48,15432500,36.234756
"2022-01-12",36.52,36.759998,35.950001,36.450001,13196800,36.20496
"2022-01-13",36.470001,37.119999,36.029999,36.169998,12799600,35.926838
"2022-01-14",36.23,37.900002,36.130001,37.810001,17414000,37.555817
"2022-01-18",38.110001,38.529999,36.990002,37.540001,19101100,37.287632
"2022-01-19",37.830002,37.990002,36.630001,37.099998,11154600,36.85059
"2022-01-20",36.669998,38.330002,36.669998,37.049999,14720200,36.800922
"2022-01-21",37.549999,37.599998,35.68,36.360001,15762200,36.115566
"2022-01-24",35.290001,36.68,34.68,36.599998,17956500,36.353947
"2022-01-25",36.509998,39,35.759998,38.790001,24167100,38.529224
"2022-01-26",39.060001,40.279999,38.419998,39.799999,25985100,39.532436
