"","LUV.Open","LUV.High","LUV.Low","LUV.Close","LUV.Volume","LUV.Adjusted"
"2021-02-03",45.599998,46.869999,45.5,46.549999,6118700,46.549999
"2021-02-04",46.790001,49.18,46.709999,49.130001,10621700,49.130001
"2021-02-05",49.759998,50.889999,49.110001,50.049999,10472600,50.049999
"2021-02-08",50.52,53.290001,50.209999,52.240002,11359100,52.240002
"2021-02-09",51.529999,51.75,50.529999,51.18,5409800,51.18
"2021-02-10",51.5,52.34,51.16,51.279999,7570800,51.279999
"2021-02-11",51.02,51.48,50.34,51.419998,5240300,51.419998
"2021-02-12",51.299999,51.84,50.970001,51.34,4660000,51.34
"2021-02-16",51.810001,52.02,50.82,51.959999,7402600,51.959999
"2021-02-17",51.700001,52.529999,51.209999,52.439999,6255300,52.439999
"2021-02-18",51.93,52.200001,50.970001,51.950001,5030900,51.950001
"2021-02-19",52.23,53.84,52.099998,52.810001,6334600,52.810001
"2021-02-22",54.029999,55.740002,53.290001,54.790001,11268100,54.790001
"2021-02-23",56.200001,57.419998,54.310001,56.720001,13654500,56.720001
"2021-02-24",57.599998,59.639999,57.380001,59.290001,14871700,59.290001
"2021-02-25",59.150002,59.259998,57.080002,58.310001,16988200,58.310001
"2021-02-26",57.419998,58.689999,57,58.130001,9763300,58.130001
"2021-03-01",59.549999,59.84,57.669998,58.060001,11350700,58.060001
"2021-03-02",57.700001,58.400002,57.220001,57.810001,6558200,57.810001
"2021-03-03",58.470001,58.669998,57.599998,57.82,8552500,57.82
"2021-03-04",57.720001,57.880001,54.259998,56.080002,12853300,56.080002
"2021-03-05",56.360001,57.130001,52.290001,56.919998,11420700,56.919998
"2021-03-08",58.009998,60.700001,57.549999,60.549999,15098100,60.549999
"2021-03-09",60.169998,60.25,58.200001,58.93,7309900,58.93
"2021-03-10",58.799999,59.689999,57.959999,58.509998,6449400,58.509998
"2021-03-11",58.93,59.43,58.130001,58.470001,7295300,58.470001
"2021-03-12",58.41,61.16,58.299999,61.029999,10182800,61.029999
"2021-03-15",62.049999,62.759998,60.82,62.099998,11155700,62.099998
"2021-03-16",62.259998,62.299999,60.529999,60.540001,5928500,60.540001
"2021-03-17",60.099998,61.939999,60.099998,61.77,6268900,61.77
"2021-03-18",61.630001,62.279999,60.810001,60.939999,8020500,60.939999
"2021-03-19",60.650002,61.48,59.630001,61.049999,9363800,61.049999
"2021-03-22",60.529999,60.950001,59.419998,59.459999,8093400,59.459999
"2021-03-23",59,60.380001,57.060001,57.619999,9849900,57.619999
"2021-03-24",58.59,59.66,57.689999,57.700001,6733400,57.700001
"2021-03-25",56.610001,59.959999,56.419998,59.91,6826300,59.91
"2021-03-26",60.450001,61.419998,59.790001,61.290001,6463100,61.290001
"2021-03-29",61.869999,62.369999,60.369999,60.959999,7357000,60.959999
"2021-03-30",61.150002,62.220001,61.060001,61.91,5999900,61.91
"2021-03-31",61.630001,61.990002,60.950001,61.060001,5721000,61.060001
"2021-04-01",61.27,61.560001,60.759998,61.299999,4975200,61.299999
"2021-04-05",62.450001,64.32,62.23,62.970001,7378100,62.970001
"2021-04-06",63.5,64.639999,63.240002,64.099998,5777900,64.099998
"2021-04-07",63.900002,64.139999,62.959999,63.52,4320500,63.52
"2021-04-08",63.119999,63.490002,62.029999,63.459999,5206900,63.459999
"2021-04-09",63.299999,63.580002,62.52,63.419998,4086400,63.419998
"2021-04-12",63.290001,63.34,61.959999,62.66,4537900,62.66
"2021-04-13",61.849998,63.439999,60.630001,63.23,8635400,63.23
"2021-04-14",64.190002,64.75,62.790001,63.029999,6035000,63.029999
"2021-04-15",63.43,63.529999,62.130001,62.939999,5148900,62.939999
"2021-04-16",63.23,63.41,62.049999,62.389999,5082900,62.389999
"2021-04-19",62.290001,62.369999,61.380001,62.029999,4855000,62.029999
"2021-04-20",61.07,61.169998,59.259998,59.849998,6112500,59.849998
"2021-04-21",59.619999,62.07,58.91,62.040001,7307100,62.040001
"2021-04-22",63,63.700001,61.009998,61.07,9786200,61.07
"2021-04-23",61.310001,61.799999,60.75,61.529999,5019800,61.529999
"2021-04-26",62.130001,62.880001,61.439999,61.970001,4953900,61.970001
"2021-04-27",61.970001,62.52,61.360001,62.400002,4435000,62.400002
"2021-04-28",62.09,62.5,61.59,61.77,4457300,61.77
"2021-04-29",62.130001,62.650002,61.740002,62.27,4105400,62.27
"2021-04-30",61.900002,63.040001,61.799999,62.779999,4676800,62.779999
"2021-05-03",63.009998,63.07,61.650002,62.150002,4133600,62.150002
"2021-05-04",61.720001,62.029999,60.099998,60.82,6293500,60.82
"2021-05-05",60.77,61.84,60.389999,60.830002,7451300,60.830002
"2021-05-06",60.970001,61.220001,59.849998,60.689999,4452800,60.689999
"2021-05-07",60.68,62.150002,60.450001,61.66,5174700,61.66
"2021-05-10",61.849998,62.34,61.330002,61.349998,4178600,61.349998
"2021-05-11",60.099998,60.720001,58.790001,59.779999,6483100,59.779999
"2021-05-12",59.470001,60.380001,58.080002,58.209999,5999400,58.209999
"2021-05-13",58.970001,60.400002,58.639999,59.93,5562600,59.93
"2021-05-14",60.709999,62.580002,60.450001,62.299999,8033100,62.299999
"2021-05-17",62.25,62.439999,61.119999,62.099998,5955100,62.099998
"2021-05-18",62.389999,63.68,61.830002,62.07,5298300,62.07
"2021-05-19",61,61.18,59.560001,60.389999,8732100,60.389999
"2021-05-20",60.919998,60.919998,59.290001,59.919998,7798300,59.919998
"2021-05-21",60.259998,60.599998,59.970001,60.09,4885800,60.09
"2021-05-24",60.459999,61.049999,59.810001,60.68,4038100,60.68
"2021-05-25",61.709999,62.389999,60.470001,60.549999,7029200,60.549999
"2021-05-26",60.75,61.34,60.43,61.209999,4526600,61.209999
"2021-05-27",61.610001,61.799999,61.07,61.73,4437900,61.73
"2021-05-28",61.630001,61.77,61.080002,61.459999,3517100,61.459999
"2021-06-01",61.939999,62.259998,61.09,61.349998,5313700,61.349998
"2021-06-02",61.68,61.919998,60.610001,60.869999,5327800,60.869999
"2021-06-03",60.16,60.34,58.139999,58.259998,9963500,58.259998
"2021-06-04",58.639999,58.849998,57.91,58.549999,5000900,58.549999
"2021-06-07",58.689999,58.919998,57.919998,58.279999,4756800,58.279999
"2021-06-08",58.860001,59.299999,58.310001,58.900002,4830000,58.900002
"2021-06-09",59,59.169998,58.200001,58.419998,4740100,58.419998
"2021-06-10",58.849998,59.139999,57.470001,57.5,4570600,57.5
"2021-06-11",57.439999,58.060001,57.41,57.57,5059600,57.57
"2021-06-14",57.5,58.07,56.93,57.279999,4908300,57.279999
"2021-06-15",57.459999,57.849998,56.77,57.119999,6430700,57.119999
"2021-06-16",57.060001,57.490002,56.330002,56.669998,5947700,56.669998
"2021-06-17",56.779999,57.139999,55.049999,55.57,8334200,55.57
"2021-06-18",55,55.689999,54.669998,55.189999,8798300,55.189999
"2021-06-21",55.299999,56.470001,55.290001,56.299999,5470100,56.299999
"2021-06-22",56.099998,56.32,55.41,55.75,4694100,55.75
"2021-06-23",55.5,55.720001,54.98,55.189999,6157800,55.189999
"2021-06-24",55.529999,55.619999,54.619999,54.66,8134800,54.66
"2021-06-25",54.689999,54.869999,54.23,54.549999,6555800,54.549999
"2021-06-28",54.25,54.25,52.860001,53.23,8319700,53.23
"2021-06-29",52.959999,53.720001,52.549999,52.919998,8078100,52.919998
"2021-06-30",53.099998,53.560001,52.84,53.09,6859900,53.09
"2021-07-01",53.599998,54.389999,53.34,53.860001,7113800,53.860001
"2021-07-02",53.98,54.040001,53.310001,53.66,6747600,53.66
"2021-07-06",53.759998,54.009998,52.139999,52.360001,7819300,52.360001
"2021-07-07",52.290001,52.669998,51.119999,51.380001,9116600,51.380001
"2021-07-08",50.5,51.91,50.099998,51.189999,8425500,51.189999
"2021-07-09",52,52.970001,51.779999,52.84,6773900,52.84
"2021-07-12",52.700001,53.080002,51.720001,52.98,6919800,52.98
"2021-07-13",52.5,52.630001,51.5,51.57,6646800,51.57
"2021-07-14",52.34,52.580002,51.57,51.98,8445300,51.98
"2021-07-15",51.650002,52.459999,51.369999,51.779999,6245400,51.779999
"2021-07-16",52.130001,52.25,49.700001,49.91,8234900,49.91
"2021-07-19",48.040001,48.959999,47.369999,48.5,15481100,48.5
"2021-07-20",48.860001,51.59,48.560001,51.43,12772800,51.43
"2021-07-21",52.09,53.52,52.080002,53.130001,13951600,53.130001
"2021-07-22",52.099998,52.27,50.84,51.290001,14707500,51.290001
"2021-07-23",51.419998,52.009998,50.560001,50.700001,8826500,50.700001
"2021-07-26",50.380001,51.849998,50.380001,51.779999,6376700,51.779999
"2021-07-27",51.52,51.759998,50.740002,51.150002,4807300,51.150002
"2021-07-28",51.48,52.119999,50.799999,51.759998,6798800,51.759998
"2021-07-29",52.18,52.400002,51.540001,51.549999,5902100,51.549999
"2021-07-30",51.040001,51.759998,50.380001,50.52,6562200,50.52
"2021-08-02",50.599998,51.509998,49.650002,49.740002,7399000,49.740002
"2021-08-03",49.84,50.66,49.110001,50.650002,6208000,50.650002
"2021-08-04",49.810001,50.189999,48.5,48.900002,11491500,48.900002
"2021-08-05",49.099998,50.759998,49.049999,50.450001,6904000,50.450001
"2021-08-06",51.139999,51.169998,50.060001,50.720001,5065900,50.720001
"2021-08-09",50.099998,50.130001,48.93,49.709999,5649800,49.709999
"2021-08-10",49.799999,51.630001,49.610001,51.110001,5503200,51.110001
"2021-08-11",49.860001,51.970001,49.77,51.84,8714900,51.84
"2021-08-12",51.419998,51.57,50.57,50.990002,5739800,50.990002
"2021-08-13",50.900002,51.049999,50.290001,50.41,4979700,50.41
"2021-08-16",50,50.450001,49.470001,50.110001,5784000,50.110001
"2021-08-17",49.349998,49.419998,48.139999,48.73,7226900,48.73
"2021-08-18",48.560001,49.470001,48.330002,48.439999,6526600,48.439999
"2021-08-19",48.18,48.380001,46.950001,47.459999,7762100,47.459999
"2021-08-20",47.299999,47.900002,47.290001,47.360001,5193200,47.360001
"2021-08-23",48.130001,48.950001,48.029999,48.709999,9345800,48.709999
"2021-08-24",49.5,51.099998,49.5,50.810001,8703100,50.810001
"2021-08-25",50.84,52.02,50.330002,51.25,8039500,51.25
