"","CDAY.Open","CDAY.High","CDAY.Low","CDAY.Close","CDAY.Volume","CDAY.Adjusted"
"2021-01-15",101.290001,102.220001,98.43,101.239998,565000,101.239998
"2021-01-19",102.699997,103.760002,101.275002,101.959999,582500,101.959999
"2021-01-20",102.809998,106.760002,102.120003,106.599998,707600,106.599998
"2021-01-21",106.68,107.519997,103.440002,103.599998,637800,103.599998
"2021-01-22",103.25,105.489998,102.522003,105.139999,430500,105.139999
"2021-01-25",106.449997,107.410004,99.699997,101.209999,716200,101.209999
"2021-01-26",101.699997,102.089996,97.199997,97.410004,645000,97.410004
"2021-01-27",95.660004,97.970001,92.769997,94.349998,1144200,94.349998
"2021-01-28",93.889999,97.309998,93.5,95.639999,953400,95.639999
"2021-01-29",95.389999,95.389999,91.07,92.910004,966200,92.910004
"2021-02-01",93.480003,96.949997,93.470001,96.120003,1077900,96.120003
"2021-02-02",97.580002,100.32,96.660004,98.599998,1284900,98.599998
"2021-02-03",99.349998,101.279999,98.370003,98.910004,811900,98.910004
"2021-02-04",99.699997,103.105003,98.959999,102,768100,102
"2021-02-05",103.110001,104.419998,101.639999,101.839996,758500,101.839996
"2021-02-08",102.199997,104.75,101.739998,102,992800,102
"2021-02-09",102.370003,106.480003,101.484001,104.730003,1669300,104.730003
"2021-02-10",95.699997,97.010002,90.779999,91.010002,4792000,91.010002
"2021-02-11",91.25,95.839996,88.349998,95.769997,2329600,95.769997
"2021-02-12",95.379997,97.889999,93.809998,97.709999,1119300,97.709999
"2021-02-16",100.160004,100.940002,95.980003,97.370003,853700,97.370003
"2021-02-17",95.68,96.769997,94.040001,95.900002,689900,95.900002
"2021-02-18",95.099998,96.720001,92.93,96.190002,709600,96.190002
"2021-02-19",96.769997,98.419998,95.720001,96.230003,1236000,96.230003
"2021-02-22",94.580002,95.349998,92.349998,93.300003,1291100,93.300003
"2021-02-23",91.169998,93.014999,87.040001,92.279999,1317800,92.279999
"2021-02-24",92.089996,92.209999,89.120003,90.169998,1359800,90.169998
"2021-02-25",89.660004,90.669998,85.800003,86.779999,1271100,86.779999
"2021-02-26",87.809998,90.440002,85.519997,89.660004,1369200,89.660004
"2021-03-01",91.75,93.599998,90.339996,92.919998,1081300,92.919998
"2021-03-02",92,93.349998,88.32,89.629997,1929300,89.629997
"2021-03-03",89.139999,89.779999,84.839996,85.519997,1604500,85.519997
"2021-03-04",84.5,86.629997,81.989998,82.82,1330500,82.82
"2021-03-05",83.959999,84.720001,78.199997,84.279999,1698400,84.279999
"2021-03-08",84.18,85.809998,80.879997,80.949997,856600,80.949997
"2021-03-09",83.800003,86.169998,83.389999,85.370003,1192200,85.370003
"2021-03-10",87.260002,88.870003,84.919998,85.290001,900100,85.290001
"2021-03-11",87.25,88.559998,86.400002,88.059998,703800,88.059998
"2021-03-12",86.769997,87.610001,85.300003,87.150002,839400,87.150002
"2021-03-15",87.449997,90.550003,87.220001,90.25,654900,90.25
"2021-03-16",91.169998,91.690002,87.379997,88.209999,656300,88.209999
"2021-03-17",87,89.879997,86.010002,89.010002,732900,89.010002
"2021-03-18",87.089996,87.089996,82.339996,82.709999,855700,82.709999
"2021-03-19",83.589996,85.809998,82.349998,82.980003,2629400,82.980003
"2021-03-22",83.059998,85.269997,83.059998,84.239998,1118500,84.239998
"2021-03-23",83.889999,85.169998,83.150002,83.779999,667900,83.779999
"2021-03-24",83.860001,83.980003,80.739998,80.800003,544700,80.800003
"2021-03-25",80,81.57,78.470001,80.959999,1064700,80.959999
"2021-03-26",81.400002,84.239998,80.660004,83.589996,1150000,83.589996
"2021-03-29",83.370003,84.980003,80.199997,81.660004,789700,81.660004
