"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume","COF.Adjusted"
"2021-01-05",97.790001,100.580002,97.790001,100.139999,2171500,97.544739
"2021-01-06",103,107.650002,102.559998,107.379997,4394000,104.597115
"2021-01-07",108.650002,111.540001,108,110.730003,4795700,107.860298
"2021-01-08",111,111.779999,108.639999,110.559998,3001100,107.694695
"2021-01-11",108.230003,109.949997,107,109.309998,3312900,106.477097
"2021-01-12",110.260002,111.699997,108.730003,110.760002,3119900,107.889519
"2021-01-13",110.550003,113.139999,110.550003,112.080002,3015900,109.175316
"2021-01-14",113.029999,115.480003,112.269997,114.400002,2841600,111.435188
"2021-01-15",112.230003,113.690002,111.25,112.529999,3396100,109.613647
"2021-01-19",114.25,114.830002,112.559998,112.860001,3399600,109.935089
"2021-01-20",113.07,114.18,111.019997,111.379997,3931300,108.493454
"2021-01-21",110.360001,110.989998,106.849998,108.540001,6253800,105.727051
"2021-01-22",107.110001,107.410004,103.830002,105.339996,5438600,102.609978
"2021-01-25",104,104.440002,100.68,102.529999,3733200,99.87281
"2021-01-26",102.989998,103,99.82,99.93,4237600,97.340179
"2021-01-27",103.190002,108.220001,100.879997,102.690002,7617300,100.028664
"2021-01-28",104.5,108.410004,103.040001,106.839996,4667500,104.071098
"2021-01-29",105.470001,107.489998,103.389999,104.260002,3535400,101.557968
"2021-02-01",105.129997,105.970001,102.57,102.860001,3712600,100.194252
"2021-02-02",103.940002,107.290001,103.68,106.040001,4621200,103.291832
"2021-02-03",105.940002,107.550003,105.57,107.209999,3947700,104.431519
"2021-02-04",107.989998,112.949997,107.860001,112.660004,5819400,109.740273
"2021-02-05",114.5,115.529999,113.400002,114.480003,3925700,111.513115
"2021-02-08",115.010002,116.910004,114.800003,116,3391700,112.993713
"2021-02-09",115.580002,117.400002,114.269997,115.93,4071400,112.925529
"2021-02-10",116.940002,118.400002,116.099998,117.620003,3982600,114.571732
"2021-02-11",118,118.43,115.75,117.160004,3273600,114.123657
"2021-02-12",116.790001,118.730003,116.790001,117.75,2497200,114.698357
"2021-02-16",117.459999,120.559998,116.440002,119.800003,3985400,117.092995
"2021-02-17",119.370003,120.980003,117.720001,118.910004,3104200,116.223114
"2021-02-18",117.5,118.290001,115.309998,117.019997,2348900,114.375816
"2021-02-19",118.57,120.419998,117.93,119.559998,2989200,116.858429
"2021-02-22",119.449997,123.029999,119.120003,122.580002,2902200,119.810188
"2021-02-23",123.739998,124.43,120.449997,122.540001,3003200,119.77108
"2021-02-24",122.459999,125.75,122.349998,124.480003,3314200,121.667267
"2021-02-25",125.480003,125.709999,118.879997,119.239998,4068000,116.545654
"2021-02-26",119.529999,121.32,116.669998,120.190002,3996000,117.474197
"2021-03-01",122.379997,124.800003,121.870003,123.93,2714800,121.129684
