"","BAX.Open","BAX.High","BAX.Low","BAX.Close","BAX.Volume","BAX.Adjusted"
"2021-01-26",80.089996,81.050003,79.129997,80.809998,1606400,79.123825
"2021-01-27",80.110001,80.440002,77.760002,78.019997,2822100,76.392036
"2021-01-28",78.220001,79.220001,77.120003,77.150002,4950500,75.540207
"2021-01-29",75.199997,77.779999,74.989998,76.830002,4084200,75.226875
"2021-02-01",77.470001,77.910004,76.18,76.379997,3291700,74.786255
"2021-02-02",77.010002,77.800003,76.459999,76.519997,4132600,74.923332
"2021-02-03",76.330002,77.870003,75.839996,77.290001,2488900,75.677277
"2021-02-04",76.68,80.489998,76.559998,77.18,3495700,75.569565
"2021-02-05",77.480003,78.059998,77.139999,77.300003,1824500,75.687065
"2021-02-08",77.540001,78.169998,77.010002,77.599998,2204600,75.980812
"2021-02-09",77.650002,77.720001,76.760002,76.989998,1804000,75.38353
"2021-02-10",77.529999,78.059998,77.029999,77.610001,5499600,75.990608
"2021-02-11",78.129997,78.169998,77.620003,77.860001,1798900,76.235382
"2021-02-12",78,78.980003,77.760002,78.730003,3542800,77.087234
"2021-02-16",78.68,79.089996,77.260002,77.800003,2665800,76.176636
"2021-02-17",77.339996,77.870003,76.849998,77.68,3570500,76.059143
"2021-02-18",77.800003,79.330002,77.529999,78.830002,2185400,77.18515
"2021-02-19",78.830002,79.139999,77.849998,78.440002,2926400,76.803284
"2021-02-22",77.949997,79.099998,77.68,78.870003,2653500,77.224304
"2021-02-23",79.449997,80.389999,77.949997,78.139999,3434400,76.509537
"2021-02-24",78.25,78.669998,77.480003,78.510002,2503700,76.871826
"2021-02-25",78.220001,78.900002,77.980003,78.650002,2613100,77.249962
"2021-02-26",78.809998,78.940002,76.800003,77.690002,4875400,76.30706
"2021-03-01",78.07,78.389999,77.599998,77.940002,3914100,76.552605
"2021-03-02",78.419998,78.989998,77.629997,77.68,3433400,76.297241
"2021-03-03",77.260002,77.580002,76.510002,77.150002,2469700,75.776672
"2021-03-04",77.169998,77.279999,75.900002,76.419998,3920400,75.059654
"2021-03-05",76.910004,78.300003,76.830002,78.059998,2456400,76.670464
"2021-03-08",78.209999,79.300003,77.650002,78.279999,1553500,76.886559
"2021-03-09",78.550003,79.160004,77.239998,77.269997,1976500,75.894531
"2021-03-10",77.349998,77.870003,76.959999,77.720001,2089400,76.336525
"2021-03-11",77.639999,78.040001,77.110001,77.739998,1637600,76.356163
"2021-03-12",78,78.379997,77.550003,77.959999,1462500,76.572235
"2021-03-15",78.010002,78.690002,77.559998,78.669998,1482700,77.2696
"2021-03-16",78.68,78.959999,78.029999,78.93,1919600,77.524979
"2021-03-17",79.129997,80.209999,78.68,79.690002,3792700,78.271454
"2021-03-18",79.589996,80.519997,79.510002,79.860001,2060100,78.438423
"2021-03-19",79.790001,80.830002,79.470001,80.300003,3976500,78.870598
"2021-03-22",79.800003,81.540001,79.510002,81.239998,3121400,79.793861
"2021-03-23",81.400002,82.580002,81.25,81.599998,2732400,80.147453
"2021-03-24",81.190002,82.449997,81.029999,82.080002,2282900,80.618912
"2021-03-25",82.529999,83.620003,82.129997,83.410004,3634900,81.925232
"2021-03-26",83.410004,86.089996,83.169998,85.949997,4634100,84.420021
"2021-03-29",85.480003,86.559998,84.720001,86.029999,3124000,84.498596
"2021-03-30",85.769997,86.379997,85.120003,85.580002,3778900,84.05661
"2021-03-31",85.650002,85.860001,84.290001,84.339996,3100200,82.838684
"2021-04-01",84.129997,84.540001,83.379997,84.32,2298600,82.819031
"2021-04-05",84.75,85.699997,84.339996,85.279999,1893900,83.76194
"2021-04-06",84.660004,85.260002,84.43,84.919998,1885800,83.408356
"2021-04-07",85.040001,85.230003,84.300003,84.690002,1017000,83.182442
"2021-04-08",84.839996,85.290001,83.949997,84,2174700,82.50473
"2021-04-09",84.309998,84.93,83.800003,84.919998,2781300,83.408356
"2021-04-12",85,85.489998,84.379997,84.540001,1726300,83.035118
"2021-04-13",83.779999,85.25,83.730003,84.790001,1504700,83.280678
"2021-04-14",84.800003,84.940002,84.169998,84.639999,1576500,83.133347
"2021-04-15",84.699997,86.419998,84.650002,85.800003,2879700,84.272697
"2021-04-16",86.260002,86.849998,85.900002,86.559998,2884600,85.019157
"2021-04-19",86.43,86.720001,85.739998,86.519997,2706600,84.979866
"2021-04-20",86.660004,87.959999,86.57,87.07,2041400,85.520081
"2021-04-21",87.739998,88.110001,87.370003,87.900002,1839800,86.335304
"2021-04-22",87.889999,88.300003,87.290001,88.010002,2423000,86.443352
"2021-04-23",87.860001,88.32,87.480003,87.870003,2377300,86.30584
"2021-04-26",88,88,87.010002,87.360001,1644300,85.804924
"2021-04-27",86.970001,87.209999,86.169998,86.760002,1657200,85.215591
"2021-04-28",86.889999,87.230003,86.440002,86.989998,1999600,85.441498
"2021-04-29",87.559998,87.559998,83.830002,85.349998,2486900,83.830704
"2021-04-30",85.599998,85.959999,84.910004,85.690002,2805500,84.16465
"2021-05-03",86.019997,86.860001,85.699997,86.540001,2004800,84.999512
"2021-05-04",86.93,87.660004,86.269997,87.440002,2732700,85.883484
"2021-05-05",87.379997,87.379997,86.139999,86.699997,2424000,85.156662
"2021-05-06",86.540001,87.580002,86.349998,87.529999,1989100,85.971893
"2021-05-07",87.470001,87.919998,86.400002,86.620003,2486500,85.078094
"2021-05-10",87.18,87.57,86.459999,86.489998,3584400,84.950401
"2021-05-11",86.459999,86.760002,83.540001,83.580002,4241200,82.092201
"2021-05-12",83.449997,83.919998,83.029999,83.099998,2426100,81.620743
"2021-05-13",83.050003,83.830002,82.849998,83.400002,2955300,81.915413
"2021-05-14",83.720001,84.379997,83.510002,83.860001,2193500,82.367226
"2021-05-17",83.849998,84.18,82.779999,82.849998,2372700,81.375198
"2021-05-18",82.510002,83.400002,82.080002,82.93,2110800,81.453781
"2021-05-19",82.699997,82.879997,82.029999,82.480003,1765600,81.011787
"2021-05-20",82.510002,83.419998,82.440002,82.959999,1950300,81.483246
"2021-05-21",83.07,83.889999,83.040001,83.059998,1596200,81.581459
"2021-05-24",83.230003,83.529999,82.739998,82.769997,1676400,81.296623
"2021-05-25",82.550003,82.849998,82.239998,82.349998,2330500,80.884094
"2021-05-26",81.730003,82.720001,81.480003,82.419998,2994800,80.95285
"2021-05-27",82.519997,82.529999,81.190002,81.809998,5048600,80.353706
"2021-05-28",82.290001,82.639999,81.879997,82.120003,3617300,80.658195
"2021-06-01",82.459999,82.779999,82.019997,82.139999,3355600,80.677841
"2021-06-02",82.290001,82.43,81.300003,81.599998,2461100,80.147453
"2021-06-03",81.129997,81.870003,80.660004,81.690002,2397200,80.512115
"2021-06-04",82.129997,82.440002,81.93,82.25,1938300,81.064049
"2021-06-07",82.309998,82.410004,81.150002,81.260002,2753000,80.088326
"2021-06-08",81.620003,81.690002,80.260002,81.089996,2489500,79.920761
"2021-06-09",81.370003,82.379997,81.169998,82.349998,1707200,81.162598
"2021-06-10",82.339996,84.169998,82.290001,84.089996,3455700,82.87751
"2021-06-11",84.25,84.5,82.120003,82.239998,6107100,81.054184
"2021-06-14",82.300003,82.82,81.620003,82.769997,2994500,81.576538
"2021-06-15",82.769997,82.900002,81.550003,81.949997,2286300,80.768364
"2021-06-16",82.07,82.480003,81.559998,81.769997,1911200,80.59095
"2021-06-17",81.5,81.959999,80.769997,81.150002,2668300,79.979912
"2021-06-18",80.610001,81.449997,80.279999,80.82,4311300,79.654663
"2021-06-21",81.139999,81.720001,80.410004,81.510002,2042300,80.334717
"2021-06-22",81.519997,81.68,81.139999,81.330002,1937300,80.15731
"2021-06-23",81.290001,81.629997,80.910004,80.93,3107200,79.763069
"2021-06-24",81.239998,81.779999,80.980003,81.400002,1972700,80.226303
"2021-06-25",81.599998,82.529999,81.57,82.190002,6398300,81.004906
"2021-06-28",82.43,82.43,81.220001,81.650002,2290300,80.472702
"2021-06-29",81.589996,82.040001,81.290001,81.860001,1740600,80.679665
"2021-06-30",81.940002,81.989998,80.279999,80.5,3139000,79.339279
"2021-07-01",80.449997,81.620003,80.349998,81.470001,4813200,80.295296
"2021-07-02",81.470001,81.82,81.279999,81.760002,2826400,80.581108
"2021-07-06",81.5,81.720001,80.220001,81.07,3312600,79.901054
"2021-07-07",81.160004,81.870003,80.739998,81.849998,1676300,80.669807
"2021-07-08",81.5,81.769997,80.809998,81.330002,1900500,80.15731
"2021-07-09",81.5,81.629997,80.230003,80.43,2441300,79.270287
"2021-07-12",80.379997,81.099998,80.269997,80.809998,2324900,79.644806
"2021-07-13",80.720001,81.389999,80.720001,81.089996,1989400,79.920761
"2021-07-14",81.07,81.230003,80.470001,81,1751200,79.832069
"2021-07-15",80.830002,81.389999,80.660004,81.059998,1637900,79.891197
"2021-07-16",81.32,81.82,81.139999,81.419998,1585900,80.246002
"2021-07-19",81.099998,81.410004,79.760002,80.269997,3108600,79.112579
"2021-07-20",80.589996,81.660004,80.260002,80.540001,2108100,79.3787
"2021-07-21",80.790001,80.790001,79.540001,80.269997,1769900,79.112579
"2021-07-22",80.32,80.720001,80.059998,80.510002,874600,79.349136
"2021-07-23",80.860001,81.32,80.480003,81.139999,1826700,79.970047
"2021-07-26",80.660004,81.099998,80.209999,80.769997,1890500,79.605377
"2021-07-27",80.870003,83.150002,80.639999,82.110001,2300600,80.926056
"2021-07-28",82.190002,85.68,81.32,81.910004,4563800,80.728951
"2021-07-29",79.25,80.489998,77.309998,77.379997,7327400,76.264259
"2021-07-30",77.040001,78,76.389999,77.349998,7506600,76.234695
"2021-08-02",77.599998,77.980003,76.82,77.209999,3352200,76.096718
"2021-08-03",76.839996,77.010002,76,76.279999,4447100,75.180122
"2021-08-04",76.239998,76.370003,74.970001,75.150002,5005500,74.066414
"2021-08-05",74.970001,74.970001,73.610001,74.459999,6988400,73.38636
"2021-08-06",74.580002,75.220001,74.459999,74.830002,2991200,73.751038
"2021-08-09",74.809998,74.919998,73.940002,74,2286200,72.932991
"2021-08-10",74.199997,74.32,73.739998,73.849998,2377700,72.785156
"2021-08-11",74,74.379997,73.82,73.980003,1774100,72.913292
"2021-08-12",74.089996,74.260002,73.540001,73.860001,1445600,72.795013
"2021-08-13",73.800003,74.760002,73.550003,74.559998,2968600,73.484917
"2021-08-16",74.779999,75.82,74.629997,75.68,3631100,74.588768
"2021-08-17",75.790001,76.18,75.489998,75.93,2979900,74.835167
"2021-08-18",76.059998,76.199997,75.230003,75.269997,3169100,74.184685
"2021-08-19",75.220001,75.629997,74.82,75.019997,3020700,73.938286
"2021-08-20",74.809998,75.629997,74.650002,75.190002,3286800,74.10585
"2021-08-23",75.440002,75.440002,74.599998,74.809998,2532200,73.731308
"2021-08-24",74.75,75.040001,74.360001,74.529999,2119100,73.455345
"2021-08-25",74.309998,74.370003,73.599998,73.800003,2951300,72.735886
"2021-08-26",73.610001,74,73.120003,73.769997,3090300,72.706314
"2021-08-27",74.099998,74.389999,73.800003,73.970001,2619900,72.903427
"2021-08-30",74.25,76.720001,74.25,76,9337000,74.904167
"2021-08-31",75.980003,76.370003,75.300003,76.220001,5213400,75.120995
"2021-09-01",76.550003,77.889999,75.839996,77.599998,4001300,76.481087
"2021-09-02",81,82.980003,80.199997,81.059998,8205800,80.180504
"2021-09-03",81.050003,83.150002,80.779999,82.709999,5100100,81.812607
"2021-09-07",82.330002,83.75,81.989998,83.349998,5812300,82.445663
"2021-09-08",83.169998,83.910004,82.699997,82.760002,3050700,81.862061
"2021-09-09",82.93,82.93,81.379997,81.720001,3519800,80.833359
"2021-09-10",81.949997,81.989998,80.709999,80.919998,2512400,80.04203
"2021-09-13",82.230003,82.260002,80.330002,80.629997,2906600,79.755173
"2021-09-14",80.779999,81.790001,80.580002,81.769997,2867700,80.882797
"2021-09-15",81.790001,84.169998,81.449997,83.57,5895700,82.663277
"2021-09-16",83.559998,83.870003,82.239998,83.220001,2691700,82.317078
"2021-09-17",82.940002,83.629997,82.709999,83.610001,4507900,82.702843
"2021-09-20",82.849998,83.169998,81.919998,82.290001,2811900,81.397171
"2021-09-21",82.849998,83.230003,81.910004,81.949997,2002700,81.060852
"2021-09-22",82.230003,82.389999,81.010002,81.050003,2445500,80.170616
"2021-09-23",81.150002,81.410004,80.730003,80.790001,2738500,79.913445
"2021-09-24",80.610001,81.07,80.529999,80.849998,2008800,79.972786
"2021-09-27",80.43,80.860001,79.889999,80.57,2264200,79.695831
"2021-09-28",80.470001,80.989998,80.050003,80.730003,2932900,79.854088
"2021-09-29",80.790001,82.290001,80.769997,81.809998,2548300,80.922371
"2021-09-30",82.010002,82.529999,80.410004,80.43,3095300,79.55735
"2021-10-01",80.57,81.660004,79.760002,81.290001,2885000,80.408012
"2021-10-04",81,81.589996,79.800003,80.419998,3158300,79.547455
"2021-10-05",80.779999,82.190002,80.489998,80.860001,2756300,79.982681
"2021-10-06",80.489998,80.93,79.669998,80.860001,2949500,79.982681
"2021-10-07",81.150002,81.900002,80.480003,80.580002,3316000,79.705727
"2021-10-08",80.709999,81.110001,79.980003,80.199997,2641200,79.329834
"2021-10-11",79.919998,80.099998,78.839996,78.919998,2010500,78.063728
"2021-10-12",78.830002,79.029999,78.279999,78.709999,1394400,77.85601
"2021-10-13",78.720001,79.260002,78.470001,78.800003,1491100,77.945038
"2021-10-14",79.099998,79.919998,79.099998,79.889999,1754000,79.023209
"2021-10-15",80,80.360001,79.68,79.699997,1783600,78.835258
"2021-10-18",79.599998,79.599998,77.940002,78.18,1822900,77.331764
"2021-10-19",78.440002,79.730003,78.389999,79.68,2527800,78.815483
"2021-10-20",79.860001,81.730003,79.779999,81.25,2270000,80.368454
"2021-10-21",81.699997,81.779999,80.790001,81.459999,1349100,80.576172
"2021-10-22",81.599998,82.239998,81.470001,82.190002,1348400,81.298248
"2021-10-25",82.370003,82.599998,81.239998,81.360001,2621100,80.477257
"2021-10-26",81.489998,82.120003,81.169998,81.790001,1557700,80.902596
"2021-10-27",82.230003,82.389999,81.769997,81.940002,2764000,81.050964
"2021-10-28",82.32,84.300003,78.330002,78.610001,7344300,77.757095
"2021-10-29",78.110001,79.410004,77.559998,78.959999,7995500,78.103294
"2021-11-01",79.199997,80.160004,78.860001,79.82,3375600,78.953964
"2021-11-02",80.169998,80.82,79.339996,80.290001,2152200,79.418869
"2021-11-03",80.360001,80.940002,79.580002,80.040001,1648900,79.171577
"2021-11-04",80.089996,80.230003,77.849998,78.309998,2638900,77.460342
"2021-11-05",78.150002,79.300003,77.760002,78.040001,2606800,77.193283
"2021-11-08",78.32,79.089996,77.82,78.739998,1626400,77.885681
"2021-11-09",78.650002,78.699997,77.559998,77.699997,2476800,76.856964
"2021-11-10",77.790001,79.57,77.790001,79.019997,2494400,78.162636
"2021-11-11",79.059998,79.339996,78.68,79.160004,1776100,78.301125
"2021-11-12",79.57,79.709999,79.010002,79.459999,1216200,78.59787
"2021-11-15",79.580002,79.709999,78.660004,79.550003,1609700,78.686897
"2021-11-16",79.32,79.949997,79.190002,79.309998,1978100,78.449493
"2021-11-17",79.220001,80.150002,78.709999,79.580002,2249700,78.716568
"2021-11-18",80,80.029999,79.089996,79.110001,2099000,78.251663
"2021-11-19",79.419998,79.629997,78.760002,79.260002,2381400,78.400047
"2021-11-22",79.400002,79.93,78.790001,79.25,1708000,78.390144
"2021-11-23",78.93,79.07,78.059998,78.410004,1707300,77.559265
"2021-11-24",78.43,78.739998,77.400002,77.620003,1338800,76.77784
"2021-11-26",77.730003,78,76.050003,76.290001,1281100,75.462265
"2021-11-29",76.32,76.970001,75.989998,76.029999,2506600,75.205078
"2021-11-30",75.900002,76.160004,74.32,74.57,3440600,73.760925
"2021-12-01",74.849998,76.610001,74.519997,75.080002,2502400,74.265396
"2021-12-02",74.889999,76.610001,74.779999,76.230003,2726700,75.685181
"2021-12-03",76.650002,78.139999,76.459999,78.050003,2510300,77.492172
"2021-12-06",78.389999,80.599998,78.220001,79.239998,3046400,78.673653
"2021-12-07",79.519997,80.940002,79.440002,79.879997,2793600,79.309082
"2021-12-08",80.059998,80.949997,79.82,80.610001,1886700,80.033867
"2021-12-09",80.470001,81.269997,79.830002,80.559998,1935500,79.984222
"2021-12-10",80.910004,81.25,80.419998,80.860001,2131300,80.282082
"2021-12-13",80.970001,83.769997,80.419998,83.199997,3103800,82.605354
"2021-12-14",83.230003,83.760002,82.309998,82.510002,2662700,81.920288
"2021-12-15",82.769997,83.18,81.540001,82.699997,2300500,82.108925
"2021-12-16",82.589996,84.099998,82.160004,83.910004,3076100,83.31028
"2021-12-17",84.349998,85.089996,83.239998,83.629997,4688100,83.03228
"2021-12-20",83.129997,83.260002,81.900002,82.510002,2631700,81.920288
"2021-12-21",82.75,84.360001,82.599998,83.870003,2731000,83.270569
"2021-12-22",84.120003,85.389999,83.529999,85.32,2301000,84.710205
"2021-12-23",85.550003,86.080002,85.330002,85.550003,2033700,84.93856
"2021-12-27",85.800003,86.669998,85.489998,86.599998,1220700,85.981056
"2021-12-28",86.629997,87.099998,86.410004,86.75,1227800,86.12999
"2021-12-29",86.870003,87.43,86.610001,87.190002,1280300,86.566841
