"","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume","VMC.Adjusted"
"2021-10-07",176.039993,179.300003,175.580002,176.639999,924900,175.494461
"2021-10-08",176.960007,178.270004,175.279999,175.440002,658400,174.302231
"2021-10-11",175,176.100006,171.779999,171.880005,531800,170.765335
"2021-10-12",170.779999,172.380005,170.440002,170.830002,524100,169.722137
"2021-10-13",171.25,172.360001,168.860001,170.479996,542200,169.374405
"2021-10-14",171.699997,176.479996,171.5,176.279999,670700,175.136795
"2021-10-15",177.940002,178.25,176.330002,176.929993,363300,175.782562
"2021-10-18",177.899994,181.330002,177.029999,180.539993,828300,179.369171
"2021-10-19",180.869995,181.179993,179.089996,179.869995,501900,178.703522
"2021-10-20",179.869995,185.990005,179.729996,185.710007,827900,184.505661
"2021-10-21",185.610001,185.610001,182.929993,184.449997,535800,183.253799
"2021-10-22",184.949997,186.5,184.440002,185.160004,423300,183.959198
"2021-10-25",186.070007,191.470001,184.5,190.869995,793100,189.632172
"2021-10-26",191.520004,191.520004,188.149994,189.130005,513800,187.903473
"2021-10-27",189.100006,190.389999,184.770004,185.029999,588400,183.830063
"2021-10-28",187.039993,190.929993,186.779999,188.869995,694900,187.645142
"2021-10-29",187.429993,190.380005,187.360001,190.119995,1014400,188.887039
"2021-11-01",191,191.850006,186.710007,188.160004,879000,186.939774
"2021-11-02",188.300003,197,187.029999,195.009995,1318400,193.745316
"2021-11-03",195.009995,196.960007,194,195,942900,193.735397
"2021-11-04",192.850006,196.419998,190.080002,193.979996,1923100,192.722
"2021-11-05",196.600006,200.460007,195.300003,196.059998,1169700,194.788528
"2021-11-08",206.5,207.5,200.220001,205.759995,1604900,204.425613
"2021-11-09",210.160004,210.160004,202.919998,205.779999,901300,204.44548
"2021-11-10",204.649994,205.779999,199.119995,200.279999,864000,198.98114
"2021-11-11",199.630005,201.550003,198.259995,199.259995,556600,197.967773
"2021-11-12",200,202.559998,199.119995,202.279999,497000,200.968185
"2021-11-15",203,203.259995,201.339996,201.940002,388100,200.998047
"2021-11-16",202.660004,204,201.949997,202.949997,452300,202.003326
"2021-11-17",202.449997,202.630005,201.289993,202.029999,446200,201.087631
"2021-11-18",201.75,202.960007,198.339996,198.589996,748500,197.663666
"2021-11-19",198.270004,199.350006,195.770004,196.149994,997800,195.235046
"2021-11-22",196.770004,201.080002,196.770004,198.160004,804600,197.235672
"2021-11-23",199.300003,200.380005,197.25,199.990005,679600,199.057144
"2021-11-24",199.470001,202.160004,198.610001,201.889999,531200,200.948273
"2021-11-26",197.440002,198.860001,194.210007,197.449997,441900,196.528992
"2021-11-29",198.690002,200.910004,198.350006,199.350006,629300,198.420135
"2021-11-30",197.449997,198.389999,190.970001,191.639999,951700,190.746094
"2021-12-01",194.889999,196.110001,188.899994,188.979996,743300,188.098495
"2021-12-02",189.660004,196.910004,189.039993,195.809998,691600,194.896637
"2021-12-03",195.399994,197.979996,189.210007,191.369995,999900,190.477341
"2021-12-06",194.100006,200.449997,192.279999,197.580002,831400,196.658386
"2021-12-07",199.860001,201.990005,199.5,199.759995,580600,198.828201
"2021-12-08",199.740005,201.050003,198.860001,200.520004,948900,199.584671
"2021-12-09",200.179993,202.740005,199.800003,201.320007,614800,200.380936
"2021-12-10",203,205.910004,202.259995,205.460007,782300,204.501633
"2021-12-13",205,205.720001,201.5,203.869995,673000,202.919037
"2021-12-14",203.210007,205.330002,202.139999,204.139999,792700,203.187775
"2021-12-15",204.050003,206.300003,202.300003,206.259995,688900,205.297882
"2021-12-16",206.630005,207.449997,204.740005,205.350006,617300,204.392151
"2021-12-17",205.179993,206.190002,203.220001,204.740005,1358700,203.784988
"2021-12-20",201,201.990005,195.839996,198.779999,779600,197.852783
"2021-12-21",200,203.889999,199.270004,202.350006,545500,201.406128
"2021-12-22",203.039993,205.809998,202.389999,205.690002,608000,204.730545
"2021-12-23",205.570007,207.990005,204.460007,206.360001,365400,205.39743
"2021-12-27",207.029999,207.789993,205.800003,207.490005,394500,206.522171
"2021-12-28",206.740005,209.139999,206.740005,208.839996,287100,207.865845
"2021-12-29",207.759995,210,207.759995,208.970001,588400,207.995255
"2021-12-30",209.139999,210.25,206.520004,206.830002,388100,205.865234
"2021-12-31",206.419998,208.350006,204.880005,207.580002,523600,206.61174
"2022-01-03",208.399994,209.910004,206.860001,207.899994,614700,206.930237
"2022-01-04",210,213.649994,209.210007,210.529999,710300,209.547974
"2022-01-05",210.619995,213.270004,208.360001,208.479996,637400,207.507538
"2022-01-06",209.800003,211.889999,207.570007,209.949997,563400,208.970673
"2022-01-07",210,211.630005,206.229996,207.919998,692700,206.950134
"2022-01-10",207.389999,207.389999,198.75,200.080002,868100,199.146729
"2022-01-11",200.050003,200.600006,195.869995,200.440002,1017600,199.505035
