"","LYV.Open","LYV.High","LYV.Low","LYV.Close","LYV.Volume","LYV.Adjusted"
"2020-09-15",58.66,59.060001,57.830002,58.849998,2074600,58.849998
"2020-09-16",58.919998,60.669998,58.689999,59.970001,2756800,59.970001
"2020-09-17",59.389999,60.240002,57.91,58.560001,1534700,58.560001
"2020-09-18",58.419998,58.759998,56.509998,56.990002,2911400,56.990002
"2020-09-21",55.5,55.759998,52.509998,53.16,4599200,53.16
"2020-09-22",53.540001,54.080002,52.279999,53.110001,2077300,53.110001
"2020-09-23",53.630001,54.139999,51.299999,51.34,2379800,51.34
"2020-09-24",50.779999,52.18,50.119999,50.91,2202000,50.91
"2020-09-25",50.790001,53.580002,50.779999,53.240002,1743900,53.240002
"2020-09-28",54.189999,55.09,53.299999,54.41,1531700,54.41
"2020-09-29",54.169998,54.32,53,53.290001,1456300,53.290001
"2020-09-30",53.619999,55.5,53.450001,53.880001,1611800,53.880001
"2020-10-01",54.369999,54.580002,52.93,53.740002,1286000,53.740002
"2020-10-02",52.240002,55.25,52.119999,54.73,1358900,54.73
"2020-10-05",55.279999,55.52,53.93,54.560001,1814600,54.560001
"2020-10-06",55.009998,56.68,53.799999,54.209999,1942800,54.209999
"2020-10-07",55.23,55.970001,54.43,54.82,1174600,54.82
"2020-10-08",55.25,56.380001,54.639999,56.27,1525300,56.27
"2020-10-09",56.950001,57.98,56.759998,56.830002,1584200,56.830002
"2020-10-12",56.130001,56.369999,54.689999,55.84,1142900,55.84
"2020-10-13",55.84,55.84,54.619999,54.689999,1122000,54.689999
"2020-10-14",54.5,55.419998,54.150002,54.360001,975100,54.360001
"2020-10-15",53.669998,54.599998,52.5,54.369999,1574900,54.369999
"2020-10-16",54.669998,55.540001,54.189999,54.599998,1201700,54.599998
"2020-10-19",55.169998,55.950001,53.759998,53.970001,1537000,53.970001
"2020-10-20",54.59,56.41,54.259998,55.639999,1991600,55.639999
"2020-10-21",55.07,55.689999,54.25,55.290001,1195400,55.290001
"2020-10-22",55.810001,57.09,55.599998,56.830002,1569200,56.830002
"2020-10-23",57.189999,57.740002,56.009998,57.16,1596000,57.16
"2020-10-26",55.950001,56.43,52.91,54.529999,1958600,54.529999
"2020-10-27",53.77,53.91,51.82,51.849998,2242100,51.849998
"2020-10-28",50.66,50.66,48.91,49.400002,3433500,49.400002
"2020-10-29",49.07,50,48.529999,49.669998,2133200,49.669998
"2020-10-30",49.41,49.950001,47.970001,48.799999,1978000,48.799999
"2020-11-02",49.389999,50.48,48.57,50.23,1709500,50.23
"2020-11-03",51.110001,53.970001,50.880001,53.34,2917400,53.34
"2020-11-04",53,55.990002,52.450001,54.73,2763900,54.73
"2020-11-05",55.330002,56.759998,54.880001,56.43,1975600,56.43
"2020-11-06",55.990002,56.549999,53.150002,56.040001,2995800,56.040001
"2020-11-09",67.400002,72.720001,64.169998,64.360001,14776500,64.360001
"2020-11-10",62.75,65.510002,62.490002,65.260002,5791100,65.260002
"2020-11-11",65.309998,65.610001,62.709999,63.689999,3643100,63.689999
"2020-11-12",62.869999,63.360001,61.5,62.240002,3106900,62.240002
"2020-11-13",62.830002,66.449997,62.75,66.080002,4079400,66.080002
"2020-11-16",68.860001,69.540001,66.160004,68.32,5280500,68.32
"2020-11-17",66.93,69.050003,66.809998,68.779999,3470600,68.779999
"2020-11-18",69.400002,71.019997,67.010002,67.089996,4362900,67.089996
"2020-11-19",66.849998,68.459999,66.489998,66.910004,1589900,66.910004
"2020-11-20",66.660004,67.029999,65,66.309998,2082500,66.309998
"2020-11-23",67.260002,68.860001,66.75,68.300003,2105900,68.300003
"2020-11-24",69.800003,70.529999,68.830002,69.309998,2555000,69.309998
"2020-11-25",69.089996,69.089996,67.230003,68.290001,1219200,68.290001
"2020-11-27",68.43,68.809998,67.040001,67.230003,808800,67.230003
"2020-11-30",66.739998,67.25,64.919998,65.650002,2262300,65.650002
"2020-12-01",66.559998,69.330002,66.25,68.110001,2794400,68.110001
"2020-12-02",67.650002,70.389999,66.870003,69.900002,2646500,69.900002
"2020-12-03",70.440002,70.830002,68.709999,69.220001,1891200,69.220001
"2020-12-04",69.620003,70.220001,69.510002,70,2250400,70
"2020-12-07",69.5,70.129997,68.5,69.93,2155100,69.93
"2020-12-08",69.599998,70.610001,68.949997,69.889999,2525700,69.889999
"2020-12-09",71.110001,71.349998,68.610001,70.260002,1985300,70.260002
"2020-12-10",69.540001,72.43,69.400002,72.330002,2295100,72.330002
"2020-12-11",71.239998,71.959999,69.68,70.93,2605400,70.93
"2020-12-14",71.900002,74.25,70.269997,70.349998,2534700,70.349998
"2020-12-15",70.470001,73.720001,70.379997,73.169998,3226900,73.169998
"2020-12-16",73.050003,73.629997,72.18,72.980003,1717000,72.980003
"2020-12-17",73.239998,74.290001,72.510002,73.980003,1799900,73.980003
"2020-12-18",74.120003,74.449997,73.110001,73.43,4166300,73.43
"2020-12-21",70.900002,73.080002,70.32,72.18,2453200,72.18
"2020-12-22",72.389999,72.629997,71.260002,72.010002,1847500,72.010002
"2020-12-23",72.019997,73.059998,71.580002,71.629997,1845500,71.629997
"2020-12-24",71.93,72.040001,71.349998,71.639999,381800,71.639999
"2020-12-28",71.779999,75.57,71.730003,74.68,2305000,74.68
"2020-12-29",75,75.339996,74.18,74.510002,1921700,74.510002
"2020-12-30",74.25,75.089996,74.25,74.57,1233000,74.57
"2020-12-31",74.370003,74.849998,73.150002,73.480003,1117500,73.480003
"2021-01-04",73.370003,73.790001,69.949997,70.669998,2355000,70.669998
"2021-01-05",70.25,73.110001,70.25,72,1642000,72
"2021-01-06",72.720001,74.489998,71.720001,72.620003,2630700,72.620003
"2021-01-07",72.910004,74.489998,72.190002,73.010002,1355300,73.010002
"2021-01-08",73.209999,74.059998,72.650002,73.459999,2259300,73.459999
"2021-01-11",72.480003,74,71.529999,72.239998,2328200,72.239998
"2021-01-12",72.400002,73.589996,71.720001,73.370003,1864200,73.370003
"2021-01-13",73.459999,74.419998,73.050003,73.32,2163200,73.32
"2021-01-14",73.82,75.160004,73.25,73.330002,2119200,73.330002
"2021-01-15",72.889999,72.93,70.830002,71.57,1738700,71.57
"2021-01-19",70.870003,78,70.379997,76.540001,6217700,76.540001
"2021-01-20",76.529999,77.050003,73.669998,73.730003,3201000,73.730003
"2021-01-21",73.75,74.739998,73.050003,74.589996,1725600,74.589996
"2021-01-22",73.5,74.339996,72.019997,72.279999,2667800,72.279999
"2021-01-25",71.690002,71.989998,68.379997,69.209999,3563600,69.209999
"2021-01-26",69.870003,70.199997,67.529999,68.699997,2501000,68.699997
"2021-01-27",67.599998,70.019997,66.360001,68.519997,2795700,68.519997
"2021-01-28",70,70.559998,68.040001,69.18,2215300,69.18
"2021-01-29",68.620003,68.889999,65.879997,66.449997,2924600,66.449997
"2021-02-01",67.389999,68.190002,66.25,67.559998,2350800,67.559998
"2021-02-02",68.900002,71.940002,68.629997,70.379997,3246300,70.379997
"2021-02-03",70.860001,71.910004,70.610001,71.440002,1121600,71.440002
"2021-02-04",72.199997,75.709999,71.879997,75.019997,2816200,75.019997
"2021-02-05",75.160004,75.43,73.660004,74.339996,2043200,74.339996
"2021-02-08",75,76.760002,74.32,76.389999,1435800,76.389999
"2021-02-09",76.32,78.330002,75.32,77.519997,1834000,77.519997
"2021-02-10",77.82,80.809998,76.699997,79.629997,2910600,79.629997
"2021-02-11",80.169998,83.080002,79.370003,81.040001,3470200,81.040001
"2021-02-12",81.029999,84.209999,80.870003,84.169998,4125700,84.169998
"2021-02-16",85.010002,86.720001,83.809998,85.010002,3511700,85.010002
"2021-02-17",84.589996,85.480003,83.150002,84.860001,2171100,84.860001
"2021-02-18",84.790001,84.790001,83.349998,84.449997,1748100,84.449997
"2021-02-19",84.849998,88.690002,84.75,88.089996,2418800,88.089996
"2021-02-22",87.889999,91.379997,87.199997,88.849998,3669800,88.849998
"2021-02-23",89.239998,90.459999,86.18,90.330002,4952900,90.330002
"2021-02-24",89.889999,92.870003,89.419998,90.489998,2753200,90.489998
"2021-02-25",91.07,91.18,85.660004,87.220001,3255300,87.220001
"2021-02-26",88.82,91.029999,85.25,88.860001,2507000,88.860001
"2021-03-01",91.099998,94.25,90.790001,92.860001,2195400,92.860001
"2021-03-02",92.089996,92.790001,89.839996,90.57,1900600,90.57
"2021-03-03",89.150002,94.629997,88.809998,91.75,2723900,91.75
"2021-03-04",91.800003,93.730003,88.709999,91.139999,3187100,91.139999
"2021-03-05",91.790001,91.970001,86.400002,89.809998,2920100,89.809998
"2021-03-08",91.5,91.830002,88.760002,89.400002,1680100,89.400002
"2021-03-09",90.139999,90.339996,87.239998,87.260002,2057700,87.260002
"2021-03-10",88.029999,89.379997,87.489998,88.169998,1934000,88.169998
"2021-03-11",89.300003,89.300003,87.790001,88.779999,1177700,88.779999
"2021-03-12",88.32,89.050003,86.760002,87.879997,2036300,87.879997
"2021-03-15",88.019997,90.360001,87.75,90.160004,2123500,90.160004
"2021-03-16",90.220001,90.230003,86.269997,88.010002,1828100,88.010002
"2021-03-17",87.129997,87.739998,85.669998,86.690002,1711800,86.690002
"2021-03-18",86.360001,89.940002,84.760002,87.889999,4213900,87.889999
"2021-03-19",87.459999,87.760002,84.370003,84.68,2781300,84.68
"2021-03-22",84.68,85.940002,83.660004,84.279999,1927400,84.279999
"2021-03-23",83.830002,83.830002,81.129997,81.639999,2014000,81.639999
"2021-03-24",82.160004,83.900002,81.529999,81.550003,1526700,81.550003
"2021-03-25",80.389999,84.309998,79.150002,83.82,2207200,83.82
"2021-03-26",84.139999,86.349998,82.459999,84.040001,3212800,84.040001
"2021-03-29",83.410004,83.949997,81.419998,81.75,1553600,81.75
"2021-03-30",81.919998,84.059998,80.82,83.489998,1342500,83.489998
"2021-03-31",84.019997,85.220001,83.68,84.650002,1976000,84.650002
"2021-04-01",85.5,88.150002,84.970001,88.07,2002400,88.07
"2021-04-05",89.269997,89.440002,87.099998,87.550003,1653200,87.550003
"2021-04-06",87.620003,89.400002,87.480003,88.93,1807800,88.93
"2021-04-07",88.879997,88.879997,86.580002,86.68,1283300,86.68
"2021-04-08",86.660004,87.110001,85.779999,87,1288200,87
"2021-04-09",87.18,87.360001,85.139999,86,1452600,86
"2021-04-12",85.760002,85.980003,84.029999,84.879997,1333600,84.879997
"2021-04-13",84.099998,84.120003,81.919998,82.669998,3035400,82.669998
"2021-04-14",83.050003,84.650002,81.75,82.050003,2379200,82.050003
"2021-04-15",82.589996,83.029999,80.18,80.25,2332300,80.25
"2021-04-16",80.629997,81.720001,80.510002,80.989998,1905500,80.989998
"2021-04-19",80.980003,82.440002,80.440002,81.580002,2980900,81.580002
"2021-04-20",80.989998,81.309998,77.730003,78.449997,2466800,78.449997
"2021-04-21",78.07,81.330002,77.440002,81.279999,2571200,81.279999
"2021-04-22",81.519997,81.889999,79.900002,80.980003,3544900,80.980003
"2021-04-23",81.790001,82.169998,81.139999,81.779999,1315100,81.779999
"2021-04-26",82.410004,83.290001,82.050003,82.620003,1027000,82.620003
"2021-04-27",83.029999,83.370003,82.059998,82.279999,923000,82.279999
"2021-04-28",82.400002,83.5,82.220001,82.419998,899700,82.419998
"2021-04-29",83.019997,83.879997,81.800003,82.610001,822500,82.610001
"2021-04-30",82.019997,82.809998,81.559998,81.879997,943200,81.879997
"2021-05-03",82.639999,82.970001,81.550003,82.150002,942200,82.150002
"2021-05-04",81.709999,82.089996,78.459999,79.279999,1587600,79.279999
"2021-05-05",79.589996,79.75,78.699997,78.769997,1591700,78.769997
"2021-05-06",78.989998,79.57,74.910004,75.120003,4018800,75.120003
"2021-05-07",74.360001,80.370003,74.010002,79.959999,2994600,79.959999
"2021-05-10",82.110001,85.339996,80.529999,83.059998,3858400,83.059998
"2021-05-11",81.199997,82.559998,79.900002,81.949997,2901700,81.949997
"2021-05-12",82.360001,82.529999,77.82,77.910004,2493100,77.910004
"2021-05-13",78.18,81.550003,78.18,81.230003,2470000,81.230003
"2021-05-14",82.589996,85.870003,82.349998,85.800003,3493100,85.800003
"2021-05-17",85.220001,86.5,83.110001,84.519997,2570500,84.519997
"2021-05-18",84.779999,88.779999,84.639999,87.089996,5445300,87.089996
"2021-05-19",85.18,87.389999,84.25,87.300003,2786000,87.300003
"2021-05-20",87.639999,89.690002,87.099998,88.370003,2616300,88.370003
"2021-05-21",89.459999,89.660004,87.910004,89.260002,2498400,89.260002
"2021-05-24",89.660004,92.019997,88.330002,91.720001,2272200,91.720001
"2021-05-25",93.019997,93.07,89.279999,90.370003,3173600,90.370003
"2021-05-26",90.900002,91.400002,89.900002,90.300003,1265500,90.300003
"2021-05-27",90.779999,91,88.879997,90.519997,1973700,90.519997
"2021-05-28",91.18,91.5,89.940002,90.110001,1086200,90.110001
"2021-06-01",91.099998,92.120003,90.279999,91.970001,1545800,91.970001
"2021-06-02",91.93,92.43,90.32,90.910004,2211300,90.910004
"2021-06-03",90.190002,91.110001,88.779999,90.029999,1820600,90.029999
"2021-06-04",90.459999,91.050003,89.059998,89.239998,1205000,89.239998
"2021-06-07",89.410004,90.980003,89.190002,89.699997,1236800,89.699997
"2021-06-08",89.949997,89.970001,87.910004,89.290001,1399600,89.290001
"2021-06-09",89.449997,89.449997,88.089996,88.169998,1081800,88.169998
"2021-06-10",88.410004,88.730003,85.730003,87.010002,2099300,87.010002
"2021-06-11",87.290001,88.07,87,87.459999,1243600,87.459999
"2021-06-14",87.309998,87.830002,85.769997,86.400002,1186100,86.400002
"2021-06-15",86.879997,87.480003,85.5,85.959999,1348500,85.959999
"2021-06-16",86.010002,87.449997,85.739998,87.220001,1003700,87.220001
"2021-06-17",86.940002,87.690002,84.739998,85.360001,1318600,85.360001
"2021-06-18",84.190002,85.849998,83.550003,85.660004,2031300,85.660004
"2021-06-21",86.800003,89.150002,85.919998,89.059998,1532200,89.059998
"2021-06-22",88.889999,92.550003,87.489998,91.519997,6012800,91.519997
"2021-06-23",91.489998,94,91.220001,91.940002,2081000,91.940002
"2021-06-24",92.739998,92.830002,91.129997,91.989998,1508800,91.989998
"2021-06-25",92,93.370003,91.610001,92.599998,3757100,92.599998
"2021-06-28",92.760002,92.760002,86.339996,88.290001,4105900,88.290001
"2021-06-29",88.290001,89.75,87.370003,88.480003,1888100,88.480003
"2021-06-30",88.470001,88.82,87.029999,87.589996,2689600,87.589996
"2021-07-01",88.279999,89.230003,88,88.589996,1761300,88.589996
"2021-07-02",88.620003,88.830002,86.339996,87.290001,1729700,87.290001
"2021-07-06",87.989998,87.989998,84.230003,84.949997,2046800,84.949997
"2021-07-07",84.050003,85,82.589996,83.599998,1655600,83.599998
"2021-07-08",81.809998,83.120003,81.230003,82.099998,1461700,82.099998
"2021-07-09",83.199997,84.150002,82.900002,83.660004,1623900,83.660004
"2021-07-12",82.989998,84.720001,82.25,84.389999,1194600,84.389999
"2021-07-13",84.089996,84.099998,81.190002,81.779999,2055800,81.779999
"2021-07-14",81.93,82.349998,80.519997,80.940002,1577700,80.940002
"2021-07-15",80.510002,81.190002,78.68,79.93,1935900,79.93
"2021-07-16",82.849998,82.93,77.919998,78.529999,2994400,78.529999
"2021-07-19",76.279999,76.480003,74.230003,74.790001,3774300,74.790001
"2021-07-20",75.410004,77.5,74.5,76.989998,3591500,76.989998
"2021-07-21",77.919998,80.940002,77.830002,80,2456900,80
"2021-07-22",79.699997,80.169998,78.309998,78.800003,1342900,78.800003
"2021-07-23",79.480003,79.519997,77.589996,77.709999,1434900,77.709999
"2021-07-26",77.720001,82.260002,77.709999,82.18,2714000,82.18
"2021-07-27",81.43,81.949997,79.059998,80.290001,2267200,80.290001
"2021-07-28",81.57,81.809998,78.940002,80.209999,1176800,80.209999
"2021-07-29",80.330002,82.150002,79.830002,80.720001,1519300,80.720001
"2021-07-30",80.059998,81.959999,78.620003,78.889999,1479700,78.889999
"2021-08-02",79.25,81.029999,78.900002,79.120003,1533300,79.120003
"2021-08-03",79.400002,79.639999,76.309998,78.330002,3007300,78.330002
"2021-08-04",80.470001,82.879997,78.580002,79.489998,4145100,79.489998
"2021-08-05",79.379997,84.779999,79.379997,84.760002,2465600,84.760002
"2021-08-06",85.379997,86.160004,83.790001,85.410004,1937400,85.410004
"2021-08-09",84.589996,84.940002,82.540001,83.309998,1587300,83.309998
"2021-08-10",82.949997,85.360001,82.730003,83.75,2204500,83.75
"2021-08-11",82.75,84.209999,81.720001,83.769997,1780700,83.769997
"2021-08-12",83.75,84.050003,82.300003,84.019997,1505400,84.019997
"2021-08-13",84.089996,84.330002,81.519997,81.580002,1341100,81.580002
"2021-08-16",80.769997,81.989998,78.779999,81.139999,2067500,81.139999
"2021-08-17",80.089996,80.830002,78.459999,80.559998,2298500,80.559998
"2021-08-18",80.989998,82.449997,80.410004,80.870003,1313500,80.870003
"2021-08-19",79.860001,80.459999,78.139999,79.5,2281400,79.5
"2021-08-20",78.870003,80.300003,78.309998,80.199997,2114600,80.199997
"2021-08-23",81.089996,83.68,80.650002,83.440002,2103800,83.440002
"2021-08-24",84.099998,86.150002,83.660004,85.739998,2814400,85.739998
"2021-08-25",85.940002,87.68,85.540001,85.889999,1679300,85.889999
"2021-08-26",85.440002,86.370003,84.040001,84.75,1890300,84.75
"2021-08-27",85.099998,87.309998,85.099998,86.900002,1314800,86.900002
"2021-08-30",87.779999,87.779999,85.860001,86.57,1346300,86.57
"2021-08-31",86.169998,86.970001,85.360001,86.699997,2638400,86.699997
"2021-09-01",86.769997,87.199997,86,86.360001,909100,86.360001
"2021-09-02",87.050003,87.510002,86.360001,86.690002,903600,86.690002
"2021-09-03",86.07,86.870003,84.959999,86.080002,744400,86.080002
"2021-09-07",86,87.919998,85.889999,87.68,1200000,87.68
"2021-09-08",87.57,88.860001,86.129997,86.690002,951600,86.690002
"2021-09-09",85.639999,87.610001,84.800003,86.379997,1313200,86.379997
"2021-09-10",86.940002,87.330002,85.32,86.080002,1448300,86.080002
"2021-09-13",88,89.800003,86.510002,89.110001,2075000,89.110001
"2021-09-14",89.169998,89.690002,87.199997,88.68,1877300,88.68
"2021-09-15",87,87.279999,84.379997,86.540001,4433500,86.540001
"2021-09-16",86.589996,87.220001,85.260002,86.809998,2225800,86.809998
"2021-09-17",86.849998,88.349998,86.25,86.830002,3888200,86.830002
"2021-09-20",85.989998,86.860001,84.730003,86.739998,1427200,86.739998
"2021-09-21",87.839996,88.290001,84.510002,85.220001,2147300,85.220001
"2021-09-22",85.849998,89,85.790001,88.32,2020700,88.32
"2021-09-23",89.190002,92.050003,88.919998,91.589996,2682100,91.589996
"2021-09-24",91.489998,93.089996,91.089996,92.739998,1582400,92.739998
"2021-09-27",93,96.5,93,93.639999,2501300,93.639999
"2021-09-28",93.519997,94.559998,92.220001,92.419998,1488300,92.419998
"2021-09-29",92.669998,93.260002,90.949997,91.410004,2431000,91.410004
"2021-09-30",91.760002,92.889999,90.18,91.129997,2014600,91.129997
"2021-10-01",92.510002,99.089996,92.300003,98.730003,4464300,98.730003
"2021-10-04",98.339996,98.790001,96.300003,97.970001,2274700,97.970001
"2021-10-05",98.599998,100.230003,97.800003,99.830002,2287200,99.830002
"2021-10-06",97.889999,101.089996,97.510002,101.029999,2090600,101.029999
"2021-10-07",101.290001,102.239998,98.639999,98.970001,1751600,98.970001
"2021-10-08",99.300003,100.199997,98.190002,98.339996,1177700,98.339996
"2021-10-11",98.870003,99.209999,97.489998,98.040001,1064400,98.040001
"2021-10-12",97.809998,100.080002,97.68,100.059998,1604100,100.059998
"2021-10-13",100.160004,100.510002,98.970001,99.620003,1976900,99.620003
"2021-10-14",100.529999,100.660004,98.970001,100.410004,1354600,100.410004
"2021-10-15",101.239998,102.849998,100.449997,101.57,1447900,101.57
"2021-10-18",100.800003,102.629997,100.199997,102.410004,1560800,102.410004
"2021-10-19",102.650002,102.82,99.959999,100.010002,2276600,100.010002
"2021-10-20",99.489998,100.360001,98.120003,100.260002,1019900,100.260002
"2021-10-21",100.190002,101.199997,99.970001,100.57,813300,100.57
"2021-10-22",100.400002,101.389999,99.68,100.75,884200,100.75
"2021-10-25",100.629997,101.580002,100.040001,100.519997,1202200,100.519997
"2021-10-26",101,101.550003,99.93,101.089996,886700,101.089996
"2021-10-27",101.089996,102.099998,100.32,100.610001,2055900,100.610001
"2021-10-28",100.339996,101.029999,98.75,100.440002,2582500,100.440002
"2021-10-29",100.050003,101.459999,99.620003,101.150002,1175100,101.150002
"2021-11-01",101.849998,104.610001,101.699997,104.040001,1567200,104.040001
"2021-11-02",104.360001,107.050003,104.040001,106.779999,2364300,106.779999
"2021-11-03",106.339996,106.760002,104.449997,105.279999,1634900,105.279999
"2021-11-04",105.57,107.529999,104.68,107.519997,1958400,107.519997
"2021-11-05",118.629997,127.75,115.5,123.800003,8015300,123.800003
"2021-11-08",118.82,120.339996,113.620003,117.139999,5805200,117.139999
"2021-11-09",116.809998,117,114.029999,116.610001,3005800,116.610001
"2021-11-10",116,117.730003,113.949997,115.010002,3102800,115.010002
"2021-11-11",115.260002,115.870003,113.199997,114.260002,1648300,114.260002
"2021-11-12",114.370003,114.529999,111.709999,112.32,2739400,112.32
"2021-11-15",113.07,116.790001,112.699997,115.940002,1721400,115.940002
"2021-11-16",114.449997,116.040001,112.120003,115.709999,1672100,115.709999
"2021-11-17",115.370003,116.650002,113.830002,115.099998,2356900,115.099998
"2021-11-18",114.910004,115.480003,111.93,112.959999,2423500,112.959999
"2021-11-19",111.599998,112.989998,109.050003,112.540001,3099600,112.540001
"2021-11-22",113.879997,116.699997,112.059998,112.110001,3112300,112.110001
"2021-11-23",112.830002,113.629997,110.559998,112.739998,1451100,112.739998
"2021-11-24",111.57,113.529999,110.849998,112.610001,1393300,112.610001
"2021-11-26",103.790001,105.050003,98.5,103.529999,4582100,103.529999
"2021-11-29",106.190002,109.620003,104.809998,107.849998,2855700,107.849998
"2021-11-30",106.699997,107.730003,104.25,106.650002,3134300,106.650002
"2021-12-01",109.760002,109.949997,102.330002,102.830002,3038000,102.830002
"2021-12-02",104.139999,107.279999,103.290001,106.309998,2713100,106.309998
"2021-12-03",106.559998,106.559998,99.160004,100.93,3765400,100.93
"2021-12-06",102,109.419998,101.849998,107.110001,2886500,107.110001
"2021-12-07",109.610001,110.669998,107.550003,108.629997,1824100,108.629997
"2021-12-08",109.080002,113.470001,109.080002,110.480003,2180800,110.480003
"2021-12-09",109.050003,113.239998,108.949997,110.730003,1854100,110.730003
"2021-12-10",111.260002,112.900002,110.169998,111.870003,1513700,111.870003
"2021-12-13",110.970001,111.989998,106.620003,108.599998,2276400,108.599998
"2021-12-14",107.150002,110.720001,106.809998,108.190002,1500000,108.190002
"2021-12-15",108.370003,108.68,103.209999,106.419998,2574100,106.419998
"2021-12-16",106.720001,107.800003,100.190002,101.400002,3601100,101.400002
"2021-12-17",101.790001,105.959999,100.82,105.139999,3833000,105.139999
"2021-12-20",100.790001,106.949997,100.410004,106.870003,2833400,106.870003
"2021-12-21",108.209999,114.959999,108.209999,114.220001,2725600,114.220001
"2021-12-22",113.980003,119.269997,113.739998,116.919998,3329400,116.919998
"2021-12-23",118,119.150002,116.459999,118.540001,1799800,118.540001
"2021-12-27",118.879997,120.25,117.449997,120.190002,1452300,120.190002
"2021-12-28",119.660004,121.230003,118.510002,120.089996,1546300,120.089996
"2021-12-29",120.25,121.559998,118.629997,119.830002,1457300,119.830002
"2021-12-30",120.110001,122.5,119.660004,119.709999,1290000,119.709999
"2021-12-31",119.269997,120.779999,118.580002,119.690002,1488200,119.690002
"2022-01-03",120.589996,123.489998,120.589996,121.139999,2165500,121.139999
"2022-01-04",123.410004,125.720001,120.089996,120.720001,2409900,120.720001
"2022-01-05",121.93,123.639999,117.349998,117.470001,2397600,117.470001
"2022-01-06",118.139999,121.150002,116.199997,119.339996,1906600,119.339996
"2022-01-07",119.800003,120.410004,115.809998,115.860001,1957100,115.860001
"2022-01-10",115.800003,116.559998,109.82,115.32,3198200,115.32
"2022-01-11",115.019997,116.809998,113.07,116,1718900,116
"2022-01-12",116.639999,117.669998,113.989998,114,2593600,114
