"","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"2020-11-12",118.300003,119.900002,115.599998,117.5,3190800,117.5
"2020-11-13",119.099998,124.980003,118.300003,123.449997,3636100,123.449997
"2020-11-16",128.770004,128.979996,122.32,123.559998,3136100,123.559998
"2020-11-17",122.580002,123.779999,121.129997,123.029999,1937700,123.029999
"2020-11-18",123.099998,126.080002,122.010002,122.519997,1981500,122.519997
"2020-11-19",121.610001,124.160004,120.029999,123.959999,2045100,123.959999
"2020-11-20",123.449997,123.660004,119.769997,119.900002,2936600,119.900002
"2020-11-23",121.18,124.949997,120.120003,122.800003,2290600,122.800003
"2020-11-24",125.699997,125.75,122.800003,125.050003,2619400,125.050003
"2020-11-25",124.25,124.379997,121.800003,123.18,1344900,123.18
"2020-11-27",124,125.68,122.459999,123.730003,840800,123.730003
"2020-11-30",123.709999,125.309998,121.360001,124.489998,2791100,124.489998
"2020-12-01",126.790001,128.309998,125.169998,126.220001,1987200,126.220001
"2020-12-02",124.699997,129.419998,124.489998,127.870003,1726800,127.870003
"2020-12-03",129.110001,129.929993,126.699997,127.349998,1710700,127.349998
"2020-12-04",128.190002,128.779999,125.25,128.580002,2024400,128.580002
"2020-12-07",128.509995,128.779999,124.620003,126.519997,1767200,126.519997
"2020-12-08",125.82,127.400002,124.050003,126.279999,1693300,126.279999
"2020-12-09",128.240005,132.919998,125.75,128.839996,3469300,128.839996
"2020-12-10",125.690002,134.089996,125.690002,130.470001,4567900,130.470001
"2020-12-11",129.529999,129.660004,122.739998,123.019997,4987900,123.019997
"2020-12-14",124.449997,125,122.199997,123.330002,2773800,123.330002
"2020-12-15",124.5,126.660004,123.360001,126,2218400,126
"2020-12-16",126.489998,126.489998,122.82,124.980003,2739700,124.980003
"2020-12-17",125.660004,125.660004,122.339996,124.480003,3609800,124.480003
"2020-12-18",125.199997,127.459999,122.400002,125.540001,7924100,125.540001
"2020-12-21",121.779999,124.690002,120.150002,123.360001,2637400,123.360001
"2020-12-22",124.080002,126.110001,122.5,123.150002,2185600,123.150002
"2020-12-23",123.989998,128.160004,123.169998,126.489998,1353600,126.489998
"2020-12-24",126.940002,127.43,125.75,126.959999,564100,126.959999
"2020-12-28",127.790001,130.300003,127.129997,128.479996,1651000,128.479996
"2020-12-29",128.820007,132.289993,128.279999,131.300003,2180700,131.300003
"2020-12-30",132,133.050003,130.880005,132.119995,1231300,132.119995
"2020-12-31",132.110001,133.690002,130.279999,132.399994,1459000,132.399994
"2021-01-04",134.570007,135.869995,128.309998,131.369995,3472400,131.369995
"2021-01-05",131.470001,137.940002,131.460007,137.139999,3487300,137.139999
"2021-01-06",138.110001,147.550003,136.839996,143.419998,4559100,143.419998
"2021-01-07",144.110001,144.669998,139.839996,142.289993,2173500,142.289993
"2021-01-08",143.399994,144.75,141.050003,144.020004,1484000,144.020004
"2021-01-11",140.309998,144.5,140.110001,142.960007,1473900,142.960007
"2021-01-12",142.850006,144.050003,140.860001,140.949997,1519900,140.949997
"2021-01-13",140.199997,141.089996,138.350006,140.610001,1966200,140.610001
"2021-01-14",141.119995,146.410004,141.119995,144.169998,2665800,144.169998
"2021-01-15",144,144.350006,140.110001,140.690002,1669400,140.690002
"2021-01-19",142.539993,143.690002,140.229996,142.820007,1809500,142.820007
"2021-01-20",141.660004,144.100006,138.399994,141.75,2293400,141.75
"2021-01-21",142.880005,142.880005,136.009995,138.880005,3168100,138.880005
"2021-01-22",139.820007,140.330002,136.440002,136.520004,2697700,136.520004
"2021-01-25",135.690002,138.550003,126.190002,135.990005,7253700,135.990005
"2021-01-26",137.589996,137.589996,130.009995,131.5,2984800,131.5
"2021-01-27",128.369995,130.490005,118.300003,123.209999,7235900,123.209999
"2021-01-28",126.379997,130.160004,124.599998,126.739998,8107100,126.739998
"2021-01-29",124.940002,126.339996,120.419998,124.099998,4601100,124.099998
"2021-02-01",126.150002,129.600006,125.650002,127.300003,5913400,127.300003
"2021-02-02",129.059998,136.779999,128.830002,136.130005,4934300,136.130005
"2021-02-03",137.979996,141.149994,137.059998,138.479996,3341200,138.479996
"2021-02-04",141.660004,142.919998,140.009995,141.910004,2080900,141.910004
"2021-02-05",143.330002,145.669998,140.289993,141.399994,2058900,141.399994
"2021-02-08",142.100006,146.320007,142.100006,145.419998,2523500,145.419998
"2021-02-09",144.979996,145.910004,143.070007,144.479996,2613300,144.479996
"2021-02-10",145.550003,151.860001,145.300003,148.899994,3428300,148.899994
"2021-02-11",149.300003,153.259995,146.889999,149.910004,3365600,149.910004
"2021-02-12",148.369995,151.699997,145.580002,146.509995,5379000,146.509995
"2021-02-16",146.410004,148.880005,143.229996,147.839996,4305000,147.839996
"2021-02-17",146.5,155.529999,145,154.039993,4738600,154.039993
"2021-02-18",150.839996,157.410004,150.279999,156.729996,2923800,156.729996
"2021-02-19",157.639999,162.100006,157.130005,158.919998,3496800,158.919998
"2021-02-22",158.5,166.570007,157.559998,160.610001,3588800,160.610001
"2021-02-23",160.369995,160.919998,153.100006,159.690002,3677300,159.690002
"2021-02-24",160.550003,164.580002,159.610001,162.779999,2906700,162.779999
"2021-02-25",164.610001,165,156.100006,157.179993,3230000,157.179993
"2021-02-26",158.410004,164.910004,154.610001,161,5159600,161
"2021-03-01",164,165.75,159.449997,161.240005,3277200,161.240005
"2021-03-02",161.550003,164.419998,160,160.270004,2089200,160.270004
"2021-03-03",161.119995,166.190002,158.309998,163.429993,2828300,163.429993
"2021-03-04",162.820007,163.940002,154.830002,158.410004,3863800,158.410004
"2021-03-05",160.929993,167.740005,156.130005,166.449997,4352300,166.449997
"2021-03-08",166.539993,171.720001,165.339996,167.899994,3987500,167.899994
"2021-03-09",168.949997,169.570007,163,165.770004,3563800,165.770004
"2021-03-10",170.029999,173.220001,165.509995,167.580002,3898900,167.580002
"2021-03-11",168.720001,175.25,168.720001,171.080002,4796600,171.080002
"2021-03-12",170.720001,176.25,169.699997,174.589996,3543500,174.589996
"2021-03-15",176.779999,177.300003,171.360001,177.100006,2443500,177.100006
"2021-03-16",177.559998,178.550003,174.789993,176.380005,3080800,176.380005
"2021-03-17",176.419998,185.479996,175.479996,185.270004,5059400,185.270004
"2021-03-18",184,187.929993,180.610001,180.800003,5432800,180.800003
"2021-03-19",179.600006,180.940002,175.089996,179.979996,3287300,179.979996
"2021-03-22",179,179.979996,172.440002,173.089996,3341400,173.089996
"2021-03-23",170.240005,172.600006,165.729996,168.419998,4495900,168.419998
"2021-03-24",169.199997,172.580002,165.899994,166.139999,2784200,166.139999
"2021-03-25",163.610001,175.100006,162.729996,174.660004,3755500,174.660004
"2021-03-26",176.979996,177.729996,170.990005,176.449997,3391900,176.449997
"2021-03-29",176.449997,179.839996,173.220001,176.130005,2953400,176.130005
"2021-03-30",177,177.399994,173.410004,175.869995,2576600,175.869995
"2021-03-31",176.630005,177.199997,171.919998,172.119995,2617100,172.119995
"2021-04-01",172.889999,176,170.679993,175.929993,2839900,175.929993
"2021-04-05",177.660004,178.330002,174.5,176.020004,2639200,176.020004
"2021-04-06",174.440002,177.630005,174.179993,174.699997,1943800,174.699997
"2021-04-07",175,175.5,170.380005,172.039993,3002900,172.039993
"2021-04-08",171.399994,175.419998,170.410004,174.570007,2553300,174.570007
"2021-04-09",175.490005,175.589996,170.839996,174.979996,2032900,174.979996
"2021-04-12",173.210007,175.25,169.550003,171.710007,1776700,171.710007
"2021-04-13",171.410004,172.699997,167.550003,170.929993,2644600,170.929993
"2021-04-14",171.919998,174.949997,171.270004,171.720001,2408800,171.720001
"2021-04-15",171.960007,172.509995,169.199997,170.550003,1969500,170.550003
"2021-04-16",172.100006,174.770004,170.979996,173.910004,2454300,173.910004
"2021-04-19",172.509995,177.880005,172.059998,175.619995,2324000,175.619995
"2021-04-20",174.080002,174.940002,166.75,170.460007,2839400,170.460007
"2021-04-21",170.490005,176.759995,168.529999,176.259995,2163900,176.259995
"2021-04-22",176.460007,180.089996,174.889999,175.649994,1977600,175.649994
"2021-04-23",176.660004,178.669998,175.070007,177.559998,1559700,177.559998
"2021-04-26",179.330002,181.520004,176.339996,176.679993,1715700,176.679993
"2021-04-27",177.029999,179.580002,176.029999,177.080002,1903300,177.080002
"2021-04-28",176.75,179.660004,176.199997,177.600006,1795100,177.600006
"2021-04-29",179.029999,180.639999,175.100006,177.869995,1465500,177.869995
"2021-04-30",177.479996,178.449997,174.669998,176.229996,1029900,176.229996
"2021-05-03",178.25,179.630005,174.470001,174.820007,1970100,174.820007
"2021-05-04",175.460007,175.559998,170.440002,173.449997,2134400,173.449997
"2021-05-05",174.089996,176.229996,170,170.919998,1967500,170.919998
"2021-05-06",170.039993,170.919998,162.619995,164.820007,3719400,164.820007
"2021-05-07",175.440002,180.050003,172.009995,173.460007,6284500,173.460007
"2021-05-10",173.559998,177.429993,170.729996,173.089996,4584300,173.089996
"2021-05-11",170,173.380005,167.820007,172.399994,3895200,172.399994
"2021-05-12",171.210007,171.990005,161.639999,161.990005,4637200,161.990005
"2021-05-13",164.75,169.050003,163.699997,167.720001,3282900,167.720001
"2021-05-14",169.990005,173.050003,168.25,171.800003,2460500,171.800003
"2021-05-17",170.009995,170.210007,166.800003,169.449997,2438200,169.449997
"2021-05-18",169.919998,172,168.020004,168.100006,2227400,168.100006
"2021-05-19",164.899994,167.759995,164.160004,167.070007,2056900,167.070007
"2021-05-20",167.25,170.190002,166.25,169.139999,1816900,169.139999
"2021-05-21",170.020004,171.25,167.190002,168.059998,1698000,168.059998
"2021-05-24",169,172.309998,167.789993,171.100006,1938300,171.100006
"2021-05-25",174.520004,175.589996,171.690002,173.059998,1886300,173.059998
"2021-05-26",172.970001,175.169998,172.419998,174.830002,1971200,174.830002
"2021-05-27",175,175.369995,172.800003,174.110001,2221300,174.110001
"2021-05-28",172.880005,178.139999,172.880005,176.949997,1895400,176.949997
"2021-06-01",178.809998,179.589996,176.809998,177.309998,1623900,177.309998
"2021-06-02",177.910004,178.270004,174.919998,175.169998,1992400,175.169998
"2021-06-03",173.559998,174.940002,170.339996,170.75,1854000,170.75
"2021-06-04",172.039993,173.479996,171.070007,171.419998,1418600,171.419998
"2021-06-07",172.800003,172.800003,168.449997,170.350006,2073400,170.350006
"2021-06-08",170.350006,173.179993,170.330002,172.610001,1390700,172.610001
"2021-06-09",173.210007,174.110001,171.669998,172.800003,1479100,172.800003
"2021-06-10",173.050003,173.419998,169.320007,171.580002,1178200,171.580002
"2021-06-11",172.199997,174.449997,171.729996,172.940002,1460200,172.940002
"2021-06-14",173.619995,173.960007,168.460007,169.139999,2263500,169.139999
"2021-06-15",169.520004,171.309998,168.449997,170,1547800,170
"2021-06-16",168.830002,170.080002,166.160004,167.960007,2006200,167.960007
"2021-06-17",167.660004,169.339996,164.910004,165.919998,2402800,165.919998
"2021-06-18",165.580002,165.710007,161.649994,162.929993,3585900,162.929993
"2021-06-21",163.360001,168.490005,162.800003,167.919998,2218900,167.919998
"2021-06-22",168.520004,168.929993,165.160004,166.929993,1397200,166.929993
"2021-06-23",166.679993,170.029999,166.25,168.949997,1243000,168.949997
"2021-06-24",169.929993,170.520004,168.309998,170.050003,1118300,170.050003
"2021-06-25",170.520004,172.779999,169.009995,170.990005,4977100,170.990005
"2021-06-28",170.039993,170.240005,158.889999,163.550003,4900600,163.550003
"2021-06-29",163.759995,164.289993,159.539993,159.899994,2555500,159.899994
"2021-06-30",159.75,164.240005,159.139999,163.710007,2048700,163.710007
"2021-07-01",164.389999,167.729996,164.210007,167.029999,2247200,167.029999
"2021-07-02",167.990005,169.289993,166.970001,167.419998,1843600,167.419998
"2021-07-06",166.690002,167.789993,164.399994,165.570007,1548900,165.570007
"2021-07-07",165.419998,166.940002,161.139999,162.960007,1668900,162.960007
"2021-07-08",158.710007,162.580002,156.509995,161.559998,2222400,161.559998
"2021-07-09",163.520004,168.460007,163.029999,167.740005,1812700,167.740005
"2021-07-12",166.580002,167.570007,164.580002,167.350006,1702600,167.350006
"2021-07-13",166.770004,166.970001,161.630005,162.020004,2902600,162.020004
"2021-07-14",163.630005,167.240005,160.330002,160.990005,2202700,160.990005
"2021-07-15",159.509995,160.630005,157.800003,159.289993,2239400,159.289993
"2021-07-16",160.960007,161.570007,156.960007,157.610001,2217600,157.610001
"2021-07-19",153.149994,153.960007,150.020004,151.639999,4174500,151.639999
"2021-07-20",152.619995,157.610001,150.100006,156.119995,2143600,156.119995
"2021-07-21",157.589996,163.699997,157.589996,162.419998,2467300,162.419998
"2021-07-22",161.229996,162.169998,158.669998,160.029999,1260400,160.029999
"2021-07-23",161.520004,162.669998,160.350006,161.550003,1418400,161.550003
"2021-07-26",160.970001,163.940002,160.179993,162.699997,1614600,162.699997
"2021-07-27",162.009995,164.050003,160.830002,163.720001,1899700,163.720001
"2021-07-28",164.399994,166.580002,161.009995,163.190002,1018000,163.190002
"2021-07-29",163.970001,165.610001,162.199997,163.729996,1139900,163.729996
"2021-07-30",163.169998,165.309998,160.259995,160.869995,1426600,160.869995
"2021-08-02",162.270004,166.199997,158.850006,159.190002,1782500,159.190002
"2021-08-03",159.009995,159.25,152.940002,154.779999,2979200,154.779999
"2021-08-04",153.229996,155.979996,152.5,153.25,1396700,153.25
"2021-08-05",155.440002,162.610001,154.5,161.690002,4336500,161.690002
"2021-08-06",149.559998,150.949997,145.399994,148.889999,12102400,148.889999
"2021-08-09",147.050003,149.740005,146.050003,148.800003,3423200,148.800003
"2021-08-10",149.039993,151.589996,147.119995,148.600006,1850400,148.600006
"2021-08-11",147.919998,150.330002,146.679993,150.070007,1697400,150.070007
"2021-08-12",149.399994,150.899994,145.979996,150.330002,1759700,150.330002
"2021-08-13",150.320007,150.830002,147.330002,148.630005,1727300,148.630005
"2021-08-16",147.25,147.539993,143.130005,144.139999,3610900,144.139999
"2021-08-17",143.220001,143.440002,140.619995,142.570007,2006000,142.570007
"2021-08-18",141.660004,143.210007,139.809998,140.350006,1607700,140.350006
"2021-08-19",138.869995,141.589996,137.320007,138.050003,2631900,138.050003
"2021-08-20",137.5,139.020004,136.770004,137.789993,1784000,137.789993
"2021-08-23",139.070007,142.910004,138.990005,142.839996,1971200,142.839996
"2021-08-24",143.910004,146.970001,143.360001,146.630005,2961900,146.630005
"2021-08-25",147.029999,147.729996,144.449997,147.619995,1714000,147.619995
"2021-08-26",147.309998,147.720001,143.660004,143.860001,1714700,143.860001
"2021-08-27",144.389999,148.039993,144,146.740005,1556000,146.740005
"2021-08-30",146.169998,146.839996,143.710007,144.190002,1254200,144.190002
"2021-08-31",144.389999,145.460007,143.160004,144.5,2280600,144.5
"2021-09-01",146,148.089996,144.660004,146.169998,2067400,146.169998
"2021-09-02",146.929993,147.539993,143.380005,143.770004,2066000,143.770004
"2021-09-03",142.899994,144.550003,141.800003,142.639999,1420100,142.639999
"2021-09-07",142.679993,147.940002,142.5,147.490005,1967700,147.490005
"2021-09-08",146.899994,148.490005,144.320007,145.669998,2245900,145.669998
"2021-09-09",146.029999,149.610001,145.179993,146.740005,1964800,146.740005
"2021-09-10",147.470001,147.699997,144.770004,145.389999,1486600,145.389999
"2021-09-13",148.039993,149.229996,143.559998,148.789993,2382000,148.789993
"2021-09-14",148.770004,150.779999,147.410004,150.600006,2002500,150.600006
"2021-09-15",149.729996,151.410004,148.220001,151.320007,1870300,151.320007
"2021-09-16",151.300003,152.779999,149.089996,150.169998,2317700,150.169998
"2021-09-17",150.699997,153.570007,150.529999,152.279999,4094100,152.279999
"2021-09-20",151.600006,154.630005,150.389999,153.589996,2454200,153.589996
"2021-09-21",154.789993,155.529999,151.410004,152.949997,1932800,152.949997
"2021-09-22",154.050003,159.979996,154.050003,158.949997,2635600,158.949997
"2021-09-23",160,167.119995,159.610001,166.839996,3607500,166.839996
"2021-09-24",166.839996,172.550003,166.009995,171.990005,3354100,171.990005
"2021-09-27",172.860001,175.369995,169.190002,169.649994,3329200,169.649994
"2021-09-28",168,169.839996,167.110001,168.779999,2357900,168.779999
"2021-09-29",169.050003,170.240005,166.080002,166.270004,1564000,166.270004
"2021-09-30",166.350006,166.699997,163.660004,163.899994,1535100,163.899994
"2021-10-01",169.300003,174.729996,168.399994,169.789993,2941700,169.789993
"2021-10-04",169.600006,172.229996,168.009995,170.789993,1908800,170.789993
"2021-10-05",171.740005,172,168.100006,169.100006,1741200,169.100006
"2021-10-06",167.039993,171.369995,166.300003,170.210007,1558900,170.210007
"2021-10-07",171.720001,173.929993,170.710007,172.300003,1515900,172.300003
"2021-10-08",173.490005,174,169.639999,169.979996,1279900,169.979996
"2021-10-11",170.360001,171.789993,168.419998,168.509995,850800,168.509995
"2021-10-12",168.759995,170.759995,167.800003,169.550003,1016800,169.550003
"2021-10-13",169.270004,169.710007,165.910004,168.509995,1041200,168.509995
"2021-10-14",169.679993,170.699997,168.320007,168.889999,1032500,168.889999
"2021-10-15",171,174.850006,170.229996,171.990005,2118100,171.990005
"2021-10-18",170.809998,171.880005,169.190002,169.919998,1279500,169.919998
"2021-10-19",169.860001,170.610001,165.960007,166.199997,1845800,166.199997
"2021-10-20",166.279999,166.509995,161.289993,163.729996,2768900,163.729996
"2021-10-21",163.259995,164.929993,161.559998,162.75,2356500,162.75
"2021-10-22",162.270004,163.820007,160.240005,161.669998,1468500,161.669998
"2021-10-25",161.330002,162.770004,159.009995,161.440002,1203500,161.440002
"2021-10-26",162.960007,164.160004,161.339996,162.75,1322100,162.75
"2021-10-27",163,164.970001,161.910004,164.139999,1274100,164.139999
"2021-10-28",163.899994,166.130005,162.880005,164.259995,1248700,164.259995
"2021-10-29",163.929993,164.779999,159.800003,164.410004,1824300,164.410004
"2021-11-01",165.789993,168.850006,164.770004,167.229996,1508600,167.229996
"2021-11-02",164.070007,164.830002,159.520004,159.839996,2446600,159.839996
"2021-11-03",160.399994,162.639999,159.610001,162.25,2100000,162.25
"2021-11-04",166,166.740005,156.270004,157.550003,5043700,157.550003
"2021-11-05",179.289993,184.210007,172.210007,182.169998,11357600,182.169998
"2021-11-08",183.380005,191.850006,183.350006,188.429993,6957200,188.429993
"2021-11-09",187.600006,189.669998,184.570007,188,4079000,188
"2021-11-10",186.389999,191.830002,184.009995,185.669998,3089000,185.669998
"2021-11-11",185.070007,186.600006,182.039993,182.580002,1734100,182.580002
"2021-11-12",183.410004,183.440002,178,178.910004,2185700,178.910004
"2021-11-15",179.160004,179.190002,176.5,177.610001,1890500,177.610001
"2021-11-16",177.360001,177.389999,174.229996,175.490005,2405200,175.490005
"2021-11-17",174.419998,178.279999,173.050003,177.589996,2079800,177.589996
"2021-11-18",178,179.800003,173,176.580002,1827000,176.580002
"2021-11-19",173.610001,176.649994,170.820007,175.160004,2384900,175.160004
"2021-11-22",175.990005,176.660004,172,173.240005,1508200,173.240005
"2021-11-23",173.570007,178.429993,173.570007,177.970001,1976000,177.970001
"2021-11-24",176.960007,179.25,174.839996,176.539993,1196200,176.539993
"2021-11-26",161,162.5,155.589996,159.800003,7044700,159.800003
"2021-11-29",165.869995,169.169998,162.660004,166.5,3620000,166.5
"2021-11-30",162.059998,164.910004,159.679993,161.089996,3445700,161.089996
"2021-12-01",165,165.869995,153.899994,155.660004,3297100,155.660004
"2021-12-02",156.460007,163.440002,154.649994,161.279999,2825000,161.279999
"2021-12-03",160.610001,162,153.039993,155.580002,2640000,155.580002
"2021-12-06",159.100006,169.559998,157.589996,166.070007,3065200,166.070007
"2021-12-07",168.649994,170.699997,165.309998,166.570007,2473600,166.570007
"2021-12-08",171.369995,174.600006,168.050003,172.389999,3108700,172.389999
"2021-12-09",169.25,172.649994,168.740005,169.75,1505600,169.75
"2021-12-10",170.070007,170.869995,165.100006,166.949997,1992300,166.949997
"2021-12-13",164.550003,165,158.559998,161,3136300,161
"2021-12-14",158.789993,161.520004,157.5,158.259995,1853600,158.259995
"2021-12-15",158,158.009995,150.839996,157.630005,2880000,157.630005
"2021-12-16",157.759995,158.869995,153.259995,154.429993,2573900,154.429993
"2021-12-17",152.220001,161.5,151.699997,159.309998,3753500,159.309998
"2021-12-20",155,162.75,154.009995,162.429993,2392100,162.429993
"2021-12-21",164.139999,178.619995,164.080002,177.270004,5249600,177.270004
"2021-12-22",176.279999,183.809998,175.190002,182.419998,3044000,182.419998
"2021-12-23",183.710007,185.639999,180.220001,183.779999,1489000,183.779999
"2021-12-27",181.259995,183.240005,178.639999,182.25,1111100,182.25
"2021-12-28",181.949997,182.839996,179.529999,180.800003,1073100,180.800003
"2021-12-29",179.850006,181.990005,179.130005,180.970001,1035700,180.970001
"2021-12-30",180.970001,184.050003,180.160004,181.470001,1284000,181.470001
"2021-12-31",180.410004,183.360001,179.369995,180.720001,1119500,180.720001
"2022-01-03",181.300003,185.729996,181.300003,184.970001,2047200,184.970001
"2022-01-04",187.850006,190.779999,184.600006,185.369995,2547000,185.369995
"2022-01-05",186.270004,186.5,180.759995,181.300003,1819000,181.300003
