"","HRL.Open","HRL.High","HRL.Low","HRL.Close","HRL.Volume","HRL.Adjusted"
"2020-10-22",49.25,49.650002,49.060001,49.330002,1000600,47.536556
"2020-10-23",49.349998,49.669998,49.16,49.610001,975500,47.80637
"2020-10-26",49.43,49.830002,49.259998,49.450001,1350400,47.652191
"2020-10-27",49.57,50.450001,49.450001,50.029999,1918800,48.211098
"2020-10-28",49.82,49.98,48.560001,48.619999,1895800,46.852356
"2020-10-29",48.759998,49.299999,48.299999,48.700001,1798700,46.929451
"2020-10-30",48.57,49.259998,48.400002,48.689999,2034300,46.919815
"2020-11-02",49.150002,49.560001,48.799999,49.459999,1735400,47.661823
"2020-11-03",49.689999,50.610001,49.689999,50,2111100,48.18219
"2020-11-04",50.25,51.200001,49.91,50.150002,3339200,48.326733
"2020-11-05",50.549999,50.799999,49.5,49.560001,1533700,47.758186
"2020-11-06",49.689999,50.23,49.48,49.900002,1784400,48.085827
"2020-11-09",50.889999,51.369999,49.349998,49.490002,1972100,47.690735
"2020-11-10",49.43,50.959999,49.139999,50.939999,1497400,49.088017
"2020-11-11",51.299999,52.169998,50.93,51.959999,1511900,50.07093
"2020-11-12",52.189999,52.189999,51.220001,51.720001,1510500,49.839657
"2020-11-13",51.790001,52.279999,51.490002,52.150002,1122900,50.254025
"2020-11-16",52.330002,52.509998,51.779999,52.509998,1070100,50.600937
"2020-11-17",52.16,52.290001,51.240002,51.330002,1536500,49.46384
"2020-11-18",51.450001,51.48,50,50.009998,1697200,48.191822
"2020-11-19",50,50.18,49.360001,49.990002,1640100,48.172554
"2020-11-20",49.939999,50.32,49.419998,50.130001,2570100,48.307465
"2020-11-23",50.02,50.290001,49.59,50.029999,3348900,48.211098
"2020-11-24",49.299999,49.799999,47.169998,47.209999,5300100,45.493622
"2020-11-25",46.82,47.549999,46.66,46.869999,3062300,45.165985
"2020-11-27",47.189999,47.220001,46.509998,47.200001,1146200,45.483986
"2020-11-30",47.25,47.32,46.59,47.18,3412800,45.464714
"2020-12-01",47.41,47.830002,47.16,47.529999,2122700,45.801994
"2020-12-02",47.689999,47.919998,46.700001,46.970001,1848100,45.262348
"2020-12-03",46.790001,47.439999,46.610001,47.240002,2042400,45.522533
"2020-12-04",47.439999,47.48,46.939999,47.380001,2105200,45.657448
"2020-12-07",47.5,47.689999,46.939999,47.150002,1655900,45.435802
"2020-12-08",47.040001,47.669998,46.75,47.48,1653800,45.753811
"2020-12-09",47.290001,47.290001,46.740002,47.07,1680200,45.358719
"2020-12-10",47.110001,47.209999,46.490002,46.599998,1621500,44.905804
"2020-12-11",46.709999,47.490002,46.57,47.200001,1599300,45.483986
"2020-12-14",47.299999,48.02,47.16,47.200001,1616600,45.483986
"2020-12-15",47.200001,47.549999,47.029999,47.330002,1356300,45.609261
"2020-12-16",47.470001,47.889999,47.189999,47.220001,1557200,45.503269
"2020-12-17",47.349998,48.02,47.299999,47.77,1854400,46.033264
"2020-12-18",47.779999,48.18,47.599998,47.939999,3127000,46.197086
"2020-12-21",47.580002,47.740002,46.98,47.639999,1805200,45.90799
"2020-12-22",47.5,47.610001,46.919998,47.029999,1464000,45.320171
"2020-12-23",47.169998,47.48,47.009998,47.34,1145700,45.618896
"2020-12-24",47.23,47.290001,46.82,47.169998,567300,45.455074
"2020-12-28",47.279999,47.43,46.860001,47.220001,984200,45.503269
"2020-12-29",47.310001,47.389999,46.490002,46.75,1374500,45.05035
"2020-12-30",46.73,46.75,46.400002,46.439999,903700,44.751617
"2020-12-31",46.540001,46.650002,45.880001,46.610001,2257800,44.915436
"2021-01-04",46.689999,46.740002,45.75,46.310001,2593400,44.626343
"2021-01-05",46.18,46.310001,45.52,45.790001,2307900,44.125252
"2021-01-06",45.630001,46.349998,45.540001,46.07,2258300,44.395061
"2021-01-07",46.099998,46.139999,45.450001,45.720001,1882900,44.057796
"2021-01-08",45.619999,45.720001,44.900002,45.439999,2171800,44.023884
"2021-01-11",45.43,45.66,44.279999,44.43,2896900,43.045364
"2021-01-12",44.41,44.41,43.540001,44.07,3507600,42.696579
"2021-01-13",43.700001,44.560001,43.66,44.009998,2695800,42.638447
"2021-01-14",44.27,44.290001,43.450001,43.970001,2677700,42.599701
"2021-01-15",43.98,44.990002,43.889999,44.869999,6809000,43.471649
"2021-01-19",45.02,45.130001,44.400002,44.75,2391300,43.355392
"2021-01-20",44.73,45.009998,44.470001,44.73,2577300,43.336014
"2021-01-21",44.619999,45.43,44.540001,45.25,2257200,43.839806
"2021-01-22",45.259998,45.68,45.130001,45.41,1826500,43.99482
"2021-01-25",45.41,47.200001,45.360001,47.040001,4178200,45.574024
"2021-01-26",47,48.759998,46.68,48.52,4779800,47.007896
"2021-01-27",48.5,50.790001,48.450001,50.5,5654800,48.926189
"2021-01-28",49.959999,50.5,47.610001,47.959999,3757100,46.465351
"2021-01-29",48,48.869999,46.279999,46.860001,8025900,45.399635
"2021-02-01",46.66,47.16,45.98,46.919998,3333100,45.45776
"2021-02-02",47.009998,50.860001,46.5,48.75,7651100,47.230728
"2021-02-03",48.349998,48.52,46.759998,47.880001,3892800,46.387844
"2021-02-04",48.080002,49.16,47.669998,49.02,4486200,47.492317
"2021-02-05",49.18,49.200001,48.549999,49.060001,2301300,47.531071
"2021-02-08",49.119999,49.830002,49,49.799999,2612800,48.248009
"2021-02-09",49.950001,49.990002,49.349998,49.48,2497500,47.937977
"2021-02-10",49.73,50.080002,49.34,49.830002,3001300,48.277073
"2021-02-11",49.700001,49.900002,47.66,48.18,3973900,46.678497
"2021-02-12",48.299999,48.470001,47.669998,48.240002,3261600,46.736626
"2021-02-16",48.139999,48.189999,46.709999,47.07,3601700,45.603092
"2021-02-17",46.990002,47.169998,46.41,46.959999,3326700,45.496513
"2021-02-18",47,48.040001,46.25,47.490002,2201500,46.009998
"2021-02-19",47.549999,48.09,47.080002,47.099998,2544400,45.632149
"2021-02-22",47.139999,47.419998,46.389999,47.279999,2022100,45.806538
"2021-02-23",47.5,47.849998,47.110001,47.34,1476600,45.864674
"2021-02-24",47.18,47.450001,46.860001,46.880001,2094300,45.419006
"2021-02-25",46.970001,47.740002,46.900002,47.18,2510600,45.70966
"2021-02-26",47.09,47.220001,46.27,46.369999,2443800,44.9249
"2021-03-01",46.389999,46.950001,46.279999,46.34,1707000,44.895836
"2021-03-02",46.400002,47.369999,46.32,46.84,2160800,45.380253
"2021-03-03",46.669998,47.290001,46.41,46.93,1978700,45.467445
"2021-03-04",47.07,47.48,46.619999,46.959999,2245000,45.496513
"2021-03-05",47.119999,48.099998,46.790001,47.720001,1848100,46.23283
"2021-03-08",47.91,48.360001,47.57,47.900002,1681900,46.407223
"2021-03-09",47.759998,48.290001,47.52,47.59,2168000,46.10688
"2021-03-10",47.720001,48.639999,47.189999,48.240002,1495700,46.736626
"2021-03-11",48,48.040001,47.68,47.75,1302800,46.261894
"2021-03-12",48.150002,48.639999,47.91,48.439999,2035000,46.930393
"2021-03-15",48.5,48.700001,48.029999,48.43,1261900,46.920708
"2021-03-16",48.279999,48.41,47.91,48.23,1348900,46.726936
"2021-03-17",48.490002,48.5,47.860001,47.959999,1443900,46.465351
"2021-03-18",47.779999,48.299999,47.349998,48.290001,1329600,46.785069
"2021-03-19",48.360001,48.610001,47.810001,47.970001,3587600,46.47504
"2021-03-22",47.779999,48.580002,47.650002,48.549999,2176000,47.036964
"2021-03-23",48.73,48.849998,48.029999,48.689999,2327300,47.1726
"2021-03-24",48.32,48.470001,47.759998,48.060001,1301500,46.562233
"2021-03-25",48.310001,48.700001,47.869999,48.48,1697700,46.969147
"2021-03-26",48.48,48.48,47.299999,47.91,3151600,46.416908
"2021-03-29",47.830002,48.970001,47.830002,48.669998,2149900,47.153217
"2021-03-30",48.720001,48.91,48.02,48.16,1144600,46.659115
"2021-03-31",48.029999,48.439999,47.669998,47.779999,1976500,46.290962
"2021-04-01",47.740002,47.830002,47.209999,47.599998,1667100,46.116566
"2021-04-05",47.43,48.009998,47.43,47.799999,1699900,46.310337
"2021-04-06",47.73,48.240002,47.549999,48.080002,1748700,46.581612
"2021-04-07",48.139999,48.290001,47.43,47.529999,1462300,46.048756
"2021-04-08",47.330002,47.619999,47.18,47.220001,2055100,45.748417
"2021-04-09",46.990002,47.16,45.889999,46.349998,2210700,45.139732
"2021-04-12",46.470001,47.07,46.380001,47.029999,1710600,45.801975
"2021-04-13",47.009998,47.400002,46.490002,46.650002,1971800,45.4319
"2021-04-14",46.59,46.759998,46.189999,46.560001,1627100,45.344254
"2021-04-15",46.560001,46.830002,46.23,46.380001,2211900,45.168945
"2021-04-16",46.560001,46.990002,46.490002,46.84,1665300,45.616936
"2021-04-19",46.700001,46.77,46.099998,46.52,1658500,45.305294
"2021-04-20",46.380001,47.27,46.380001,47.27,1606100,46.035709
"2021-04-21",47.549999,47.700001,47.080002,47.310001,1805100,46.074665
"2021-04-22",47.209999,47.240002,46.799999,47.009998,1436800,45.782494
"2021-04-23",46.93,46.970001,46.240002,46.389999,1801500,45.178692
"2021-04-26",46.43,46.5,45.91,46,2512100,44.79887
"2021-04-27",45.91,46.330002,45.91,46.16,1993500,44.954697
"2021-04-28",46.349998,46.540001,45.919998,45.950001,1718900,44.750175
"2021-04-29",45.900002,46.73,45.860001,46.57,2012000,45.353989
"2021-04-30",46.75,46.759998,46.040001,46.200001,2889000,44.993652
"2021-05-03",46.25,47.279999,46.209999,46.790001,1503600,45.568245
"2021-05-04",46.990002,47.400002,46.77,47.18,2876400,45.948059
"2021-05-05",47.130001,47.75,46.93,47.540001,2578200,46.298664
"2021-05-06",47.799999,48.290001,47.360001,47.470001,1953200,46.230488
"2021-05-07",47.369999,47.5,46.73,47.139999,1413500,45.909103
"2021-05-10",47.360001,47.830002,46.900002,47.57,1931000,46.327873
"2021-05-11",47.779999,47.889999,47.049999,47.220001,1907900,45.987019
"2021-05-12",47.380001,47.48,46.869999,46.880001,1888600,45.655891
"2021-05-13",46.66,47.59,46.509998,47.419998,1335500,46.181789
"2021-05-14",47.349998,47.669998,46.560001,46.580002,1537100,45.363728
"2021-05-17",46.59,46.91,46.389999,46.549999,2176500,45.334511
"2021-05-18",46.450001,46.889999,46.290001,46.32,1946800,45.110516
"2021-05-19",46.25,46.25,45.52,45.970001,2890700,44.769653
"2021-05-20",47.049999,49.869999,46.98,49.360001,6714900,48.071136
"2021-05-21",49.369999,50,49.27,49.419998,3861300,48.129566
"2021-05-24",49.41,49.939999,49.23,49.259998,2541900,47.973747
"2021-05-25",49.240002,49.299999,48.799999,49.009998,2340700,47.730274
"2021-05-26",49.080002,49.18,48.610001,48.779999,2063100,47.506279
"2021-05-27",48.84,49.139999,48.459999,48.599998,4779300,47.330978
"2021-05-28",48.740002,49.139999,48.52,48.540001,1656400,47.272545
"2021-06-01",48.77,49.029999,48.139999,48.34,1934500,47.07777
"2021-06-02",48.32,49.200001,48,49.200001,1969700,47.915314
"2021-06-03",49.110001,49.700001,49.110001,49.639999,1853200,48.343822
"2021-06-04",49.650002,49.82,49.23,49.43,1810100,48.139309
"2021-06-07",49.439999,49.529999,48.799999,49.18,1496300,47.895836
"2021-06-08",49.139999,49.279999,48.639999,48.720001,2035400,47.447845
"2021-06-09",48.220001,48.900002,48.110001,48.279999,2266900,47.019337
"2021-06-10",48.310001,48.790001,48.139999,48.669998,1951200,47.399151
"2021-06-11",48.77,48.950001,48.330002,48.779999,1677000,47.506279
"2021-06-14",48.669998,48.98,48.18,48.91,1770500,47.632885
"2021-06-15",49.009998,49.279999,48.59,48.639999,1233000,47.36993
"2021-06-16",48.77,48.830002,47.950001,47.970001,1493600,46.71743
"2021-06-17",47.93,48.450001,47.700001,48.34,1956600,47.07777
"2021-06-18",48.200001,48.200001,47.360001,47.419998,3939300,46.181789
"2021-06-21",47.610001,47.91,47.509998,47.82,1550300,46.571346
"2021-06-22",47.860001,48.060001,47.68,47.740002,1580800,46.493435
"2021-06-23",47.639999,47.84,47.369999,47.43,1827000,46.191528
"2021-06-24",47.360001,47.759998,47.189999,47.400002,1244800,46.162315
"2021-06-25",47.299999,47.810001,47.299999,47.759998,1397600,46.512909
"2021-06-28",47.84,48.009998,47.599998,47.77,1171700,46.522655
"2021-06-29",47.740002,47.959999,47.419998,47.540001,1136100,46.298664
"2021-06-30",47.5,47.880001,47.48,47.75,2000700,46.503174
"2021-07-01",47.73,47.77,47.439999,47.57,1344100,46.327873
"2021-07-02",47.740002,47.900002,47.68,47.77,1440100,46.522655
"2021-07-06",47.700001,47.98,47.52,47.900002,1305600,46.649261
"2021-07-07",47.849998,48.290001,47.73,48.029999,1392100,46.775864
"2021-07-08",47.939999,48.59,47.630001,47.75,1342000,46.503174
"2021-07-09",47.630001,47.73,47.25,47.439999,1638700,46.439545
"2021-07-12",47.48,47.509998,46.82,47.040001,1775900,46.047985
"2021-07-13",47.060001,47.779999,46.959999,47.130001,2974700,46.136086
"2021-07-14",47.009998,47.279999,46.77,47.209999,1410200,46.214397
"2021-07-15",47.23,47.950001,46.790001,47.849998,1964600,46.840897
"2021-07-16",48.07,48.5,47.900002,48.27,1856400,47.252041
"2021-07-19",48.360001,48.830002,47.630001,48.310001,1776500,47.291199
"2021-07-20",48.389999,48.880001,47.799999,47.869999,2639300,46.860474
"2021-07-21",47.880001,47.880001,47.150002,47.169998,1748700,46.17524
"2021-07-22",47.09,47.200001,46.639999,46.759998,1410800,45.773884
"2021-07-23",46.790001,47.5,46.529999,47.34,1135000,46.341656
"2021-07-26",47.240002,47.509998,47.119999,47.259998,1204100,46.26334
"2021-07-27",47.349998,48.139999,47.189999,47.689999,1230500,46.684269
"2021-07-28",47.549999,47.610001,46.810001,46.91,1408500,45.920719
"2021-07-29",47.07,47.349998,46.880001,46.919998,931200,45.930508
"2021-07-30",46.970001,47.16,46.290001,46.380001,1646000,45.401897
"2021-08-02",46.459999,46.75,46.240002,46.59,1036600,45.607471
"2021-08-03",46.59,46.889999,46.25,46.299999,1189800,45.323586
"2021-08-04",46.189999,46.290001,45.41,45.560001,1507400,44.599194
"2021-08-05",45.709999,45.779999,45.32,45.52,1373600,44.560036
"2021-08-06",45.490002,45.830002,45.43,45.48,1307700,44.520878
"2021-08-09",45.669998,45.91,45.580002,45.889999,1273600,44.922234
"2021-08-10",45.75,46.009998,45.509998,45.720001,1257900,44.755821
"2021-08-11",45.709999,46.02,45.650002,45.720001,1253600,44.755821
"2021-08-12",45.709999,45.860001,45.360001,45.389999,1351400,44.432777
"2021-08-13",45.610001,46.099998,45.529999,46,1668500,45.029911
"2021-08-16",46.169998,46.5,46.02,46.310001,1143300,45.333378
"2021-08-17",46.389999,47.139999,46.209999,47.139999,1614100,46.14587
"2021-08-18",47.16,47.16,46.119999,46.209999,1638500,45.235485
"2021-08-19",46.220001,46.689999,46.150002,46.439999,966700,45.460636
"2021-08-20",46.369999,46.799999,46.150002,46.330002,1532300,45.352955
"2021-08-23",46.23,46.330002,45.93,45.990002,1010100,45.020123
"2021-08-24",46.07,46.200001,45.34,45.380001,1729100,44.422989
"2021-08-25",45.389999,45.490002,45.139999,45.349998,1397400,44.39362
"2021-08-26",45.209999,45.400002,44.580002,44.639999,1745000,43.698589
"2021-08-27",44.619999,45.040001,44.509998,44.919998,1258900,43.972691
"2021-08-30",44.849998,45.380001,44.700001,45.290001,2159700,44.334892
"2021-08-31",45.349998,45.599998,45.080002,45.540001,2167000,44.579617
"2021-09-01",45.59,45.759998,45.32,45.669998,2526600,44.706875
"2021-09-02",44.119999,45.169998,43.310001,43.57,6352600,42.651161
"2021-09-03",43.400002,43.5,42.639999,42.810001,5048400,41.907188
"2021-09-07",42.689999,43,42.200001,42.220001,3809300,41.329636
"2021-09-08",42.25,42.84,42.080002,42.599998,2905100,41.701618
"2021-09-09",42.369999,42.59,42.040001,42.200001,3122700,41.310051
"2021-09-10",42.200001,42.529999,41.91,42.310001,2614400,41.417732
"2021-09-13",42.419998,43.040001,42.360001,42.68,3392300,41.779926
"2021-09-14",42.669998,42.880001,42.189999,42.41,2092400,41.515621
"2021-09-15",42.380001,42.41,41.580002,41.59,2719400,40.712917
"2021-09-16",41.639999,42.080002,41.360001,41.860001,3068300,40.977222
"2021-09-17",41.68,42.259998,41.400002,42.02,6440500,41.13385
"2021-09-20",41.990002,42.349998,41.509998,41.700001,2469100,40.820599
"2021-09-21",41.73,42.049999,41.25,41.32,1917900,40.448612
"2021-09-22",41.540001,41.57,40.779999,40.84,2007100,39.978729
"2021-09-23",40.849998,41.150002,40.610001,40.630001,1791500,39.773167
"2021-09-24",40.560001,40.990002,40.560001,40.799999,1584200,39.939575
"2021-09-27",40.869999,41.389999,40.700001,40.939999,2297500,40.076622
"2021-09-28",41.099998,41.389999,40.84,41.130001,2468200,40.262619
"2021-09-29",41.099998,41.790001,41.060001,41.619999,2177400,40.742279
"2021-09-30",41.720001,41.84,40.970001,41,2442900,40.135357
"2021-10-01",41.09,41.110001,40.48,40.889999,1888200,40.027676
"2021-10-04",40.84,41.389999,40.84,41.240002,2197700,40.370296
"2021-10-05",41.279999,41.459999,41.119999,41.27,1945700,40.39967
"2021-10-06",41.310001,41.860001,41.060001,41.810001,1239000,40.928276
"2021-10-07",41.810001,42.080002,41.27,41.34,1952500,40.468189
"2021-10-08",41.619999,42,41.470001,41.689999,2037800,40.81081
"2021-10-11",41.860001,42.110001,41.709999,41.919998,1600700,41.035954
"2021-10-12",42.080002,42.59,41.91,42.310001,2290000,41.417732
"2021-10-13",42.310001,42.509998,41.98,42.360001,2544500,41.466675
"2021-10-14",42.419998,42.900002,42.360001,42.880001,3926200,41.975708
"2021-10-15",42.810001,42.82,42.32,42.66,3020800,42.000324
"2021-10-18",42.490002,42.77,42.07,42.119999,2147700,41.468674
"2021-10-19",42.080002,42.119999,41.439999,41.650002,1822800,41.005947
"2021-10-20",41.669998,42.099998,41.630001,41.880001,1308000,41.232388
"2021-10-21",42.110001,42.110001,41.389999,41.66,1619700,41.015789
"2021-10-22",41.66,42.07,41.630001,42.009998,1048500,41.360374
"2021-10-25",41.959999,42.110001,41.580002,41.950001,1100800,41.301308
"2021-10-26",41.939999,42.330002,41.810001,42.189999,1242100,41.53759
"2021-10-27",42.439999,42.599998,41.93,42.259998,1860000,41.606506
"2021-10-28",42.299999,42.889999,42.169998,42.860001,2204600,42.197231
"2021-10-29",42.720001,43.09,42.23,42.32,4596200,41.665585
"2021-11-01",42.330002,43.029999,42.23,42.950001,1740000,42.285839
"2021-11-02",43.080002,43.419998,42.419998,43.07,2055000,42.403988
"2021-11-03",43.040001,43.450001,43.040001,43.360001,2368500,42.689503
"2021-11-04",43.290001,43.59,42.939999,43.139999,1466100,42.4729
"2021-11-05",43.279999,43.34,42.970001,43.209999,1280300,42.541817
"2021-11-08",43.200001,43.619999,42.59,43.540001,1910400,42.866718
"2021-11-09",43.610001,43.709999,43.09,43.25,1714400,42.581203
"2021-11-10",43.41,43.630001,43.200001,43.5,1700700,42.827339
"2021-11-11",43.25,43.450001,42.919998,43.34,2246000,42.669811
"2021-11-12",43.439999,43.650002,43.169998,43.419998,1824000,42.748573
"2021-11-15",43.5,43.549999,43.130001,43.43,2142200,42.758419
"2021-11-16",43.549999,43.549999,43.02,43.09,1589300,42.423679
"2021-11-17",43.02,43.41,42.889999,43.299999,1406400,42.630424
"2021-11-18",43.299999,43.299999,42.330002,42.619999,1168000,41.960941
"2021-11-19",42.759998,43.099998,42.619999,42.630001,1783400,41.970791
"2021-11-22",42.740002,43.34,42.540001,43.02,1703500,42.354759
"2021-11-23",43.25,43.57,43.080002,43.25,2134200,42.581203
"2021-11-24",43.299999,43.43,42.84,42.939999,1176500,42.275993
"2021-11-26",42.869999,43.669998,42.790001,42.810001,1174700,42.14801
"2021-11-29",42.849998,42.900002,42.34,42.490002,1544200,41.832954
"2021-11-30",42.240002,42.549999,41.25,41.400002,5493200,40.759808
"2021-12-01",41.57,42.709999,41.560001,42.060001,3669300,41.409607
"2021-12-02",42.18,42.540001,41.939999,41.959999,2581000,41.31115
"2021-12-03",42.099998,42.849998,42.099998,42.73,2224900,42.069244
"2021-12-06",43,43.560001,42.869999,43.029999,1735800,42.364601
"2021-12-07",42.880001,43,42.32,42.43,2067500,41.773884
"2021-12-08",42.290001,43.09,42.259998,42.790001,2519500,42.128315
"2021-12-09",42.830002,45.48,42.709999,44.799999,4475700,44.107235
"2021-12-10",45.200001,46.040001,45.150002,46,3297400,45.288681
"2021-12-13",46,47.41,45.73,47.279999,3071700,46.548882
"2021-12-14",47.34,48.169998,47.110001,47.900002,4048400,47.159302
"2021-12-15",48.119999,48.709999,47.720001,48.59,3215200,47.838631
"2021-12-16",48.599998,49.240002,48.27,49.189999,2762600,48.429348
"2021-12-17",49.330002,49.630001,48.02,48.169998,4570600,47.425121
"2021-12-20",48.009998,48.610001,47.869999,48.470001,2316100,47.720482
"2021-12-21",48.220001,48.470001,47.299999,47.509998,1955800,46.775326
"2021-12-22",47.580002,47.740002,47.290001,47.700001,1185700,46.962387
"2021-12-23",47.799999,47.98,47.57,47.77,1327700,47.031307
"2021-12-27",47.869999,48.029999,47.709999,47.98,1068800,47.23806
"2021-12-28",48.049999,48.450001,48,48.43,1199800,47.681103
"2021-12-29",48.450001,48.669998,48.330002,48.529999,1138800,47.779552
"2021-12-30",48.68,48.779999,48.369999,48.57,926500,47.818935
"2021-12-31",48.57,48.950001,48.41,48.810001,1225000,48.055225
"2022-01-03",48.77,49.27,48.23,49.130001,2571200,48.370277
"2022-01-04",49,49.619999,48.990002,49.009998,2304900,48.252129
"2022-01-05",49.209999,49.970001,49.09,49.639999,2323300,48.872391
"2022-01-06",49.779999,49.990002,49.299999,49.330002,1996600,48.567184
"2022-01-07",49.349998,50.049999,49.23,49.849998,2231300,49.07914
"2022-01-10",50.18,50.740002,49.77,49.849998,2988300,49.07914
"2022-01-11",49.880001,50.080002,49.32,49.689999,1775000,48.921616
"2022-01-12",49.509998,49.52,48.73,49.029999,2667400,48.27182
"2022-01-13",49.099998,49.630001,48.779999,49.509998,1893100,48.744396
