"","AIZ.Open","AIZ.High","AIZ.Low","AIZ.Close","AIZ.Volume","AIZ.Adjusted"
"2020-10-28",118.580002,123.809998,118.580002,122.209999,402300,118.540627
"2020-10-29",121.489998,125.959999,119.970001,125.199997,360700,121.440849
"2020-10-30",124.269997,125.809998,122.919998,124.370003,286300,120.635773
"2020-11-02",125.5,130.270004,125.290001,129.929993,881800,126.028831
"2020-11-03",130.490005,131.300003,124.57,126.309998,961400,122.517517
"2020-11-04",123.779999,130.050003,123.779999,125.889999,438500,122.11013
"2020-11-05",126.870003,128.089996,125.269997,127.360001,324700,123.535988
"2020-11-06",128.460007,129.399994,126.730003,127.089996,259400,123.274101
"2020-11-09",136.440002,136.869995,130.619995,131.800003,716100,127.842682
"2020-11-10",133.490005,134.179993,131.580002,134.160004,719000,130.13179
"2020-11-11",134.210007,134.960007,130.669998,131.589996,638800,127.638985
"2020-11-12",130.860001,131.860001,129.389999,130.820007,344900,126.892097
"2020-11-13",131.899994,133.910004,131.720001,133.509995,428300,129.501328
"2020-11-16",136.520004,137.820007,135.240005,137.110001,466100,132.99324
"2020-11-17",135.759995,138.779999,134.550003,138.589996,558900,134.428802
"2020-11-18",138.740005,139.679993,135.520004,135.619995,342500,131.547974
"2020-11-19",134.630005,135.089996,133.190002,134.919998,284700,130.869003
"2020-11-20",134.509995,135.259995,133.529999,133.889999,423800,129.869904
"2020-11-23",135.580002,135.880005,134.630005,135.330002,379100,131.266693
"2020-11-24",136.660004,136.889999,135.179993,136.080002,517200,131.994171
"2020-11-25",135.279999,136.089996,134.190002,135.580002,377500,131.509171
"2020-11-27",134.539993,134.979996,133.5,133.789993,158300,130.40773
"2020-11-30",132.880005,133.770004,129.039993,129.119995,504500,125.855812
"2020-12-01",131.389999,132.669998,130.729996,131.360001,455700,128.039154
"2020-12-02",130.399994,132.110001,130.210007,131.580002,619000,128.253616
"2020-12-03",131.190002,132.740005,131.190002,132.179993,604900,128.83844
"2020-12-04",132.899994,133.320007,131.720001,132.580002,338700,129.228333
"2020-12-07",131.539993,132.009995,130.639999,131.330002,476900,128.009933
"2020-12-08",130.360001,132.880005,130.360001,131.929993,395900,128.594757
"2020-12-09",132.300003,132.570007,130.949997,131.179993,376000,127.863739
"2020-12-10",130.800003,132.990005,130.580002,132.520004,379500,129.169861
"2020-12-11",131.990005,133.350006,131.479996,132.220001,257000,128.877441
"2020-12-14",133.75,134.369995,131.600006,131.649994,244600,128.321838
"2020-12-15",132.320007,133.940002,131.720001,132.389999,470600,129.043137
"2020-12-16",133.139999,134.809998,132.779999,134.210007,310900,130.817139
"2020-12-17",134.649994,135.199997,132.169998,132.369995,434200,129.023636
"2020-12-18",132.25,133.610001,130.25,131.289993,915100,127.970955
"2020-12-21",130.919998,131.619995,128.979996,130.820007,370300,127.512833
"2020-12-22",131.160004,132.520004,131.080002,131.490005,334200,128.165878
"2020-12-23",131.570007,133.449997,131.570007,132.440002,260600,129.091873
