"","SWKS.Open","SWKS.High","SWKS.Low","SWKS.Close","SWKS.Volume","SWKS.Adjusted"
"2020-11-03",141.919998,142.929993,134.839996,138.800003,5238800,135.3255
"2020-11-04",142.089996,142.619995,139.149994,139.529999,3016100,136.037231
"2020-11-05",143.860001,149.320007,142.5,149.119995,5281200,145.387146
"2020-11-06",148.089996,148.710007,143.919998,146.740005,2581600,143.066742
"2020-11-09",151.350006,151.889999,144.419998,144.580002,2372500,140.960815
"2020-11-10",142.869995,143.990005,136.860001,137.240005,2588300,133.804535
"2020-11-11",139.740005,144.5,139.160004,143.869995,1982100,140.26857
"2020-11-12",143.899994,144.429993,140.339996,141.339996,1941500,137.80191
"2020-11-13",144.139999,145.050003,140.949997,141.5,1374800,137.957901
"2020-11-16",141,143.740005,140.669998,143.410004,1922300,139.820084
"2020-11-17",143.169998,143.509995,140.550003,140.779999,1474600,137.255936
"2020-11-18",141.110001,141.240005,137.440002,137.559998,2014000,134.594559
"2020-11-19",137.179993,139.5,136,139.360001,1795100,136.355774
"2020-11-20",139.25,141.759995,138.389999,140.389999,1764000,137.363571
"2020-11-23",141.050003,141.779999,136.559998,138.029999,3068100,135.054443
"2020-11-24",138.509995,139.710007,135.330002,138.850006,2235900,135.856766
"2020-11-25",138.740005,138.910004,134.279999,135.949997,3035500,133.019287
"2020-11-27",136.880005,138.770004,135.970001,136.160004,1215700,133.224747
"2020-11-30",136.380005,141.25,136.380005,141.169998,2734000,138.126755
"2020-12-01",142.009995,145.460007,141.160004,144,2616200,140.895737
"2020-12-02",143.350006,145.059998,142.509995,143.449997,1276300,140.357574
"2020-12-03",144.229996,145.350006,143.050003,143.710007,1218000,140.612
"2020-12-04",143.740005,150.279999,143.729996,150.169998,2174700,146.932755
"2020-12-07",151.410004,154.110001,150.550003,153.419998,2276200,150.112671
"2020-12-08",153.600006,156,152.759995,155.789993,1522700,152.43158
"2020-12-09",155,155.039993,147.460007,148.289993,2562500,145.093262
"2020-12-10",147.360001,148.059998,145.529999,145.539993,1749900,142.402542
"2020-12-11",143.899994,144.449997,138.610001,139.240005,3549800,136.238358
"2020-12-14",140,140.429993,137.940002,139.259995,2933300,136.257919
"2020-12-15",143.169998,146.399994,142.960007,144.679993,2291300,141.561081
"2020-12-16",144.929993,148.410004,143.600006,147.539993,1961400,144.359406
"2020-12-17",149,150.289993,145.399994,145.529999,1833600,142.392731
"2020-12-18",146.460007,149.410004,145.059998,148.190002,2823000,144.995407
"2020-12-21",145.550003,148.210007,145.169998,147.710007,1487300,144.525772
"2020-12-22",148.369995,151.740005,147.839996,149.429993,1320300,146.208679
"2020-12-23",150.089996,152.940002,148.75,150.740005,1431400,147.490448
"2020-12-24",150.949997,151.350006,149.5,151.210007,480400,147.950302
"2020-12-28",152.759995,153.779999,151.800003,153.220001,1039100,149.916962
"2020-12-29",153.800003,154.839996,149.619995,150.410004,1441200,147.167557
"2020-12-30",151.100006,153.699997,151.059998,152.75,770400,149.457108
"2020-12-31",153.160004,153.369995,151.970001,152.880005,950000,149.58432
"2021-01-04",153.330002,155.690002,148.020004,150.720001,2180200,147.470871
"2021-01-05",150.119995,156.460007,150,156.300003,2053900,152.930588
"2021-01-06",154.779999,162.350006,153,158.490005,2102900,155.07338
"2021-01-07",160.919998,163.419998,160.009995,162.679993,1701200,159.17305
"2021-01-08",164.789993,165.990005,160.600006,163.479996,1598500,159.955795
"2021-01-11",160.119995,163.350006,159.279999,162.050003,1766700,158.55661
"2021-01-12",162.070007,162.449997,158.089996,158.179993,1807500,154.770035
"2021-01-13",158,159.169998,155.789993,157.889999,1252800,154.486313
"2021-01-14",157.699997,161.070007,157.199997,157.979996,1521100,154.574371
"2021-01-15",154.009995,156.5,150.130005,152,2305800,148.723267
"2021-01-19",154.529999,162.199997,154.009995,161.389999,2439700,157.910873
"2021-01-20",163.100006,168.949997,162.720001,162.940002,2021200,159.427429
"2021-01-21",163.470001,163.869995,160.610001,163.520004,1434100,159.994965
"2021-01-22",161.710007,162.479996,160.199997,161.270004,1215000,157.793442
"2021-01-25",166.639999,170.690002,163.360001,165.679993,4702400,162.108353
"2021-01-26",166,166.389999,162.220001,163.130005,1833800,159.613358
"2021-01-27",160.619995,161.990005,154.449997,155.850006,2711600,152.49028
"2021-01-28",159.990005,162.910004,157.610001,159.789993,3866800,156.345337
"2021-01-29",187.729996,188.339996,167.330002,169.25,9055500,165.60141
"2021-02-01",174.300003,186.5,174.300003,185.789993,5643300,181.784851
"2021-02-02",188.580002,189.699997,181.350006,185.490005,3755500,181.491333
"2021-02-03",186.470001,186.75,179.070007,179.460007,3185400,175.591324
"2021-02-04",178.199997,181,172.889999,179.100006,5007300,175.23909
"2021-02-05",180.089996,182,178.240005,178.949997,2509000,175.092316
"2021-02-08",180.320007,182.5,178.529999,181.570007,2182700,177.655823
"2021-02-09",180.740005,186.690002,180.619995,182.910004,2504500,178.966949
"2021-02-10",184.699997,186.600006,181.199997,185.289993,2018700,181.295639
"2021-02-11",186.880005,189.490005,184.229996,188.759995,2072900,184.690826
"2021-02-12",187.669998,190.339996,186.179993,189.5,1903700,185.907333
"2021-02-16",191.210007,195.820007,191.059998,194.139999,2491700,190.459366
"2021-02-17",192.860001,193.779999,187.699997,192.089996,2127300,188.448227
"2021-02-18",189.100006,190.710007,185.529999,187.910004,2389700,184.347473
"2021-02-19",190.119995,193.410004,189.419998,192.169998,2016600,188.526703
"2021-02-22",189.479996,192,183.639999,183.929993,2459900,180.442917
"2021-02-23",181.669998,185.330002,174.509995,183.75,2556400,180.266327
"2021-02-24",181.710007,190.580002,180.039993,190.360001,2321800,186.751022
"2021-02-25",186.550003,188.869995,175,176.139999,3717000,172.800629
"2021-02-26",179.360001,180.720001,173.910004,177.820007,2914000,174.448761
"2021-03-01",181.100006,186.789993,178.649994,186.460007,2115600,182.924988
"2021-03-02",187.309998,187.309998,179.830002,179.889999,1575400,176.479538
"2021-03-03",180.75,181.220001,175.070007,175.210007,1827900,171.88826
"2021-03-04",174.139999,175.289993,163.690002,167.210007,2990500,164.039932
"2021-03-05",168.199997,173.710007,159.539993,173.440002,3579800,170.15181
"2021-03-08",171.289993,172.639999,161,161.199997,3494600,158.14386
"2021-03-09",167.619995,173.339996,164.429993,172.410004,2589100,169.141342
"2021-03-10",171.690002,174.399994,166.270004,167.660004,2852000,164.481384
"2021-03-11",173.059998,176.649994,172.729996,173.75,2371900,170.455933
"2021-03-12",169.580002,172.690002,167.910004,172.309998,1590200,169.043228
"2021-03-15",173.600006,178.970001,171.679993,178.789993,1893800,175.400375
"2021-03-16",180.949997,184.339996,179.779999,181.039993,1954400,177.607697
"2021-03-17",179.460007,184.029999,176.679993,182.809998,1772900,179.344162
"2021-03-18",179.229996,180.339996,174.410004,174.690002,1744800,171.378128
"2021-03-19",175.559998,177.380005,172.009995,175.789993,2604800,172.457245
"2021-03-22",177.330002,182.550003,176.100006,179.820007,1498900,176.410843
"2021-03-23",181.830002,181.830002,174.369995,175.380005,1279000,172.055038
"2021-03-24",177.880005,177.919998,171.009995,171.190002,1820300,167.944473
"2021-03-25",167.380005,172.899994,166.050003,172.130005,1741100,168.866653
"2021-03-26",171.479996,182.490005,171.350006,182.179993,2185900,178.726105
"2021-03-29",180.110001,180.479996,176.589996,179.320007,1898500,175.920349
"2021-03-30",177.25,179.179993,176.110001,178.509995,1227700,175.125671
"2021-03-31",179.710007,185.210007,179.580002,183.479996,2325000,180.001465
"2021-04-01",186,188.520004,184.779999,187.699997,2757900,184.141449
"2021-04-05",191.410004,191.970001,188.169998,191.649994,1815400,188.016571
"2021-04-06",190.100006,191.110001,186.449997,188.880005,1600200,185.299072
"2021-04-07",189.229996,189.339996,185.960007,187.229996,1143600,183.680359
"2021-04-08",189.809998,190.5,187.600006,189.660004,1757300,186.064301
"2021-04-09",188,188.979996,186.550003,188.729996,1191000,185.151917
"2021-04-12",187.649994,188.300003,186.089996,188.119995,1090500,184.553482
"2021-04-13",189.039993,190.429993,186.419998,189.289993,1081200,185.701294
"2021-04-14",188.410004,194.490005,186.649994,187.839996,2047300,184.278793
"2021-04-15",190.119995,191.809998,188.220001,190.649994,1264700,187.035522
"2021-04-16",190.460007,192.839996,189.429993,189.759995,1610500,186.162399
"2021-04-19",188.679993,189.929993,184.369995,185.869995,1417600,182.346146
"2021-04-20",185.539993,186.440002,181.300003,182.720001,1106100,179.255859
"2021-04-21",182.830002,186.850006,181.539993,186.619995,1518400,183.081924
"2021-04-22",186.339996,187.100006,182.179993,183.419998,1366900,179.942581
"2021-04-23",191.990005,193.949997,189.770004,190.919998,2426700,187.3004
"2021-04-26",194.839996,201.990005,192.830002,199.660004,3746800,195.87471
"2021-04-27",201.179993,201.490005,196.449997,197.399994,2057800,193.657547
"2021-04-28",197.669998,198.75,194.789993,196.410004,1538700,192.686325
"2021-04-29",202.830002,204,195.100006,197.860001,3336000,194.108841
"2021-04-30",184.600006,186.759995,180.589996,181.330002,7121100,177.892227
"2021-05-03",182,183.169998,175.25,176.339996,4208100,172.996826
"2021-05-04",174.690002,174.690002,170.100006,173.570007,3334400,170.279358
"2021-05-05",174.710007,176.720001,172.539993,174.009995,1925500,170.710999
"2021-05-06",173.25,176.300003,171.740005,175.929993,1769400,172.594574
"2021-05-07",177.979996,178.210007,173.610001,175.119995,1918100,171.799957
"2021-05-10",171.440002,171.619995,165.839996,165.949997,3600000,162.803818
"2021-05-11",160.979996,167.399994,160.210007,166.889999,2505600,163.725998
"2021-05-12",162.789993,164.970001,160.649994,161.529999,2347700,158.46759
"2021-05-13",163.479996,165.25,160.679993,162.190002,1641000,159.115112
"2021-05-14",164.770004,167.229996,163.259995,165.449997,1903600,162.313263
"2021-05-17",163.979996,164.289993,161.009995,164.160004,1329600,161.535919
"2021-05-18",165.520004,165.990005,162.949997,162.970001,1051500,160.364944
"2021-05-19",160.940002,166.660004,159.770004,166.369995,1871200,163.710587
"2021-05-20",166.899994,169.800003,166.899994,168.630005,1434500,165.934464
"2021-05-21",169.539993,170.479996,166.229996,166.699997,1518900,164.035324
"2021-05-24",168.169998,170.169998,166.869995,168.880005,1180100,166.180481
"2021-05-25",170.25,171.660004,169.009995,170.029999,1532500,167.312073
"2021-05-26",170.080002,171.190002,167.389999,168.850006,1487200,166.150955
"2021-05-27",167.429993,172.380005,166.5,170.869995,2342000,168.138657
"2021-05-28",172.289993,172.470001,169.649994,170,1353500,167.282562
"2021-06-01",171.020004,173.229996,169.029999,170.389999,1460300,167.666336
"2021-06-02",170.139999,172.380005,168.910004,171.809998,973700,169.063629
"2021-06-03",169.509995,170.210007,167.149994,167.229996,1457200,164.556839
"2021-06-04",168.300003,171.899994,168.169998,170.410004,1292800,167.68602
"2021-06-07",169.539993,170.419998,167.759995,169.720001,1306900,167.007034
"2021-06-08",171.759995,172.149994,167.910004,168.229996,1143200,165.540848
"2021-06-09",169.110001,169.75,167.679993,168.529999,984300,165.83606
"2021-06-10",168.779999,171,167.759995,169.410004,1193500,166.701996
"2021-06-11",170.710007,171.190002,169.520004,171.119995,912500,168.384644
"2021-06-14",171.699997,174.029999,170.899994,173.830002,1095900,171.051346
"2021-06-15",173.570007,174.289993,171.380005,171.660004,1219300,168.916031
"2021-06-16",172.479996,173.050003,169.270004,170.979996,1236300,168.246887
"2021-06-17",170.020004,174.089996,170.020004,172.460007,1458100,169.703247
"2021-06-18",170.009995,171.270004,167.5,168.309998,2282600,165.619568
"2021-06-21",168.740005,172.720001,168.630005,171.539993,1335900,168.797958
"2021-06-22",171.949997,172.960007,170.899994,171.789993,1085100,169.043945
"2021-06-23",171.880005,175.130005,171.880005,173.229996,992100,170.460938
"2021-06-24",175.309998,178.660004,175.100006,177.789993,1430700,174.948029
"2021-06-25",179.050003,181.199997,177,178.699997,3458200,175.843475
"2021-06-28",179.229996,184.300003,179.100006,182.699997,2122500,179.779556
"2021-06-29",184.929993,191.710007,184.25,190.949997,2964100,187.89769
"2021-06-30",190.889999,192.350006,188.720001,191.75,1897300,188.684906
"2021-07-01",191.649994,191.830002,188.5,189.009995,1726900,185.988693
"2021-07-02",190.539993,193.639999,189.729996,191.320007,1641800,188.26178
"2021-07-06",190.619995,191.679993,188.75,190.460007,1333200,187.415512
"2021-07-07",192.449997,192.699997,186.360001,188.279999,1188400,185.27037
"2021-07-08",184,187.5,182.240005,186.410004,1454100,183.430252
"2021-07-09",186.960007,189.830002,185.330002,189.570007,1137500,186.539749
"2021-07-12",190.130005,191.679993,188.710007,191.199997,853100,188.143677
"2021-07-13",190.509995,191.050003,188.649994,189.580002,776100,186.549576
"2021-07-14",194.399994,197.600006,190.649994,191.570007,2282900,188.507767
"2021-07-15",191.699997,192.339996,188.149994,190.479996,1657100,187.435181
"2021-07-16",190.889999,192.830002,187.720001,188.110001,1116700,185.103088
"2021-07-19",185.339996,187.309998,183.970001,187.149994,1597600,184.158417
"2021-07-20",187.649994,190.699997,185.660004,189.419998,1242900,186.392136
"2021-07-21",189.449997,193.039993,189.440002,193,1153900,189.914917
"2021-07-22",191.639999,192.5,190.130005,191.039993,1186500,187.986237
"2021-07-23",192.220001,193.429993,190.639999,192.660004,1340800,189.580368
"2021-07-26",192.270004,193.389999,190.320007,192.789993,917200,189.708267
"2021-07-27",193.850006,193.949997,184.539993,188.160004,1897000,185.152283
"2021-07-28",189.300003,192.600006,188.429993,192.070007,1175300,188.999771
"2021-07-29",192,197.619995,192,196.669998,2190500,193.52626
"2021-07-30",184.619995,185.919998,177.669998,184.509995,7405100,181.560623
"2021-08-02",184.929993,188.759995,184.520004,187.330002,2643400,184.335556
"2021-08-03",188.699997,189.679993,185.529999,188.190002,1716500,185.181808
"2021-08-04",187.589996,188.610001,185.419998,186.789993,1428900,183.804169
"2021-08-05",186.75,187.940002,184.529999,185.789993,1544700,182.820145
"2021-08-06",184.25,186.699997,183.899994,186.029999,1222800,183.05632
"2021-08-09",186.300003,186.679993,184.289993,185.699997,837100,182.731598
"2021-08-10",186.389999,186.970001,183.139999,184.820007,1072900,181.865662
"2021-08-11",186.089996,186.139999,183.190002,184.779999,979400,181.826294
"2021-08-12",184.149994,184.279999,181.550003,183.279999,936400,180.350296
"2021-08-13",183.619995,184,182.509995,183.389999,912200,180.458527
"2021-08-16",182,182.300003,180.059998,181.669998,974300,179.313568
"2021-08-17",180.5,180.5,177.190002,178.660004,1331700,176.342621
"2021-08-18",177.570007,179.190002,174.979996,175.25,1733500,172.976837
"2021-08-19",174.309998,178,173.300003,177.229996,1303100,174.931152
"2021-08-20",177.360001,179.139999,177,178.880005,1022700,176.559769
"2021-08-23",179.990005,181.320007,178.619995,180.919998,1297400,178.573303
"2021-08-24",181.669998,182.899994,181.320007,182.070007,892000,179.708405
"2021-08-25",182.320007,183.089996,180.380005,181.080002,1009400,178.731232
"2021-08-26",180.75,181.720001,179.660004,180.910004,874800,178.563446
"2021-08-27",180.820007,184.169998,180.559998,183.449997,995400,181.070496
"2021-08-30",184.669998,186.660004,183.770004,186.100006,1610100,183.686127
"2021-08-31",186.869995,186.869995,182.199997,183.460007,1577200,181.080353
"2021-09-01",184.740005,184.740005,181.589996,181.660004,1434500,179.303711
"2021-09-02",182.139999,183.289993,180.589996,183.270004,934300,180.892822
"2021-09-03",183.270004,185.429993,182.820007,183.009995,828300,180.636185
"2021-09-07",183.330002,183.699997,180.660004,181.449997,827600,179.09642
"2021-09-08",180.75,180.880005,176.389999,177.710007,1204800,175.404938
"2021-09-09",177.5,180.029999,177.240005,177.429993,799200,175.128555
"2021-09-10",178.449997,180.740005,177.100006,177.330002,1076800,175.029861
"2021-09-13",178.639999,181.270004,177.100006,181.220001,1246400,178.8694
"2021-09-14",182.210007,182.240005,177.699997,178.130005,1528200,175.819504
"2021-09-15",178.300003,178.300003,175.649994,176.770004,1100900,174.477127
"2021-09-16",175.5,178.910004,174.360001,178.740005,1209800,176.42157
"2021-09-17",178.419998,178.419998,173.600006,175.259995,2231700,172.98671
"2021-09-20",172,172.089996,167.850006,170.449997,1767800,168.239105
"2021-09-21",171.690002,173.100006,169.869995,170.850006,1326400,168.633926
"2021-09-22",170.800003,174.179993,170.630005,172.919998,1096000,170.677063
"2021-09-23",173.839996,175.440002,173.169998,173.339996,847200,171.091629
"2021-09-24",172.360001,173.910004,171.240005,172.649994,660500,170.410568
"2021-09-27",170.509995,173.789993,169.5,171.729996,1175000,169.502502
"2021-09-28",168.570007,170.919998,166.690002,166.800003,1695200,164.636444
"2021-09-29",167.720001,168.710007,166.220001,166.550003,1240500,164.389694
"2021-09-30",167.669998,169.070007,164.270004,164.779999,1275200,162.642654
"2021-10-01",165.800003,166.199997,161.789993,163.919998,1700300,161.793808
"2021-10-04",163.199997,163.410004,159.119995,159.690002,2347800,157.618668
"2021-10-05",160.550003,162.009995,158.690002,160.339996,2027400,158.260239
"2021-10-06",158.630005,161.429993,157.550003,161.130005,1325800,159.039993
"2021-10-07",162.809998,165.360001,162.160004,162.240005,1339800,160.135605
"2021-10-08",162.919998,163.119995,160.050003,160.860001,917300,158.773499
"2021-10-11",160.660004,162.300003,159.380005,159.460007,979100,157.391663
"2021-10-12",160,160.649994,157.869995,158.649994,1337200,156.592148
"2021-10-13",155,157.699997,154.529999,155.220001,2763000,153.20665
"2021-10-14",156.899994,160.369995,156.610001,160.240005,1582600,158.161545
"2021-10-15",161.220001,162.410004,160.050003,160.529999,1072900,158.447769
"2021-10-18",159.330002,161.410004,158.149994,161.279999,1439700,159.188049
"2021-10-19",162.220001,165.619995,161.5,164.75,1814600,162.613037
"2021-10-20",164.75,166.949997,163.729996,165.639999,1380800,163.491486
"2021-10-21",165,167.149994,165,166.970001,782600,164.804245
"2021-10-22",166.940002,167.850006,165,165.119995,1158600,162.978241
"2021-10-25",165.880005,166,164.880005,165.179993,845900,163.03746
"2021-10-26",167.119995,167.669998,163.949997,164.330002,1189300,162.198486
"2021-10-27",164.080002,168.369995,163.160004,165.899994,1304000,163.748138
"2021-10-28",166.880005,170.309998,166.779999,169.839996,1382300,167.637009
"2021-10-29",167.649994,169.610001,165.649994,167.130005,1598700,164.962189
"2021-11-01",167.309998,169.830002,166.899994,169.800003,1102400,167.597534
"2021-11-02",170.149994,172.059998,169.639999,170.75,1292500,168.535217
"2021-11-03",171.139999,174.139999,170,173.509995,1593300,171.259415
"2021-11-04",172.270004,172.539993,167.050003,171.380005,3401700,169.157043
"2021-11-05",168.210007,168.899994,159.199997,164.059998,6146700,161.931992
"2021-11-08",164.910004,169.289993,162.860001,167.770004,3349400,165.593857
"2021-11-09",167.979996,168.399994,163.699997,164.160004,1915000,162.030701
"2021-11-10",163.130005,164.279999,160.020004,160.309998,1904200,158.230621
"2021-11-11",161.949997,162.350006,159.600006,161.990005,1504700,159.88884
"2021-11-12",162.270004,165.020004,161.850006,164.559998,1569700,162.425507
"2021-11-15",165.179993,165.699997,162.710007,163.210007,1425200,161.093033
"2021-11-16",162.919998,164.580002,162.449997,163.770004,1792800,161.645767
"2021-11-17",163.259995,164.710007,162.25,162.970001,1780900,160.85614
"2021-11-18",165.509995,165.789993,161.509995,163.110001,2038400,160.994308
"2021-11-19",162.440002,163.169998,160.509995,160.710007,1688100,158.625458
"2021-11-22",161.059998,161.259995,156.5,156.529999,1698500,155.039902
"2021-11-23",156.110001,158.380005,154.020004,156.800003,1952200,155.307343
"2021-11-24",155.880005,157.119995,151.300003,157.039993,1949500,155.545044
"2021-11-26",154.759995,156.580002,151.580002,152.479996,1667800,151.028442
"2021-11-29",154.119995,155.339996,151.429993,154.919998,2166700,153.445236
"2021-11-30",153.979996,156.259995,150.449997,151.660004,3150100,150.216263
"2021-12-01",153.710007,156.110001,150,150.169998,1854700,148.740448
"2021-12-02",146.309998,151.449997,144.270004,149.699997,2812100,148.274918
"2021-12-03",151.509995,152.880005,147.740005,149.410004,1692200,147.987686
"2021-12-06",150.020004,153.369995,147.979996,152.419998,1730800,150.969025
"2021-12-07",155,158.199997,154.720001,157.320007,1770700,155.822388
"2021-12-08",157,161.570007,155.179993,160.080002,1806700,158.556122
"2021-12-09",159.229996,163.779999,159,161.020004,2137500,159.487167
"2021-12-10",163.470001,164.470001,159.929993,162.479996,1695400,160.933258
"2021-12-13",162.240005,163.339996,158.889999,159.509995,1395800,157.991531
"2021-12-14",159.160004,161.330002,158.399994,159.380005,1369500,157.862778
"2021-12-15",159.649994,160.130005,153.800003,159.940002,2427500,158.417435
"2021-12-16",160.619995,161.410004,142,146.389999,7011000,144.996445
"2021-12-17",144.770004,152.800003,144.589996,151.699997,4996100,150.255875
"2021-12-20",149.470001,151.330002,148.649994,149.910004,1512800,148.482925
"2021-12-21",152.039993,152.720001,149.449997,152.630005,1200300,151.177032
"2021-12-22",152.149994,152.630005,150.539993,152.419998,935400,150.969025
"2021-12-23",152.559998,154.809998,151.919998,153.419998,882700,151.959503
"2021-12-27",153.679993,155.399994,152.759995,155.360001,1228300,153.881058
"2021-12-28",156.399994,156.809998,154.860001,155.940002,1110300,154.455521
"2021-12-29",156.100006,158.479996,156.080002,156.369995,826100,154.881424
"2021-12-30",156.5,158.050003,155.410004,155.800003,1048100,154.316849
"2021-12-31",155.800003,157.029999,155.059998,155.139999,859000,153.663147
"2022-01-03",155.649994,160.600006,155.649994,159.779999,2224800,158.258957
"2022-01-04",160.809998,163.470001,157.300003,161.25,1550300,159.714966
