"","AJG.Open","AJG.High","AJG.Low","AJG.Close","AJG.Volume","AJG.Adjusted"
"2020-08-31",104.959999,105.830002,104.400002,105.300003,1150300,102.394203
"2020-09-01",105.699997,105.730003,104.839996,105.690002,748800,102.773438
"2020-09-02",105.690002,107.760002,105.349998,107.349998,806900,104.387627
"2020-09-03",107.639999,108.029999,103.900002,104.580002,612400,102.122154
"2020-09-04",105.510002,105.879997,102.470001,103.68,731500,101.243294
"2020-09-08",103.220001,103.220001,100.32,101.080002,826800,98.704414
"2020-09-09",101.769997,104.32,101.769997,103.230003,657200,100.803871
"2020-09-10",103.309998,103.790001,101.620003,101.93,1160400,99.534424
"2020-09-11",102.449997,102.769997,101.220001,101.790001,548300,99.397713
"2020-09-14",102.389999,103.129997,102.199997,102.610001,1010600,100.198441
"2020-09-15",102.690002,103.849998,102.610001,102.980003,658300,100.559753
"2020-09-16",103.339996,104.379997,102.830002,103.040001,873800,100.61834
"2020-09-17",102.480003,104.029999,102,103.709999,1177100,101.272598
"2020-09-18",103.709999,105.690002,103.660004,104.209999,1533000,101.760834
"2020-09-21",102.459999,104.139999,102.160004,104.110001,1537700,101.663193
"2020-09-22",103.830002,105.5,102.959999,104.290001,1236200,101.838966
"2020-09-23",104.099998,105.129997,101.970001,102.360001,1709400,99.954323
"2020-09-24",102.419998,103.82,101.660004,102.449997,656100,100.042206
"2020-09-25",102.080002,103.18,101.360001,102.970001,623500,100.549995
"2020-09-28",103.959999,105.419998,103.260002,104.959999,629300,102.493217
"2020-09-29",104.68,105.440002,104.349998,104.769997,504300,102.307678
"2020-09-30",105.260002,106.459999,104.550003,105.580002,1197900,103.098656
"2020-10-01",105.830002,106.459999,104.550003,105.610001,745000,103.12793
"2020-10-02",104.529999,106.940002,103.949997,106.209999,535600,103.713837
"2020-10-05",106.720001,107.650002,106.400002,107.059998,558000,104.543861
"2020-10-06",107.730003,108.059998,105.389999,105.760002,591300,103.274414
"2020-10-07",106.540001,107.220001,105.669998,106.419998,531600,103.918892
"2020-10-08",106.660004,107.790001,106.370003,107.110001,463100,104.59269
"2020-10-09",107.519997,108.839996,107.470001,108.550003,448100,105.99884
"2020-10-12",108.550003,109.940002,108.400002,109.510002,628000,106.936279
"2020-10-13",109.68,110.559998,107.919998,108.669998,1033600,106.116013
"2020-10-14",108.980003,109.940002,107.809998,107.830002,894500,105.295769
"2020-10-15",107.07,108.519997,106.660004,108.160004,687100,105.618011
"2020-10-16",108.449997,109.709999,108.300003,108.769997,575100,106.213676
"2020-10-19",109.050003,109.540001,106.860001,107.059998,769300,104.543861
"2020-10-20",108.040001,109,107.290001,107.519997,576700,104.993034
"2020-10-21",107.669998,108.870003,107.470001,107.620003,518400,105.090698
"2020-10-22",107.379997,108.610001,106.790001,107.760002,418800,105.227409
"2020-10-23",107.949997,108.32,107.389999,107.919998,561500,105.383652
"2020-10-26",106.900002,107.029999,104.82,106.160004,670900,103.665024
"2020-10-27",106.580002,107.370003,105.489998,105.57,959400,103.088882
"2020-10-28",104.209999,105.290001,103.540001,104.309998,1996300,101.858482
"2020-10-29",103.660004,104.540001,101.949997,103,1484900,100.579277
"2020-10-30",102.440002,105.370003,102.029999,103.709999,1528000,101.272598
"2020-11-02",105.150002,106.989998,104.110001,106.529999,1092700,104.026314
"2020-11-03",107.93,109,106.730003,107.989998,845900,105.452003
"2020-11-04",107.330002,113.650002,106.830002,111.75,1209100,109.123634
"2020-11-05",112.57,113.110001,109.610001,109.769997,877300,107.19017
"2020-11-06",110.440002,111.550003,109.75,110.510002,736000,107.912773
"2020-11-09",116.309998,118.389999,109.889999,109.980003,1797000,107.395233
"2020-11-10",110.32,114.459999,110,113.639999,1135000,110.969223
"2020-11-11",114.089996,114.610001,113.290001,114.169998,743600,111.486755
"2020-11-12",112.709999,113.599998,112.410004,113.150002,569900,110.49073
"2020-11-13",113.339996,115.839996,113.32,115.709999,605500,112.990562
"2020-11-16",116.599998,117.480003,115.730003,117.43,704600,114.670143
"2020-11-17",116.730003,117.75,115.5,117.080002,1040300,114.328369
"2020-11-18",117.330002,117.589996,114.980003,115.449997,726800,112.736671
"2020-11-19",114.989998,116.32,114.25,116.040001,648700,113.312805
"2020-11-20",116.260002,117.120003,115.220001,115.550003,1937400,112.83432
"2020-11-23",116.019997,116.650002,114.419998,115.410004,784400,112.697624
"2020-11-24",116.120003,117.339996,115.32,116.419998,1141700,113.683884
"2020-11-25",116.120003,116.370003,113.889999,116.07,1236600,113.342117
"2020-11-27",115.970001,116.5,114.57,115.860001,342400,113.137054
"2020-11-30",115.559998,116.120003,115.029999,115.410004,928700,112.697624
"2020-12-01",116.389999,116.75,115.82,116.709999,672800,113.967056
"2020-12-02",116.620003,117.18,115.690002,116.43,536100,113.693649
"2020-12-03",115.809998,116.269997,115.169998,115.769997,702900,113.487785
"2020-12-04",115.610001,116.360001,115.349998,116.019997,556700,113.732857
"2020-12-07",115.980003,117,115.540001,116,762600,113.713249
"2020-12-08",114.959999,117.360001,114.830002,116.900002,775000,114.595512
"2020-12-09",117.199997,117.720001,116.379997,117.480003,850200,115.164078
"2020-12-10",117.269997,119.690002,116.849998,119.510002,1170800,117.15406
"2020-12-11",119,121.269997,118.800003,119.940002,995800,117.575584
"2020-12-14",120.669998,122.010002,119.879997,120.5,1112100,118.12455
"2020-12-15",121.480003,123.910004,121.480003,123.629997,928400,121.192841
"2020-12-16",124.440002,126.709999,124.309998,126.449997,981400,123.957253
"2020-12-17",127.160004,129.119995,126.760002,128.190002,1015100,125.662949
"2020-12-18",128.080002,128.5,124.82,125.32,1484500,122.849533
"2020-12-21",124.699997,125,121.68,125,847300,122.535835
"2020-12-22",124.82,124.82,123.57,123.809998,729800,121.369293
"2020-12-23",124.129997,124.739998,123,123.040001,480500,120.614471
"2020-12-24",123.019997,123.690002,122.650002,123.419998,223000,120.986977
"2020-12-28",124.129997,124.400002,122.709999,123.029999,368500,120.604668
"2020-12-29",123.419998,123.440002,121.269997,121.529999,549500,119.134239
"2020-12-30",122.120003,122.660004,121.57,121.699997,426600,119.300873
"2020-12-31",121.959999,123.900002,121.139999,123.709999,487900,121.271263
"2021-01-04",123.639999,123.709999,119.120003,120.239998,800700,117.869667
"2021-01-05",120.419998,120.870003,118.870003,119.440002,602300,117.085442
"2021-01-06",119.849998,122.199997,119.150002,121.93,864600,119.526352
"2021-01-07",122.57,123.629997,121.769997,122.330002,742300,119.918472
"2021-01-08",117.900002,122.830002,117.900002,120.849998,824200,118.467644
"2021-01-11",119.669998,120.57,118.029999,118.459999,691800,116.124756
"2021-01-12",118.32,119.169998,117.830002,118.540001,741600,116.203178
"2021-01-13",117.93,118.970001,116.550003,117.93,957700,115.605209
"2021-01-14",118.019997,118.120003,115.940002,116.010002,892100,113.723061
"2021-01-15",115.809998,116.519997,115.25,116.110001,867200,113.821091
"2021-01-19",115.949997,117.910004,115.010002,117.400002,899800,115.085655
"2021-01-20",117.529999,119.730003,117.160004,119.470001,574700,117.114845
"2021-01-21",119.169998,120.150002,118.839996,119.089996,679000,116.742332
"2021-01-22",118.839996,119.190002,117.489998,117.839996,715300,115.516983
"2021-01-25",117.580002,119.290001,117.080002,118.290001,697100,115.958115
"2021-01-26",118.230003,118.949997,117.07,117.410004,887600,115.095451
"2021-01-27",116.129997,116.790001,112.919998,113.110001,1746100,110.880219
"2021-01-28",115.160004,116.68,114.050003,115.510002,1156300,113.232918
"2021-01-29",114.860001,118.029999,113.300003,115.410004,1314600,113.134895
"2021-02-01",114.370003,116.32,114.129997,115.190002,841000,112.919228
"2021-02-02",116.18,118.459999,116.18,117.68,702700,115.36013
"2021-02-03",117.449997,118.169998,115.720001,116.230003,639400,113.938721
"2021-02-04",116.419998,117.330002,115.519997,116.360001,858600,114.066154
"2021-02-05",117.480003,119.57,117,118.400002,800500,116.065948
"2021-02-08",118.650002,119.110001,116.860001,117.68,980200,115.36013
"2021-02-09",117.620003,118,116.699997,116.910004,698500,114.605316
"2021-02-10",117.849998,118.290001,116.690002,117.169998,795000,114.860184
"2021-02-11",117.050003,118.099998,115.699997,116.330002,758900,114.036751
"2021-02-12",115.970001,116.839996,115.970001,116.68,675800,114.379845
"2021-02-16",117,118.309998,116.720001,117.669998,825400,115.350327
"2021-02-17",116.910004,118.099998,116.910004,117.660004,673700,115.340546
"2021-02-18",117.540001,118.669998,116.779999,118.620003,918000,116.281601
"2021-02-19",119.120003,120.830002,118.860001,120.18,882100,117.810844
"2021-02-22",119.389999,121.120003,118.839996,120.900002,876600,118.516663
"2021-02-23",121.589996,123.93,120.099998,123.129997,884400,120.70269
"2021-02-24",122.839996,125.379997,122.839996,123.790001,1177900,121.349686
"2021-02-25",123.93,123.980003,121.419998,121.419998,750300,119.026398
"2021-02-26",121.75,122.040001,119.75,119.800003,904000,117.438347
"2021-03-01",120.209999,123.129997,120.209999,122.300003,601300,119.889069
"2021-03-02",122.110001,122.449997,120.25,121.699997,798300,119.300873
"2021-03-03",121.400002,123.989998,121.400002,122,1113400,119.594963
"2021-03-04",121.379997,122.339996,119.919998,120.559998,1632600,118.650185
"2021-03-05",121.5,124.330002,120.510002,124.110001,1289000,122.143944
"2021-03-08",124.639999,127.589996,124.129997,125.330002,1034500,123.34462
"2021-03-09",124.480003,126.360001,124.379997,124.739998,790300,122.763969
"2021-03-10",124.959999,125.889999,124.269997,125.25,609800,123.265892
"2021-03-11",124.629997,125.169998,123.690002,124.440002,589900,122.468719
"2021-03-12",125.25,126.25,124.860001,126.150002,472500,124.151627
"2021-03-15",126.099998,127.330002,125.730003,127.209999,708500,125.194839
"2021-03-16",126.900002,128.509995,126.43,127.900002,819200,125.873917
"2021-03-17",128.169998,128.990005,127.18,128.429993,1323200,126.3955
"2021-03-18",129,129,126.25,126.580002,1454400,124.574821
"2021-03-19",126.239998,126.830002,121.199997,121.440002,3122400,119.516243
"2021-03-22",120.040001,122.349998,120.040001,122.050003,1148200,120.116585
"2021-03-23",122.260002,123.040001,121.699997,122.550003,878400,120.608658
"2021-03-24",122.449997,125.330002,122.43,124.220001,900600,122.252205
"2021-03-25",124.919998,125.410004,123.050003,124.959999,794100,122.980476
"2021-03-26",125.019997,125.779999,123.830002,125.699997,507800,123.708755
"2021-03-29",125,126.940002,124.720001,126.839996,536500,124.830704
"2021-03-30",126.360001,126.849998,125.279999,125.629997,510500,123.639862
"2021-03-31",125.510002,126.080002,124.620003,124.769997,974600,122.793495
"2021-04-01",124.910004,126.68,124.209999,126.610001,844300,124.60434
"2021-04-05",127,128.330002,126.900002,128.300003,457000,126.267578
"2021-04-06",128.779999,130.119995,128.240005,130.009995,931100,127.950485
"2021-04-07",129.630005,130.369995,128.690002,129.830002,1046000,127.773331
"2021-04-08",129.899994,132.380005,129.710007,132.369995,882400,130.273087
"2021-04-09",133.119995,133.660004,132.5,132.550003,766200,130.450241
"2021-04-12",132.339996,132.759995,131.429993,132.350006,557800,130.253403
"2021-04-13",132.309998,134.690002,131.470001,133.949997,552500,131.828079
"2021-04-14",133.759995,134.630005,132.479996,132.979996,575800,130.873428
"2021-04-15",133.440002,135.139999,133.440002,135.059998,650100,132.920486
"2021-04-16",135.860001,137.440002,134.800003,136.800003,776000,134.63295
"2021-04-19",136.270004,136.610001,134.839996,136.259995,625500,134.101456
"2021-04-20",136.470001,137.339996,135.919998,136.259995,579300,134.101456
"2021-04-21",136.570007,137.289993,135.830002,137.169998,438000,134.99707
"2021-04-22",137,137.160004,135.660004,136.25,407600,134.091629
"2021-04-23",136.5,138.300003,136.270004,137.940002,564400,135.754868
"2021-04-26",138.210007,138.210007,135.690002,135.830002,740500,133.678284
"2021-04-27",136.229996,138.720001,135.970001,138.589996,802600,136.394562
"2021-04-28",138.589996,140.309998,138.419998,140.059998,907600,137.841263
"2021-04-29",140.490005,141.559998,140.100006,140.75,690800,138.520355
"2021-04-30",141.800003,145.600006,140.690002,144.949997,1040800,142.653824
"2021-05-03",144.440002,145.649994,142.830002,145.059998,840100,142.76207
"2021-05-04",144.509995,145.669998,143.929993,145.5,863100,143.195099
"2021-05-05",145.410004,147.559998,144.669998,147.460007,622200,145.124069
"2021-05-06",148,149.399994,147.600006,148.839996,1095300,146.482193
"2021-05-07",148.25,151.369995,148.089996,151.160004,644800,148.765442
"2021-05-10",152.460007,154.029999,150.729996,150.789993,806300,148.401306
"2021-05-11",150.720001,150.770004,147.740005,148.460007,756300,146.1082
"2021-05-12",148,148.679993,143.75,143.860001,2069600,141.581085
"2021-05-13",143.369995,146.649994,143,145.860001,5178900,143.549393
"2021-05-14",146.75,148.580002,146.369995,147.300003,4210100,144.966583
"2021-05-17",145.809998,147.559998,145.649994,146.5,1498000,144.179245
"2021-05-18",147.110001,147.710007,145.880005,147.059998,1393800,144.730392
"2021-05-19",146.259995,146.479996,143.949997,145.389999,1476000,143.086853
"2021-05-20",146.020004,147.169998,145.259995,146.639999,1037300,144.317032
"2021-05-21",146.539993,147.190002,144.070007,144.899994,1108700,142.604599
"2021-05-24",145.710007,146.309998,145,145.089996,1039500,142.791611
"2021-05-25",145.399994,145.690002,144.369995,144.399994,1338300,142.112518
"2021-05-26",144.690002,145.960007,143.919998,145.149994,1707100,142.850632
"2021-05-27",145.740005,146.639999,144.479996,146.350006,1663800,144.031631
"2021-05-28",147,147.190002,146.050003,146.610001,915900,144.287521
"2021-06-01",147.570007,148.210007,145.899994,146.529999,1203400,144.208786
"2021-06-02",146.550003,147.389999,145.520004,146.649994,909300,144.326889
"2021-06-03",145.979996,146.929993,144.410004,144.580002,1828700,142.756943
"2021-06-04",145.25,145.649994,143.869995,144.869995,1223100,143.043274
"2021-06-07",144.929993,145.210007,143.369995,143.539993,1461800,141.730042
"2021-06-08",143.360001,144.410004,143.119995,144,1762300,142.184235
"2021-06-09",144,144.75,143.75,144.389999,572700,142.569321
"2021-06-10",145.179993,145.710007,144.289993,144.330002,606500,142.510101
"2021-06-11",144.479996,145.160004,143.970001,144.610001,1022200,142.78656
"2021-06-14",144.160004,144.479996,143.550003,144.460007,845300,142.638458
"2021-06-15",144.580002,145.389999,143.649994,144.539993,923100,142.717422
"2021-06-16",144.949997,145.899994,141.630005,141.800003,2489800,140.011993
"2021-06-17",141.869995,142.360001,137.710007,139.399994,2348500,137.642242
"2021-06-18",139.360001,139.419998,137.25,137.559998,2316100,135.825455
"2021-06-21",138.240005,139.660004,137.779999,139.660004,1388300,137.898987
"2021-06-22",139.820007,141.240005,139.440002,140.210007,1222100,138.442047
"2021-06-23",140.100006,141,139.470001,140.429993,1208600,138.659241
"2021-06-24",140.830002,140.839996,139.429993,140.339996,744600,138.570374
"2021-06-25",140.330002,141.960007,140.220001,141.899994,607100,140.110718
"2021-06-28",141.960007,141.960007,140.350006,140.679993,763800,138.906097
"2021-06-29",141.070007,141.850006,140.759995,141.199997,688400,139.419525
"2021-06-30",141.089996,141.429993,139.25,140.080002,915300,138.313675
"2021-07-01",140.440002,141.039993,139.960007,140.419998,990400,138.649384
"2021-07-02",140.619995,140.619995,139.720001,140.300003,939700,138.530899
"2021-07-06",141.020004,141.029999,139.979996,140.960007,998800,139.182571
"2021-07-07",140.600006,142.020004,140.600006,141.839996,664900,140.051483
"2021-07-08",140.75,140.919998,138.490005,138.820007,987300,137.06955
"2021-07-09",140.139999,140.520004,139.600006,140.5,991700,138.728394
"2021-07-12",140.320007,141.75,140.270004,140.979996,789300,139.202332
"2021-07-13",140.929993,140.929993,138.929993,139.139999,485400,137.385529
"2021-07-14",139.029999,139.610001,138.389999,138.899994,695800,137.14856
"2021-07-15",138,140.830002,138,140.139999,597100,138.372925
"2021-07-16",140.330002,140.820007,139.669998,139.919998,494500,138.155685
"2021-07-19",138.699997,138.830002,135.5,136.639999,9e+05,134.917053
"2021-07-20",137.179993,139.820007,136.690002,139.270004,1080700,137.513901
"2021-07-21",139.899994,146.979996,139.289993,140.850006,1420700,139.073975
"2021-07-22",140.949997,142.529999,140.949997,142.110001,938100,140.318069
"2021-07-23",142.160004,143.309998,142.119995,143.050003,539500,141.246216
"2021-07-26",139,141.369995,138.610001,140.220001,1746900,138.45192
"2021-07-27",139.110001,141.149994,138.630005,140.330002,1497500,138.560532
"2021-07-28",139.990005,139.990005,137.210007,137.509995,1170000,135.776077
"2021-07-29",138.660004,139.970001,137.960007,139.509995,1147500,137.750854
"2021-07-30",139.839996,141.970001,139.139999,139.309998,1434600,137.553375
"2021-08-02",139.830002,141.160004,138.929993,139.179993,996300,137.425018
"2021-08-03",139.690002,140.240005,138.25,138.550003,1044800,136.802963
"2021-08-04",138.190002,139.029999,136.919998,136.949997,767900,135.223129
"2021-08-05",137.860001,138.710007,137.259995,138.619995,757200,136.872086
"2021-08-06",139.470001,139.770004,138.369995,139.059998,870700,137.306519
"2021-08-09",139.25,140.350006,138.539993,140.309998,1054800,138.540771
"2021-08-10",140.600006,141.039993,140.160004,140.880005,873200,139.103607
"2021-08-11",141.429993,143.460007,141.429993,142.279999,1117100,140.485931
"2021-08-12",142.699997,142.779999,140.839996,141.520004,927600,139.735519
"2021-08-13",142.190002,142.479996,140.289993,140.300003,1627800,138.530899
"2021-08-16",140.300003,143.229996,139.759995,142.929993,1583200,141.127716
"2021-08-17",142.039993,142.789993,141.020004,141.699997,821800,139.913239
"2021-08-18",141.179993,142.5,140.710007,141.130005,1183800,139.350449
"2021-08-19",140.410004,142.419998,140.410004,142,1351000,140.209457
"2021-08-20",142.350006,143.929993,141.720001,143,1086100,141.196854
"2021-08-23",143.369995,144.509995,143.050003,143.100006,947600,141.295593
"2021-08-24",143.320007,144.009995,142.679993,143.399994,909300,141.591797
"2021-08-25",143.270004,143.399994,142.199997,142.910004,666600,141.107971
"2021-08-26",142.770004,143.119995,142.160004,142.740005,640700,140.94014
"2021-08-27",143.009995,143.869995,142.740005,143.759995,874700,141.947266
"2021-08-30",144.070007,144.720001,143.330002,143.449997,586700,141.641174
"2021-08-31",143.449997,144.479996,142.899994,143.619995,1375600,141.809036
"2021-09-01",143.800003,144.970001,142.889999,144.440002,1068100,142.618698
"2021-09-02",144.690002,145.830002,144.619995,145.820007,1037800,144.46138
"2021-09-03",145.479996,146.5,144.869995,145.490005,1114600,144.134445
"2021-09-07",145.389999,145.539993,143.649994,143.690002,725100,142.351212
"2021-09-08",143.600006,144.779999,143.550003,144.5,1442700,143.153671
"2021-09-09",144.919998,146.770004,144.809998,145.389999,836800,144.03537
"2021-09-10",145.919998,145.990005,144.020004,144.080002,1301500,142.737595
"2021-09-13",145.130005,145.5,142.529999,144.429993,1132500,143.084305
"2021-09-14",144.679993,145.279999,142.630005,145,1457200,143.649017
"2021-09-15",145.779999,150.550003,144.520004,150.190002,1831500,148.790649
"2021-09-16",150.070007,150.580002,148.830002,149.800003,909100,148.404282
"2021-09-17",150.369995,151.570007,147.960007,148.389999,2601600,147.007431
"2021-09-20",146.399994,147.259995,144.779999,146.089996,1236400,144.728851
"2021-09-21",146.919998,149.220001,146.429993,148.5,1034300,147.116394
"2021-09-22",150,152.399994,148.850006,151.389999,1335600,149.979462
"2021-09-23",151.649994,153.279999,151.649994,152.259995,749500,150.841354
"2021-09-24",152.279999,154.360001,152.009995,154.039993,959700,152.604782
"2021-09-27",154.130005,154.199997,151.720001,152.399994,675700,150.980072
"2021-09-28",151.869995,152.240005,149.199997,149.800003,809400,148.404282
"2021-09-29",150.630005,151.919998,150.009995,150.889999,518500,149.484131
"2021-09-30",151.679993,152.330002,148.589996,148.649994,1024100,147.264999
"2021-10-01",149.320007,153.720001,148.639999,152.440002,680800,151.019684
"2021-10-04",152.720001,153.75,149.039993,149.240005,1153300,147.849503
"2021-10-05",149.899994,152.639999,149.139999,151.850006,932000,150.435196
"2021-10-06",150.470001,153.050003,149.880005,152.830002,784600,151.406052
"2021-10-07",153.600006,154.919998,153.179993,153.429993,1007200,152.000458
"2021-10-08",153.800003,156.089996,153.509995,155.660004,1350300,154.209702
"2021-10-11",155.960007,158.220001,155.520004,156.919998,1087600,155.457932
"2021-10-12",156.800003,158.929993,156.649994,157.199997,921700,155.735321
"2021-10-13",157.179993,158.75,155.429993,158.520004,913200,157.043045
"2021-10-14",159.830002,162.039993,159.610001,161.669998,920600,160.163696
"2021-10-15",162.399994,164.080002,161.779999,162.880005,846700,161.362427
"2021-10-18",161.910004,162.529999,160.300003,160.610001,770300,159.113586
"2021-10-19",161.860001,162.600006,160.970001,161.970001,750300,160.460892
"2021-10-20",161.800003,162.929993,161.779999,162.490005,621200,160.976059
"2021-10-21",162.919998,163.880005,161.679993,163.460007,959100,161.937027
"2021-10-22",163.889999,165.75,163.529999,165.169998,509000,163.631088
"2021-10-25",165.690002,165.990005,164.050003,164.25,632800,162.71965
"2021-10-26",164.449997,165.130005,162.940002,164.190002,797900,162.660202
"2021-10-27",164.350006,165.5,161.899994,162.199997,1235500,160.688766
"2021-10-28",162.600006,164.179993,162.070007,164.119995,908200,162.590866
"2021-10-29",164.369995,168.320007,163.050003,167.669998,1142500,166.107773
"2021-11-01",167.789993,168.5,162.070007,162.479996,757000,160.966141
"2021-11-02",162.779999,164.360001,162.300003,163.050003,987800,161.530838
"2021-11-03",162.380005,162.429993,159.5,161.309998,877500,159.807037
"2021-11-04",161.389999,161.449997,159.880005,160.779999,927600,159.281982
"2021-11-05",161.860001,162.050003,158.610001,160.259995,1115800,158.766815
"2021-11-08",161.229996,161.350006,158.820007,160.910004,910900,159.410767
"2021-11-09",160.899994,162.199997,160.190002,161.559998,608000,160.054718
"2021-11-10",161.710007,162.699997,160.589996,161.190002,429100,159.688171
"2021-11-11",161.039993,162.770004,160.210007,162.699997,513900,161.184097
"2021-11-12",163.039993,165.880005,163,165.729996,875200,164.185867
"2021-11-15",166.410004,166.679993,164.690002,165.380005,732000,163.839127
"2021-11-16",165.509995,167.589996,165.509995,166.770004,937500,165.216187
"2021-11-17",166.5,166.710007,163.75,164.910004,1008700,163.373505
"2021-11-18",165.050003,165.050003,162.440002,162.809998,592600,161.29306
"2021-11-19",163.440002,165.149994,162.419998,163.410004,1227800,161.887482
"2021-11-22",163.630005,166.720001,161.740005,164.800003,935000,163.264542
"2021-11-23",165.490005,165.809998,162.979996,164.779999,1029800,163.24472
"2021-11-24",164.529999,167.149994,164,166.419998,744100,164.869446
"2021-11-26",162.399994,164.009995,160.020004,163.139999,729900,161.619995
"2021-11-29",164.919998,165.529999,162.899994,164.809998,1064600,163.274429
"2021-11-30",163.679993,165.779999,161.960007,162.899994,1810800,161.382233
"2021-12-01",165.279999,167.479996,162.210007,162.330002,938200,160.817566
"2021-12-02",162.919998,167.199997,161.860001,166.520004,989300,165.457764
"2021-12-03",167.100006,167.580002,163.630005,165.479996,723600,164.424377
"2021-12-06",166.720001,169.389999,166.259995,167.449997,1064300,166.381821
"2021-12-07",168.75,171.179993,168.309998,169.679993,901800,168.59758
"2021-12-08",170.119995,170.75,167.669998,169.240005,838400,168.1604
"2021-12-09",168.729996,169.350006,167.5,167.679993,715200,166.610336
"2021-12-10",168.850006,169.720001,167.669998,169.600006,906900,168.518112
"2021-12-13",169.440002,170,167.789993,168.809998,957100,167.733139
"2021-12-14",168.539993,168.539993,162.75,166.619995,1314600,165.557098
"2021-12-15",166.429993,167.889999,163.380005,167.610001,1311900,166.540802
"2021-12-16",167.5,168.610001,164.990005,166.050003,1195200,164.990738
"2021-12-17",165.660004,166.279999,163.529999,164.399994,1801900,163.351273
"2021-12-20",162.910004,164.660004,161.130005,164.259995,1139200,163.212158
"2021-12-21",165.160004,165.770004,162.059998,163.970001,1100100,162.924011
"2021-12-22",163.800003,165.490005,163.210007,165.220001,937800,164.166046
"2021-12-23",166,167.559998,165.639999,166.449997,510900,165.388184
"2021-12-27",167.020004,170.679993,166.839996,170.440002,483100,169.352737
"2021-12-28",170.429993,171.210007,169.070007,169.320007,443200,168.239899
"2021-12-29",169.729996,170.630005,169.130005,169.809998,350500,168.726761
"2021-12-30",170.479996,171.210007,168.589996,168.759995,327200,167.683456
"2021-12-31",168.710007,170.660004,168.289993,169.669998,336200,168.587646
"2022-01-03",169.289993,169.990005,165.589996,166.710007,701600,165.646545
"2022-01-04",167,168.210007,165.710007,167.429993,925100,166.361938
"2022-01-05",168,168.970001,164.089996,164.289993,900500,163.241974
"2022-01-06",164.850006,166.490005,163.529999,166.080002,723700,165.020554
"2022-01-07",166.380005,166.690002,163.740005,165.360001,975300,164.305161
"2022-01-10",165.050003,165.210007,160.320007,162.429993,1022800,161.393829
"2022-01-11",163.020004,163.839996,159.600006,163.75,871600,162.705429
"2022-01-12",164.020004,166.289993,163.949997,165.729996,693500,164.672791
"2022-01-13",166.029999,166.309998,161.779999,162.449997,859100,161.413712
"2022-01-14",161.429993,161.429993,155.490005,157.699997,1201900,156.694016
