"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"2021-05-10",419.269989,425.980011,418.220001,420.890015,2489300,413.824036
"2021-05-11",421,422.290009,410.609985,411.700012,3024000,404.7883
"2021-05-12",409.290009,410.850006,404.679993,405.369995,2888100,398.564575
"2021-05-13",406.279999,413.179993,404.320007,408.559998,2637500,401.70105
"2021-05-14",410.98999,412.589996,408.5,409.799988,2072900,402.920197
"2021-05-17",409.309998,412.51001,408.570007,408.630005,1583900,401.769897
"2021-05-18",409.690002,412.959991,406.269989,410.380005,2694800,403.490448
"2021-05-19",409.48999,410.720001,404.25,409.5,2783100,402.625244
"2021-05-20",409.529999,413.829987,408.320007,408.640015,2105800,401.779633
"2021-05-21",410.76001,418.630005,409.459991,411.630005,4295400,404.719482
"2021-05-24",412.369995,413.899994,409.920013,410.950012,1883600,404.050903
"2021-05-25",411.850006,413.859985,408.890015,413.049988,2285600,406.115631
"2021-05-26",412.100006,415.299988,411.01001,413.209991,1903900,406.272949
"2021-05-27",414.920013,415.109985,410.380005,412.700012,2041800,405.771545
"2021-05-28",412.700012,415.470001,410.019989,411.920013,2367900,405.004608
"2021-06-01",413.730011,413.730011,406.160004,406.720001,2199600,399.891907
"2021-06-02",409.140015,409.140015,404.549988,405.850006,2232900,399.03653
"2021-06-03",403.5,409.76001,402.839996,407.959991,2281200,401.111084
"2021-06-04",410.959991,411,404.649994,405.640015,2990900,398.830048
"2021-06-07",406.959991,407.209991,398.690002,400.25,3353800,393.530518
"2021-06-08",400.720001,402.75,398.75,401.73999,3051300,394.995514
"2021-06-09",403.329987,405.779999,400.529999,401.100006,1925700,394.366272
"2021-06-10",401.910004,402.850006,398.470001,401.48999,4033600,394.749695
"2021-06-11",403.350006,403.359985,394.779999,397.890015,3094300,391.210175
"2021-06-14",397.299988,399.470001,395.130005,399.160004,2674900,392.458832
"2021-06-15",399.959991,401.5,396.470001,400.279999,2845800,393.559998
"2021-06-16",401.100006,403.149994,396.670013,397.25,3330800,390.580872
"2021-06-17",396,398.070007,394.609985,397.350006,3532000,390.67923
"2021-06-18",387.279999,392.660004,387.25,389.369995,5521400,384.235352
"2021-06-21",389.369995,399.200012,389.220001,398.070007,3839300,392.820618
"2021-06-22",400.609985,400.649994,397.820007,398.690002,3964600,393.432434
"2021-06-23",397.820007,399,395.269989,395.559998,2942100,390.343719
"2021-06-24",398.320007,402.160004,396.839996,398.869995,3309100,393.610046
"2021-06-25",400.100006,409.980011,399.019989,404.950012,16928900,399.609894
"2021-06-28",404.950012,404.98999,397.929993,401.459991,3193300,396.165863
"2021-06-29",401.970001,403.200012,397.480011,398.100006,2458800,392.85022
"2021-06-30",397.540009,401.399994,396.799988,400.440002,2875600,395.159363
"2021-07-01",402.029999,405.209991,401.809998,404.890015,2678100,399.55069
"2021-07-02",405.089996,409.869995,403.880005,409.359985,1982400,403.9617
"2021-07-06",408.670013,411.160004,405.709991,410.26001,2615300,404.849854
"2021-07-07",410.350006,412.179993,407.200012,411.660004,2270400,406.231384
"2021-07-08",408.609985,410.829987,405.079987,409.950012,2032300,404.543915
"2021-07-09",412.529999,413.25,410.640015,412.109985,2078900,406.675446
