"","STZ.Open","STZ.High","STZ.Low","STZ.Close","STZ.Volume","STZ.Adjusted"
"2021-10-26",218.089996,219.779999,217.360001,218.210007,563000,216.055374
"2021-10-27",218.289993,218.389999,214.759995,214.949997,937700,212.82756
"2021-10-28",215.949997,217.899994,214.860001,216.770004,889400,214.629578
"2021-10-29",215.380005,217.699997,215.25,216.809998,980600,214.669189
"2021-11-01",216.910004,221,216.619995,220.210007,642400,218.035629
"2021-11-02",220.479996,221.25,218.800003,220.699997,643700,218.520782
"2021-11-03",219.639999,221.600006,219.550003,220.690002,619500,218.51088
"2021-11-04",219.5,220.039993,217.660004,219.360001,850700,217.94455
"2021-11-05",220.589996,222.910004,220.279999,222.690002,870800,221.253067
"2021-11-08",222.679993,222.679993,219.5,221.779999,997100,220.348938
"2021-11-09",221.649994,222.5,219.619995,221.639999,707600,220.209839
"2021-11-10",222.369995,223.539993,221.490005,222.339996,883100,220.905334
"2021-11-11",221.529999,224.979996,220.639999,224.75,943100,223.299774
"2021-11-12",225.039993,227.850006,224.589996,226.410004,912000,224.949066
"2021-11-15",227.270004,229.570007,226.470001,228.820007,930700,227.343521
"2021-11-16",229,231.919998,228.240005,231.130005,1233100,229.638611
"2021-11-17",231,234.399994,229.539993,234.020004,1491800,232.509964
"2021-11-18",234.460007,237.25,232.960007,237.009995,1580800,235.480667
"2021-11-19",237.800003,238.039993,234.839996,235.399994,1678000,233.881042
"2021-11-22",240,240.050003,228.720001,234.300003,1825700,232.788162
"2021-11-23",233.75,237.610001,233.75,237.059998,902400,235.530334
"2021-11-24",236.5,236.75,230.25,232.5,1197200,230.999771
"2021-11-26",229.020004,230,227.009995,229.320007,740900,227.840286
"2021-11-29",230.559998,230.600006,224.419998,226.970001,1556400,225.505447
"2021-11-30",225.300003,226.869995,222.210007,225.330002,1784400,223.876038
"2021-12-01",227.160004,229.190002,223.110001,223.190002,954800,221.749847
"2021-12-02",224.389999,226.169998,222.800003,225.259995,1247000,223.806488
"2021-12-03",226.259995,226.410004,223.330002,226.190002,913400,224.730484
"2021-12-06",228.839996,232.479996,227.860001,230.869995,867500,229.38028
"2021-12-07",232.160004,236.089996,230.130005,233.830002,1129000,232.321182
"2021-12-08",233.160004,235.410004,231.880005,234.679993,851400,233.16568
"2021-12-09",233.399994,234.830002,232.75,233.5,637000,231.993317
"2021-12-10",234.809998,235.5,233,235.320007,613700,233.80159
"2021-12-13",234.940002,238.009995,233.880005,237.369995,1077500,235.838333
"2021-12-14",236.539993,237.949997,235.020004,236.809998,1044900,235.281952
"2021-12-15",237.169998,241.25,235.880005,241.039993,1100300,239.484665
"2021-12-16",242.259995,243.410004,240.410004,241.610001,979400,240.050995
"2021-12-17",239.899994,243,237.910004,242.25,2633700,240.686859
"2021-12-20",240.860001,241.179993,234.580002,239.449997,1393000,237.904922
"2021-12-21",241,242.990005,239.490005,241.320007,1164400,239.762863
"2021-12-22",240.380005,243.919998,239.309998,243.210007,942300,241.640656
"2021-12-23",244,245.330002,242.960007,244.039993,662000,242.465302
"2021-12-27",244.039993,246.960007,243.470001,246.800003,554300,245.207489
"2021-12-28",246.660004,249.589996,246.410004,248.990005,533500,247.383377
"2021-12-29",248.720001,250.25,247.429993,249.779999,621200,248.168274
"2021-12-30",249.270004,250.490005,248.919998,249.389999,418200,247.780777
"2021-12-31",249.059998,251.699997,249.009995,250.970001,727100,249.350586
"2022-01-03",251.25,253.039993,249.169998,252.820007,979600,251.18866
"2022-01-04",253.270004,255.940002,253.110001,254.600006,1107200,252.957184
"2022-01-05",253.630005,257.290009,251.869995,253.360001,1565100,251.725174
"2022-01-06",256.859985,258,242.660004,244.789993,2047500,243.210449
"2022-01-07",242.460007,248.669998,242.080002,246.179993,1268700,244.591492
"2022-01-10",246.419998,247.479996,242.059998,247.080002,1143000,245.485687
"2022-01-11",246.550003,253.729996,244.559998,252.690002,1171400,251.059494
