"","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"2020-09-24",34.108158,34.193546,33.719166,33.927895,20859925,31.569736
"2020-09-25",33.719166,34.297913,33.700191,34.203037,14365598,31.825752
"2020-09-28",34.3074,34.705883,34.3074,34.525616,15044269,32.125916
"2020-09-29",34.563568,34.667931,34.184059,34.316887,13512491,31.931692
"2020-09-30",34.411766,35.066414,34.392788,34.819733,22629275,32.399586
"2020-10-01",35.018974,35.189754,34.3074,34.506641,22520396,32.108261
"2020-10-02",34.212524,34.781784,34.184059,34.516129,21461759,32.117088
"2020-10-05",34.658443,34.990513,34.478176,34.867172,19400029,32.443726
"2020-10-06",35.104362,35.132828,34.240986,34.316887,25233392,31.931692
"2020-10-07",34.402279,34.71537,34.184059,34.601517,22160034,32.196541
"2020-10-08",34.724857,35.275143,34.639469,35,17857395,32.567322
"2020-10-09",34.943073,35.218216,34.71537,34.905125,23667465,32.479046
"2020-10-12",34.819733,35.275143,34.601517,34.933586,19413837,32.505527
"2020-10-13",34.791271,35.227703,34.753323,35.009487,21543233,32.576157
"2020-10-14",35.113853,35.388992,34.696396,34.971539,22120298,32.54084
"2020-10-15",34.753323,34.857685,34.544594,34.677418,16089205,32.26717
"2020-10-16",35.170776,36.166985,35.123341,36.005692,42993503,33.503117
"2020-10-19",36.451614,36.859585,35.711575,35.863377,31931352,33.370693
"2020-10-20",35.92979,35.948769,35.436432,35.56926,22384852,33.097019
"2020-10-21",35.436432,35.531307,35.161289,35.180267,18984859,32.735062
"2020-10-22",35.180267,35.645161,35.132828,35.512333,19243616,33.044048
"2020-10-23",35.986717,36.318787,35.721062,36.223907,30557884,33.706161
"2020-10-26",35.92979,36.072105,35.559772,35.97723,33783124,33.476631
"2020-10-27",35.142315,36.166985,34.981026,35.512333,36851529,33.044048
"2020-10-28",34.914612,35.227703,33.510437,33.633778,33857537,31.296064
"2020-10-29",33.662239,33.814041,32.827324,33.472485,27545341,31.145979
"2020-10-30",33.434536,33.709679,33.055027,33.662239,25631067,31.322548
"2020-11-02",34.089184,34.392788,33.719166,34.373814,21430666,31.984667
"2020-11-03",34.563568,34.743832,34.231499,34.335861,21636617,31.949348
"2020-11-04",35.161289,36.166985,35.066414,35.417458,40870536,32.955769
"2020-11-05",35.341557,35.388992,34.525616,34.525616,33926995,32.456303
"2020-11-06",34.525616,34.838711,34.240986,34.535103,23870676,32.465221
"2020-11-09",39.71537,39.838711,36.413662,37.19165,230153864,34.962543
"2020-11-10",38.377609,38.462997,36.489563,36.698292,80091668,34.49876
"2020-11-11",36.888046,38.140415,35.958256,36.527515,58980997,34.338211
"2020-11-12",36.318787,36.375713,35.332069,35.626186,46767877,33.49091
"2020-11-13",35.92979,36.679317,35.777988,36.641365,40175634,34.445244
"2020-11-16",35.920303,36.005692,34.962048,35.417458,75530167,33.294693
"2020-11-17",36.490002,36.5,35.82,36.040001,46984500,33.879921
"2020-11-18",36.93,37.419998,36.299999,36.32,63442700,34.143139
"2020-11-19",36.599998,36.630001,35.860001,36.189999,43261800,34.020927
"2020-11-20",36.700001,37.310001,36.439999,36.700001,60633800,34.50037
"2020-11-23",37.029999,37.09,36.209999,36.52,43673100,34.331154
"2020-11-24",36.130001,36.740002,36.02,36.599998,42485300,34.406353
"2020-11-25",36.529999,36.560001,36.240002,36.529999,26955800,34.340549
"2020-11-27",36.779999,37.259998,36.75,37.23,25277000,34.9986
"2020-11-30",37.950001,38.799999,37.599998,38.310001,65425900,36.01387
"2020-12-01",39.400002,40.5,39.009998,39.41,72499700,37.047943
"2020-12-02",40.470001,41.41,40.299999,40.799999,84347500,38.354626
"2020-12-03",40.98,41.029999,39.52,40.09,68570100,37.68718
"2020-12-04",39.889999,40.450001,39.889999,40.34,35368100,37.922195
"2020-12-07",40.66,41.400002,40.369999,41.25,48253700,38.777653
"2020-12-08",41.400002,42.77,41.349998,42.560001,87039300,40.009144
"2020-12-09",43.07,43.080002,41.130001,41.849998,86118500,39.34169
"2020-12-10",41.82,42.220001,41.450001,41.73,57749200,39.228886
"2020-12-11",41.970001,42.07,40.689999,41.119999,60737000,38.655449
"2020-12-14",41.619999,41.66,39.07,39.209999,94809700,36.859921
"2020-12-15",39.060001,39.18,38.209999,38.709999,65712800,36.389896
"2020-12-16",38.18,38.470001,37.740002,37.84,56515300,35.572037
"2020-12-17",37.830002,38.119999,37.310001,38.029999,52036400,35.750648
"2020-12-18",37.990002,38.09,37.5,37.68,60259200,35.421627
"2020-12-21",37.279999,37.400002,36.91,37.380001,40891800,35.13961
"2020-12-22",37.209999,37.330002,36.599998,36.740002,33634400,34.537968
"2020-12-23",37.009998,37.650002,36.880001,37.439999,36182000,35.196003
"2020-12-24",37.400002,37.57,37.18,37.27,14790100,35.036198
"2020-12-28",37.360001,37.580002,36.68,36.82,26993700,34.613167
"2020-12-29",36.900002,37.200001,36.790001,37.049999,23152100,34.829384
"2020-12-30",37.029999,37.240002,36.700001,36.740002,24889800,34.537968
"2020-12-31",36.66,36.919998,36.290001,36.810001,30796500,34.603779
"2021-01-04",36.869999,36.939999,36.27,36.810001,33565700,34.603779
"2021-01-05",36.720001,37.369999,36.599998,37.189999,29909400,34.960995
"2021-01-06",36.830002,37.48,36.77,36.869999,34962500,34.660172
"2021-01-07",37.040001,37.150002,36.669998,37.060001,27809500,34.838783
"2021-01-08",37.16,37.529999,36.900002,37.130001,33462400,34.904594
"2021-01-11",37.220001,37.830002,37.150002,37.77,47286900,35.506229
"2021-01-12",37.700001,37.790001,36.82,37.18,47831100,34.951595
"2021-01-13",37,37.169998,36.639999,36.860001,31027900,34.650772
"2021-01-14",36.779999,36.959999,36.610001,36.75,30272000,34.547363
"2021-01-15",36.68,36.779999,36.400002,36.700001,34287800,34.50037
"2021-01-19",36.759998,37,36.619999,36.73,33451300,34.528564
"2021-01-20",36.790001,36.810001,36.459999,36.5,35400100,34.312347
"2021-01-21",36.389999,36.59,36.150002,36.48,33829700,34.293549
"2021-01-22",36.32,36.830002,36.25,36.549999,26271200,34.359348
"2021-01-25",36.549999,37.290001,36.32,37.279999,31728500,35.045601
"2021-01-26",37.27,37.599998,37.16,37.310001,27718700,35.073803
"2021-01-27",36.990002,37.040001,36.169998,36.240002,50561200,34.06794
"2021-01-28",35.950001,36.330002,35.84,35.860001,39466700,34.077435
"2021-01-29",36.880001,36.880001,35.619999,35.900002,60251900,34.115456
"2021-02-01",35.93,36.189999,35.720001,35.799999,40395800,34.020416
"2021-02-02",35.759998,35.779999,34.27,34.990002,84062400,33.250687
"2021-02-03",34.990002,35.290001,34.779999,34.84,38524200,33.108143
"2021-02-04",34.810001,35.080002,34.700001,34.889999,34284900,33.155651
"2021-02-05",34.919998,35.080002,34.779999,34.919998,31749600,33.184158
"2021-02-08",34.959999,35.009998,34.740002,34.82,31633900,33.089134
"2021-02-09",34.799999,35.060001,34.759998,34.970001,30170200,33.231678
"2021-02-10",35,35.080002,34.700001,34.740002,29039900,33.013115
"2021-02-11",34.799999,34.810001,34.279999,34.43,30885200,32.718525
"2021-02-12",34.439999,34.950001,34.360001,34.720001,25578600,32.994102
"2021-02-16",34.849998,34.860001,34.560001,34.689999,28730300,32.965588
"2021-02-17",34.57,35,34.459999,34.889999,26389400,33.155651
"2021-02-18",34.779999,34.880001,34.52,34.560001,24052500,32.842064
"2021-02-19",34.66,34.68,34.400002,34.439999,28145300,32.728024
"2021-02-22",34.330002,34.369999,34.040001,34.259998,34322500,32.556976
"2021-02-23",34,34.189999,33.68,33.91,37624200,32.224369
"2021-02-24",33.869999,34.049999,33.669998,33.75,30686100,32.072327
"2021-02-25",33.82,34.110001,33.540001,33.82,37506100,32.138844
"2021-02-26",33.84,33.900002,33.360001,33.490002,41462800,31.825251
"2021-03-01",33.59,33.93,33.509998,33.689999,30407800,32.015308
"2021-03-02",33.68,33.889999,33.5,33.509998,27670400,31.844252
"2021-03-03",33.509998,34.450001,33.439999,34.389999,46020200,32.680508
"2021-03-04",34.259998,35.09,33.84,34.200001,45449600,32.499958
"2021-03-05",34.290001,34.549999,33.959999,34.389999,30589900,32.680508
"2021-03-08",34.48,34.869999,34.330002,34.349998,24352300,32.642494
"2021-03-09",34.540001,34.849998,34.439999,34.450001,25167100,32.737526
"2021-03-10",34.639999,35.139999,34.52,34.93,33501800,33.193668
"2021-03-11",35.07,35.119999,34.66,34.709999,24557900,32.984604
"2021-03-12",34.560001,34.98,34.509998,34.939999,16342400,33.203171
"2021-03-15",35.009998,35.43,34.959999,35.41,21896100,33.649807
"2021-03-16",35.470001,35.860001,35.310001,35.830002,25022400,34.048927
"2021-03-17",35.830002,35.959999,35.119999,35.790001,42540100,34.010921
"2021-03-18",35.529999,35.970001,35.52,35.77,24729800,33.991909
"2021-03-19",35.75,35.82,35.470001,35.529999,48348900,33.763844
"2021-03-22",35.48,36.009998,35.360001,36,25427500,34.210476
"2021-03-23",35.82,35.93,35.32,35.360001,27970500,33.602287
"2021-03-24",35.48,35.93,35.369999,35.610001,22883400,33.839867
"2021-03-25",35.650002,35.790001,35.25,35.669998,24875300,33.896877
"2021-03-26",35.68,36.290001,35.639999,36.25,27944500,34.448048
"2021-03-29",36.029999,36.740002,35.900002,36.619999,27004800,34.799656
"2021-03-30",36.59,36.630001,36.02,36.110001,26303300,34.31501
"2021-03-31",36.150002,36.43,36.040001,36.23,26582700,34.429043
"2021-04-01",36.299999,36.450001,36.02,36.299999,21319900,34.495567
"2021-04-05",36.439999,36.57,36.099998,36.279999,22096900,34.476559
"2021-04-06",36.259998,36.400002,36,36.049999,20722900,34.257996
"2021-04-07",36.029999,36.240002,35.759998,35.91,21933800,34.12495
"2021-04-08",35.959999,36.150002,35.869999,35.959999,18129400,34.172466
"2021-04-09",35.900002,36.810001,35.900002,36.599998,31686700,34.780651
"2021-04-12",36.48,37.029999,36.330002,36.970001,29944900,35.132259
"2021-04-13",37.41,37.650002,36.889999,37.16,33967400,35.312813
"2021-04-14",37.169998,37.380001,36.959999,37.169998,23842900,35.322315
"2021-04-15",37.259998,37.740002,37.259998,37.599998,24945800,35.730942
"2021-04-16",37.869999,38.700001,37.810001,38.57,52829500,36.652729
"2021-04-19",38.599998,38.959999,38.330002,38.93,30905100,36.994827
"2021-04-20",38.75,39.240002,38.75,39.029999,26459400,37.089863
"2021-04-21",39.139999,39.669998,39.130001,39.529999,29365000,37.565006
"2021-04-22",39.48,39.5,38.52,38.639999,33373600,36.719242
"2021-04-23",38.630001,38.830002,38.43,38.66,24375000,36.738247
"2021-04-26",38.73,38.740002,38.490002,38.68,19773400,36.757259
"2021-04-27",38.509998,38.610001,38.349998,38.450001,19061500,36.538696
"2021-04-28",38.540001,38.939999,38.52,38.810001,21963300,36.880795
"2021-04-29",38.990002,39,38.310001,38.599998,23569400,36.681232
"2021-04-30",38.5,38.900002,38.490002,38.650002,28413200,36.728752
"2021-05-03",39.040001,39.84,38.959999,39.830002,46638600,37.850094
"2021-05-04",40,40.169998,39.43,39.950001,52802200,37.96413
"2021-05-05",40.18,41.09,38.93,39.970001,76627500,37.983139
"2021-05-06",38.48,39.23,37.959999,39.189999,54944900,37.608868
"2021-05-07",39.049999,39.869999,39.049999,39.580002,33807800,37.983139
"2021-05-10",39.830002,40.279999,39.779999,39.860001,30831900,38.251835
"2021-05-11",39.68,40.07,39.23,39.349998,30568600,37.762413
"2021-05-12",39.439999,39.919998,39.310001,39.689999,26208600,38.088692
"2021-05-13",39.5,40.279999,39.5,40.099998,25415000,38.482151
"2021-05-14",40.240002,40.32,39.919998,40.02,18041100,38.40538
"2021-05-17",40.07,40.400002,40.009998,40.110001,18095000,38.491753
"2021-05-18",40.18,40.349998,39.830002,40.049999,15805500,38.434174
"2021-05-19",39.900002,39.900002,39.43,39.830002,20209500,38.223045
"2021-05-20",39.73,40.25,39.720001,40.119999,18621100,38.501347
"2021-05-21",40.209999,40.599998,39.91,39.950001,21144800,38.338207
"2021-05-24",40.080002,40.139999,39.779999,39.810001,16922300,38.203857
"2021-05-25",39.82,39.860001,39.240002,39.330002,25916300,37.743221
"2021-05-26",39.290001,39.299999,38.779999,38.919998,28036500,37.349758
"2021-05-27",38.970001,39.18,38.599998,38.650002,38471200,37.090652
"2021-05-28",38.75,39.02,38.68,38.73,16154100,37.167427
"2021-06-01",38.939999,39,38.48,38.5,23642400,36.946709
"2021-06-02",38.639999,38.93,38.540001,38.790001,19629000,37.225006
"2021-06-03",38.759998,39.040001,38.630001,38.970001,17376300,37.397747
"2021-06-04",39.049999,39.5,39.02,39.150002,19375300,37.57048
"2021-06-07",39.080002,39.599998,38.970001,38.990002,24110700,37.416943
"2021-06-08",39.07,39.110001,38.48,38.849998,18880300,37.282589
"2021-06-09",39,39.84,38.98,39.810001,29824000,38.203857
"2021-06-10",39.900002,40.720001,39.889999,40.68,42613700,39.038757
"2021-06-11",40.66,40.669998,39.950001,40.150002,21386900,38.530136
"2021-06-14",40.029999,40.07,39.380001,39.630001,23408300,38.031113
"2021-06-15",39.709999,39.84,39.389999,39.59,20206900,37.992733
"2021-06-16",39.619999,39.84,39.279999,39.299999,19177500,37.714432
"2021-06-17",39.27,39.59,39.07,39.48,19580100,37.887169
"2021-06-18",39.299999,39.439999,38.700001,38.810001,37775900,37.244198
"2021-06-21",38.880001,39.48,38.880001,39.419998,19488100,37.829586
"2021-06-22",39.41,39.689999,39.259998,39.610001,15975900,38.011925
"2021-06-23",39.630001,39.66,38.98,39.049999,22025400,37.474518
"2021-06-24",39.139999,39.349998,39.080002,39.189999,13436500,37.608868
"2021-06-25",39.119999,39.41,38.889999,38.98,22774300,37.407345
"2021-06-28",39.009998,39.209999,38.900002,39.119999,19225700,37.541695
"2021-06-29",39.130001,39.279999,38.98,39.099998,14516600,37.522499
"2021-06-30",39.139999,39.27,38.82,39.16,21248100,37.580078
"2021-07-01",39.169998,39.630001,39.110001,39.560001,20035900,37.96394
"2021-07-02",39.459999,39.830002,39.380001,39.73,16592700,38.127083
"2021-07-06",39.48,39.650002,39.040001,39.290001,18931900,37.70483
"2021-07-07",39.220001,39.360001,38.970001,39.349998,17665200,37.762413
"2021-07-08",39,39.32,38.93,39.25,23021200,37.666447
"2021-07-09",39.529999,40.099998,39.459999,39.610001,21578700,38.011925
"2021-07-12",39.66,40.25,39.599998,39.759998,24513000,38.155869
"2021-07-13",39.77,39.799999,39.529999,39.650002,12222000,38.050312
"2021-07-14",39.720001,40.029999,39.66,39.950001,15888600,38.338207
"2021-07-15",39.950001,40.189999,39.860001,40.09,20250800,38.472557
"2021-07-16",40.139999,40.349998,39.93,40.349998,24270400,38.722065
"2021-07-19",40.07,40.349998,39.68,40.150002,29818400,38.530136
"2021-07-20",40.25,41.709999,40.200001,41.049999,48804100,39.393826
"2021-07-21",41.240002,41.240002,40.52,41.02,27530200,39.36504
"2021-07-22",41.119999,41.549999,40.900002,41.470001,18913300,39.796883
"2021-07-23",41.459999,41.830002,41.419998,41.68,21609200,39.998413
"2021-07-26",41.619999,41.939999,41.389999,41.810001,23720000,40.123169
"2021-07-27",41.82,42.200001,41.580002,42.099998,32544100,40.401466
"2021-07-28",42.349998,43.740002,42.25,43.450001,53822400,41.697002
"2021-07-29",43.23,43.299999,42.619999,42.790001,29015000,41.435551
"2021-07-30",42.880001,43.189999,42.689999,42.810001,24763300,41.454914
"2021-08-02",43.299999,44.139999,43.25,43.959999,43066900,42.568512
"2021-08-03",44.169998,45.860001,44.07,45.68,45643300,44.234066
"2021-08-04",45.349998,45.799999,45.009998,45.189999,43391200,43.759579
"2021-08-05",45,45.139999,44.700001,45.060001,23505400,43.633694
"2021-08-06",45.09,45.310001,44.630001,45.07,20413000,43.643372
"2021-08-09",45.110001,46.029999,45.110001,45.98,32374300,44.524574
"2021-08-10",46.200001,48.57,45.889999,48.189999,81189400,46.664612
"2021-08-11",47.779999,48.080002,46.259998,46.310001,50878200,44.844124
"2021-08-12",46.5,47.400002,46.34,47.240002,29676400,45.744694
"2021-08-13",47.41,48.5,47.32,48.48,35379200,46.945438
"2021-08-16",48.23,48.970001,47.509998,48.91,38045800,47.361824
"2021-08-17",48.779999,50.490002,48.709999,50.419998,68817000,48.824024
"2021-08-18",50.23,51.860001,49.169998,49.310001,88598000,47.749168
"2021-08-19",48.5,49.959999,48.259998,48.799999,57741600,47.25531
"2021-08-20",48.98,49.73,48.66,48.720001,35157500,47.177841
"2021-08-23",50.290001,51.360001,49.599998,49.93,88652400,48.349541
"2021-08-24",49.740002,50.049999,48.240002,48.380001,52624100,46.848606
"2021-08-25",48.040001,48.279999,46.93,47.509998,51036800,46.006142
"2021-08-26",47.700001,48.16,47.299999,47.380001,29029300,45.880257
"2021-08-27",47.369999,47.5,46.529999,46.599998,32924500,45.124947
"2021-08-30",46.200001,47.16,46.16,46.759998,25774400,45.279881
"2021-08-31",46.720001,47.139999,45.93,46.07,34547800,44.611721
"2021-09-01",46.189999,46.259998,45.419998,46.040001,32900100,44.582672
"2021-09-02",46.48,46.869999,46.130001,46.84,26106300,45.357349
"2021-09-03",46.900002,47.029999,46.34,46.84,20817200,45.357349
"2021-09-07",46.990002,47.5,46.540001,46.75,26236900,45.270199
"2021-09-08",46.509998,46.790001,46.25,46.509998,15839600,45.037796
"2021-09-09",46.470001,46.720001,45.849998,46.029999,21695300,44.572983
"2021-09-10",46.27,46.349998,45.509998,45.59,20801500,44.146915
"2021-09-13",45.740002,45.830002,44.200001,44.580002,37086200,43.168884
"2021-09-14",44.669998,45.259998,44.549999,44.709999,24100200,43.294769
"2021-09-15",44.560001,45.369999,44.470001,44.77,28674600,43.352871
"2021-09-16",44.880001,44.990002,44.029999,44.470001,22424200,43.062366
"2021-09-17",44.169998,44.459999,43.310001,43.889999,56370500,42.500725
"2021-09-20",43.389999,44.650002,43.389999,44.200001,41873000,42.800915
"2021-09-21",44.25,44.73,43.849998,43.919998,23645600,42.529778
"2021-09-22",43.990002,44.389999,43.830002,43.950001,22616700,42.558826
"2021-09-23",44.279999,44.720001,44.150002,44.189999,19719200,42.791229
"2021-09-24",44.07,44.41,43.810001,43.939999,16150700,42.549141
"2021-09-27",43.919998,44.130001,43.509998,43.57,19955900,42.190857
"2021-09-28",43.07,43.279999,42.43,43.040001,28512200,41.677635
"2021-09-29",43.220001,43.689999,43.080002,43.529999,18037200,42.152119
"2021-09-30",43.790001,44.049999,42.970001,43.009998,21103300,41.648579
"2021-10-01",42.52,43.099998,41.700001,42.93,38483000,41.571114
"2021-10-04",42.93,43.349998,42.209999,42.419998,28906500,41.077255
"2021-10-05",42.529999,42.790001,42.279999,42.32,19342600,40.980423
"2021-10-06",42.060001,42.200001,41.689999,42.02,30483800,40.689915
"2021-10-07",42.52,42.959999,42.209999,42.740002,19778300,41.387131
"2021-10-08",42.73,42.91,42.34,42.450001,12778600,41.106312
"2021-10-11",42.450001,42.619999,42.009998,42.060001,11984200,40.728653
"2021-10-12",42.16,42.209999,41.66,41.849998,16222300,40.525295
"2021-10-13",41.75,41.91,40.939999,41.419998,28205700,40.108906
"2021-10-14",41.560001,41.959999,41.52,41.669998,17590300,40.35099
"2021-10-15",41.900002,42.029999,41.380001,41.490002,23550300,40.176697
"2021-10-18",41.450001,41.700001,41.040001,41.32,21733000,40.012074
"2021-10-19",41.599998,42.200001,41.540001,42.09,17159800,40.757702
"2021-10-20",42.119999,43.110001,42.099998,42.799999,22788300,41.445229
"2021-10-21",43.060001,43.09,42.43,42.860001,22142300,41.503334
"2021-10-22",42.82,43.189999,42.630001,43.16,17183000,41.793835
"2021-10-25",43.200001,43.240002,42.57,43.150002,22846200,41.784153
"2021-10-26",43.330002,43.759998,42.919998,43.560001,29729100,42.181175
"2021-10-27",43.459999,43.560001,42.68,42.970001,22317500,41.609848
"2021-10-28",42.950001,43.669998,42.939999,43.18,18023400,41.813206
"2021-10-29",43.09,43.830002,42.860001,43.740002,30307500,42.35548
"2021-11-01",44.139999,44.290001,43.439999,43.639999,32681500,42.25864
"2021-11-02",45.080002,46.040001,43.049999,45.450001,69248000,44.011349
"2021-11-03",45.52,45.990002,44.48,44.82,44593100,43.401287
"2021-11-04",44.290001,44.470001,43.310001,43.849998,38172500,42.834713
"2021-11-05",48.09,48.810001,46.549999,48.610001,173959100,47.484509
"2021-11-08",48.610001,48.790001,47.599998,48.330002,57423300,47.210987
"2021-11-09",48.330002,48.380001,47.150002,47.299999,29920400,46.204834
"2021-11-10",47.400002,49.209999,47.400002,49.02,42696200,47.885017
"2021-11-11",49.23,50.5,48.73,50.18,42370400,49.018154
"2021-11-12",50.419998,50.490002,49.57,49.73,27780600,48.578575
"2021-11-15",49.73,50.099998,49.369999,49.650002,27763200,48.500427
"2021-11-16",49.470001,50.16,48.889999,49.599998,31297200,48.45158
"2021-11-17",49.939999,51.09,49.689999,50.869999,36889800,49.692177
"2021-11-18",51.099998,51.709999,50.610001,51.41,32872600,50.219677
"2021-11-19",51.959999,52.84,50.68,50.799999,47966200,49.623798
"2021-11-22",50.950001,51.470001,50.380001,51.200001,27287900,50.014538
"2021-11-23",50.580002,51.450001,50.299999,51.080002,24946200,49.89732
"2021-11-24",51.18,51.330002,50.709999,50.889999,18556800,49.711716
"2021-11-26",54.040001,54.939999,53.25,54,66561300,52.74971
"2021-11-29",55.150002,55.700001,52.110001,52.400002,72660800,51.186756
"2021-11-30",52.310001,54.459999,51.91,53.73,64598400,52.485962
"2021-12-01",52.470001,55.169998,51.860001,54.68,59810400,53.413967
"2021-12-02",53.82,55.080002,52.77,53.040001,46361700,51.811939
"2021-12-03",53.709999,54.41,53.099998,54.27,37574800,53.013458
"2021-12-06",53.779999,53.889999,51.25,51.48,53724000,50.288055
"2021-12-07",51.25,52.5,50.400002,51.720001,41575400,50.522499
"2021-12-08",52.75,53.080002,51.029999,51.400002,37429200,50.209908
"2021-12-09",51.509998,52.849998,51.509998,52.080002,38325700,50.874165
"2021-12-10",51.200001,52.849998,51.110001,52.779999,26079400,51.557957
"2021-12-13",53.439999,55.73,53.439999,55.200001,54923200,53.921925
"2021-12-14",54.77,55.950001,54.32,55.540001,48685700,54.254055
"2021-12-15",56.110001,58.919998,55.889999,58.799999,75202900,57.438568
"2021-12-16",58.360001,61.43,57.75,61.25,75183600,59.831848
"2021-12-17",59.93,61.189999,58.700001,59.48,104192100,58.102825
"2021-12-20",60.599998,61.709999,59.830002,61.02,55712200,59.60717
"2021-12-21",60.009998,60.040001,57.16,58.950001,63877900,57.585098
"2021-12-22",59.25,60.59,58.220001,59.549999,62594900,58.171204
"2021-12-23",59.82,60.080002,58.310001,58.709999,39203200,57.350655
"2021-12-27",58.849998,59.380001,58.23,59.200001,27362600,57.829311
"2021-12-28",59.049999,59.450001,57.080002,58.009998,36901700,56.666862
"2021-12-29",57.310001,58.029999,57.07,57.580002,26170200,56.246819
"2021-12-30",57.75,58.740002,57.529999,58.400002,24559000,57.047832
"2021-12-31",58.529999,59.799999,58.439999,59.049999,28579600,57.682781
"2022-01-03",58.5,58.549999,56.34,56.650002,57219200,55.338352
"2022-01-04",56.220001,56.43,53.939999,54.529999,66993100,53.267433
"2022-01-05",55.84,56.439999,55.369999,55.630001,52956400,54.341972
"2022-01-06",55.16,55.630001,54.490002,54.84,37000400,53.570259
"2022-01-07",55.360001,55.77,54.630001,55.720001,27703400,54.429882
