"","FDS.Open","FDS.High","FDS.Low","FDS.Close","FDS.Volume","FDS.Adjusted"
"2021-02-10",316,318.690002,309.130005,309.410004,165500,305.276306
"2021-02-11",311.929993,317.459991,309.519989,317.140015,225400,312.902985
"2021-02-12",316.140015,320.350006,313.850006,316,115600,311.778198
"2021-02-16",316.540009,319.970001,311.570007,312.600006,139700,308.423645
"2021-02-17",310.799988,316.329987,310.799988,315.040009,174900,310.831024
"2021-02-18",314.119995,321.540009,313.410004,318.5,134700,314.244843
"2021-02-19",319.920013,320.279999,313.200012,313.679993,188800,309.489227
"2021-02-22",310.820007,310.820007,303.029999,303.869995,195400,299.810303
"2021-02-23",304.179993,305.390015,300.899994,302.790009,210700,298.74469
"2021-02-24",301.880005,302.790009,295.519989,300.940002,272800,296.919434
"2021-02-25",298.940002,302.070007,294.209991,294.350006,208700,291.162445
"2021-02-26",296.809998,306.019989,295.160004,303.910004,390800,300.618927
"2021-03-01",305.899994,312.579987,303.670013,311.179993,237400,307.810181
"2021-03-02",312,312.190002,306.290009,310.920013,244000,307.552979
"2021-03-03",309.23999,311.329987,306.51001,308.869995,252100,305.525208
"2021-03-04",309.519989,314.149994,302.920013,305.089996,231100,301.786133
"2021-03-05",307.029999,314.649994,303.140015,314.25,246400,310.846985
"2021-03-08",315.25,319.790009,308.98999,315.899994,235900,312.479065
"2021-03-09",317.920013,322.279999,311.079987,312.48999,300700,309.106018
"2021-03-10",316.630005,316.920013,310.769989,312.290009,218200,308.908203
"2021-03-11",312.440002,316.040009,310.579987,312.73999,246500,309.353302
"2021-03-12",312.410004,313.700012,307.609985,310.899994,342200,307.533264
"2021-03-15",313.630005,319.23999,312.339996,318.519989,240300,315.070679
"2021-03-16",320.220001,324.200012,316.609985,317.76001,197700,314.318909
"2021-03-17",317.970001,320.119995,310.640015,316.299988,188800,312.874756
"2021-03-18",312.700012,315.709991,308.51001,310.100006,271200,306.741882
"2021-03-19",311.200012,317.459991,309.290009,311.440002,603300,308.067383
"2021-03-22",311,315.070007,309.910004,314.380005,255300,310.975555
"2021-03-23",314.420013,323.859985,314.309998,320.399994,262100,316.930359
"2021-03-24",321,324.929993,317.769989,321.350006,257600,317.870056
"2021-03-25",321.440002,321.869995,317.880005,321.170013,194700,317.692047
"2021-03-26",322.609985,326.100006,318.970001,325.619995,170300,322.093811
"2021-03-29",326.890015,329.109985,321.980011,323.950012,301900,320.441925
"2021-03-30",314.48999,318.799988,304.070007,311.339996,408800,307.968445
"2021-03-31",309.720001,316.190002,308.589996,308.589996,367500,305.24826
"2021-04-01",311.059998,319.459991,310.290009,317.01001,279300,313.577057
"2021-04-05",319.160004,322.170013,315.940002,320.549988,253600,317.078735
"2021-04-06",321.549988,322.799988,317.5,318.179993,216000,314.734375
"2021-04-07",317.720001,318.190002,308.720001,309.359985,247900,306.009888
"2021-04-08",310.01001,314.429993,308.519989,310.140015,339600,306.781494
"2021-04-09",310.459991,312.059998,306.859985,309.130005,212100,305.78244
"2021-04-12",308.179993,312.51001,308.149994,311.26001,212800,307.889343
"2021-04-13",311.670013,314.119995,310.549988,311.399994,237700,308.027832
"2021-04-14",311.5,313.269989,308.670013,309.26001,308200,305.911011
"2021-04-15",311.600006,315.76001,310,314.899994,388400,311.489929
"2021-04-16",316.170013,320.779999,315.600006,319.269989,184500,315.812592
"2021-04-19",320,320.049988,316.369995,317.339996,223800,313.903473
"2021-04-20",316.920013,321.890015,316.920013,318.850006,199000,315.397156
"2021-04-21",320,324.299988,320,321.75,224400,318.265778
"2021-04-22",320,324.709991,316.98999,323.790009,263700,320.283661
