"","EIX.Open","EIX.High","EIX.Low","EIX.Close","EIX.Volume","EIX.Adjusted"
"2020-09-11",50.619999,50.639999,49.900002,50.630001,2650100,46.32716
"2020-09-14",50.82,51.77,50.509998,51.650002,1798200,47.260483
"2020-09-15",51.869999,52.860001,51.220001,51.509998,1882400,47.13237
"2020-09-16",51.419998,52.889999,51.369999,52.540001,3959300,48.074837
"2020-09-17",52.080002,52.68,51.59,52.630001,2977800,48.157192
"2020-09-18",52.389999,52.93,51.189999,51.419998,4879800,47.050018
"2020-09-21",50.740002,50.849998,49.150002,49.700001,3093600,45.476212
"2020-09-22",49.59,50.779999,49.439999,50.419998,3085800,46.135006
"2020-09-23",50.470001,50.610001,48.470001,49.299999,2637400,45.110195
"2020-09-24",49.400002,51.09,48.939999,50.84,3134900,46.519318
"2020-09-25",50.310001,51.73,50.200001,51.650002,2489000,47.260483
"2020-09-28",52.009998,52.639999,51.470001,51.889999,2674800,47.48008
"2020-09-29",51.419998,51.700001,50.93,51.02,1335100,47.265152
"2020-09-30",51.439999,51.630001,50.52,50.84,2426000,47.098404
"2020-10-01",50.799999,51.139999,50.259998,50.439999,2263000,46.72784
"2020-10-02",50.139999,51.549999,50,51.5,2784300,47.709827
"2020-10-05",51.759998,52.860001,51.59,52.610001,2888800,48.73814
"2020-10-06",52.700001,55.119999,52.310001,53.860001,2597000,49.896145
"2020-10-07",54.110001,55.169998,54.07,54.939999,1899400,50.896664
"2020-10-08",54.98,56.130001,54.950001,56.099998,2571700,51.971294
"2020-10-09",56.599998,56.73,55.779999,56.09,1666400,51.962029
"2020-10-12",56.16,56.59,55.66,56.27,1426200,52.128784
"2020-10-13",55.700001,56.43,55.529999,56.279999,1372400,52.138042
"2020-10-14",56.34,56.84,55.650002,56.240002,1093700,52.100986
"2020-10-15",55.610001,57.450001,55.529999,56.810001,1283500,52.629044
"2020-10-16",56.82,58.549999,56.619999,58.110001,2308500,53.833363
"2020-10-19",57.959999,58.349998,57.450001,58.259998,1503700,53.972321
"2020-10-20",58.860001,59.990002,58.509998,59.75,2137800,55.352669
"2020-10-21",59.5,59.790001,58.939999,59.049999,2203200,54.704185
"2020-10-22",59.029999,60.080002,58.59,59.889999,1473200,55.482365
"2020-10-23",60.419998,60.860001,60.029999,60.490002,1849400,56.038208
"2020-10-26",59.98,60.110001,56.18,58.189999,3642000,53.907478
"2020-10-27",57.990002,58.549999,57.32,57.810001,2066100,53.555443
"2020-10-28",58,59.09,56.540001,56.560001,2402900,52.397434
"2020-10-29",56.119999,56.779999,55.060001,56.07,2426300,51.943501
"2020-10-30",55.849998,56.549999,54.830002,56.040001,1654700,51.915707
"2020-11-02",56.400002,57.59,56,57.549999,1271200,53.314579
"2020-11-03",58.139999,59.25,58.09,58.41,1440500,54.11129
"2020-11-04",57.93,59.419998,57.389999,57.43,1399200,53.203403
"2020-11-05",58.110001,59.709999,57.990002,59.380001,1610400,55.009899
"2020-11-06",59.209999,59.700001,58.009998,58.32,1476100,54.027908
"2020-11-09",61.93,63.23,58.919998,60.759998,2624900,56.288338
"2020-11-10",61.139999,63.23,60.860001,62.720001,3126700,58.104092
"2020-11-11",63.119999,63.709999,62.740002,62.900002,1304300,58.270844
