"","HSY.Open","HSY.High","HSY.Low","HSY.Close","HSY.Volume","HSY.Adjusted"
"2020-11-19",149.080002,149.910004,147.639999,149.399994,659400,145.147125
"2020-11-20",149.089996,149.360001,147.029999,147.779999,600600,143.573227
"2020-11-23",147.479996,148.350006,146.309998,146.830002,657000,142.650284
"2020-11-24",147.600006,148.869995,147.119995,148.210007,2261500,143.990997
"2020-11-25",148.419998,149.330002,147.809998,148.149994,1565300,143.932709
"2020-11-27",148.440002,148.449997,146.399994,148.050003,1252900,143.835541
"2020-11-30",147.399994,148.029999,146.229996,147.889999,1507400,143.680099
"2020-12-01",149,150.130005,148.089996,150.039993,1325500,145.76889
"2020-12-02",150.039993,151.789993,148.449997,149.25,1094700,145.001373
"2020-12-03",149,150.190002,148.880005,149.830002,719400,145.564865
"2020-12-04",150,151.100006,149.880005,150.869995,1002500,146.575287
"2020-12-07",151.800003,152.710007,148.679993,149.720001,879900,145.458008
"2020-12-08",149.100006,151.699997,148.839996,150.630005,814300,146.342102
"2020-12-09",150.449997,152.699997,149.100006,152.139999,1179100,147.809128
"2020-12-10",152.330002,152.809998,149.679993,149.699997,899800,145.438583
"2020-12-11",148.990005,150.199997,148.979996,149.110001,613700,144.865356
"2020-12-14",149.570007,151.580002,149.039993,149.139999,579600,144.894516
"2020-12-15",149.509995,150.820007,149.220001,150.229996,689100,145.953491
"2020-12-16",150.160004,151.669998,149.470001,150.279999,743500,146.002075
"2020-12-17",151.100006,152.789993,150.350006,151.610001,797100,147.294189
"2020-12-18",151.889999,152.350006,150.130005,150.880005,1717300,146.584991
"2020-12-21",149.009995,150.440002,146.850006,149.660004,846100,145.399704
"2020-12-22",149.410004,149.660004,148.199997,148.619995,560000,144.389297
"2020-12-23",149.479996,150.289993,149.169998,149.449997,580100,145.195679
"2020-12-24",149.300003,150.179993,148.839996,149.949997,188200,145.681442
"2020-12-28",151.160004,151.889999,150.429993,151.800003,432900,147.478806
"2020-12-29",152.490005,152.970001,151.229996,151.440002,518700,147.129059
"2020-12-30",151.509995,152,150.369995,150.529999,387600,146.244934
"2020-12-31",150.389999,152.539993,149.509995,152.330002,479300,147.993713
"2021-01-04",153.009995,153.419998,149.589996,150.899994,861600,146.604416
"2021-01-05",150.979996,151.539993,149.509995,150.729996,678500,146.43924
"2021-01-06",151.809998,153.929993,150.910004,151.259995,835800,146.954147
"2021-01-07",151.240005,152.320007,150.240005,151.169998,6e+05,146.866714
"2021-01-08",151.460007,152.339996,150.850006,152.029999,552600,147.70224
"2021-01-11",151.850006,152.429993,149.830002,150.110001,613700,145.836899
"2021-01-12",149.630005,150.75,148.279999,149.380005,621700,145.127686
"2021-01-13",149.350006,151.779999,148.949997,149.919998,709700,145.652283
"2021-01-14",150.309998,150.630005,147.339996,147.419998,836700,143.22348
"2021-01-15",147.089996,149.490005,146.880005,148.460007,1193700,144.233871
"2021-01-19",149.050003,150.350006,148.179993,148.75,790300,144.51561
"2021-01-20",148.800003,149.75,147.600006,149.630005,872800,145.370575
"2021-01-21",150,150,148.25,148.979996,826500,144.739044
"2021-01-22",148.850006,149.580002,147.729996,148.199997,643200,143.981293
"2021-01-25",147.850006,150.070007,146.960007,147.529999,1114400,143.330353
"2021-01-26",147.570007,149.899994,145.639999,149.520004,1167100,145.263702
"2021-01-27",148.990005,149.509995,145.610001,146.190002,1251800,142.028488
"2021-01-28",146.410004,149.259995,146.100006,148.210007,1220800,143.990997
"2021-01-29",147.350006,149.710007,145.320007,145.440002,1366600,141.29985
"2021-02-01",145.649994,146.369995,144.619995,145.110001,848100,140.979218
"2021-02-02",145.75,148.479996,145.190002,147.119995,1001900,142.931992
"2021-02-03",147.100006,147.779999,145.570007,146.580002,889800,142.407379
"2021-02-04",147.860001,150,145.309998,147.220001,1273000,143.02916
"2021-02-05",147.899994,149.399994,146.589996,146.600006,825500,142.426834
"2021-02-08",151.25,151.369995,147.330002,149.330002,2026200,145.079102
"2021-02-09",149.210007,151.259995,149.149994,149.619995,1090000,145.360855
"2021-02-10",150.320007,150.649994,149.220001,150,883400,145.730026
"2021-02-11",149.580002,150.779999,149.449997,150.419998,871400,146.138077
"2021-02-12",149.850006,151.759995,149.690002,151.380005,785700,147.07074
"2021-02-16",151.220001,152.320007,150.149994,151.380005,1197600,147.07074
"2021-02-17",150.929993,152.460007,150.850006,151.289993,864800,146.983307
"2021-02-18",149.809998,153.860001,149.809998,152.990005,1385900,149.429047
"2021-02-19",153.119995,153.570007,148.75,148.850006,1166000,145.385391
"2021-02-22",149.100006,149.100006,146.5,148.25,862100,144.799347
"2021-02-23",149.050003,150.460007,147.100006,147.979996,1477900,144.535629
"2021-02-24",147.970001,148.5,147.119995,147.570007,774700,144.135193
"2021-02-25",147.440002,149.139999,147.289993,147.570007,1589800,144.135193
"2021-02-26",148.050003,148.929993,145.559998,145.649994,1053900,142.259872
"2021-03-01",146.179993,147.910004,144.720001,145.190002,1177200,141.810593
"2021-03-02",145.100006,146.479996,143.580002,145.350006,969600,141.966873
"2021-03-03",145.270004,145.809998,144.25,144.369995,1101000,141.009659
"2021-03-04",144.850006,149.100006,144.460007,146.089996,1251100,142.689621
"2021-03-05",146.690002,150.809998,146.059998,150.380005,1031700,146.879761
"2021-03-08",151.300003,154.619995,150.059998,151.789993,1112900,148.256958
"2021-03-09",151.770004,153.220001,150.5,150.559998,953000,147.055588
"2021-03-10",150.279999,153.509995,149.050003,152.649994,1121100,149.096939
"2021-03-11",151.860001,153.100006,151.529999,151.899994,959300,148.364395
"2021-03-12",152.449997,152.880005,151.210007,152.440002,756700,148.89183
"2021-03-15",153.369995,153.529999,151.279999,153.320007,773400,149.751343
"2021-03-16",153.75,154.270004,152.630005,153.490005,916400,149.917404
"2021-03-17",155.470001,155.860001,153.690002,154.559998,995800,150.962479
"2021-03-18",154.039993,156.460007,154,156.070007,673000,152.437332
"2021-03-19",156.649994,156.949997,154.649994,154.699997,1455300,151.099243
"2021-03-22",154.089996,156.619995,153.940002,156.380005,801700,152.740112
"2021-03-23",156.580002,157.240005,155.850006,156.919998,690000,153.267548
"2021-03-24",156.050003,158.25,154.919998,157.259995,977400,153.599625
"2021-03-25",157.809998,158.610001,156.179993,157.039993,937200,153.38475
"2021-03-26",157.380005,159.289993,156.550003,159.270004,676500,155.562866
"2021-03-29",158.800003,161.710007,158.649994,161.130005,818600,157.379562
"2021-03-30",160.899994,161.559998,158.429993,158.860001,1019300,155.162399
"2021-03-31",158.389999,159.699997,157.679993,158.160004,1170700,154.478699
"2021-04-01",158.190002,159.520004,156.279999,158.759995,932200,155.064728
"2021-04-05",158.970001,161.339996,158.559998,159.350006,979700,155.641006
"2021-04-06",159.600006,161.550003,159.229996,160.759995,941500,157.018173
"2021-04-07",161,161.360001,159.910004,160.570007,771800,156.832611
"2021-04-08",160.5,161.059998,159.399994,160.110001,995300,156.383301
"2021-04-09",160.630005,160.809998,158.619995,159.5,714200,155.787506
"2021-04-12",159.559998,160.289993,158.970001,159.600006,942700,155.885193
"2021-04-13",158.550003,159.649994,158.179993,158.820007,1136700,155.123322
"2021-04-14",158.860001,159.039993,156.869995,158.190002,889300,154.507996
"2021-04-15",161,161.350006,159.580002,160.899994,1079600,157.154892
"2021-04-16",161.309998,161.529999,160.119995,160.990005,1260700,157.242828
"2021-04-19",161.009995,161.610001,159.520004,160.979996,772000,157.233047
"2021-04-20",160.649994,163.190002,160.279999,162.190002,836500,158.414886
"2021-04-21",162.789993,163.990005,162.789993,162.940002,929800,159.147446
"2021-04-22",162.990005,163.410004,161.570007,162.240005,825900,158.463745
"2021-04-23",162.210007,162.589996,161.149994,161.429993,682500,157.672592
"2021-04-26",161.639999,161.639999,158.809998,159.029999,762000,155.32843
"2021-04-27",159.089996,159.449997,157.940002,158.710007,1063100,155.015884
"2021-04-28",159.259995,160.949997,158.5,158.860001,1320900,155.162399
"2021-04-29",160.020004,165.5,159.509995,164.220001,1609000,160.397644
"2021-04-30",163.919998,164.990005,163.160004,164.300003,1191000,160.475784
"2021-05-03",164.699997,167.800003,164.270004,166.740005,1125400,162.858994
"2021-05-04",166.889999,167.929993,165.759995,166.910004,1261000,163.025024
"2021-05-05",166.720001,168.919998,166.570007,168.360001,960300,164.441269
"2021-05-06",169.279999,170.789993,167.919998,168.630005,951100,164.705002
"2021-05-07",168.630005,169.130005,167.399994,168.490005,780900,164.568268
"2021-05-10",168.860001,171.139999,168.779999,170.309998,1385200,166.345886
"2021-05-11",171.830002,172.160004,168.410004,168.919998,986700,164.988235
"2021-05-12",169.050003,169.520004,167.440002,167.600006,1071400,163.698975
"2021-05-13",167.259995,172.539993,167.100006,171.600006,1462700,167.60585
"2021-05-14",172.050003,173.639999,171.110001,171.110001,840300,167.127274
"2021-05-17",171.229996,173.830002,170.710007,172.490005,1123000,168.475143
"2021-05-18",172.320007,174.229996,172.320007,172.789993,1372400,168.768158
"2021-05-19",172.179993,173.080002,171.119995,172.279999,998800,168.27002
"2021-05-20",171.610001,174.160004,171.470001,173.089996,1006600,169.853867
"2021-05-21",173.580002,174.740005,173.259995,173.759995,904500,170.511322
"2021-05-24",174.009995,175.089996,173.75,174.100006,725500,170.844986
"2021-05-25",174.080002,174.75,172.279999,174.720001,766600,171.453369
"2021-05-26",174.380005,175.229996,173.779999,174.300003,814800,171.041245
"2021-05-27",174.300003,174.910004,173.009995,173.449997,1026000,170.207123
"2021-05-28",173.520004,174.220001,173.020004,173.050003,871100,169.814621
"2021-06-01",173.660004,174.600006,171.869995,172.649994,752200,169.422073
"2021-06-02",173.270004,174.220001,172.729996,173.539993,767800,170.295441
"2021-06-03",173.259995,174.630005,172.660004,174.539993,758100,171.276733
"2021-06-04",174.860001,175.550003,174.220001,174.899994,599100,171.63002
"2021-06-07",175.399994,175.399994,172.809998,173.990005,648600,170.73703
"2021-06-08",174.289993,174.289993,173.080002,173.580002,552600,170.334686
"2021-06-09",173.110001,173.589996,172.539993,172.860001,553900,169.628143
"2021-06-10",172.789993,174.660004,172.789993,174.380005,580100,171.119736
"2021-06-11",175.080002,175.080002,173.399994,174.800003,443500,171.531891
"2021-06-14",174.410004,174.669998,172.949997,174.669998,618500,171.404327
"2021-06-15",174.809998,175.070007,173.860001,174.850006,434400,171.580963
"2021-06-16",175.139999,175.270004,172.539993,172.669998,667200,169.441696
"2021-06-17",172.669998,173.759995,171.539993,173.509995,502500,170.266006
"2021-06-18",172.529999,172.529999,170.369995,170.490005,1333200,167.302475
"2021-06-21",171.440002,172.330002,171.179993,172.240005,856900,169.019745
"2021-06-22",172.839996,173.559998,172.089996,172.270004,615100,169.049194
"2021-06-23",171.630005,171.770004,170.330002,170.369995,803600,167.184708
"2021-06-24",170.100006,173.619995,169.490005,172.389999,1959600,169.166946
"2021-06-25",172.550003,175.330002,171.970001,175.119995,1778500,171.845901
"2021-06-28",175.149994,175.860001,173.860001,174.539993,762200,171.276733
"2021-06-29",174.179993,174.880005,171.520004,172,998800,168.784241
"2021-06-30",172,174.399994,171.899994,174.179993,1235400,170.923462
"2021-07-01",174.210007,175.460007,173.440002,173.699997,875400,170.452454
"2021-07-02",174.330002,174.910004,173.649994,174,661100,170.746841
"2021-07-06",174.110001,175.419998,173,175.100006,879200,171.826294
"2021-07-07",175.080002,178.360001,174.940002,176.570007,1338800,173.268814
"2021-07-08",175.910004,177.5,174.990005,175.789993,976400,172.503372
"2021-07-09",176.550003,177.210007,176.100006,176.75,779400,173.445435
"2021-07-12",176.399994,176.869995,175.330002,176.820007,794100,173.51413
"2021-07-13",176.399994,177.089996,175.279999,175.929993,755600,172.640762
"2021-07-14",176.029999,178.009995,175.5,177.570007,669800,174.250107
"2021-07-15",177.199997,179.649994,177.199997,179.490005,565500,176.134186
"2021-07-16",179.830002,180.580002,179.220001,179.990005,852600,176.624847
"2021-07-19",179.619995,181.259995,178.059998,179.429993,1037800,176.075317
"2021-07-20",180.279999,182.240005,179.809998,180.279999,824400,176.909424
"2021-07-21",180.699997,180.770004,177.910004,178.020004,569200,174.691681
"2021-07-22",177.479996,178.199997,176.639999,176.910004,555200,173.602432
"2021-07-23",177.110001,179.410004,176.789993,179.259995,563100,175.908493
"2021-07-26",179.020004,179.410004,177.850006,178,719200,174.672073
"2021-07-27",177.789993,179.759995,177.619995,179.240005,901600,175.88887
"2021-07-28",178.630005,179.070007,175.399994,176.5,1075800,173.200104
"2021-07-29",175.25,179.289993,174.199997,178.520004,1138900,175.182327
"2021-07-30",178.649994,179.779999,178.160004,178.880005,788400,175.535599
"2021-08-02",179.550003,179.550003,177.710007,178.410004,701500,175.074387
"2021-08-03",178.449997,180.179993,178.149994,179.850006,546500,176.487473
"2021-08-04",180,180.080002,178.039993,178.160004,626500,174.829071
"2021-08-05",179,179.830002,178.419998,178.75,648400,175.408035
"2021-08-06",179.199997,179.779999,178.139999,178.589996,444800,175.251022
"2021-08-09",178.589996,179.270004,178.139999,178.470001,422200,175.133286
"2021-08-10",178.789993,179.369995,178.179993,178.960007,557600,175.61412
"2021-08-11",179.169998,179.880005,178.399994,178.669998,518700,175.329514
"2021-08-12",179.220001,179.240005,177.410004,177.639999,667800,174.318787
"2021-08-13",178.149994,179.729996,178.119995,179.399994,624300,176.045898
"2021-08-16",179.649994,181.229996,179.649994,181.160004,471800,177.77298
"2021-08-17",181.429993,182.710007,180.850006,182.130005,691800,178.724854
"2021-08-18",181.729996,181.929993,179.350006,179.509995,706700,176.153839
"2021-08-19",177.660004,181.149994,177.600006,180.25,531400,177.772278
"2021-08-20",180.25,181.080002,179.130005,180.029999,631300,177.555298
"2021-08-23",180,180.410004,178.690002,178.75,755300,176.292892
"2021-08-24",178.729996,178.830002,176.100006,176.139999,1053800,173.718781
"2021-08-25",175.789993,176.229996,175.050003,175.600006,549800,173.186203
"2021-08-26",175.139999,175.830002,174.470001,175.110001,518600,172.702927
"2021-08-27",175.669998,176.289993,174.660004,175.630005,570300,173.21579
"2021-08-30",175.270004,177.490005,175.270004,176.529999,597000,174.103409
"2021-08-31",176.389999,178,176.199997,177.699997,1127900,175.257324
"2021-09-01",178.25,178.550003,176.770004,178.220001,526100,175.770172
"2021-09-02",178.300003,179.169998,177.429993,178.220001,545900,175.770172
"2021-09-03",178.169998,178.350006,176.809998,177.990005,462900,175.543335
"2021-09-07",177.929993,177.929993,173.630005,173.729996,687300,171.341904
"2021-09-08",173.720001,176.75,173.289993,176.630005,744600,174.202042
"2021-09-09",176.580002,176.679993,175,175.399994,623500,172.988922
"2021-09-10",175.320007,175.850006,174.289993,175.059998,570600,172.65361
"2021-09-13",175.570007,177.270004,175.360001,175.479996,475800,173.067841
"2021-09-14",175.470001,175.949997,174.100006,174.550003,648100,172.150635
"2021-09-15",174.289993,176.279999,174.220001,175.080002,516300,172.67334
"2021-09-16",175.139999,176.289993,173.789993,175.559998,498700,173.146744
"2021-09-17",175.039993,176.210007,174.669998,175.070007,1278400,172.663483
"2021-09-20",174.320007,175.229996,171.889999,173.429993,629000,171.046005
"2021-09-21",173.949997,174.770004,171.619995,171.779999,662100,169.418701
"2021-09-22",172.800003,173.220001,170.690002,172.389999,768700,170.020309
"2021-09-23",172.789993,174.669998,172.360001,173.070007,741200,170.690979
"2021-09-24",173.580002,175.130005,173.089996,174.039993,817200,171.647614
"2021-09-27",173.75,175.050003,170.630005,170.899994,694900,168.550797
"2021-09-28",170.5,170.910004,167.800003,168.679993,830500,166.361313
"2021-09-29",169.199997,172.759995,169.169998,171.899994,748700,169.537048
"2021-09-30",172.649994,172.830002,169.240005,169.25,795200,166.923477
"2021-10-01",170.009995,171.679993,168.720001,170.779999,814500,168.432449
"2021-10-04",171.179993,172.929993,169.729996,171.559998,1120900,169.201721
"2021-10-05",172.679993,175.820007,171.649994,174.470001,1099000,172.071716
"2021-10-06",174.229996,178.929993,173.550003,178.550003,1345000,176.095642
"2021-10-07",179.119995,181.029999,177.440002,178.050003,1367100,175.602524
"2021-10-08",178.149994,178.800003,177.029999,177.75,639200,175.306641
"2021-10-11",177.679993,178.960007,177.220001,178.210007,849500,175.760315
"2021-10-12",178.529999,180.639999,177.740005,179.5,1523000,177.032578
"2021-10-13",179.929993,180.610001,177.279999,180.149994,858200,177.673645
"2021-10-14",181,182.229996,179.860001,182.210007,844000,179.705353
"2021-10-15",182.169998,182.25,179.050003,179.610001,2607600,177.141068
"2021-10-18",179.649994,179.960007,178.419998,178.729996,743300,176.273178
"2021-10-19",178.820007,180.240005,178.369995,179.699997,657800,177.229828
"2021-10-20",179.899994,181.020004,179.729996,180.190002,610500,177.713089
"2021-10-21",181.839996,181.839996,179.639999,180.300003,543100,177.821594
"2021-10-22",180.320007,182.690002,180.100006,182.100006,481900,179.596863
"2021-10-25",182.039993,182.070007,180.110001,180.229996,597300,177.752548
"2021-10-26",180.880005,182.320007,180.220001,181.710007,692400,179.212219
"2021-10-27",182.419998,182.600006,178.610001,179.509995,1025000,177.04245
"2021-10-28",178.800003,181.919998,178,179.399994,1900900,176.93396
"2021-10-29",176.220001,178.25,174.389999,175.350006,1043800,172.939651
