"","SBAC.Open","SBAC.High","SBAC.Low","SBAC.Close","SBAC.Volume","SBAC.Adjusted"
"2021-10-26",349.279999,355.369995,349.089996,354.130005,379700,351.996399
"2021-10-27",355.950012,357.299988,346.869995,349.350006,656300,347.245178
"2021-10-28",347.709991,353.390015,347.429993,353.019989,393400,350.893036
"2021-10-29",351.109985,354.73999,342.820007,345.329987,705900,343.24939
"2021-11-01",345.329987,350.619995,343.149994,347.399994,631700,345.306915
"2021-11-02",347.01001,361.200012,344.160004,358.339996,722800,356.181
"2021-11-03",360.75,361.820007,347.899994,352,449500,349.879211
"2021-11-04",352.26001,354.980011,345.049988,346.470001,517300,344.382507
"2021-11-05",348.339996,350.660004,343.540009,344.209991,432700,342.136108
"2021-11-08",345.26001,348.570007,338.48999,347.98999,426500,345.893341
"2021-11-09",349.029999,350.26001,342.709991,349.459991,399600,347.354462
"2021-11-10",347.48999,350.859985,342.279999,342.519989,403100,340.456299
"2021-11-11",343.100006,343.670013,335.709991,342.929993,343000,340.863861
"2021-11-12",345.640015,347.089996,342.190002,343.769989,472500,341.698792
"2021-11-15",343.309998,348.540009,341.959991,348.070007,434400,345.97287
"2021-11-16",350,352.630005,346.609985,347.380005,452400,345.287048
"2021-11-17",347.339996,351.820007,344.570007,350.290009,430600,348.761841
"2021-11-18",351.600006,351.600006,343.339996,345.23999,402100,343.733826
"2021-11-19",347.799988,350.26001,344.350006,344.98999,417000,343.484924
"2021-11-22",342.390015,348.440002,340.839996,343.820007,660500,342.320038
"2021-11-23",343.820007,349.549988,343.369995,348.950012,488900,347.427673
"2021-11-24",349.76001,355.529999,346.890015,354.459991,428300,352.913605
"2021-11-26",350.690002,359.809998,350.309998,351.049988,247200,349.518463
"2021-11-29",351.549988,359.109985,349.320007,355.570007,540400,354.018799
"2021-11-30",352.76001,356.920013,340.769989,343.799988,1397000,342.30011
"2021-12-01",345.690002,353.470001,339.070007,339.299988,581100,337.819763
"2021-12-02",339.570007,349.209991,339.369995,348.040009,694800,346.521637
"2021-12-03",348.48999,354.140015,345.23999,348.690002,740200,347.168793
"2021-12-06",349.149994,356.799988,346.790009,348.160004,867300,346.641113
"2021-12-07",351.75,360.380005,349.829987,360.070007,487200,358.499146
"2021-12-08",360.320007,361.399994,354.220001,358.98999,318100,357.423859
"2021-12-09",358.600006,358.600006,350.470001,353,394200,351.459991
"2021-12-10",354.170013,359.269989,350.470001,358.929993,429100,357.364105
"2021-12-13",358.350006,367.839996,354.630005,365.019989,569100,363.427551
"2021-12-14",365.019989,365.230011,355.170013,363.5,725000,361.914185
"2021-12-15",360.540009,370.920013,360.540009,370.179993,665600,368.565033
"2021-12-16",370.920013,373.619995,369.029999,370.5,594200,368.883636
"2021-12-17",374.970001,381.119995,371.75,375.880005,1383600,374.240173
"2021-12-20",373.790009,377.190002,369.720001,374.359985,644300,372.726776
"2021-12-21",377.059998,377.089996,369.309998,372.73999,620500,371.113861
"2021-12-22",374.269989,378.640015,372.899994,377.589996,421600,375.942719
"2021-12-23",377.329987,379.480011,371.549988,374.279999,399900,372.647156
"2021-12-27",375.170013,383.660004,373.899994,383.359985,464500,381.687531
"2021-12-28",384.299988,386.519989,383.269989,384.730011,330900,383.051544
"2021-12-29",387.230011,387.230011,383.5,384.950012,365400,383.27063
"2021-12-30",386.200012,389.190002,384.649994,388.559998,260700,386.864838
"2021-12-31",388.589996,391.149994,387.019989,389.019989,313800,387.322815
"2022-01-03",388.079987,389.019989,371.910004,379.869995,492100,378.212738
"2022-01-04",379.869995,381.230011,368.540009,369.459991,628200,367.848175
"2022-01-05",368.410004,368.420013,349.440002,350.769989,1224600,349.239685
"2022-01-06",348.359985,352.040009,343.549988,349.170013,813400,347.646729
"2022-01-07",348.089996,351.890015,342.100006,347.910004,851700,346.392181
"2022-01-10",339.640015,344.679993,336.940002,342.579987,808100,341.085449
"2022-01-11",342.160004,342.299988,336.829987,341.690002,1044400,340.19931
