"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"2020-10-29",35.790001,37.73,35.439999,37.529999,5068700,34.22823
"2020-10-30",37.209999,38.650002,36.91,38.610001,6549500,35.213211
"2020-11-02",39.349998,40.299999,38.450001,39.900002,4660100,36.389725
"2020-11-03",40.580002,40.689999,38.959999,39.48,4003300,36.006676
"2020-11-04",39.5,40.110001,37.880001,38.970001,4643600,35.541542
"2020-11-05",39.07,40.27,38.900002,39.529999,4695000,36.052273
"2020-11-06",39.450001,39.900002,37.98,38.169998,4378700,34.811916
"2020-11-09",44.91,50.91,44.900002,50.080002,19211600,45.674122
"2020-11-10",51,51.060001,48,49.959999,8816600,45.564674
"2020-11-11",50.209999,50.830002,49.07,49.790001,6325300,45.40963
"2020-11-12",48.73,49.990002,46.959999,47.279999,5754500,43.120453
"2020-11-13",47.860001,51.389999,47.799999,50.919998,5714300,46.440216
"2020-11-16",56,56,52.459999,55.669998,9029300,50.772331
"2020-11-17",52.919998,54.290001,51.98,54.150002,5972200,50.271015
"2020-11-18",54.57,54.700001,51.240002,51.25,5562700,47.578751
"2020-11-19",49.849998,51.450001,49.400002,51.209999,4768400,47.541618
"2020-11-20",51.16,51.860001,50.369999,50.82,3000800,47.179558
"2020-11-23",51.799999,56.169998,51.599998,56.09,7368900,52.072041
"2020-11-24",58.130001,59.919998,56.790001,58.490002,8712000,54.300121
"2020-11-25",57.419998,57.790001,56.360001,56.43,4372400,52.387684
"2020-11-27",55.93,57.200001,55.799999,56.619999,1755000,52.564075
"2020-11-30",55.700001,56.389999,53.709999,53.77,5482200,49.918232
"2020-12-01",54.900002,55.810001,54.27,54.400002,4155600,50.503105
"2020-12-02",53.689999,58.16,53.549999,58.07,5276000,53.910206
"2020-12-03",58.209999,59.16,57.07,57.91,4011100,53.761665
"2020-12-04",59.169998,61.669998,59.060001,61.27,5207100,56.880978
"2020-12-07",60.66,60.869999,59.07,59.459999,4660000,55.200634
"2020-12-08",58.5,60.09,58.349998,58.98,4539900,54.75502
"2020-12-09",60,61.32,57.720001,58.799999,4383200,54.587914
"2020-12-10",58.220001,61.470001,58.209999,59.869999,3878200,55.581268
"2020-12-11",60.580002,60.580002,58.279999,59.029999,3768700,54.801434
"2020-12-14",59.919998,60.049999,56.240002,56.389999,4008400,52.350552
"2020-12-15",57.169998,58.330002,56.169998,57.48,3524100,53.362469
"2020-12-16",57.029999,57.869999,56.299999,56.919998,5016200,52.842587
"2020-12-17",57.369999,57.450001,55.799999,56.34,4719500,52.304131
"2020-12-18",56.009998,56.32,54.34,54.77,10658500,50.846596
"2020-12-21",52.450001,55.049999,51.900002,54.049999,5343900,50.178181
"2020-12-22",53.639999,54.740002,53.549999,53.700001,4594200,49.853252
"2020-12-23",54.25,55.970001,54.099998,55.790001,3282800,51.79353
"2020-12-24",55.540001,55.75,54.560001,55.68,1352000,51.691414
"2020-12-28",56.23,56.93,54.880001,55.09,2450600,51.143677
"2020-12-29",55.41,55.880001,54.529999,55.450001,2470800,51.477886
"2020-12-30",55.610001,56.849998,55.400002,56.720001,2732100,52.656914
"2020-12-31",56.580002,57.139999,55.959999,56.57,2537700,52.517662
"2021-01-04",57.029999,57.68,54.779999,55.73,3028300,51.737831
"2021-01-05",56.150002,58.93,56.080002,57.32,3946300,53.213928
"2021-01-06",58.66,59.450001,57.25,58.599998,5597300,54.402237
"2021-01-07",59.07,60.009998,58.290001,59.669998,3040400,55.395592
"2021-01-08",60.189999,60.189999,57.290001,57.709999,3913500,53.575993
"2021-01-11",56.310001,59.189999,55.689999,58.639999,2885300,54.439373
"2021-01-12",59.220001,59.799999,58.52,59.509998,3634800,55.247051
"2021-01-13",59.349998,59.419998,57.439999,57.700001,4434000,53.566711
"2021-01-14",58.099998,61.009998,58.060001,60.27,4459500,55.95261
"2021-01-15",59.57,59.639999,57.200001,58.299999,3710600,54.12373
"2021-01-19",59,60.950001,58.73,60.540001,3941400,56.203274
"2021-01-20",60.509998,61.990002,59.509998,60.57,3222800,56.231117
"2021-01-21",59.759998,60.490002,58.509998,58.860001,3083000,54.643616
"2021-01-22",57.610001,59.639999,57.200001,59.450001,3000100,55.191357
"2021-01-25",58.740002,59.68,57.860001,59.41,3093800,55.154217
"2021-01-26",59.990002,60.610001,58.150002,58.150002,3150300,53.984478
"2021-01-27",57.5,60.560001,56.869999,58.73,4744800,54.522926
"2021-01-28",59.549999,60.540001,57.150002,58.330002,4363000,54.151581
"2021-01-29",58,59.950001,55.939999,56.43,5512600,52.387684
"2021-02-01",56.939999,57.5,54.84,56.240002,4159400,52.211304
"2021-02-02",57.630001,59.09,56.5,57.77,3919200,53.631695
"2021-02-03",58,61.119999,58,60.099998,5257300,55.794785
"2021-02-04",60.880001,61.919998,60.130001,61.060001,3643600,56.686024
"2021-02-05",62.02,62.57,61.27,61.720001,3127500,57.298744
"2021-02-08",62.419998,65.540001,62.34,64.790001,4217700,60.148823
"2021-02-09",64.790001,65.199997,63.389999,64.589996,3864900,59.96315
"2021-02-10",63.779999,65.400002,63.389999,65.110001,3574100,61.377155
"2021-02-11",64.669998,64.989998,62.880001,64.550003,2505400,60.849255
