"","ZTS.Open","ZTS.High","ZTS.Low","ZTS.Close","ZTS.Volume","ZTS.Adjusted"
"2020-12-28",161.440002,162.830002,160.309998,162.389999,1522400,160.66449
"2020-12-29",163.210007,165.100006,162.399994,163.119995,1188400,161.386719
"2020-12-30",163.509995,164.800003,163.160004,164.270004,1009000,162.524506
"2020-12-31",164.5,165.679993,163.229996,165.5,1292600,163.74144
"2021-01-04",166,166.240005,160.720001,163.589996,1805900,161.851761
"2021-01-05",163.149994,165.289993,162.5,164.729996,1358600,162.97963
"2021-01-06",162.919998,167.910004,162.669998,167.149994,2139800,165.373886
"2021-01-07",167.449997,168.800003,166.699997,167,1710700,165.225525
"2021-01-08",167.399994,169.880005,166.690002,168.110001,1475900,166.3237
"2021-01-11",167.899994,170.490005,167.580002,169.389999,1117000,167.590118
"2021-01-12",169.020004,169.75,164.259995,166.119995,1304200,164.354828
"2021-01-13",165.100006,166.050003,161.639999,161.949997,2603100,160.229156
"2021-01-14",162.559998,163.380005,160.899994,160.960007,2213900,159.249695
"2021-01-15",161.429993,162.100006,159.619995,161.559998,2516500,159.843307
"2021-01-19",162.369995,163.949997,161.25,162.570007,1464200,161.091873
"2021-01-20",162.559998,164.199997,161.830002,163.360001,1618000,161.874664
"2021-01-21",162.470001,165.75,162.470001,164.460007,2440200,162.964676
"2021-01-22",164.649994,165.199997,162.639999,163.330002,1079100,161.84494
"2021-01-25",162.559998,163.190002,160.429993,161.339996,1443800,159.873047
"2021-01-26",161.350006,161.639999,158.559998,159.710007,1982000,158.257858
"2021-01-27",157.990005,158.279999,152.550003,153.149994,2235600,151.757492
"2021-01-28",154.300003,160.649994,154.25,156.529999,1859300,155.106766
"2021-01-29",155.649994,156.570007,152.300003,154.25,1977200,152.847488
"2021-02-01",156.199997,157.039993,154.25,155.580002,1885700,154.165421
"2021-02-02",157.550003,159.690002,157.270004,157.389999,1583000,155.958954
"2021-02-03",157.320007,158.289993,155.089996,155.229996,1726000,153.818588
"2021-02-04",155.350006,157.259995,154.580002,157.130005,1888000,155.701324
"2021-02-05",157.889999,160.259995,157.600006,159.279999,1377800,157.831772
"2021-02-08",160.399994,161.889999,158.5,160.020004,1625100,158.565048
"2021-02-09",159.809998,161.789993,159.009995,159.830002,1852700,158.376755
"2021-02-10",161.25,162.729996,160.169998,160.619995,1746000,159.159576
"2021-02-11",161.149994,164.729996,160.399994,164.440002,1860300,162.944855
"2021-02-12",163.610001,167.75,163.610001,166.710007,2188700,165.194214
"2021-02-16",167.979996,169.889999,163.630005,166.320007,2609700,164.807755
"2021-02-17",165.820007,169.850006,165,168.899994,1561800,167.364288
"2021-02-18",167.710007,170.070007,165.720001,167.949997,1954100,166.422943
"2021-02-19",167.880005,168.029999,159.410004,160,3793100,158.545227
"2021-02-22",159,161.009995,158.259995,160.160004,2908200,158.703766
"2021-02-23",160.369995,161.800003,159.240005,159.520004,1811000,158.069595
"2021-02-24",161.190002,161.610001,158.839996,159.050003,2495900,157.603851
"2021-02-25",158.5,159.449997,155.75,156.479996,2059900,155.057236
"2021-02-26",157.139999,157.460007,154.949997,155.240005,2561500,153.828506
"2021-03-01",156.110001,159.949997,155.929993,157.690002,1680100,156.256241
"2021-03-02",158.389999,159.550003,155.529999,157.050003,2039500,155.622025
"2021-03-03",155.350006,155.809998,149.190002,149.320007,3392700,147.962341
"2021-03-04",148.610001,149,142.220001,144,6115200,142.690689
"2021-03-05",145.25,146.039993,141.410004,145.679993,3520700,144.355408
"2021-03-08",148.009995,149.600006,145.020004,145.149994,2303100,143.830246
"2021-03-09",147.5,153.490005,147.350006,150.139999,3121500,148.774872
"2021-03-10",150.449997,152.699997,148.570007,151.089996,2119200,149.716248
"2021-03-11",152.660004,153.550003,152.190002,152.360001,1456800,150.974686
"2021-03-12",152.199997,152.850006,150.679993,152.570007,1727200,151.182785
"2021-03-15",152.770004,155.5,152.5,154.839996,1917700,153.432144
"2021-03-16",155.149994,156.360001,154.399994,155.029999,1627600,153.620422
"2021-03-17",154.179993,160.380005,153.600006,156.169998,2482500,154.750061
"2021-03-18",155.300003,155.960007,151.759995,152.419998,2462200,151.034134
"2021-03-19",152.600006,154.899994,151.979996,153.119995,4034400,151.727768
"2021-03-22",153.039993,155.910004,152.600006,155.630005,1604100,154.214951
"2021-03-23",155.679993,157.25,153.990005,156.039993,1962800,154.621216
"2021-03-24",155.330002,157.25,155.279999,155.429993,1739700,154.016769
"2021-03-25",156.089996,156.089996,151.729996,152.880005,1656600,151.489975
"2021-03-26",153.130005,156.190002,152.630005,156.149994,1877200,154.730209
"2021-03-29",155.759995,159.119995,155.509995,158.389999,2044800,156.949875
"2021-03-30",157.309998,158.270004,156.5,157.039993,1298000,155.612137
"2021-03-31",157.529999,158.630005,156.929993,157.479996,1564100,156.048126
"2021-04-01",157.710007,158.809998,156.259995,157.889999,1386400,156.454407
"2021-04-05",158.559998,159.300003,157.690002,158.410004,1212600,156.969681
"2021-04-06",158.830002,159.199997,155.410004,155.899994,1802500,154.482498
"2021-04-07",155.699997,158.179993,155.699997,157.880005,1660500,156.444504
"2021-04-08",158.899994,160.770004,158.630005,160,3440800,158.545227
"2021-04-09",160.110001,160.949997,158.460007,159.850006,1821900,158.396591
"2021-04-12",160.070007,163.149994,158.520004,162.509995,2916400,161.03241
"2021-04-13",162.199997,164,161.490005,163.470001,2452700,161.983673
"2021-04-14",164.009995,164.839996,162.630005,163.080002,1183100,161.597214
"2021-04-15",163.929993,166.399994,163.929993,165.449997,2041500,163.945663
"2021-04-16",166.270004,168.270004,166,167.630005,2290800,166.105881
"2021-04-19",167.5,168.270004,166.589996,168.100006,1842700,166.571594
"2021-04-20",167.949997,169.699997,167.550003,168.740005,1984700,167.454788
"2021-04-21",169.580002,171.160004,168.880005,170.149994,1206900,168.85405
"2021-04-22",169.710007,170.110001,167.839996,169.070007,1467700,167.782288
"2021-04-23",169,171.300003,168.529999,170.539993,1057500,169.241074
"2021-04-26",170.880005,171.179993,169.009995,169.800003,980500,168.506714
"2021-04-27",169.589996,170.789993,169.119995,169.75,1323100,168.457092
"2021-04-28",169.630005,172.169998,169.429993,171.720001,1394600,170.412094
"2021-04-29",172.089996,174.839996,171.759995,174.520004,1686200,173.190765
"2021-04-30",173.699997,174.850006,172.520004,173.029999,2151000,171.712128
"2021-05-03",174.699997,176.229996,173.350006,175.240005,1886800,173.905289
"2021-05-04",174.429993,174.820007,172.419998,173.770004,1849700,172.446487
"2021-05-05",174.199997,174.679993,172.339996,173.860001,1929400,172.535782
"2021-05-06",167.25,168.630005,165.220001,167.520004,3200100,166.24408
