"","APH.Open","APH.High","APH.Low","APH.Close","APH.Volume","APH.Adjusted"
"2020-12-17",65.945,66.495003,65.779999,66.084999,2143800,65.126732
"2020-12-18",66.089996,66.214996,64.915001,65.324997,4729400,64.377754
"2020-12-21",64.224998,64.940002,63.634998,64.68,3400600,63.742104
"2020-12-22",64.745003,64.745003,64.110001,64.434998,1716000,63.500668
"2020-12-23",64.845001,65.110001,64.334999,64.379997,1939600,63.446468
"2020-12-24",64.535004,64.690002,64.129997,64.584999,674600,63.648487
"2020-12-28",65.07,65.404999,64.709999,64.919998,1283400,63.978634
"2020-12-29",65.144997,65.150002,64.010002,64.220001,1734800,63.288792
"2020-12-30",64.644997,65.195,64.470001,64.919998,1465200,63.978634
"2020-12-31",64.93,65.489998,64.68,65.385002,1775400,64.43689
"2021-01-04",65.459999,66.014999,63.889999,64.260002,2056400,63.328209
"2021-01-05",64.419998,65.699997,64.175003,65.370003,2711800,64.422104
"2021-01-06",65.544998,67.404999,65.544998,66.995003,2220800,66.023544
"2021-01-07",67.5,68.224998,67,67.955002,1827400,66.96962
"2021-01-08",68.25,68.589996,66.959999,67.68,1935600,66.698608
"2021-01-11",66.635002,67.949997,66.349998,67.839996,1629800,66.856293
"2021-01-12",67.875,68.105003,67.230003,67.470001,1485000,66.491653
"2021-01-13",67.360001,67.529999,66.870003,67.230003,1620800,66.255142
"2021-01-14",67.5,67.629997,66.830002,66.919998,1607000,65.949631
"2021-01-15",66.580002,66.785004,65.459999,65.870003,2744000,64.914864
"2021-01-19",66.665001,66.800003,65.665001,66.175003,2153000,65.215446
"2021-01-20",66.900002,67.18,66.5,66.974998,1680600,66.003838
"2021-01-21",67.169998,67.915001,66.474998,66.550003,2080200,65.585014
"2021-01-22",66.160004,66.334999,65.785004,66.120003,3109000,65.16124
"2021-01-25",66.279999,66.565002,65.199997,66.410004,3595200,65.447037
"2021-01-26",66.714996,66.879997,64.875,65.010002,3205000,64.067322
"2021-01-27",63.389999,64,61.264999,62.785,6669200,61.874596
"2021-01-28",63.764999,63.990002,62.490002,63.424999,4498800,62.505314
"2021-01-29",63.299999,63.5,62.395,62.439999,4313400,61.534599
"2021-02-01",63,63.924999,62.055,62.814999,4831400,61.90416
"2021-02-02",63.715,64.25,63.285,63.490002,2300000,62.569374
"2021-02-03",63.494999,64,63.235001,63.240002,2573800,62.322998
"2021-02-04",63.16,64.339996,62.974998,64.184998,1562600,63.254295
"2021-02-05",64.885002,65.035004,64.345001,64.75,2114600,63.8111
"2021-02-08",65.129997,66.195,65.095001,66.150002,2045400,65.190804
"2021-02-09",65.945,66.654999,65.805,66.105003,1730400,65.146461
"2021-02-10",66.5,66.709999,65.559998,65.660004,1922000,64.707909
"2021-02-11",66.125,66.330002,65.080002,66.294998,2153200,65.333694
"2021-02-12",65.980003,68.014999,65.980003,67.949997,2825600,66.964699
"2021-02-16",68.464996,69.099998,67.699997,67.870003,2724400,66.885857
"2021-02-17",67.580002,67.690002,66.654999,66.985001,1595000,66.013695
"2021-02-18",66.224998,66.474998,65.245003,65.370003,3758800,64.422104
"2021-02-19",65.665001,66.790001,65.620003,66.214996,5083400,65.254852
"2021-02-22",65.589996,66.290001,64.955002,64.995003,2457400,64.052536
"2021-02-23",64.669998,64.669998,62.705002,63.695,5368000,62.771397
"2021-02-24",63.43,65.110001,63.419998,64.775002,3292000,63.835735
"2021-02-25",64.540001,64.620003,62.34,62.605,3004000,61.697201
"2021-02-26",63.119999,63.404999,62.264999,62.84,3762000,61.928791
"2021-03-01",63.689999,65.110001,63.665001,64.980003,2676200,64.037766
"2021-03-02",65.055,65.495003,64.43,64.514999,2721600,63.579502
"2021-03-03",64.095001,64.334999,62.825001,62.849998,3271000,61.938644
"2021-03-04",62.645,62.740002,59.619999,60.040001,4756200,59.169403
"2021-03-05",61.279999,61.889999,58.580002,61.560001,3589800,60.667362
"2021-03-08",61.59,62.560001,60.669998,61.34,3243600,60.450546
"2021-03-09",62.23,62.93,62.060001,62.200001,2440100,61.29808
"2021-03-10",62.32,63.02,62.049999,62.09,3171300,61.189671
"2021-03-11",63.110001,64.050003,62.709999,63.919998,3567600,62.993134
"2021-03-12",63.470001,64.190002,63.380001,64.089996,2157000,63.160667
"2021-03-15",64.089996,65.910004,64.089996,65.849998,2513200,64.895149
"2021-03-16",66.220001,66.720001,64.879997,65.309998,2918600,64.362976
"2021-03-17",64.93,65.550003,64.660004,65.269997,2083600,64.323555
"2021-03-18",64.82,66.040001,64.739998,65,2389200,64.057472
"2021-03-19",64.650002,65.040001,63.77,64.300003,3271300,63.367634
"2021-03-22",64.260002,65.07,63.849998,64.709999,2344500,63.915817
"2021-03-23",64.199997,64.93,62.540001,62.93,3137800,62.157665
"2021-03-24",63.209999,64.440002,63.07,63.650002,2051500,62.868828
"2021-03-25",63.23,64.629997,62.830002,64.5,2537100,63.708393
"2021-03-26",64.940002,66.599998,64.669998,66.489998,2405800,65.673973
"2021-03-29",66.339996,66.830002,65.540001,66.209999,2013600,65.397408
"2021-03-30",66.080002,66.419998,65.139999,65.589996,2587000,64.785019
"2021-03-31",65.559998,66.540001,65.389999,65.970001,2991800,65.160355
"2021-04-01",66.739998,67.169998,65.540001,67.050003,2722600,66.227097
"2021-04-05",67.879997,68.919998,67.510002,68.82,1790600,67.975365
"2021-04-06",68.480003,68.599998,67.849998,68.279999,2149300,67.442001
"2021-04-07",68.260002,68.629997,67.220001,67.290001,4129600,66.464149
"2021-04-08",67.709999,68.07,66.919998,68.059998,3017100,67.224701
"2021-04-09",68.120003,68.510002,67.529999,68.459999,2147500,67.619797
"2021-04-12",67.779999,68.589996,67.540001,67.720001,3052900,66.88887
"2021-04-13",67.75,67.959999,67.080002,67.830002,3619000,66.997536
"2021-04-14",68.019997,68.449997,67.559998,67.709999,2898800,66.878998
"2021-04-15",68.139999,68.779999,68.059998,68.519997,2101100,67.679047
"2021-04-16",68.839996,68.980003,68.330002,68.480003,6099300,67.639557
"2021-04-19",68.43,68.610001,67.139999,67.510002,2771200,66.681458
"2021-04-20",67.230003,67.620003,66.559998,66.790001,1531700,65.970291
"2021-04-21",66.790001,67.949997,66.660004,67.730003,3146400,66.898758
"2021-04-22",67.980003,68.43,67.440002,67.599998,3344500,66.77034
"2021-04-23",68,68.970001,67.760002,68.800003,3555400,67.955627
"2021-04-26",68.940002,69.620003,68.809998,68.980003,2452500,68.133415
"2021-04-27",68.940002,69.290001,67.769997,68.260002,3146100,67.422249
"2021-04-28",67.529999,68.43,66.910004,67.519997,4943300,66.69133
"2021-04-29",68.349998,69.050003,67.970001,68.639999,2901100,67.797585
"2021-04-30",67.860001,68.18,66.870003,67.339996,3716700,66.513535
"2021-05-03",68.169998,68.309998,66.110001,66.25,3386000,65.436905
"2021-05-04",65.900002,66.239998,65.080002,66.07,4635600,65.259117
"2021-05-05",66.699997,67.489998,66.25,66.900002,3270400,66.078934
"2021-05-06",66.68,67.18,65.800003,66.949997,2638400,66.128319
"2021-05-07",67.169998,68.349998,66.989998,68.110001,2106400,67.274086
"2021-05-10",68.120003,68.330002,67.059998,67.059998,2825300,66.236969
"2021-05-11",65.68,66.440002,65.190002,66.309998,2660900,65.49617
"2021-05-12",65.610001,65.849998,64.129997,64.169998,2549700,63.382439
"2021-05-13",64.589996,65.730003,64.339996,65.300003,1992500,64.498581
"2021-05-14",65.82,66.690002,65.480003,66.360001,1586600,65.54557
"2021-05-17",66.029999,66.580002,65.730003,66.5,1640800,65.683838
"2021-05-18",66.57,66.730003,65.669998,65.699997,2203500,64.893654
"2021-05-19",64.830002,66.019997,64.519997,65.940002,2315000,65.130722
"2021-05-20",66.309998,66.809998,65.989998,66.589996,1782400,65.772736
"2021-05-21",66.900002,67.330002,66,66.349998,3645100,65.535683
"2021-05-24",66.889999,67.25,66.599998,67.07,1607800,66.246849
"2021-05-25",67.339996,67.57,66.870003,66.959999,1632100,66.138199
"2021-05-26",66.830002,67.290001,66.739998,67.099998,1483300,66.276482
"2021-05-27",67.459999,67.690002,67.129997,67.190002,2469400,66.365379
"2021-05-28",67.540001,67.699997,67,67.260002,1963200,66.434525
"2021-06-01",67.800003,68.230003,67.540001,67.589996,2049300,66.76046
"2021-06-02",67.690002,68.239998,67.309998,67.760002,2429100,66.928383
"2021-06-03",67.330002,68.239998,66.93,68.040001,2173000,67.204956
"2021-06-04",68.489998,69.209999,68.239998,69.160004,1702400,68.311203
"2021-06-07",69.160004,69.330002,67.900002,68.190002,1680500,67.353104
"2021-06-08",68.540001,68.639999,67.919998,68.169998,1250800,67.333344
"2021-06-09",68.389999,68.400002,67.910004,68.139999,1687500,67.303719
"2021-06-10",68.529999,68.730003,67.839996,68.269997,1829900,67.432121
"2021-06-11",68.5,68.690002,67.989998,68.449997,3410000,67.609909
"2021-06-14",68.339996,68.440002,67.690002,68.309998,1653400,67.471626
"2021-06-15",68.209999,68.650002,68.190002,68.43,1796900,67.590157
"2021-06-16",68.459999,68.889999,67.839996,68.220001,2690500,67.382744
"2021-06-17",68.139999,68.370003,66.860001,67.389999,2812300,66.562927
"2021-06-18",66.669998,66.860001,65.839996,66.279999,4415600,65.466553
"2021-06-21",66.5,67.239998,66.239998,67.029999,2344800,66.352501
"2021-06-22",66.959999,67.739998,66.660004,67.529999,3079300,66.847443
"2021-06-23",67.610001,67.980003,67.260002,67.43,2312300,66.748451
"2021-06-24",67.93,68.209999,67.519997,68.040001,1761900,67.352287
"2021-06-25",68.260002,68.43,67.839996,67.93,3604000,67.243408
"2021-06-28",68.279999,68.470001,67.669998,68.400002,2059700,67.708656
"2021-06-29",68.650002,69.040001,68.440002,68.5,2157300,67.807632
"2021-06-30",68.360001,68.779999,68.080002,68.410004,2735500,67.718552
"2021-07-01",68.470001,68.970001,68.150002,68.959999,2388200,68.262993
"2021-07-02",69.43,70.309998,69.389999,69.949997,3063800,69.242981
"2021-07-06",70,70.099998,68.57,69.309998,2321700,68.609451
"2021-07-07",69.410004,69.900002,68.769997,69.839996,1907000,69.134087
"2021-07-08",68.800003,69.269997,68.150002,69.099998,1982600,68.401573
"2021-07-09",69.699997,70.389999,69.190002,70.309998,2355300,69.59935
"2021-07-12",70.449997,70.779999,70.050003,70.370003,2944000,69.658745
"2021-07-13",69.970001,70.589996,69.860001,69.93,2800200,69.22319
"2021-07-14",70.589996,71.050003,69.610001,69.849998,2809600,69.143997
"2021-07-15",69.459999,69.730003,68.75,69.089996,3395200,68.391663
"2021-07-16",69.370003,69.669998,67.889999,68.029999,6456300,67.342392
"2021-07-19",66.910004,67.709999,66.75,67.389999,3663600,66.708862
"2021-07-20",67.790001,68.93,67.489998,68.610001,2238400,67.916527
"2021-07-21",68.910004,70.209999,68.900002,70.150002,3462800,69.440964
"2021-07-22",70.339996,70.629997,69.629997,70.029999,2458700,69.322174
"2021-07-23",70.669998,71.010002,70.290001,71,2096600,70.282372
"2021-07-26",70.830002,71.120003,70.440002,70.739998,2371800,70.025002
"2021-07-27",70.379997,70.639999,69.779999,70.389999,2816100,69.678535
"2021-07-28",70.650002,71.699997,70.410004,70.769997,4609900,70.054695
"2021-07-29",71.419998,72.300003,71.339996,71.959999,3539500,71.232666
"2021-07-30",71.650002,72.610001,71.57,72.489998,2475000,71.757309
"2021-08-02",72.849998,73.089996,72.349998,72.68,3237600,71.945389
"2021-08-03",72.959999,73.989998,72.870003,73.830002,3518800,73.083771
"2021-08-04",73.800003,74.059998,73.190002,73.550003,2179300,72.806602
"2021-08-05",73.779999,73.959999,73.239998,73.68,1899700,72.93528
"2021-08-06",73.739998,73.849998,73.410004,73.629997,1529300,72.885788
"2021-08-09",73.349998,73.720001,73.120003,73.43,1480100,72.687813
"2021-08-10",73.5,73.779999,73.169998,73.629997,1341600,72.885788
"2021-08-11",73.480003,73.769997,73.309998,73.720001,1313300,72.974876
"2021-08-12",73.690002,73.980003,73.43,73.910004,1820500,73.162964
"2021-08-13",73.830002,74.110001,73.660004,73.989998,1173700,73.242149
"2021-08-16",73.889999,74.519997,73.57,74.5,1560100,73.746994
"2021-08-17",74.239998,74.239998,73.370003,74.110001,2087500,73.360931
"2021-08-18",73.93,74.639999,73.75,73.910004,2351900,73.162964
"2021-08-19",73.349998,74.260002,73.040001,74.120003,2122700,73.370842
"2021-08-20",74.139999,74.559998,73.989998,74.470001,3682500,73.7173
"2021-08-23",74.800003,75.400002,74.489998,75.260002,1966600,74.499313
"2021-08-24",75.389999,75.82,75.260002,75.339996,2483100,74.578499
"2021-08-25",75.290001,75.900002,75.239998,75.779999,1492800,75.014053
"2021-08-26",75.889999,76.029999,75.400002,75.620003,1560000,74.855675
"2021-08-27",75.93,77,75.900002,76.75,2225300,75.974251
"2021-08-30",76.919998,77.25,76.550003,76.93,1268200,76.152435
"2021-08-31",77.050003,77.050003,76.120003,76.629997,2130400,75.855461
