"","PKG.Open","PKG.High","PKG.Low","PKG.Close","PKG.Volume","PKG.Adjusted"
"2020-12-24",136.270004,136.389999,134.649994,136.100006,158900,130.285385
"2020-12-28",137.449997,138,136.320007,136.779999,300900,130.93631
"2020-12-29",137.169998,137.539993,135.479996,135.669998,305500,129.873749
"2020-12-30",136.139999,138.100006,136.139999,137.470001,251500,131.596848
"2020-12-31",137.559998,138.279999,136.199997,137.910004,397100,132.018051
"2021-01-04",138.410004,139.470001,134.839996,135.75,610500,129.950317
"2021-01-05",136.559998,138.270004,135.259995,137.149994,999800,131.290497
"2021-01-06",138.029999,145.589996,138.029999,144.520004,872400,138.345642
"2021-01-07",144.690002,146,144.009995,144.949997,927800,138.757278
"2021-01-08",145.449997,146.570007,143.130005,144.779999,740900,138.594543
"2021-01-11",143.210007,146.990005,142.070007,145.830002,713600,139.59967
"2021-01-12",143.699997,148.139999,143.539993,147.229996,565600,140.939865
"2021-01-13",145.75,146.279999,142.210007,143.649994,863800,137.512802
"2021-01-14",143.880005,144.550003,142.600006,143,985800,136.890579
"2021-01-15",141.470001,143.710007,140.229996,142.529999,586600,136.440674
"2021-01-19",143.949997,144.300003,139.5,139.679993,663200,133.712418
"2021-01-20",140.729996,141.009995,138.710007,140.470001,576900,134.468674
"2021-01-21",139.979996,141.600006,139.979996,140.550003,404000,134.545258
"2021-01-22",140.100006,141.110001,139.009995,140.399994,375600,134.401657
"2021-01-25",140.550003,142.639999,140.009995,140.919998,750100,134.899445
"2021-01-26",141.630005,141.899994,139.820007,139.839996,352400,133.86557
"2021-01-27",138.410004,140.119995,135.029999,135.869995,650500,130.065186
"2021-01-28",135.880005,137.449997,129.119995,131.710007,1174400,126.082947
"2021-01-29",130.600006,135.089996,128.940002,134.460007,1379600,128.715439
"2021-02-01",135.539993,136.130005,132.699997,134.649994,975500,128.897308
"2021-02-02",136.139999,137.660004,135.080002,135.559998,537300,129.768417
"2021-02-03",135.660004,136.520004,134.410004,135.639999,522900,129.845016
"2021-02-04",135.880005,136.289993,132.229996,132.330002,1006300,126.676445
"2021-02-05",133.350006,134.020004,132.149994,133.300003,857600,127.605003
"2021-02-08",133.949997,135.179993,132.649994,133.029999,737800,127.346535
"2021-02-09",133.440002,133.880005,131.669998,131.940002,829400,126.303101
"2021-02-10",132.979996,134.119995,132.520004,133.789993,716300,128.074051
"2021-02-11",133.990005,134.490005,130.369995,131.169998,768600,125.565987
"2021-02-12",131.039993,133.919998,131.039993,133.179993,563000,127.490112
"2021-02-16",133.449997,133.570007,131.5,133.039993,638400,127.356102
"2021-02-17",132.75,133.740005,131.940002,133.419998,445200,127.719872
"2021-02-18",132.779999,133.5,132.410004,132.679993,382900,127.011459
"2021-02-19",132.899994,134.839996,132.229996,134.080002,386400,128.351685
"2021-02-22",133.259995,135.080002,133.059998,134.320007,451800,128.581436
"2021-02-23",134.660004,134.800003,132.860001,133.539993,595800,127.834755
"2021-02-24",133.419998,133.970001,131.619995,133.429993,659100,127.729431
"2021-02-25",133.429993,134.610001,132.809998,133.570007,477500,127.86348
"2021-02-26",132.860001,133.720001,131.5,132.020004,803600,126.379677
"2021-03-01",133.25,136.5,133.25,135.889999,617200,130.084366
"2021-03-02",136.199997,137.289993,135.199997,136.410004,706300,130.582123
"2021-03-03",136.419998,137.979996,135.529999,136.509995,443800,130.677856
"2021-03-04",136.460007,137.149994,131.75,134.210007,549500,128.47612
"2021-03-05",135.300003,135.860001,132.160004,134.949997,923100,129.184509
