"","BRO.Open","BRO.High","BRO.Low","BRO.Close","BRO.Volume","BRO.Adjusted"
"2020-11-03",44.939999,44.939999,44.18,44.32,1211100,43.857307
"2020-11-04",44.130001,46.459999,44.080002,45.889999,871000,45.410915
"2020-11-05",46.130001,46.400002,45.450001,45.5,746400,45.024986
"2020-11-06",45.75,45.93,45.5,45.73,576500,45.252583
"2020-11-09",48,48.610001,45.77,45.919998,1854000,45.440601
"2020-11-10",46.099998,47.25,45.91,47.189999,795500,46.697342
"2020-11-11",47.560001,47.57,46.639999,46.970001,640800,46.479645
"2020-11-12",46.66,47,46.060001,46.349998,630900,45.866108
"2020-11-13",46.630001,47.189999,46.599998,47.16,428800,46.66766
"2020-11-16",47.52,47.700001,47.16,47.66,643100,47.162441
"2020-11-17",47.279999,47.52,46.93,47.389999,611300,46.895256
"2020-11-18",47.369999,47.529999,46.970001,46.990002,702400,46.499439
"2020-11-19",47.049999,47.720001,46.5,47.439999,839000,46.944729
"2020-11-20",47.490002,47.84,46.970001,47.18,1508700,46.68745
"2020-11-23",47.369999,47.450001,46.349998,46.509998,1079900,46.024441
"2020-11-24",46.759998,47.41,46.290001,46.450001,1090400,45.965069
"2020-11-25",46.32,46.529999,45.529999,45.860001,1069700,45.381233
"2020-11-27",45.66,45.959999,45.360001,45.619999,711100,45.143734
"2020-11-30",45.34,45.450001,44.869999,45.029999,1712600,44.559895
"2020-12-01",45.48,45.619999,44.900002,45.610001,1690700,45.133842
"2020-12-02",45.709999,45.889999,44.619999,45.07,1040000,44.599476
"2020-12-03",44.990002,45.349998,44.509998,44.610001,1273200,44.144283
"2020-12-04",44.599998,45.130001,44.5,44.810001,1091300,44.34219
"2020-12-07",44.73,45.259998,44.450001,44.610001,1359700,44.144283
"2020-12-08",44.34,45.509998,44.310001,45.330002,963500,44.85677
"2020-12-09",45.43,45.619999,45.169998,45.23,1025400,44.757805
"2020-12-10",45.02,45.389999,44.869999,44.880001,869400,44.411461
"2020-12-11",44.59,45.599998,44.59,45.009998,1125500,44.5401
"2020-12-14",45.369999,46.139999,45.259998,45.450001,1069200,44.97551
"2020-12-15",45.740002,46.709999,45.52,46.630001,936500,46.143192
"2020-12-16",46.91,46.939999,45.880001,45.970001,853300,45.490082
"2020-12-17",46.040001,46.709999,46.009998,46.689999,763400,46.202564
"2020-12-18",47.130001,47.16,45.810001,45.970001,2601400,45.490082
"2020-12-21",45.68,46.029999,45.009998,46,788100,45.519768
"2020-12-22",45.779999,45.970001,45.540001,45.689999,891900,45.213001
"2020-12-23",46,46.25,45.540001,45.689999,852900,45.213001
"2020-12-24",45.84,46.330002,45.740002,46.310001,262600,45.82653
"2020-12-28",46.560001,46.779999,45.849998,45.880001,367300,45.401028
"2020-12-29",46.080002,46.25,45.740002,46.029999,648000,45.549454
"2020-12-30",46.279999,46.709999,46,46.25,712000,45.767166
"2020-12-31",46.529999,47.540001,46.169998,47.41,9e+05,46.915047
"2021-01-04",47.5,47.5,45.610001,46.349998,1370000,45.866108
"2021-01-05",46.48,46.709999,46.060001,46.32,932100,45.83643
"2021-01-06",46.580002,47.419998,45.889999,47.23,1534500,46.736923
"2021-01-07",47.450001,48.209999,47.169998,47.880001,1076900,47.380138
"2021-01-08",48.169998,48.759998,47.450001,48.02,961700,47.518681
"2021-01-11",47.77,47.849998,46.869999,46.98,807900,46.489536
"2021-01-12",46.889999,47.220001,46.709999,46.849998,574900,46.360897
"2021-01-13",46.619999,46.939999,46.189999,46.279999,767200,45.796844
"2021-01-14",46.509998,46.66,45.709999,45.75,561100,45.272377
"2021-01-15",45.700001,46.75,45.66,46.299999,1000400,45.816639
"2021-01-19",46.759998,47.240002,46.57,46.73,794400,46.242142
"2021-01-20",46.639999,47.669998,46.549999,47.610001,823100,47.112961
"2021-01-21",47.52,47.98,47.34,47.459999,937300,46.964523
"2021-01-22",47.43,47.650002,47.150002,47.490002,726800,46.994213
"2021-01-25",47.419998,48.130001,47.27,47.73,1129500,47.231712
"2021-01-26",47.279999,47.970001,45.630001,45.669998,1949500,45.193211
"2021-01-27",45.189999,45.389999,44.029999,44.080002,1650200,43.619816
"2021-01-28",44.189999,44.689999,43.860001,43.900002,1498000,43.441696
"2021-01-29",43.560001,44.5,43.07,43.09,1916400,42.640152
"2021-02-01",43.349998,43.700001,42.720001,42.959999,1540700,42.511505
"2021-02-02",43.400002,44.689999,43.310001,44.689999,1228100,44.223446
"2021-02-03",44.400002,44.560001,43.529999,43.73,926300,43.273468
"2021-02-04",43.73,44.419998,43.360001,43.91,1092800,43.544193
"2021-02-05",44.330002,44.939999,44.25,44.77,784600,44.39703
"2021-02-08",44.82,45.509998,44.669998,45.5,1610300,45.120945
"2021-02-09",45.509998,45.799999,45.25,45.330002,726400,44.952366
"2021-02-10",45.5,45.709999,44.950001,45.080002,560900,44.704449
"2021-02-11",45.080002,45.490002,44.950001,45.299999,815400,44.922615
"2021-02-12",45.220001,45.299999,44.599998,44.799999,830900,44.426781
"2021-02-16",44.709999,44.880001,44.060001,44.470001,1867900,44.099529
"2021-02-17",44.139999,44.380001,43.91,44.25,1200400,43.881363
"2021-02-18",44.150002,44.450001,43.91,44.32,985200,43.950779
"2021-02-19",44.57,45.599998,44.27,45.59,1512800,45.210201
"2021-02-22",45.32,46.360001,45.09,46.18,1600000,45.795284
"2021-02-23",46.290001,47.099998,45.830002,46.93,1335800,46.539036
"2021-02-24",46.93,47.990002,46.720001,47.790001,1305000,47.391872
"2021-02-25",47.779999,47.900002,46.709999,46.740002,1121200,46.350613
"2021-02-26",46.799999,47.09,45.900002,45.900002,1117200,45.517616
"2021-03-01",46.400002,47.349998,46.200001,46.84,987700,46.449783
"2021-03-02",46.639999,46.799999,45.869999,46.380001,1266500,45.993614
"2021-03-03",46.040001,46.740002,45.549999,45.549999,941100,45.170528
"2021-03-04",45.549999,45.77,44.799999,44.93,1095400,44.555695
"2021-03-05",45.330002,46.139999,45.009998,46.040001,950000,45.656445
"2021-03-08",46.119999,47.029999,45.950001,46.349998,716600,45.963863
"2021-03-09",46.509998,46.880001,46.049999,46.07,1321000,45.686195
"2021-03-10",46.09,46.740002,45.970001,46.509998,925900,46.122532
"2021-03-11",46.529999,46.529999,46.040001,46.41,871600,46.023365
"2021-03-12",46.560001,46.919998,46.389999,46.82,863100,46.429951
"2021-03-15",46.889999,47.209999,46.599998,47.150002,802500,46.757202
"2021-03-16",46.990002,47.150002,46.580002,46.950001,643400,46.558865
"2021-03-17",46.959999,46.959999,46.279999,46.369999,1202100,45.9837
"2021-03-18",46.380001,46.380001,45.619999,45.709999,1448500,45.329197
"2021-03-19",45.75,45.889999,44.610001,44.759998,3497800,44.387112
"2021-03-22",44.540001,45.599998,44.540001,45.34,1244200,44.96228
"2021-03-23",45.279999,45.959999,45.23,45.619999,977700,45.239948
"2021-03-24",45.68,46.290001,45.68,45.880001,1001100,45.49778
"2021-03-25",45.709999,46.040001,45.560001,45.900002,1050600,45.517616
"2021-03-26",46.009998,46.25,45.709999,46.189999,1153700,45.805199
"2021-03-29",45.919998,46.459999,45.860001,46.25,1016400,45.8647
"2021-03-30",46.209999,46.439999,45.860001,46.009998,743900,45.626698
"2021-03-31",46.060001,46.16,45.529999,45.709999,1206300,45.329197
"2021-04-01",45.810001,46.560001,45.720001,46.52,1089000,46.132454
"2021-04-05",46.759998,47.09,46.459999,46.68,794500,46.291119
"2021-04-06",46.59,46.970001,46.52,46.950001,528300,46.558865
"2021-04-07",47.110001,47.150002,46.66,47.119999,664000,46.727451
"2021-04-08",47.209999,47.450001,46.900002,47.34,754500,46.945621
"2021-04-09",47.52,47.860001,47.18,47.830002,788000,47.431538
"2021-04-12",47.880001,48.049999,47.650002,47.860001,716500,47.461288
"2021-04-13",47.619999,48.52,47.619999,48.470001,933500,48.066204
"2021-04-14",48.509998,48.830002,48.139999,48.23,848700,47.828205
"2021-04-15",48.459999,49.029999,48.450001,48.970001,742600,48.562042
"2021-04-16",49.43,49.75,49.09,49.549999,863900,49.137207
"2021-04-19",49.669998,49.68,49.299999,49.48,942800,49.067791
"2021-04-20",49.509998,49.880001,49.32,49.369999,663200,48.958706
"2021-04-21",49.419998,49.860001,49.150002,49.799999,888000,49.385128
"2021-04-22",49.689999,50.240002,49.450001,49.970001,1090400,49.553707
"2021-04-23",50.080002,50.619999,50.02,50.48,1207200,50.05946
"2021-04-26",50.580002,50.900002,49.779999,49.799999,844000,49.385128
"2021-04-27",52.27,53,51.650002,51.869999,1499600,51.437878
"2021-04-28",51.860001,52.650002,51.860001,52.43,1091400,51.993214
"2021-04-29",52.650002,53.009998,51.650002,52.810001,2502000,52.370049
"2021-04-30",52.919998,53.799999,52.91,53.18,1781600,52.736965
"2021-05-03",53.27,53.509998,52.779999,53.099998,1201600,52.657631
"2021-05-04",53,53.48,52.970001,53.380001,639700,52.935295
"2021-05-05",53.419998,53.419998,52.580002,53.16,1399400,52.717133
"2021-05-06",53.400002,53.740002,53.259998,53.549999,1465900,53.103886
"2021-05-07",53.290001,54.049999,53.23,53.689999,1222500,53.335346
"2021-05-10",53.790001,54.369999,53.360001,53.369999,1070300,53.01746
"2021-05-11",53.119999,53.130001,51.880001,51.98,1116800,51.636635
"2021-05-12",51.84,52.150002,50.880001,50.900002,844100,50.563778
"2021-05-13",50.799999,52.32,50.779999,52.150002,1042700,51.805519
"2021-05-14",52.360001,52.73,52.119999,52.509998,827200,52.163139
"2021-05-17",52.380001,52.48,51.900002,52.23,531300,51.884991
"2021-05-18",52.299999,52.549999,51.98,52.060001,768700,51.716118
"2021-05-19",51.709999,52.060001,51.41,52.02,784900,51.676376
"2021-05-20",52.060001,52.57,51.759998,52.259998,776200,51.914791
"2021-05-21",52.389999,52.639999,51.759998,52.09,671400,51.745914
"2021-05-24",52.279999,52.349998,52.009998,52.16,767100,51.815449
"2021-05-25",52.279999,52.380001,51.759998,51.82,872200,51.477695
