"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume","HD.Adjusted"
"2021-05-07",336.679993,339.809998,335.529999,339.25,2998100,330.29834
"2021-05-10",340.450012,345.690002,339.540009,341.119995,4840600,332.119019
"2021-05-11",337.549988,338,328.209991,330.660004,5500900,321.935028
"2021-05-12",326.519989,328.799988,316.269989,317,5822000,308.635437
"2021-05-13",319,327.420013,318.690002,325.420013,5159800,316.833252
"2021-05-14",326.290009,327.320007,321.859985,323.630005,3998000,315.090515
"2021-05-17",321,322.829987,315.309998,320.01001,4388000,311.56604
"2021-05-18",320,324.559998,314.779999,316.75,7010300,308.392059
"2021-05-19",312,314.75,309.070007,314.450012,5242100,306.152771
"2021-05-20",314.890015,319.709991,314.890015,315.899994,3854700,307.564484
"2021-05-21",317,319.279999,314.450012,315.769989,3920600,307.437897
"2021-05-24",316.839996,318.73999,314.589996,314.839996,2930600,306.532471
"2021-05-25",315.529999,317.100006,314.25,316.75,3523300,308.392059
"2021-05-26",317.809998,321.380005,316.679993,317.329987,2881600,308.956757
"2021-05-27",317.299988,320.410004,317.299988,318.769989,3734800,310.358734
"2021-05-28",320.369995,321.51001,318.850006,318.910004,3194000,310.495087
"2021-06-01",320.660004,321.26001,315.170013,316.309998,3549800,307.963654
"2021-06-02",315.480011,316.980011,312.410004,313.230011,3380100,306.564117
"2021-06-03",311,312.929993,309.690002,311.429993,2652500,304.802429
"2021-06-04",312.109985,313.450012,309.350006,311.01001,2638700,304.391357
"2021-06-07",311.119995,312.329987,307.880005,309.959991,3974800,303.363647
"2021-06-08",311.269989,312.290009,308.980011,310.899994,2913500,304.283661
"2021-06-09",311.450012,312.980011,306.899994,307.339996,3603700,300.799438
"2021-06-10",307.649994,309.649994,306.140015,308.309998,3286300,301.74881
"2021-06-11",309.269989,311.23999,308.350006,310.769989,2785100,304.156433
"2021-06-14",308.929993,310.059998,306.220001,309.320007,3393500,302.737305
"2021-06-15",308.75,308.950012,303.48999,306.450012,5270600,299.928406
"2021-06-16",306.690002,307.350006,301.170013,302.779999,4492500,296.336487
"2021-06-17",303.049988,305.209991,300.029999,303.119995,4481100,296.66925
"2021-06-18",299.25,303.829987,298.399994,302.609985,8792700,296.170074
"2021-06-21",305.25,308.720001,304.869995,307.600006,3774200,301.053864
"2021-06-22",309.130005,314.910004,308.299988,312.709991,4418400,306.055145
"2021-06-23",312.019989,313.660004,310.630005,311.670013,2564500,305.037323
"2021-06-24",313.119995,314.839996,311.670013,311.839996,2649200,305.203674
"2021-06-25",312.23999,315.459991,311.549988,313.630005,11733500,306.955597
"2021-06-28",313.660004,315.269989,311.369995,314.279999,2635400,307.591736
"2021-06-29",315.790009,320.299988,315.559998,318.23999,3150100,311.467468
"2021-06-30",317.940002,320.290009,317.690002,318.890015,3061500,312.103668
"2021-07-01",319.910004,321.690002,318.5,321.540009,2578000,314.697266
"2021-07-02",322.529999,323.119995,321.350006,322.700012,2201600,315.832581
"2021-07-06",322.829987,323.829987,316.799988,319.26001,3109500,312.46579
"2021-07-07",318.48999,324.420013,318.25,323.480011,2939900,316.595978
"2021-07-08",319.070007,320.329987,314.799988,318.540009,3663000,311.761108
"2021-07-09",320.540009,323.309998,320.179993,322.089996,2587400,315.235565
"2021-07-12",321.070007,324,320.529999,321.73999,2521800,314.892944
"2021-07-13",322.440002,323.290009,316.829987,317.049988,3213800,310.302795
"2021-07-14",318.75,320.059998,318.01001,319.220001,3381600,312.426636
"2021-07-15",317.380005,322.959991,317.359985,322.709991,2603900,315.842346
"2021-07-16",324,326.279999,321.399994,321.540009,3623700,314.697266
