"","REGN.Open","REGN.High","REGN.Low","REGN.Close","REGN.Volume","REGN.Adjusted"
"2020-08-13",611.48999,616.23999,607.27002,610.890015,378100,610.890015
"2020-08-14",610.090027,617.309998,610.090027,612.570007,302900,612.570007
"2020-08-17",614.73999,627.98999,614.210022,620.72998,403900,620.72998
"2020-08-18",623.01001,623.01001,613.27002,618.590027,387900,618.590027
"2020-08-19",628.97998,640.650024,625,629.630005,720700,629.630005
"2020-08-20",610.01001,619.75,608.440002,616.890015,656600,616.890015
"2020-08-21",617.179993,618.070007,603.219971,605.48999,662200,605.48999
"2020-08-24",612.380005,613.099976,590.710022,594.77002,991900,594.77002
"2020-08-25",596.51001,615,594.73999,610.5,734300,610.5
"2020-08-26",605.5,613.140015,604.48999,612,487900,612
"2020-08-27",614.669983,619.52002,610.22998,614.969971,534900,614.969971
"2020-08-28",611,614.51001,598.900024,602.609985,584200,602.609985
"2020-08-31",602.330017,621.609985,601.349976,619.929993,908100,619.929993
"2020-09-01",615.630005,620,589.299988,592.679993,1028000,592.679993
"2020-09-02",591.299988,610.98999,591.299988,610.150024,878000,610.150024
"2020-09-03",610.400024,610.419983,575.099976,577.400024,841500,577.400024
"2020-09-04",575,584,564.5,580.359985,715400,580.359985
"2020-09-08",577.780029,578.98999,560.780029,561.890015,688300,561.890015
"2020-09-09",565,575.080017,564.960022,571.150024,620400,571.150024
"2020-09-10",566.640015,572.799988,548.23999,550.099976,879300,550.099976
"2020-09-11",551.789978,561.330017,540,544.75,814100,544.75
"2020-09-14",554.409973,566.51001,550.650024,564.200012,762200,564.200012
"2020-09-15",569.169983,582.859985,567.590027,579.900024,612400,579.900024
"2020-09-16",584.119995,586.440002,568,569.150024,804400,569.150024
"2020-09-17",557.190002,569.369995,557.190002,565,686500,565
"2020-09-18",567.47998,567.830017,544.960022,555.23999,1977100,555.23999
"2020-09-21",551.140015,556.460022,542.159973,555.700012,682500,555.700012
"2020-09-22",552.359985,573.450012,552.359985,571.51001,580500,571.51001
"2020-09-23",572.369995,578.159973,562.48999,565.190002,535600,565.190002
"2020-09-24",561,564.98999,554.700012,557.460022,457900,557.460022
"2020-09-25",555.400024,575.919983,551,574.059998,643600,574.059998
"2020-09-28",572.830017,574.619995,559.059998,571.919983,637000,571.919983
"2020-09-29",573.200012,576,567.919983,573.609985,454100,573.609985
"2020-09-30",589.77002,589.77002,554,559.780029,2159300,559.780029
"2020-10-01",562.5,568.380005,552.27002,568.140015,1092600,568.140015
"2020-10-02",562,576,554.039978,564.799988,1235100,564.799988
"2020-10-05",598.900024,619.969971,591.150024,605.080017,4843300,605.080017
"2020-10-06",605.320007,610.380005,579.02002,581.640015,1725300,581.640015
"2020-10-07",588.48999,593.880005,581.650024,591.690002,957200,591.690002
"2020-10-08",614.650024,615,598.099976,599.880005,2355600,599.880005
"2020-10-09",601,604.440002,593.51001,602.070007,1190100,602.070007
"2020-10-12",602.25,605.390015,590.849976,601.549988,1003200,601.549988
"2020-10-13",601.599976,616.309998,600.179993,607.97998,1243900,607.97998
"2020-10-14",609.179993,610.919983,596.75,600.820007,951400,600.820007
"2020-10-15",598.02002,605.119995,580.73999,585.179993,1048300,585.179993
"2020-10-16",590,605.429993,585.669983,599.73999,1168800,599.73999
"2020-10-19",600,601.090027,579,583.140015,778400,583.140015
"2020-10-20",582,586.48999,573.140015,576.630005,637500,576.630005
"2020-10-21",577.530029,581.679993,567.02002,572.400024,493800,572.400024
"2020-10-22",566.039978,577.049988,566.039978,575.72998,467200,575.72998
"2020-10-23",580.289978,582.719971,575.119995,579.809998,565900,579.809998
"2020-10-26",574.659973,587.619995,574.659973,585.73999,533500,585.73999
"2020-10-27",584.97998,590.969971,579.039978,582.52002,526200,582.52002
"2020-10-28",576.690002,578.97998,563.869995,567.039978,592900,567.039978
"2020-10-29",576,576,555.539978,555.789978,905000,555.789978
"2020-10-30",545.119995,556.580017,533.22998,543.559998,1164700,543.559998
"2020-11-02",545.059998,557.409973,539.169983,548.580017,835900,548.580017
"2020-11-03",551.890015,561.23999,550,557.190002,490400,557.190002
"2020-11-04",578.090027,593.960022,575.950012,587.140015,1195600,587.140015
"2020-11-05",595,596.799988,578.950012,588.809998,944300,588.809998
"2020-11-06",589.039978,589.039978,572.719971,578.030029,748400,578.030029
"2020-11-09",551.609985,573.159973,540.309998,567.549988,1321100,567.549988
"2020-11-10",560,565.98999,546.929993,559.219971,839200,559.219971
"2020-11-11",564.849976,573.659973,560,567.72998,671000,567.72998
"2020-11-12",568.919983,571,554.840027,556.780029,548500,556.780029
"2020-11-13",560.219971,567.700012,556.799988,566.429993,565800,566.429993
"2020-11-16",557.450012,566.789978,556,559.289978,542100,559.289978
"2020-11-17",556.380005,556.599976,536.049988,538.150024,1051700,538.150024
"2020-11-18",543,543,518.190002,519.039978,1240800,519.039978
"2020-11-19",519.190002,525.690002,514.419983,514.710022,947600,514.710022
"2020-11-20",513.960022,521.27002,509.339996,518.73999,1045300,518.73999
"2020-11-23",538.859985,538.859985,516.799988,523.609985,1764400,523.609985
"2020-11-24",521.609985,528.440002,505.799988,506.100006,1270300,506.100006
"2020-11-25",507.179993,515.469971,507.179993,508.309998,711800,508.309998
"2020-11-27",513.419983,518.919983,509.200012,514.049988,498200,514.049988
"2020-11-30",520,520.780029,507.600006,516.030029,1707500,516.030029
"2020-12-01",516,525.280029,513.690002,514.070007,937400,514.070007
"2020-12-02",515.940002,515.940002,503.809998,505.130005,782700,505.130005
"2020-12-03",505.200012,509.540009,497.119995,498.839996,966000,498.839996
"2020-12-04",497.01001,501.850006,490.059998,492.450012,961200,492.450012
"2020-12-07",497.48999,499.700012,492.790009,495.410004,881900,495.410004
"2020-12-08",497.100006,497.880005,486.299988,497.140015,1007900,497.140015
"2020-12-09",500,500,484,488.640015,934300,488.640015
"2020-12-10",485.290009,487.119995,477.869995,478.980011,1184100,478.980011
"2020-12-11",478.220001,483.540009,471.579987,479.769989,1013500,479.769989
"2020-12-14",484.119995,502.600006,483.549988,500.380005,1245800,500.380005
"2020-12-15",500.690002,500.98999,486.820007,491.790009,1086300,491.790009
"2020-12-16",491.799988,494.459991,485.149994,486.570007,862500,486.570007
"2020-12-17",486.899994,496.75,486.5,496.209991,856300,496.209991
"2020-12-18",500,506.98999,496.809998,498.890015,1820900,498.890015
"2020-12-21",494,497.290009,485.059998,496.73999,1009300,496.73999
"2020-12-22",496,496.480011,488.5,490.059998,849600,490.059998
"2020-12-23",491.200012,493.630005,488.519989,492.190002,545700,492.190002
"2020-12-24",492.440002,495.230011,486.029999,488.929993,289100,488.929993
"2020-12-28",488.720001,492.690002,482.209991,482.959991,713400,482.959991
"2020-12-29",485,490.450012,482.420013,484.220001,558200,484.220001
"2020-12-30",487.390015,488.829987,477.679993,478.299988,633200,478.299988
"2020-12-31",477.809998,483.570007,470.779999,483.109985,897900,483.109985
"2021-01-04",486.850006,491.779999,473.579987,482.859985,911100,482.859985
"2021-01-05",480.390015,486.25,475.410004,483.450012,797700,483.450012
"2021-01-06",477.149994,483,467,470.089996,1434700,470.089996
"2021-01-07",471.23999,481.839996,467.179993,481.200012,1126600,481.200012
"2021-01-08",487.929993,500.700012,487.929993,498.730011,1018800,498.730011
"2021-01-11",501,505.140015,489.350006,502.920013,1115300,502.920013
"2021-01-12",504.410004,518.5,502,505.75,1264100,505.75
"2021-01-13",517,522,509.140015,511.899994,1333800,511.899994
"2021-01-14",513.099976,524.880005,511.329987,517.909973,848600,517.909973
"2021-01-15",518.099976,522.98999,511.109985,517.929993,796900,517.929993
"2021-01-19",523.030029,536.619995,522.059998,533.890015,995400,533.890015
"2021-01-20",536.780029,543.98999,529.309998,542.27002,862700,542.27002
"2021-01-21",540.580017,543.280029,527.909973,535.47998,940100,535.47998
"2021-01-22",534.099976,546.719971,534.099976,537.780029,620600,537.780029
"2021-01-25",554.320007,555,538.77002,548.200012,828400,548.200012
"2021-01-26",558.909973,558.909973,542.140015,544.099976,901700,544.099976
"2021-01-27",540.580017,541.969971,512.940002,515.559998,1433500,515.559998
"2021-01-28",521.27002,529.51001,505.109985,506.269989,1050700,506.269989
"2021-01-29",505.970001,514.419983,496.100006,503.839996,1389800,503.839996
"2021-02-01",512.820007,512.820007,503.100006,508.079987,790600,508.079987
"2021-02-02",511.01001,513.280029,498.019989,499.980011,884500,499.980011
"2021-02-03",505.089996,507.279999,490.839996,491.179993,1076700,491.179993
"2021-02-04",494.070007,498.959991,490.019989,498.839996,1394600,498.839996
"2021-02-05",513.840027,514.969971,495.220001,498.980011,1662800,498.980011
"2021-02-08",503.140015,506.630005,492.459991,494.899994,1320400,494.899994
"2021-02-09",496.529999,497.98999,487.549988,490.679993,1056000,490.679993
"2021-02-10",493.429993,497.859985,488.119995,491.220001,959200,491.220001
"2021-02-11",491.230011,496.600006,486.040009,490.540009,1057400,490.540009
"2021-02-12",494.25,494.480011,482.850006,485.619995,1295600,485.619995
"2021-02-16",488.01001,492,478.440002,480.709991,1363500,480.709991
"2021-02-17",477,484.380005,476.559998,481.679993,1010700,481.679993
"2021-02-18",479.899994,481.76001,475.839996,477.029999,1124300,477.029999
"2021-02-19",478.25,483.679993,470.269989,470.369995,1129900,470.369995
"2021-02-22",468.269989,468.269989,459.899994,460.579987,1345600,460.579987
"2021-02-23",458.059998,468.959991,448,468.029999,1705600,468.029999
"2021-02-24",466.109985,469.470001,457.170013,458.600006,1103400,458.600006
"2021-02-25",460.309998,465,448.329987,453.190002,1126100,453.190002
"2021-02-26",455.839996,457.170013,445.570007,450.570007,1193500,450.570007
"2021-03-01",454.48999,463.850006,453.829987,463.049988,856500,463.049988
"2021-03-02",463.130005,466,454.350006,454.859985,759200,454.859985
"2021-03-03",456.140015,458.649994,446.380005,446.730011,898000,446.730011
"2021-03-04",445.369995,451.850006,441,449.380005,1093800,449.380005
"2021-03-05",451.579987,463.829987,449.299988,461.570007,1223200,461.570007
"2021-03-08",456.48999,473.5,456.48999,463.190002,1014300,463.190002
"2021-03-09",469.799988,478.130005,469.320007,470.630005,868400,470.630005
"2021-03-10",473.890015,474.980011,465.209991,467.950012,724700,467.950012
"2021-03-11",469,474.890015,466.730011,469.959991,744900,469.959991
"2021-03-12",467,471.820007,463.649994,471.459991,552700,471.459991
"2021-03-15",473.01001,484.700012,472.26001,483.940002,728500,483.940002
"2021-03-16",485,490.220001,479.609985,482.170013,698400,482.170013
"2021-03-17",495,497.709991,483.149994,496.01001,1101000,496.01001
"2021-03-18",485.079987,491.880005,474.309998,474.679993,921100,474.679993
"2021-03-19",478.309998,482.589996,472.480011,473.700012,1078200,473.700012
"2021-03-22",471.890015,484.609985,471.230011,483.220001,911700,483.220001
"2021-03-23",486.160004,488.720001,466.709991,469.76001,1086400,469.76001
"2021-03-24",471.51001,472.079987,458.25,460.320007,1053800,460.320007
"2021-03-25",458.309998,465.839996,451.600006,463.480011,1413500,463.480011
"2021-03-26",461.130005,477.320007,458.440002,476.910004,1645500,476.910004
"2021-03-29",472.339996,488.899994,471.910004,481.519989,771200,481.519989
"2021-03-30",479.839996,480.839996,469.359985,470.670013,610400,470.670013
"2021-03-31",472.640015,475.700012,470.670013,473.140015,767700,473.140015
"2021-04-01",472,478.149994,469.369995,474.929993,763100,474.929993
"2021-04-05",477.089996,485.279999,474.220001,484.559998,949000,484.559998
"2021-04-06",485.5,485.820007,476.720001,478.679993,900900,478.679993
"2021-04-07",479,486.950012,477.619995,481.790009,722200,481.790009
"2021-04-08",485.769989,488.98999,474.839996,476.359985,1245200,476.359985
"2021-04-09",476.220001,480.26001,471.5,475.170013,679500,475.170013
"2021-04-12",481.779999,481.779999,469.799988,472.799988,835500,472.799988
"2021-04-13",476.529999,483.399994,474.600006,477.040009,754900,477.040009
"2021-04-14",478,486.730011,477.920013,481.160004,595600,481.160004
"2021-04-15",487.440002,499.279999,485.809998,494.640015,950500,494.640015
"2021-04-16",496.649994,506.869995,495.859985,502.600006,1169400,502.600006
"2021-04-19",503.01001,505.970001,498.470001,499.690002,707800,499.690002
"2021-04-20",499.549988,506.730011,497.399994,504.420013,858800,504.420013
"2021-04-21",507.48999,510.320007,503.220001,506.480011,621300,506.480011
"2021-04-22",505.399994,505.399994,489.279999,490.429993,1000500,490.429993
"2021-04-23",488.630005,491.48999,484.029999,488.640015,819800,488.640015
"2021-04-26",489.839996,502,485,501.170013,830300,501.170013
"2021-04-27",502.600006,502.600006,491.26001,491.809998,474500,491.809998
"2021-04-28",494.910004,495.440002,487.5,487.769989,654000,487.769989
"2021-04-29",489.690002,490,482.279999,485,574300,485
"2021-04-30",482.769989,491.579987,480.51001,481.299988,796700,481.299988
"2021-05-03",483.5,491.670013,482.829987,488.619995,645900,488.619995
"2021-05-04",485.940002,488.279999,480.850006,485.179993,764500,485.179993
"2021-05-05",486.410004,488.75,481.089996,482.420013,842400,482.420013
"2021-05-06",483.109985,502.980011,478.399994,498.679993,1545300,498.679993
"2021-05-07",497.589996,503,492.809998,496.75,703200,496.75
"2021-05-10",497.519989,513.47998,495,502.339996,1044800,502.339996
"2021-05-11",496.820007,508.980011,494.019989,501.190002,790700,501.190002
"2021-05-12",497,513.669983,497,507.140015,967700,507.140015
"2021-05-13",508.859985,519.070007,505.570007,517.169983,991400,517.169983
"2021-05-14",520,521.130005,512.25,516.619995,785600,516.619995
"2021-05-17",516.450012,525.960022,515.440002,523.72998,712200,523.72998
"2021-05-18",523,523,513.679993,516.219971,683300,516.219971
"2021-05-19",517.900024,517.900024,502.5,510.269989,587400,510.269989
"2021-05-20",509,518.869995,507.630005,513.210022,574900,513.210022
"2021-05-21",514.130005,516.5,506.429993,506.720001,610400,506.720001
"2021-05-24",509.73999,509.73999,500.079987,500.470001,521900,500.470001
"2021-05-25",500.839996,502.720001,493.190002,498.029999,767500,498.029999
"2021-05-26",498.75,500.309998,493,497.160004,640700,497.160004
"2021-05-27",496,500.040009,492.130005,495.339996,1058800,495.339996
"2021-05-28",497.609985,505.209991,497.220001,502.429993,542100,502.429993
"2021-06-01",505.76001,508.790009,497.929993,503.230011,617100,503.230011
"2021-06-02",503.170013,510.309998,501.200012,505.359985,679400,505.359985
"2021-06-03",501.070007,506.890015,499.779999,505.660004,445000,505.660004
"2021-06-04",507.589996,518.369995,505.799988,511.890015,785200,511.890015
"2021-06-07",511.649994,525.390015,509.5,514.98999,868700,514.98999
"2021-06-08",517.200012,518.619995,501.690002,506.420013,963600,506.420013
"2021-06-09",507.839996,522.789978,505.619995,521.849976,783300,521.849976
"2021-06-10",521.26001,533.26001,516.039978,532.039978,934900,532.039978
"2021-06-11",529.280029,530.26001,519.97998,525.549988,622900,525.549988
"2021-06-14",525,529.289978,521.960022,528.75,497800,528.75
"2021-06-15",528,530.719971,523.659973,527.48999,547500,527.48999
"2021-06-16",531.169983,542.419983,522.23999,523.580017,914400,523.580017
"2021-06-17",524,538.5,516.75,536.01001,846200,536.01001
"2021-06-18",534.659973,540.030029,532.130005,537.919983,914800,537.919983
"2021-06-21",539.98999,543.73999,532.72998,534.27002,678800,534.27002
"2021-06-22",533.039978,535.109985,526.909973,534.02002,655600,534.02002
"2021-06-23",532.849976,534.700012,523.289978,529.799988,636300,529.799988
"2021-06-24",533.090027,545.369995,531.330017,544.450012,790000,544.450012
"2021-06-25",543.590027,552.5,540.75,550.549988,1912800,550.549988
"2021-06-28",565.539978,569.98999,542.549988,542.700012,1509400,542.700012
"2021-06-29",542.280029,548.02002,536.080017,545.97998,721500,545.97998
"2021-06-30",545.200012,561.77002,544.52002,558.539978,861800,558.539978
"2021-07-01",556.599976,576.919983,554.950012,574.619995,1277400,574.619995
"2021-07-02",576,592.840027,571.549988,583.640015,1073700,583.640015
"2021-07-06",579.409973,584.289978,572.929993,582.25,643900,582.25
"2021-07-07",584.27002,590.950012,580.76001,585.900024,708700,585.900024
"2021-07-08",578.440002,580,568.150024,574.919983,766600,574.919983
"2021-07-09",573,580.849976,571.01001,580.400024,550100,580.400024
"2021-07-12",579.919983,586.340027,571.039978,574.030029,655300,574.030029
"2021-07-13",574.580017,582.190002,570.619995,577.01001,448800,577.01001
"2021-07-14",578.549988,582.859985,575.5,581.059998,380300,581.059998
"2021-07-15",579.900024,593.289978,575.039978,589.320007,776200,589.320007
"2021-07-16",587.820007,590,580,583.23999,515600,583.23999
"2021-07-19",581.26001,588,578,585.22998,552100,585.22998
"2021-07-20",588.299988,593.690002,580.659973,587.23999,644800,587.23999
"2021-07-21",586.76001,586.76001,573.76001,583.719971,480800,583.719971
"2021-07-22",581.630005,590.679993,580.02002,586.880005,406900,586.880005
"2021-07-23",588.830017,595.47998,583.76001,586.349976,628200,586.349976
"2021-07-26",586,586,577.369995,577.780029,488400,577.780029
"2021-07-27",568.51001,581.299988,565,581.01001,474700,581.01001
"2021-07-28",582.039978,587.919983,579,586.409973,404000,586.409973
"2021-07-29",588.619995,591.659973,582.099976,583.130005,361400,583.130005
"2021-07-30",581.419983,583.280029,572.909973,574.609985,775600,574.609985
"2021-08-02",577.119995,580.869995,570.380005,577.130005,362200,577.130005
"2021-08-03",576.849976,587.559998,570.700012,586.51001,512800,586.51001
"2021-08-04",584.919983,598.659973,579.320007,580.950012,1042300,580.950012
"2021-08-05",588.619995,603.140015,570.849976,602.469971,1628400,602.469971
"2021-08-06",603.090027,615,600.02002,610.859985,1135100,610.859985
"2021-08-09",610.849976,624.77002,610.590027,613.940002,962300,613.940002
"2021-08-10",615.72998,619.780029,604.549988,614.97998,651200,614.97998
"2021-08-11",616.070007,621.369995,603.409973,608.450012,630400,608.450012
"2021-08-12",607,611.52002,598.030029,608,577600,608
"2021-08-13",614,625,612.619995,624.789978,821200,624.789978
"2021-08-16",625.659973,630,615.059998,628.599976,869900,628.599976
"2021-08-17",626.140015,650,624.01001,647.440002,1183900,647.440002
"2021-08-18",650,658.969971,633,635.570007,1642600,635.570007
"2021-08-19",628.929993,662.869995,628.929993,655.630005,1284600,655.630005
"2021-08-20",659,674.070007,655.630005,663.27002,1303900,663.27002
"2021-08-23",665.210022,671.48999,642.679993,667.289978,992900,667.289978
"2021-08-24",665.919983,670,656.72998,669.950012,731500,669.950012
"2021-08-25",672.849976,674,660.789978,669.179993,643500,669.179993
"2021-08-26",670.059998,674.450012,663.289978,665.77002,473300,665.77002
"2021-08-27",668.950012,673.099976,660.75,663.289978,424600,663.289978
"2021-08-30",664,678.690002,660.440002,677.080017,865300,677.080017
"2021-08-31",677.51001,681.72998,668.330017,673.400024,829500,673.400024
"2021-09-01",674.719971,686.280029,671.630005,680.960022,822100,680.960022
"2021-09-02",683.5,684.900024,674.570007,675.75,689300,675.75
"2021-09-03",675.619995,686.619995,672,679.570007,564600,679.570007
"2021-09-07",679.419983,679.580017,658.02002,668.809998,717500,668.809998
"2021-09-08",667.799988,676.940002,666.570007,669.190002,463100,669.190002
"2021-09-09",670.280029,672.880005,644.650024,646.109985,1047700,646.109985
"2021-09-10",650,659.76001,646.109985,650.48999,747100,650.48999
"2021-09-13",651.099976,653.330017,636,639.52002,798000,639.52002
"2021-09-14",639.909973,650.419983,639.909973,645.150024,602100,645.150024
"2021-09-15",658.650024,664.98999,649.01001,652,883100,652
"2021-09-16",649.710022,656.669983,643.380005,653.179993,539900,653.179993
"2021-09-17",649.169983,653,643.289978,651.880005,761900,651.880005
"2021-09-20",643.840027,652,636.169983,640.890015,666400,640.890015
"2021-09-21",645.109985,656.859985,642.809998,646.950012,440600,646.950012
"2021-09-22",646.950012,651.01001,640.02002,647.059998,561800,647.059998
"2021-09-23",647,655,644.299988,646.51001,537400,646.51001
"2021-09-24",644.309998,644.309998,632.450012,638.900024,654500,638.900024
"2021-09-27",636.710022,636.710022,616.26001,619.070007,783700,619.070007
"2021-09-28",607.219971,617.710022,603.789978,605,1240400,605
"2021-09-29",607.140015,612.73999,604.97998,606.700012,615100,606.700012
"2021-09-30",607.76001,613.580017,604.619995,605.179993,549000,605.179993
"2021-10-01",576.75,578,556.049988,570.789978,1457800,570.789978
"2021-10-04",565.369995,568.130005,553.099976,555.419983,992900,555.419983
"2021-10-05",555.909973,564.72998,549.27002,550.900024,930100,550.900024
"2021-10-06",548,553.929993,543.409973,546.570007,890100,546.570007
"2021-10-07",548.140015,559.75,547.320007,552.02002,774300,552.02002
"2021-10-08",551.880005,555.52002,543.25,550.02002,532300,550.02002
"2021-10-11",549.650024,557.869995,545.599976,546.26001,538600,546.26001
"2021-10-12",546.090027,549.349976,541.580017,544.440002,521600,544.440002
"2021-10-13",548.330017,556.179993,546.969971,547.119995,664200,547.119995
"2021-10-14",553,565.109985,552.070007,555.619995,1055800,555.619995
"2021-10-15",558.929993,558.929993,552.159973,553.23999,838800,553.23999
"2021-10-18",550.219971,552.48999,539.179993,543.47998,1216200,543.47998
"2021-10-19",548.02002,555.669983,545,552.109985,985700,552.109985
"2021-10-20",554.23999,562.719971,553,562.710022,878000,562.710022
"2021-10-21",564.47998,570.909973,562.52002,569.369995,624200,569.369995
"2021-10-22",570.030029,573.01001,565.390015,572.359985,493000,572.359985
"2021-10-25",573.659973,578.72998,569.530029,576.200012,627300,576.200012
"2021-10-26",579.140015,594.219971,575.609985,592.150024,845300,592.150024
"2021-10-27",593.280029,594.090027,587.700012,589.599976,658100,589.599976
"2021-10-28",590.179993,625.719971,589.130005,625.190002,1111400,625.190002
"2021-10-29",619.130005,641.26001,618.109985,639.940002,860400,639.940002
"2021-11-01",640,648.070007,635.75,639.150024,913700,639.150024
"2021-11-02",638.580017,649.97998,633.559998,638.77002,838400,638.77002
"2021-11-03",637.210022,652.380005,632.099976,652.099976,718800,652.099976
"2021-11-04",657.210022,659.789978,630.900024,647.630005,1507000,647.630005
"2021-11-05",600,622.859985,594.549988,611.539978,1768400,611.539978
"2021-11-08",618.599976,623.419983,608.76001,622.780029,639900,622.780029
"2021-11-09",623.080017,627.570007,614,616.309998,601000,616.309998
"2021-11-10",616.820007,635.72998,616.820007,622.200012,727900,622.200012
"2021-11-11",622,628.460022,617.650024,626.640015,478400,626.640015
"2021-11-12",632.440002,634.460022,623.309998,631.200012,513600,631.200012
"2021-11-15",635.01001,649.719971,633.280029,647.72998,777500,647.72998
"2021-11-16",647.340027,661.840027,642.099976,642.75,632700,642.75
"2021-11-17",645.080017,645.530029,635.75,641.830017,440000,641.830017
"2021-11-18",642.210022,653.27002,638.599976,648.51001,564400,648.51001
"2021-11-19",652.429993,657.559998,646.369995,652.679993,605700,652.679993
"2021-11-22",648.580017,660.280029,640.880005,643.640015,632600,643.640015
"2021-11-23",641.900024,650.960022,639.47998,649.320007,624300,649.320007
"2021-11-24",651.380005,656,645.549988,648.179993,545100,648.179993
"2021-11-26",660,660.950012,639.780029,643.349976,575600,643.349976
"2021-11-29",645.320007,660.5,642.409973,654.400024,700400,654.400024
"2021-11-30",646.409973,656.599976,635.119995,636.530029,1277200,636.530029
"2021-12-01",639.130005,644.409973,630.130005,630.590027,731800,630.590027
"2021-12-02",633.030029,640.030029,622.48999,634,563800,634
"2021-12-03",637.77002,641.789978,623.119995,635.159973,650400,635.159973
"2021-12-06",642.359985,644.700012,624.599976,625,567500,625
"2021-12-07",628.530029,643.369995,623,635.090027,652500,635.090027
"2021-12-08",638.140015,655.75,633.330017,654.039978,694800,654.039978
"2021-12-09",650,667.559998,646.669983,665.719971,898200,665.719971
"2021-12-10",661.940002,672.450012,656.25,669.52002,791100,669.52002
"2021-12-13",653.119995,665,637.440002,660.150024,1074800,660.150024
"2021-12-14",652.22998,673.859985,651.890015,670.969971,730800,670.969971
"2021-12-15",646.98999,662.630005,645,657.929993,842100,657.929993
"2021-12-16",644.73999,656.340027,630.099976,631.73999,1241800,631.73999
"2021-12-17",631.039978,631.159973,615.200012,619.280029,1627100,619.280029
"2021-12-20",620.700012,625.349976,602.070007,603.140015,912100,603.140015
"2021-12-21",608.580017,608.580017,598.23999,606.809998,1108900,606.809998
"2021-12-22",608.469971,619.23999,600.849976,617.47998,737400,617.47998
"2021-12-23",619.5,627.219971,618.150024,625.380005,398700,625.380005
"2021-12-27",625.659973,636.359985,623.289978,634.77002,443700,634.77002
"2021-12-28",637.039978,639.5,635,638.460022,327800,638.460022
"2021-12-29",639.469971,649,638.75,647.280029,413000,647.280029
"2021-12-30",647.150024,651.280029,642.280029,642.51001,306300,642.51001
"2021-12-31",644.340027,645.5,630.659973,631.52002,353400,631.52002
"2022-01-03",625,629.330017,621.869995,627.099976,515600,627.099976
"2022-01-04",622.950012,625.070007,612.109985,616.820007,725400,616.820007
"2022-01-05",604.950012,613.650024,594.98999,595.119995,1100800,595.119995
"2022-01-06",600,606.02002,594.969971,598.440002,676200,598.440002
"2022-01-07",598.440002,607.01001,592.859985,603.72998,584400,603.72998
"2022-01-10",603.75,621.609985,602.130005,621.27002,822700,621.27002
"2022-01-11",623.190002,628.080017,617.76001,626.090027,613800,626.090027
"2022-01-12",624.450012,632.390015,620.830017,631.440002,584700,631.440002
"2022-01-13",632.75,632.75,614.150024,616.109985,649300,616.109985
"2022-01-14",616.02002,623.200012,604.799988,615.23999,792000,615.23999
"2022-01-18",604.52002,612.390015,598.130005,611.219971,974800,611.219971
"2022-01-19",617.01001,628.049988,612.400024,618.109985,656300,618.109985
"2022-01-20",621.150024,622.289978,612.429993,614.380005,765900,614.380005
"2022-01-21",615.799988,623.97998,610.880005,621.400024,1329000,621.400024
"2022-01-24",613.130005,623.539978,601.25,621.47998,1126200,621.47998
"2022-01-25",616.289978,618,602.400024,603.190002,975500,603.190002
"2022-01-26",604.469971,618.01001,600.27002,605.25,857900,605.25
"2022-01-27",609.840027,618.75,603.25,608.719971,658800,608.719971
