"","OTIS.Open","OTIS.High","OTIS.Low","OTIS.Close","OTIS.Volume","OTIS.Adjusted"
"2020-12-04",65.650002,66.042999,64.879997,65.160004,2054300,63.952473
"2020-12-07",64.980003,65.309998,64.010002,64.849998,1917600,63.648216
"2020-12-08",64.779999,66.150002,64.68,66.110001,2641500,64.884865
"2020-12-09",65.75,66.209999,65.190002,65.489998,1668600,64.276344
"2020-12-10",65.209999,66.139999,63.849998,64,2056600,62.813969
"2020-12-11",63.330002,63.880001,62.950001,63.73,2023900,62.548969
"2020-12-14",64.489998,64.489998,62.52,62.779999,1377800,61.616577
"2020-12-15",63.110001,65.589996,62.959999,64.730003,2041100,63.530445
"2020-12-16",64.93,65.330002,64.339996,65.239998,1760600,64.030991
"2020-12-17",65.75,66.32,65.5,65.790001,1873700,64.570793
"2020-12-18",65.989998,66.199997,64.540001,65.610001,4028700,64.394127
"2020-12-21",64.940002,66.480003,64.599998,66.150002,2201300,64.924126
"2020-12-22",65.839996,65.989998,65.095001,65.410004,1151500,64.197845
"2020-12-23",65.489998,66.239998,65.300003,65.629997,972500,64.413757
"2020-12-24",65.449997,65.980003,65.290001,65.790001,992100,64.570793
"2020-12-28",66.18,66.599998,65.540001,66,786400,64.776901
"2020-12-29",66.309998,66.599998,65.129997,65.690002,1008400,64.472656
"2020-12-30",65.790001,66.830002,65.790001,66.720001,1082200,65.483566
"2020-12-31",66.860001,67.690002,66.57,67.550003,1238200,66.29818
"2021-01-04",67.550003,68.019997,65.550003,65.589996,2569600,64.374496
"2021-01-05",65.82,66.419998,64.759003,65.099998,1366100,63.893581
"2021-01-06",65.82,67.330002,65.25,66.910004,1596000,65.670052
"2021-01-07",67.300003,67.955002,66.845001,67.779999,1542500,66.523918
"2021-01-08",67.470001,67.970001,65.849998,66.830002,1914000,65.591522
"2021-01-11",66.220001,66.790001,65.809998,66.360001,1506200,65.130226
"2021-01-12",66.269997,66.800003,65.07,65.230003,1722000,64.021172
"2021-01-13",65.190002,65.535004,63.849998,63.970001,3172600,62.784523
"2021-01-14",64.199997,65.370003,63.799999,64.940002,3088300,63.736553
"2021-01-15",64.809998,65.690002,63.509998,65.529999,1841100,64.315605
"2021-01-19",66,66.449997,64.919998,65.370003,2489200,64.158569
"2021-01-20",65.800003,66.5,64.889999,65.190002,1737200,63.981907
"2021-01-21",65.239998,65.239998,63.450001,63.52,3945600,62.342869
"2021-01-22",63.52,65.209999,63.200001,64.879997,3546500,63.677658
"2021-01-25",64,64.610001,62,64.220001,4500200,63.029892
"2021-01-26",64.599998,65.089996,62.27,63.509998,2742100,62.333046
"2021-01-27",62.68,63.009998,61.279999,62.240002,3241300,61.086586
"2021-01-28",62.599998,64.82,62.330002,63.830002,3235000,62.647118
"2021-01-29",65.110001,65.989998,63.450001,64.650002,10353200,63.451927
"2021-02-01",65.989998,66.010002,63,64.550003,3731500,63.353779
"2021-02-02",65.050003,66.779999,64.5,64.639999,4327800,63.442112
"2021-02-03",64.639999,64.870003,62.950001,64.050003,3542100,62.863045
"2021-02-04",63.889999,64.129997,63,63.290001,2303900,62.11713
"2021-02-05",62.740002,64.199997,62.630001,63.93,3697900,62.74527
"2021-02-08",63.75,64.529999,63.150002,63.73,1787100,62.548969
"2021-02-09",63.540001,64.593002,63.209999,64.360001,2819100,63.167301
"2021-02-10",64.940002,65.900002,64.599998,65.309998,1934100,64.099686
"2021-02-11",65.040001,65.206001,62.884998,63.43,4298900,62.445763
"2021-02-12",62.889999,64.540001,62.889999,63.93,2021600,62.938
"2021-02-16",64.309998,64.339996,62.580002,63.189999,3228400,62.20948
"2021-02-17",63.310001,63.369999,62.618999,62.689999,2178600,61.717239
"2021-02-18",62.459999,63.580002,62.310001,63.060001,2258400,62.081497
"2021-02-19",63.32,63.455002,62.939999,63.040001,3852700,62.06181
"2021-02-22",62.849998,63.595001,62.52,63.23,2560000,62.248859
"2021-02-23",62.84,63.57,62.560001,63.23,2571200,62.248859
"2021-02-24",63.09,64.410004,63.029999,64.349998,2257300,63.351479
"2021-02-25",64.279999,64.910004,64.010002,64.459999,2431700,63.459778
"2021-02-26",64.889999,64.889999,63.59,63.709999,3278300,62.721416
"2021-03-01",64.120003,65.75,64.07,64.93,1896000,63.922485
"2021-03-02",64.730003,65.845001,64.330002,65.410004,2657500,64.395042
"2021-03-03",65.510002,67.650002,65.07,67,3210800,65.960358
"2021-03-04",66.830002,66.900002,63.34,63.950001,3634400,62.957691
"2021-03-05",64.519997,65.110001,62.759998,64.870003,2168000,63.863422
"2021-03-08",64.970001,66.330002,64.589996,65.220001,1636700,64.207977
"2021-03-09",65.690002,66.650002,64.919998,64.93,2547300,63.922485
"2021-03-10",64.669998,66.495003,64.610001,66.25,1814900,65.222
"2021-03-11",66.099998,67.639999,65.889999,67.300003,2214700,66.255714
"2021-03-12",67.650002,67.650002,65.989998,66,1938200,64.975868
"2021-03-15",65.940002,66.639999,65.514999,66.610001,1495700,65.576416
"2021-03-16",67.120003,67.970001,66.580002,67.699997,2371800,66.649498
"2021-03-17",67.989998,68.650002,67.360001,68.580002,1729500,67.515854
"2021-03-18",68.150002,68.639999,67.459999,68.150002,2752800,67.092522
"2021-03-19",67.889999,67.889999,66.519997,66.860001,3149000,65.822533
"2021-03-22",66.809998,66.940002,65.639999,66.82,1391500,65.783157
"2021-03-23",66.419998,67.709999,66.199997,66.959999,1364500,65.92099
"2021-03-24",66.879997,67.959999,66.879997,67.169998,1378000,66.127724
"2021-03-25",67.410004,68.139999,66.760002,67.860001,1738900,66.807022
"2021-03-26",68.160004,69.379997,67.620003,69.040001,1989400,67.968712
"2021-03-29",69.830002,70.669998,69.5,69.910004,2038300,68.825211
"2021-03-30",70.07,70.489998,69.419998,69.739998,2604800,68.657845
"2021-03-31",70.019997,70.019997,68.269997,68.449997,3783100,67.387871
"2021-04-01",68.889999,69.639999,68.32,69.260002,1579200,68.185295
"2021-04-05",69.080002,69.699997,68.919998,69.230003,1126600,68.155769
"2021-04-06",69.5,70.464996,68.889999,69.720001,1972800,68.638161
"2021-04-07",69.860001,70.269997,69.410004,69.629997,7225700,68.549553
"2021-04-08",69.489998,69.644997,68.919998,69.410004,1881700,68.332977
"2021-04-09",69.68,70.949997,69.449997,70.75,3557700,69.652184
"2021-04-12",70.620003,71.105003,70.32,70.650002,1986000,69.553726
"2021-04-13",70.449997,71.235001,70.192001,71.120003,1513400,70.016434
"2021-04-14",71,71.074997,70.059998,70.400002,3099700,69.30761
"2021-04-15",70.639999,71.239998,70.110001,70.970001,1495600,69.868752
"2021-04-16",71.410004,71.410004,69.849998,70.580002,2548500,69.484818
"2021-04-19",70.709999,71.385002,70.349998,71.029999,2641300,69.927834
"2021-04-20",71.639999,71.690002,70.330002,70.470001,3682300,69.376526
"2021-04-21",70.449997,71.080002,69.830002,71.040001,3080300,69.937675
"2021-04-22",71.230003,71.75,70.610001,70.949997,2415600,69.84906
"2021-04-23",71.07,71.980003,70.739998,71.279999,2574700,70.173943
"2021-04-26",76.440002,76.879997,74.550003,76.269997,6077800,75.086517
"2021-04-27",76.5,79.260002,76.120003,79,6143800,77.774155
"2021-04-28",79.18,79.5,77.989998,78,3492300,76.789688
"2021-04-29",78.019997,79.120003,78.019997,78.690002,2492200,77.468979
"2021-04-30",78.25,78.669998,77.550003,77.870003,3659500,76.66169
"2021-05-03",78.489998,79.099998,77.910004,78.400002,2739900,77.183472
"2021-05-04",78.379997,79.559998,78.379997,78.720001,3402100,77.498497
"2021-05-05",78.889999,79.239998,77.760002,78.059998,2075500,76.84874
"2021-05-06",78.43,78.878998,77.699997,78.360001,2983500,77.144089
"2021-05-07",78.080002,78.949997,77.910004,78.190002,2780700,76.976738
"2021-05-10",78.669998,79.099998,78.029999,78.25,4867400,77.035797
"2021-05-11",77.790001,78.110001,76.849998,77.620003,2939200,76.415573
"2021-05-12",77.760002,77.959999,76.110001,76.129997,2392700,74.948692
"2021-05-13",75.989998,77.525002,75.82,77.150002,2658300,75.952866
"2021-05-14",77.650002,79.440002,77.410004,78.879997,3255300,77.656013
"2021-05-17",78.730003,79.18,78.099998,79.010002,2234000,77.784012
"2021-05-18",79.550003,79.690002,78.57,78.599998,2941000,77.380363
"2021-05-19",77.940002,78,77.029999,77.470001,5465700,76.267899
"2021-05-20",77.120003,77.860001,76.860001,77.360001,6751500,76.396278
"2021-05-21",77.620003,78.300003,77.279999,77.57,2245000,76.603668
"2021-05-24",77.599998,78.330002,77.209999,78.129997,1547500,77.156685
"2021-05-25",78.279999,78.610001,77.660004,77.690002,2288600,76.722168
"2021-05-26",77.769997,78.230003,77.550003,77.769997,1890100,76.801163
"2021-05-27",78.150002,79.089996,77.690002,78.709999,2818900,77.729462
"2021-05-28",78.480003,78.709999,77.830002,78.330002,1915000,77.354202
"2021-06-01",79.169998,79.830002,78.275002,78.410004,2207600,77.433205
"2021-06-02",78.419998,78.760002,77.769997,78.269997,1898600,77.294945
"2021-06-03",78.25,79.43,77.669998,79.139999,1949900,78.154106
"2021-06-04",79.25,79.919998,79.220001,79.870003,1644000,78.875015
"2021-06-07",80.400002,80.805,79.470001,79.610001,1723600,78.618248
"2021-06-08",79.760002,80.949997,79.375,80.849998,2647600,79.842796
"2021-06-09",80.790001,81.18,80.330002,80.75,1947300,79.744049
"2021-06-10",81.050003,81.559998,79.790001,80.419998,1753200,79.418152
"2021-06-11",80.849998,80.989998,79.699997,80.540001,1527800,79.536667
