"","DGX.Open","DGX.High","DGX.Low","DGX.Close","DGX.Volume","DGX.Adjusted"
"2021-02-17",121.129997,123.32,120.290001,121.849998,1197600,118.497635
"2021-02-18",121.18,122.790001,119.5,121.849998,1085500,118.497635
"2021-02-19",122,123.360001,119.019997,119.230003,1439400,115.94973
"2021-02-22",118.5,118.699997,114.459999,116.209999,2180400,113.012802
"2021-02-23",116.370003,117.599998,113.360001,117.489998,1464400,114.257584
"2021-02-24",116.949997,117.959999,114.949997,115.739998,993700,112.555733
"2021-02-25",115.489998,116.839996,113.690002,114.629997,1434400,111.476273
"2021-02-26",115.099998,116.629997,114.199997,115.589996,1519000,112.409859
"2021-03-01",116.629997,118.720001,115.599998,116.57,1481300,113.362892
"2021-03-02",117.239998,119.300003,116.839996,118.559998,1240300,115.298149
"2021-03-03",119.099998,119.099998,116.099998,116.879997,1199900,113.664368
"2021-03-04",116.389999,119.150002,116.089996,117.279999,1987100,114.05336
"2021-03-05",117.879997,118.32,115.75,117.959999,1533500,114.714661
"2021-03-08",117.849998,122.540001,117.82,121.089996,1194600,117.758537
"2021-03-09",121.790001,123.370003,119.690002,119.879997,1465400,116.581841
"2021-03-10",120.470001,122.610001,116.660004,116.870003,1707700,113.654648
"2021-03-11",119.010002,121.980003,117.519997,121.860001,1605200,118.507362
"2021-03-12",121.599998,122.080002,120.07,121.870003,902800,118.51709
"2021-03-15",121.610001,123.620003,121.550003,123.360001,877000,119.966087
"2021-03-16",123.620003,124.160004,122.309998,122.68,840500,119.304802
"2021-03-17",122.160004,125.349998,122.160004,123.120003,1098200,119.732704
"2021-03-18",123.209999,124.669998,122.029999,124.260002,1142500,120.841339
"2021-03-19",124.150002,126.309998,124.150002,125.279999,1687200,121.833267
"2021-03-22",124.889999,126.099998,123.809998,125.910004,930500,122.445938
"2021-03-23",126.410004,127.489998,124.989998,125.209999,981400,121.765198
"2021-03-24",125.190002,128.669998,124.989998,126.889999,1045800,123.398979
"2021-03-25",126.589996,127.330002,125.160004,127.150002,1253300,123.651825
"2021-03-26",127.440002,129.339996,126.970001,129.240005,721300,125.684319
"2021-03-29",128.479996,128.970001,126.889999,128.039993,1720300,124.517342
"2021-03-30",128,128.800003,126.400002,128.490005,782700,124.954956
"2021-03-31",129.210007,129.649994,127.239998,128.339996,928700,124.809082
"2021-04-01",129.990005,129.990005,126.940002,129.440002,1048500,125.878815
"2021-04-05",129.5,132.240005,129.389999,130.130005,1078500,126.549843
"2021-04-06",129.259995,129.470001,127.940002,128.309998,831500,125.377251
"2021-04-07",128.449997,129.350006,127.720001,127.739998,700900,124.820282
"2021-04-08",127.959999,128.020004,126.610001,126.660004,959900,123.764977
"2021-04-09",126.910004,127.300003,125.690002,126.690002,1062100,123.794289
"2021-04-12",127.32,128.889999,127.050003,128.860001,1086600,125.914696
"2021-04-13",129.059998,130.770004,128.119995,128.389999,994500,125.455429
"2021-04-14",128.360001,128.759995,126.650002,127.339996,1281700,124.429428
"2021-04-15",127.800003,129.789993,127.800003,129.149994,1015400,126.198067
