"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"2020-11-18",144,144.389999,141.029999,141.059998,2753700,132.89447
"2020-11-19",142.309998,143.779999,140.610001,141.740005,2377400,133.53511
"2020-11-20",141.619995,142.350006,139.300003,139.759995,2629900,131.669708
"2020-11-23",139.779999,140,138.279999,139.220001,2085800,131.160995
"2020-11-24",139.789993,141.470001,139.050003,139.199997,2575200,131.142136
"2020-11-25",140.160004,141.679993,140.130005,140.699997,1375300,132.555328
"2020-11-27",140.789993,142.979996,140.75,141.369995,1174200,133.186523
"2020-11-30",141.490005,142.470001,139.089996,139.309998,7673600,131.245789
"2020-12-01",139.5,141.419998,138.460007,141.279999,1971300,133.10173
"2020-12-02",141.050003,141.369995,137.820007,138.339996,2453100,130.331924
"2020-12-03",136.639999,137.949997,136.449997,137.820007,2363500,130.854126
"2020-12-04",137.759995,138.059998,136.080002,137.399994,2131000,130.455338
"2020-12-07",137,137.580002,136.080002,136.919998,1772300,129.999619
"2020-12-08",135.949997,137.559998,135.169998,136.570007,1733100,129.667313
"2020-12-09",136.5,136.710007,135.199997,135.759995,2162700,128.898254
"2020-12-10",135.839996,136.300003,133.949997,134.059998,2076100,127.284164
"2020-12-11",133.669998,136.720001,133.660004,136,1816700,129.126129
"2020-12-14",136.75,137.899994,135.940002,136,1959700,129.126129
"2020-12-15",136.339996,136.710007,135.360001,135.820007,1419900,128.955215
"2020-12-16",136.160004,137.270004,135.410004,136.009995,2077200,129.13559
"2020-12-17",136.399994,138.089996,135.399994,136.320007,2452200,129.429962
"2020-12-18",136.300003,136.5,134.600006,135.080002,4072700,128.252609
"2020-12-21",134.5,134.809998,132.240005,134.240005,1804900,127.455078
"2020-12-22",134.100006,134.399994,132.080002,132.669998,1600500,125.964439
"2020-12-23",133.039993,134.410004,132.679993,133.5,1309800,126.752487
"2020-12-24",133.570007,134.350006,133.050003,133.889999,529800,127.122772
"2020-12-28",134.270004,134.779999,133.419998,133.949997,1059100,127.179733
"2020-12-29",134.179993,135.610001,133.759995,134.130005,1044200,127.350624
"2020-12-30",133.880005,133.940002,132.910004,133.130005,1196400,126.401192
"2020-12-31",133.559998,134.910004,133.149994,134.830002,1480700,128.015244
"2021-01-04",134.350006,134.899994,132.490005,133.399994,1837000,126.657516
"2021-01-05",133.690002,133.740005,131.419998,133.539993,2246200,126.790443
"2021-01-06",133.699997,134.600006,132.470001,132.839996,1821800,126.125832
"2021-01-07",132.360001,132.600006,130.220001,131.600006,1957000,124.948532
"2021-01-08",131.5,132.179993,130.339996,131.759995,1650000,125.10041
"2021-01-11",132.089996,133.089996,131.220001,131.449997,2269600,124.806107
"2021-01-12",131.259995,131.820007,129.320007,130.320007,2196100,123.733215
"2021-01-13",130.410004,132.169998,130.169998,131.669998,1694600,125.014984
"2021-01-14",131.949997,132.270004,131.009995,131.570007,1848300,124.920036
"2021-01-15",131.679993,131.880005,130.020004,131.289993,3343200,124.65416
"2021-01-19",132.199997,132.720001,130.800003,131.649994,1865800,124.995979
"2021-01-20",131.039993,131.759995,130.110001,131.389999,2013500,124.74913
"2021-01-21",130.800003,131.619995,130.550003,131.009995,1745000,124.388313
"2021-01-22",131.820007,132.910004,130.679993,132.210007,2497600,125.527679
"2021-01-25",133.600006,140.979996,133.25,136.509995,4608900,129.610336
"2021-01-26",136,137.360001,133.029999,137.130005,3134800,130.19902
"2021-01-27",137.429993,140.770004,137.130005,138.649994,2906300,131.642166
"2021-01-28",138.339996,139.050003,134.820007,135.160004,2421500,128.328568
"2021-01-29",134.679993,136.360001,131.990005,132.100006,4039500,125.423248
"2021-02-01",132.300003,134.029999,132.259995,133.240005,1563200,126.505615
"2021-02-02",133.240005,133.490005,130.850006,132.350006,1799200,125.660599
"2021-02-03",131.800003,132.440002,130.259995,132.389999,1734400,125.698578
"2021-02-04",131.970001,132.289993,130.729996,131.5,1674100,124.853561
"2021-02-05",131.690002,132.369995,131.199997,132.169998,1550600,125.489693
"2021-02-08",132.190002,132.669998,131.169998,132.190002,1451000,125.508698
"2021-02-09",132.520004,132.830002,131.210007,132.429993,1837200,125.736565
"2021-02-10",133,133.979996,132.389999,132.800003,1543300,126.087875
"2021-02-11",133.050003,133.130005,131.75,132.089996,1275500,125.41375
"2021-02-12",132.039993,132.5,131.300003,132.130005,1721900,125.451721
"2021-02-16",131.630005,132.699997,128.729996,130.240005,2960400,123.657249
"2021-02-17",129.509995,131.259995,128.800003,130.770004,1752200,124.160461
"2021-02-18",130.410004,132.539993,130.190002,132.190002,1453300,125.508698
"2021-02-19",131.869995,132.279999,130.350006,130.630005,2058800,124.027542
"2021-02-22",130,131.259995,129.869995,131.059998,1786000,124.435806
"2021-02-23",132.210007,133.550003,130.809998,131.990005,1914100,125.318794
"2021-02-24",131.259995,131.899994,130.669998,130.809998,1932100,124.198433
"2021-02-25",130.809998,132.529999,130.350006,130.559998,1611600,123.961067
"2021-02-26",131,131.300003,128.199997,128.330002,3012100,121.843788
"2021-03-01",129.220001,130.410004,128.139999,128.389999,2291900,121.900749
"2021-03-02",128.229996,129.929993,128.020004,129.130005,2413000,122.603363
