"","KMX.Open","KMX.High","KMX.Low","KMX.Close","KMX.Volume","KMX.Adjusted"
"2020-11-16",97.279999,98.230003,95.089996,97.589996,886000,97.589996
"2020-11-17",96.790001,96.790001,94.309998,94.730003,1211700,94.730003
"2020-11-18",94.529999,95.550003,92.720001,92.82,1394800,92.82
"2020-11-19",92.68,94.550003,92.059998,94.529999,959400,94.529999
"2020-11-20",94.459999,95.370003,93.760002,94.550003,1176000,94.550003
"2020-11-23",95.5,97.199997,94.879997,96.440002,1249100,96.440002
"2020-11-24",97.360001,97.82,95.82,96.040001,1083200,96.040001
"2020-11-25",95.199997,95.769997,93.940002,95.290001,834600,95.290001
"2020-11-27",95.540001,96.870003,94.879997,95.370003,394100,95.370003
"2020-11-30",94.910004,95.949997,92.650002,93.480003,986100,93.480003
"2020-12-01",94.43,96.309998,93.57,96.139999,1301800,96.139999
"2020-12-02",95.470001,96.690002,93.300003,96.470001,1414200,96.470001
"2020-12-03",96.269997,97.339996,95.650002,96.269997,882100,96.269997
"2020-12-04",96.620003,97.089996,95.650002,96.5,1007400,96.5
"2020-12-07",96.43,97.300003,95.580002,96.059998,1112500,96.059998
"2020-12-08",95.18,95.769997,93.900002,94.379997,1219700,94.379997
"2020-12-09",92.870003,95.089996,92.160004,94.870003,1527100,94.870003
"2020-12-10",94.239998,95.220001,93.550003,94.339996,737900,94.339996
"2020-12-11",93.900002,94.949997,93.389999,93.93,807700,93.93
"2020-12-14",94.940002,95.410004,92.300003,92.540001,1455900,92.540001
"2020-12-15",93.879997,96.379997,93.809998,96.129997,1061900,96.129997
"2020-12-16",96.540001,99.550003,96.160004,99.080002,1567900,99.080002
"2020-12-17",98.720001,99.900002,97.010002,99.790001,1545000,99.790001
"2020-12-18",99.370003,100.440002,97.940002,98.25,3965300,98.25
"2020-12-21",97.519997,100.68,97.209999,100.459999,2899700,100.459999
"2020-12-22",96.620003,98.830002,91.830002,92.330002,9158500,92.330002
"2020-12-23",92.940002,94.010002,92,93.18,2539300,93.18
"2020-12-24",93.279999,93.470001,91.25,92.300003,1042300,92.300003
"2020-12-28",92.839996,92.839996,90.879997,91,1346100,91
"2020-12-29",91.010002,92.449997,90.300003,92.239998,1225100,92.239998
"2020-12-30",91.790001,94.849998,91.75,94.620003,1307800,94.620003
"2020-12-31",94.18,95,92.889999,94.459999,1171100,94.459999
"2021-01-04",94.300003,94.370003,92.129997,93.300003,1665400,93.300003
"2021-01-05",93.239998,94.309998,92.360001,94.199997,1532400,94.199997
"2021-01-06",94.050003,98.339996,94.050003,97.959999,1710400,97.959999
"2021-01-07",98.620003,100.610001,97.43,100.300003,1819300,100.300003
"2021-01-08",100.330002,103.150002,100.330002,102.099998,1608100,102.099998
"2021-01-11",101.040001,104.709999,100.879997,104.639999,1049400,104.639999
"2021-01-12",104.260002,106.639999,103.860001,106.5,1321400,106.5
"2021-01-13",106.660004,108.220001,105.440002,105.489998,1289000,105.489998
"2021-01-14",105.93,107.230003,105.230003,106.349998,973400,106.349998
"2021-01-15",105.379997,107,104.860001,106.440002,1028800,106.440002
"2021-01-19",108.970001,116.699997,107.300003,116.43,2771800,116.43
"2021-01-20",117.059998,124.910004,116.769997,122.790001,4015400,122.790001
"2021-01-21",122.93,123.699997,119.860001,120.290001,1961200,120.290001
"2021-01-22",119.779999,120.480003,117.699997,118.639999,1349600,118.639999
"2021-01-25",119.019997,122.110001,118.650002,120.959999,1777500,120.959999
"2021-01-26",121.260002,128.580002,121.080002,127.790001,2606100,127.790001
"2021-01-27",125.809998,126.199997,120.32,121.449997,2598100,121.449997
"2021-01-28",121.489998,123.529999,120.209999,121.290001,1785600,121.290001
"2021-01-29",120.339996,120.980003,116.769997,117.779999,1508500,117.779999
"2021-02-01",119.610001,120,116.739998,116.910004,1552900,116.910004
"2021-02-02",118.160004,123.559998,117.559998,123.040001,1360100,123.040001
"2021-02-03",122.82,124.089996,121.290001,123.309998,880800,123.309998
"2021-02-04",123.760002,126,123.470001,125.660004,869300,125.660004
"2021-02-05",126.910004,127.489998,125.550003,126.169998,1103300,126.169998
"2021-02-08",126.529999,128.550003,126.529999,126.849998,724000,126.849998
"2021-02-09",126.440002,126.440002,125.029999,125.419998,678700,125.419998
"2021-02-10",125.540001,127.129997,125.150002,125.419998,906000,125.419998
"2021-02-11",125.550003,127.800003,125.050003,126.839996,477500,126.839996
"2021-02-12",125.529999,126.639999,124.760002,125.099998,659900,125.099998
"2021-02-16",125.870003,127.029999,122.269997,122.360001,1181600,122.360001
"2021-02-17",121.75,123.160004,119.529999,122.510002,927300,122.510002
"2021-02-18",121.709999,122.470001,119.370003,120.239998,982800,120.239998
"2021-02-19",120.800003,122.769997,120.690002,121.32,923100,121.32
"2021-02-22",120.779999,121.580002,119.32,119.379997,751300,119.379997
"2021-02-23",118.809998,119.540001,115.57,119.260002,760600,119.260002
"2021-02-24",119.260002,121.989998,119,121.839996,774800,121.839996
"2021-02-25",121.849998,124.190002,118.260002,118.919998,982500,118.919998
"2021-02-26",119.290001,122.019997,118.480003,119.510002,1397900,119.510002
"2021-03-01",120.809998,122.610001,120.5,121.389999,1578500,121.389999
"2021-03-02",121.589996,121.910004,119.620003,120.980003,1039300,120.980003
"2021-03-03",120.089996,123.089996,119.540001,121.800003,975200,121.800003
"2021-03-04",121.089996,122.489998,117.300003,120.300003,843300,120.300003
"2021-03-05",122.139999,123.629997,118.620003,123.199997,1622400,123.199997
"2021-03-08",123.660004,129.960007,123.379997,129.169998,1824200,129.169998
"2021-03-09",129.839996,132.539993,128.529999,128.669998,1722800,128.669998
"2021-03-10",130.130005,135.119995,129.639999,133.550003,1068300,133.550003
"2021-03-11",134.039993,136.339996,132.770004,132.970001,1135800,132.970001
"2021-03-12",133.220001,135.070007,132.240005,133.759995,735200,133.759995
"2021-03-15",133.470001,134.539993,132.550003,134.350006,1025100,134.350006
"2021-03-16",133.850006,133.850006,130.309998,131.119995,1065900,131.119995
"2021-03-17",131.5,132.350006,130.190002,132.050003,823200,132.050003
"2021-03-18",131.889999,136.429993,130.910004,134.559998,1111200,134.559998
"2021-03-19",134.410004,134.410004,131.240005,133.240005,1811000,133.240005
"2021-03-22",133.490005,133.990005,130.410004,132.300003,818400,132.300003
"2021-03-23",131.559998,132.380005,130.559998,131.020004,685900,131.020004
"2021-03-24",131.020004,132.699997,128.160004,128.350006,1015300,128.350006
"2021-03-25",127.389999,131.440002,126.370003,130.600006,1158300,130.600006
"2021-03-26",132.300003,133.940002,130.979996,133.809998,659500,133.809998
"2021-03-29",135.330002,136.449997,133.089996,134.570007,1017900,134.570007
"2021-03-30",135.229996,136.539993,134.419998,135.830002,1408400,135.830002
