"","STX.Open","STX.High","STX.Low","STX.Close","STX.Volume","STX.Adjusted"
"2020-10-26",50.450001,50.82,48.599998,48.959999,4051700,46.16634
"2020-10-27",49.07,49.150002,48.459999,48.560001,3541300,45.789162
"2020-10-28",48,48.310001,47.099998,47.740002,3618700,45.015953
"2020-10-29",47.700001,47.880001,46.919998,47.66,3619700,44.940521
"2020-10-30",47.330002,47.869999,47.099998,47.82,3416300,45.091385
"2020-11-02",48.48,48.790001,47.950001,48.57,2765500,45.798592
"2020-11-03",49.189999,50.639999,48.900002,50.349998,2764500,47.477028
"2020-11-04",50.639999,51.310001,50.25,50.470001,3435500,47.590183
"2020-11-05",50.75,52.950001,50.599998,52.75,3147500,49.740082
"2020-11-06",52.610001,53.790001,52,53.490002,2880700,50.437859
"2020-11-09",54.900002,55.580002,54.110001,54.150002,4140900,51.060196
"2020-11-10",54.099998,55.209999,54.099998,54.720001,3698300,51.597675
"2020-11-11",55,55.220001,54.27,54.630001,2669000,51.512806
"2020-11-12",54.57,54.57,52.77,53.189999,3013200,50.154976
"2020-11-13",53.459999,55,53.459999,54.709999,2628200,51.588242
"2020-11-16",55,56,54.98,55.939999,3242400,52.748058
"2020-11-17",55.41,55.889999,55,55.509998,2207000,52.34259
"2020-11-18",55.669998,56.450001,55.240002,55.240002,2499700,52.088005
"2020-11-19",54.799999,56.080002,54.529999,55.919998,1931300,52.729198
"2020-11-20",55.810001,56.450001,55.580002,55.610001,2174800,52.436893
"2020-11-23",56.110001,57.040001,56.009998,56.919998,3005400,53.672138
"2020-11-24",57.57,58.810001,57.040001,58.549999,3521800,55.209137
"2020-11-25",58.380001,58.509998,57.549999,58.34,2488800,55.01112
"2020-11-27",58.689999,59.130001,58.310001,58.48,1463300,55.143127
"2020-11-30",58.529999,59.34,58.119999,58.810001,4122800,55.454296
"2020-12-01",59.349998,60.91,58.849998,60.290001,3974400,56.84985
"2020-12-02",60.200001,61.400002,60.110001,61.200001,2433000,57.707928
"2020-12-03",61.029999,62.830002,61.009998,62.34,3649000,58.782875
"2020-12-04",62,64.32,62,64.07,3216500,60.414162
"2020-12-07",63.779999,64.410004,63.139999,63.220001,3351100,59.612667
"2020-12-08",62.669998,64.419998,62.599998,63.860001,3160900,60.216145
"2020-12-09",64.18,65.32,63.189999,63.529999,2886900,59.904968
"2020-12-10",62.93,65.050003,62.619999,64.82,3195600,61.121365
"2020-12-11",64.889999,65.970001,63.549999,64.760002,2921200,61.064796
"2020-12-14",65.199997,65.760002,64.5,64.639999,2752000,60.951637
"2020-12-15",65.419998,66,64.839996,65.980003,2117000,62.215179
"2020-12-16",66,66.510002,65.800003,66.309998,2064600,62.526344
"2020-12-17",66.599998,66.690002,65.900002,66.209999,2499100,62.432056
"2020-12-18",66.440002,66.68,64.599998,64.720001,6019000,61.027077
"2020-12-21",64.209999,65.089996,63.669998,65.050003,2495400,61.338249
"2020-12-22",64.510002,64.879997,63.57,63.709999,1794300,60.699898
"2020-12-23",63.779999,63.869999,63,63.029999,1457800,60.052021
"2020-12-24",63.189999,63.189999,62.400002,62.950001,797300,59.975807
"2020-12-28",63.860001,63.98,62.189999,62.52,1781900,59.56612
"2020-12-29",62.169998,62.299999,60.599998,60.759998,2520500,57.889275
"2020-12-30",60.23,61.34,60.099998,60.599998,3258900,57.736835
"2020-12-31",60.599998,62.279999,60.259998,62.16,3483700,59.223129
"2021-01-04",62.290001,62.650002,59.830002,60.080002,3266200,57.241402
"2021-01-05",59.849998,60.689999,59.849998,60.16,3000400,57.317623
"2021-01-06",59.919998,60.669998,59.330002,59.869999,3192300,57.041325
"2021-01-07",60.150002,60.52,59.419998,60.110001,3534600,57.269989
"2021-01-08",60.709999,60.779999,58.779999,59,3144300,56.212429
"2021-01-11",58.419998,59.189999,58.040001,58.720001,4921400,55.945667
"2021-01-12",58.939999,59.41,58.700001,59.029999,4107700,56.241013
"2021-01-13",59.02,60.110001,58.990002,59.889999,4296200,57.060379
"2021-01-14",60,60.689999,59.470001,59.959999,3074900,57.127075
"2021-01-15",59.75,61.09,59.720001,60.509998,6259900,57.651089
"2021-01-19",61.200001,61.68,59.939999,61.220001,4425200,58.327545
"2021-01-20",61.5,62.029999,61.169998,61.419998,2795600,58.518089
"2021-01-21",61.419998,63.009998,61.150002,62.939999,6121800,59.966282
"2021-01-22",60.509998,60.75,58.349998,60,9787600,57.165176
"2021-01-25",60.110001,61.82,59.139999,61.189999,4524200,58.298958
"2021-01-26",61.450001,64.910004,61.450001,64.860001,4653700,61.795563
"2021-01-27",64.639999,77.07,64.129997,71.720001,20290200,68.331459
"2021-01-28",70,70.459999,66.300003,66.650002,7263000,63.500996
"2021-01-29",67.360001,68.550003,65.139999,66.120003,4117100,62.996037
"2021-02-01",65.610001,67.330002,65.449997,66.739998,2352700,63.586742
"2021-02-02",67.580002,67.610001,65.809998,66.779999,2312700,63.624851
"2021-02-03",66.510002,68.599998,66.510002,67.459999,2215200,64.27272
"2021-02-04",67.68,67.919998,66.849998,67.720001,2010500,64.520432
"2021-02-05",67.839996,69.760002,67.760002,69.440002,1831700,66.159172
"2021-02-08",69.68,72,69.610001,71.410004,2307600,68.036095
"2021-02-09",71.57,72.5,71.190002,72.360001,1820600,68.941208
"2021-02-10",72.800003,73.150002,70.720001,70.989998,2076800,67.635941
"2021-02-11",71.120003,72.489998,70.910004,72.459999,1809400,69.036476
"2021-02-12",72.309998,73.209999,71.779999,72.209999,1496800,68.798294
"2021-02-16",72.519997,72.889999,70.940002,71,2290000,67.645462
"2021-02-17",70.550003,71.75,70.050003,71.410004,1924000,68.036095
"2021-02-18",72.529999,73.849998,71.839996,72.470001,2934100,69.046028
"2021-02-19",73.360001,73.830002,71.870003,73.139999,2491300,69.684364
"2021-02-22",72.889999,74.440002,72.5,73.480003,2130300,70.008308
"2021-02-23",72.199997,72.839996,70.699997,72.209999,3031800,68.798294
"2021-02-24",72.629997,76.290001,72.18,74.339996,4154700,70.82766
"2021-02-25",75.360001,75.57,72.760002,72.849998,2933900,69.408051
"2021-02-26",72.589996,75.470001,72.559998,73.230003,3657800,69.770119
"2021-03-01",75.290001,75.349998,73.559998,73.809998,2539600,70.322708
"2021-03-02",73.18,74.190002,72.400002,72.519997,2241700,69.093643
"2021-03-03",73.68,76.449997,73.419998,75.940002,5505500,72.352074
"2021-03-04",72.800003,73.449997,70.360001,71.610001,8329100,68.226639
"2021-03-05",72.879997,74,71.190002,73.379997,4810500,69.913017
"2021-03-08",73.760002,75.32,72.879997,74.559998,4064900,71.03727
"2021-03-09",75.43,76.209999,74.669998,75.150002,3097000,71.599388
"2021-03-10",75.82,75.889999,74.529999,74.93,2122500,71.389786
"2021-03-11",75.769997,78,75.519997,77.25,2712400,73.600174
"2021-03-12",76.989998,77.160004,76.239998,76.779999,2614500,73.152382
"2021-03-15",77.129997,77.230003,74.25,75.410004,2650900,71.847115
"2021-03-16",75.089996,75.989998,74.699997,75.480003,2454300,71.913803
"2021-03-17",76.889999,78.040001,75.440002,77.980003,3426700,74.295685
"2021-03-18",76.790001,76.889999,73.519997,73.870003,4150600,70.379875
"2021-03-19",74.230003,75.620003,73.949997,74.629997,9605100,71.103958
"2021-03-22",75.57,76.589996,75.260002,75.940002,3088000,72.352074
"2021-03-23",74.669998,75.25,71.68,72.599998,2921700,69.785568
"2021-03-24",73.050003,73.660004,71.25,71.330002,1936800,68.564812
"2021-03-25",70.989998,73.32,70.529999,72.980003,2680700,70.150848
"2021-03-26",72.889999,76.080002,72.589996,76.019997,2832600,73.07299
"2021-03-29",75.699997,77.129997,75.080002,75.230003,2365500,72.313622
"2021-03-30",75.080002,75.970001,74.75,75.699997,1913600,72.765396
"2021-03-31",75.830002,77.529999,75.43,76.75,2765200,73.774704
"2021-04-01",77.260002,78.5,76.800003,78.489998,3178800,75.447243
"2021-04-05",79.059998,79.860001,78.760002,79.199997,2188700,76.129715
"2021-04-06",78.660004,79.339996,78.010002,78.720001,2314200,75.66832
"2021-04-07",78.879997,79.800003,78.68,78.959999,1680900,75.899017
"2021-04-08",79.989998,80.139999,78.25,80,2302200,76.898705
"2021-04-09",79.919998,80.769997,79.400002,80.529999,2022300,77.408165
"2021-04-12",80.830002,80.830002,79.230003,79.910004,1954500,76.812195
"2021-04-13",80.459999,80.5,78.730003,79.980003,2465300,76.879478
"2021-04-14",80.010002,80.690002,79.050003,80.279999,3445100,77.167854
"2021-04-15",80.519997,81.650002,80.099998,81.330002,2535000,78.177139
"2021-04-16",81.620003,82.849998,81.330002,82.07,5786300,78.888458
"2021-04-19",81.940002,83.169998,81.540001,82.330002,3111500,79.138382
"2021-04-20",82.519997,83.720001,82.300003,82.410004,2832400,79.215286
"2021-04-21",82.57,83.959999,81.599998,83.879997,2646400,80.628281
"2021-04-22",84.120003,85.07,83.129997,84.080002,4529300,80.820541
"2021-04-23",83.489998,89.220001,83.199997,89.150002,4343700,85.693993
"2021-04-26",89.580002,93.760002,89.580002,93.269997,5177900,89.654274
"2021-04-27",92.730003,94.599998,92.709999,94.230003,3829500,90.577065
"2021-04-28",94.660004,95.449997,94.010002,95.199997,2972900,91.509445
"2021-04-29",95.800003,97.120003,94.349998,96.830002,3231400,93.076271
"2021-04-30",97.010002,97.099998,92.330002,92.839996,4829600,89.240936
"2021-05-03",94,94,90.93,91.599998,3622700,88.049011
"2021-05-04",91.139999,91.139999,86.870003,88.480003,5893000,85.049965
"2021-05-05",89.339996,89.559998,87.32,88.43,3836900,85.001907
"2021-05-06",88.910004,90.010002,87.790001,89.989998,3609400,86.501427
"2021-05-07",90.059998,91.980003,88.379997,91.559998,4634900,88.010567
"2021-05-10",92.459999,92.5,88.82,89.989998,4500400,86.501427
"2021-05-11",87.730003,89.120003,85.650002,86.760002,5254500,84.022209
"2021-05-12",85.900002,86.699997,83.889999,84.410004,3179100,81.746376
"2021-05-13",85.010002,87.769997,84.830002,87.129997,3082500,84.380539
"2021-05-14",88.5,99.07,88.419998,97.970001,9345400,94.878471
"2021-05-17",97.260002,106.220001,97.209999,104.230003,10344500,100.940926
"2021-05-18",104.75,105.150002,100.480003,101.169998,4536000,97.977493
"2021-05-19",94.769997,99.919998,91.68,99.559998,4625400,96.418289
"2021-05-20",101,102,95.5,96.82,3285700,93.764755
"2021-05-21",94.989998,96.540001,93.379997,93.919998,3355000,90.956268
"2021-05-24",95.220001,99.599998,93.959999,98.150002,3465600,95.052795
"2021-05-25",98.160004,98.43,93.080002,93.5,3244700,90.54953
"2021-05-26",94.589996,96.809998,93.730003,96.790001,2589400,93.735703
"2021-05-27",97.169998,98,95.769997,96.43,3255200,93.387077
"2021-05-28",98.050003,98.050003,94.949997,95.75,2333600,92.728531
"2021-06-01",98.150002,98.870003,96.510002,98.25,2214800,95.149643
"2021-06-02",98.879997,100.389999,97.550003,98.029999,2157200,94.936577
"2021-06-03",96.400002,97.989998,96.059998,97.57,1392000,94.491096
"2021-06-04",98.110001,99.510002,97.720001,99.120003,1250000,95.99218
"2021-06-07",99.699997,99.739998,97.639999,98.650002,1734400,95.53701
"2021-06-08",99.089996,101.190002,96.879997,100.830002,3200600,97.648224
"2021-06-09",101.650002,101.650002,99.300003,99.330002,2284700,96.195557
"2021-06-10",99.699997,100.150002,96.82,97.459999,2105200,94.38456
"2021-06-11",97.889999,99.349998,96.019997,96.769997,2318400,93.716331
"2021-06-14",96.760002,97.010002,94.029999,94.660004,2018700,91.67292
