"","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume","ALB.Adjusted"
"2020-11-03",96.75,98.279999,96.339996,97.620003,971900,96.221497
"2020-11-04",97.519997,97.519997,93.099998,93.43,1656900,92.091507
"2020-11-05",96.050003,106.330002,93,105.5,3231500,103.988602
"2020-11-06",104.830002,113.330002,102.800003,112.220001,2609200,110.61232
"2020-11-09",114.949997,120.809998,114.800003,116.730003,2138400,115.057724
"2020-11-10",116,118.300003,113.07,117.93,1244200,116.240524
"2020-11-11",117.489998,119.980003,116.5,118.57,881900,116.871353
"2020-11-12",117.5,120.690002,116.639999,118.639999,839200,116.940353
"2020-11-13",118.919998,122.970001,117.690002,122.480003,1014700,120.725349
"2020-11-16",123,129.149994,123,128.919998,1526100,127.073082
"2020-11-17",127.529999,128.600006,124.400002,127.949997,1904500,126.116974
"2020-11-18",127.949997,130.210007,126.529999,126.540001,870800,124.727173
"2020-11-19",126.010002,126.489998,122.449997,125.800003,1138500,123.99778
"2020-11-20",126,128.5,125.5,127.889999,748700,126.057831
"2020-11-23",129.300003,134.759995,129.029999,134.059998,1400100,132.139435
"2020-11-24",135.669998,137.710007,134.289993,137.259995,1428200,135.293579
"2020-11-25",135.199997,136.419998,133.240005,134.729996,1126200,132.79985
"2020-11-27",136.419998,138.190002,136.259995,137.660004,531400,135.687866
"2020-11-30",137.25,137.5,134.160004,135.970001,1096100,134.022079
"2020-12-01",137.5,138.190002,134.820007,135.880005,1719800,133.93338
"2020-12-02",134.820007,136,132.160004,135.25,1576100,133.312393
"2020-12-03",135.320007,136.229996,130.759995,131.720001,1969300,129.832977
"2020-12-04",132.509995,139.229996,132.210007,139.220001,1157900,137.22551
"2020-12-07",139.440002,141.039993,138.100006,140,1122100,137.994324
"2020-12-08",139.210007,144.119995,138.199997,143.949997,892700,141.887756
"2020-12-09",144.089996,146.110001,140.630005,142.550003,1444400,140.507813
"2020-12-10",141,143.699997,140.210007,141.429993,1102900,139.781387
"2020-12-11",140.149994,141.940002,136.610001,138.649994,962400,137.033783
"2020-12-14",140.559998,141,134.25,134.570007,1387300,133.001343
"2020-12-15",136.770004,138.220001,135.009995,137.940002,1211900,136.332077
"2020-12-16",138.690002,139.990005,135.529999,135.779999,908800,134.197235
"2020-12-17",137.240005,137.970001,134.149994,137.479996,1127700,135.877411
"2020-12-18",137.5,139.289993,137.050003,138.899994,2447400,137.280853
"2020-12-21",135.779999,142.179993,135.410004,142.020004,1180900,140.364532
"2020-12-22",143.440002,147.990005,142.649994,146.270004,1294200,144.564972
"2020-12-23",147.850006,152.820007,147.259995,149.910004,1718100,148.162552
"2020-12-24",149.899994,150.369995,148.289993,149.639999,487400,147.89566
"2020-12-28",151.389999,153.479996,149.600006,149.720001,1228600,147.974747
"2020-12-29",149.479996,149.910004,144.740005,146.220001,1112800,144.515564
"2020-12-30",148.169998,151.630005,147.759995,149.289993,1041100,147.549759
"2020-12-31",148.759995,149.369995,146.809998,147.520004,779200,145.8004
"2021-01-04",152.899994,156.759995,150.289993,152.630005,2898700,150.85083
"2021-01-05",152.669998,166.779999,152.669998,162.929993,2628000,161.030746
"2021-01-06",165.5,178.589996,165.5,175.100006,3335500,173.058899
"2021-01-07",183.479996,187.25,180.550003,184,2947800,181.855164
"2021-01-08",184.490005,186.929993,178.660004,184.100006,1659400,181.95401
"2021-01-11",178.800003,180,173.419998,177.289993,2940000,175.223358
"2021-01-12",177.289993,183.139999,176.5,182.5,1655200,180.37265
"2021-01-13",182.899994,182.990005,178.009995,179.919998,1481400,177.822723
"2021-01-14",180.5,184.089996,180.5,182.369995,1037800,180.244156
"2021-01-15",180,183.779999,177.740005,180.139999,1196600,178.040146
