"","IPG.Open","IPG.High","IPG.Low","IPG.Close","IPG.Volume","IPG.Adjusted"
"2020-10-09",18.540001,18.67,18.219999,18.360001,5195000,17.257864
"2020-10-12",18.43,18.65,18.389999,18.549999,3792100,17.436457
"2020-10-13",18.450001,18.549999,17.93,17.93,3142100,16.853678
"2020-10-14",18.110001,18.34,17.98,18.07,6248500,16.985271
"2020-10-15",17.75,18,17.43,17.959999,2921300,16.881874
"2020-10-16",18.01,18.440001,17.860001,18.26,4448600,17.163864
"2020-10-19",18.360001,18.459999,17.700001,17.74,3462100,16.675081
"2020-10-20",18.030001,18.08,17.799999,18,4567900,16.919474
"2020-10-21",18.15,18.799999,17.719999,18.700001,6488200,17.577456
"2020-10-22",19.32,19.5,18.84,19.15,6172600,18.000441
"2020-10-23",19.370001,19.4,18.969999,19.34,3748300,18.179035
"2020-10-26",19.16,19.23,18.809999,19,5945600,17.859446
"2020-10-27",19.07,19.15,18.73,18.85,5578200,17.718449
"2020-10-28",18.459999,18.51,17.74,17.83,6317400,16.75968
"2020-10-29",17.74,18.540001,17.57,18.309999,5293100,17.210861
"2020-10-30",18.32,18.67,17.98,18.09,5684200,17.004072
"2020-11-02",18.299999,18.940001,18.18,18.92,3856500,17.784245
"2020-11-03",19.15,19.49,18.98,19.35,4324500,18.188433
"2020-11-04",19.33,19.34,18.780001,18.9,5021100,17.765448
"2020-11-05",19.129999,19.6,19.09,19.530001,3305600,18.35763
"2020-11-06",19.48,19.610001,18.969999,18.99,3854600,17.850048
"2020-11-09",20.66,21.74,20.66,21.09,7772500,19.823982
"2020-11-10",21.26,21.49,21.049999,21.42,5745900,20.134176
"2020-11-11",21.43,21.43,20.370001,20.77,6204200,19.523195
"2020-11-12",20.57,20.780001,20.219999,20.48,3461200,19.250601
"2020-11-13",20.719999,21.280001,20.65,21.16,3846300,19.889782
"2020-11-16",21.780001,22.059999,21.51,21.639999,4310700,20.340965
"2020-11-17",21.389999,21.98,21.25,21.9,3202300,20.58536
"2020-11-18",21.9,22.09,21.370001,21.4,2882100,20.115374
"2020-11-19",21.110001,21.629999,21.059999,21.59,2657300,20.293968
"2020-11-20",21.41,21.700001,21.299999,21.65,3127400,20.350367
"2020-11-23",21.950001,22.24,21.719999,22.09,2520200,20.763956
"2020-11-24",22.549999,23.280001,22.34,23.23,5715000,21.835522
"2020-11-25",22.969999,23.219999,22.66,23.110001,4226200,21.722723
"2020-11-27",23.01,23.15,22.75,22.799999,1307800,21.431335
"2020-11-30",22.440001,22.700001,22.209999,22.280001,4915300,21.179426
"2020-12-01",22.620001,22.969999,22.469999,22.790001,4689500,21.664232
"2020-12-02",22.799999,23.200001,22.549999,23.200001,4049600,22.05398
"2020-12-03",23.209999,23.84,23.15,23.690001,4354600,22.519775
"2020-12-04",23.780001,24.07,23.65,23.959999,3496400,22.776434
"2020-12-07",23.9,23.969999,23.6,23.84,3228500,22.662363
"2020-12-08",23.66,23.940001,23.549999,23.66,3597800,22.491255
"2020-12-09",23.83,24.15,23.52,23.700001,3894300,22.52928
"2020-12-10",23.389999,23.75,23.23,23.639999,2503600,22.472242
"2020-12-11",23.75,24.219999,23.610001,23.92,3674500,22.738413
"2020-12-14",24.190001,24.379999,23.690001,23.700001,5147700,22.52928
"2020-12-15",23.940001,24.280001,23.74,24.190001,2883400,22.995075
"2020-12-16",24.219999,24.34,23.91,24.1,2099500,22.909521
"2020-12-17",24.33,24.33,23.51,23.799999,3029100,22.62434
"2020-12-18",23.74,24.030001,23.59,23.940001,8365500,22.757425
"2020-12-21",23.540001,23.58,23.030001,23.42,3773200,22.263111
"2020-12-22",23.549999,23.700001,22.99,23.059999,4079200,21.920897
"2020-12-23",23.129999,23.700001,23.129999,23.52,2927000,22.358173
"2020-12-24",23.610001,23.610001,23.27,23.52,850500,22.358173
"2020-12-28",23.66,24.1,23.57,23.790001,2303100,22.614834
"2020-12-29",23.84,23.93,23.549999,23.68,1783400,22.510271
"2020-12-30",23.719999,23.9,23.42,23.459999,1841200,22.301136
"2020-12-31",23.540001,23.6,23.309999,23.52,2043900,22.358173
"2021-01-04",23.469999,23.620001,23.049999,23.139999,3177500,21.996944
"2021-01-05",23.15,23.530001,23.049999,23.26,3005500,22.111015
"2021-01-06",24,25.190001,24,25.049999,5492600,23.812592
"2021-01-07",24.99,25.23,24.41,24.459999,4610800,23.251736
"2021-01-08",24.450001,24.68,24.15,24.34,3758400,23.137667
"2021-01-11",24.1,24.48,23.98,24.42,2970300,23.213713
"2021-01-12",24.48,24.700001,24.25,24.549999,3077500,23.337292
"2021-01-13",24.440001,24.82,24.26,24.440001,2889400,23.232729
"2021-01-14",24.549999,25.139999,24.440001,24.93,3784100,23.698521
"2021-01-15",24.84,25,24.379999,24.940001,3249000,23.708025
"2021-01-19",25.049999,25.139999,24.67,24.93,3931500,23.698521
"2021-01-20",25.07,25.07,24.370001,24.68,2981000,23.460871
"2021-01-21",24.629999,25.120001,24.540001,24.68,3353800,23.460871
"2021-01-22",24.59,24.639999,24.18,24.58,2844500,23.36581
"2021-01-25",24.280001,24.85,24.26,24.66,2748100,23.441858
"2021-01-26",24.870001,25.309999,24.75,25.209999,2783300,23.964689
"2021-01-27",24.91,25.57,24.49,24.68,4412200,23.460871
"2021-01-28",24.93,25.139999,24.559999,24.620001,5496300,23.403835
"2021-01-29",24.549999,24.709999,23.889999,24.07,6393500,22.881004
"2021-02-01",24.32,24.879999,23.99,24.82,3071800,23.593954
"2021-02-02",25.15,25.360001,24.82,25.15,3909300,23.907652
"2021-02-03",25.059999,25.719999,25.02,25.469999,3154700,24.211843
"2021-02-04",25.51,25.950001,25.459999,25.809999,3656400,24.535049
"2021-02-05",25.959999,26.58,25.870001,25.98,4989600,24.696651
"2021-02-08",26.209999,26.65,25.969999,26.610001,4723000,25.295536
"2021-02-09",26.459999,26.540001,26.01,26.290001,5537900,24.991341
"2021-02-10",25.5,25.5,23.959999,24.549999,9038900,23.337292
"2021-02-11",24.48,24.530001,24.15,24.48,4099400,23.270748
"2021-02-12",24.4,24.67,24.360001,24.629999,2062700,23.41334
"2021-02-16",24.76,24.92,24.32,24.870001,2572800,23.641485
"2021-02-17",24.73,25.290001,24.5,25.16,2508100,23.917162
"2021-02-18",25.190001,25.190001,24.639999,24.809999,3963300,23.584448
"2021-02-19",25.030001,25.629999,24.969999,25.559999,3961100,24.2974
"2021-02-22",25.52,26.68,25.52,26.49,4406000,25.181459
"2021-02-23",26.629999,26.75,26.02,26.58,3721000,25.267015
"2021-02-24",26.540001,27.07,26.25,27,4582700,25.666269
"2021-02-25",27,27.049999,25.969999,26.08,3192200,24.791716
"2021-02-26",25.969999,26.469999,25.549999,26.120001,5222100,25.089485
"2021-03-01",26.52,27.280001,26.459999,26.790001,4111400,25.733049
"2021-03-02",26.629999,27.030001,26.57,26.959999,3842100,25.896343
"2021-03-03",27.110001,27.559999,27,27.280001,5379900,26.20372
"2021-03-04",27.280001,27.799999,26.52,26.950001,5648600,25.886738
"2021-03-05",27.309999,28.059999,26.73,27.879999,4016100,26.780046
"2021-03-08",28.290001,28.809999,28.110001,28.540001,3519000,27.414007
"2021-03-09",28.549999,28.780001,28.209999,28.5,3902000,27.375586
"2021-03-10",28.66,29.440001,28.49,29.18,4042300,28.028759
"2021-03-11",29.09,29.65,28.98,29.290001,2502700,28.13442
"2021-03-12",29.43,29.799999,29.389999,29.610001,2848800,28.441793
"2021-03-15",29.610001,29.74,29,29.26,4319300,28.105604
"2021-03-16",29.26,29.33,28.719999,29.280001,3741400,28.124813
"2021-03-17",29.42,29.99,29.02,29.93,5813800,28.749168
"2021-03-18",29.860001,30.43,29.639999,29.67,4261400,28.499426
"2021-03-19",29.49,30.07,29.16,29.59,11894100,28.422579
"2021-03-22",29.629999,29.639999,29.049999,29.27,3639800,28.115206
"2021-03-23",28.82,28.959999,28.049999,28.24,3664300,27.125845
"2021-03-24",28.450001,28.690001,27.83,27.83,3592400,26.732019
"2021-03-25",27.75,28.700001,27.559999,28.530001,4379800,27.404402
"2021-03-26",28.74,28.879999,28.16,28.440001,6189900,27.317955
"2021-03-29",28.370001,28.959999,27.889999,28.360001,4392100,27.24111
"2021-03-30",28.58,29.5,28.41,29.309999,5909300,28.153627
"2021-03-31",29.209999,29.57,28.809999,29.200001,5269100,28.04797
"2021-04-01",29.15,29.35,28.84,29.35,2980900,28.192051
"2021-04-05",29.59,29.66,29.209999,29.48,2475200,28.316921
"2021-04-06",29.48,29.74,29.309999,29.59,3354200,28.422579
"2021-04-07",29.780001,29.870001,29.23,29.52,2752000,28.355343
"2021-04-08",29.450001,29.58,29.1,29.450001,3354900,28.288105
"2021-04-09",29.450001,29.639999,29.18,29.4,2484800,28.240078
"2021-04-12",29.5,30.120001,29.379999,29.99,4810900,28.806801
"2021-04-13",29.85,30.030001,29.450001,29.540001,4509100,28.374556
"2021-04-14",29.620001,30.290001,29.450001,29.92,5222400,28.739561
"2021-04-15",30,30.83,29.92,30.43,5313200,29.229443
"2021-04-16",30.65,30.74,30.280001,30.6,3282800,29.392736
"2021-04-19",30.35,30.58,30.15,30.440001,3540900,29.239048
"2021-04-20",30.4,30.57,29.83,30.01,4639200,28.826014
"2021-04-21",29.85,30.709999,29.74,30.690001,3575800,29.479187
"2021-04-22",30.15,30.370001,29.51,29.629999,4889900,28.461006
"2021-04-23",29.799999,29.98,29.610001,29.719999,3951100,28.547453
"2021-04-26",29.799999,30.049999,29.549999,29.719999,3064700,28.547453
"2021-04-27",29.639999,30.02,29.379999,29.84,4385600,28.662718
"2021-04-28",30.58,31.459999,30.32,31.129999,6345400,29.901825
"2021-04-29",31.52,32.049999,31.34,32.040001,4612100,30.775925
"2021-04-30",31.93,31.93,31.549999,31.75,4987400,30.497364
"2021-05-03",32.07,32.419998,31.85,32.07,4200100,30.804739
"2021-05-04",32.02,32.599998,31.84,32.580002,3597900,31.294621
"2021-05-05",32.610001,32.759998,32.110001,32.639999,3215000,31.352249
"2021-05-06",32.790001,32.98,32.32,32.93,2518600,31.630812
"2021-05-07",32.650002,33.5,32.599998,33.470001,2621700,32.149506
"2021-05-10",33.48,33.709999,32.689999,32.790001,4600300,31.496334
"2021-05-11",32.48,33.029999,32.119999,32.389999,3280900,31.11211
"2021-05-12",32.290001,32.5,31.469999,31.530001,2801100,30.286043
"2021-05-13",31.57,32.400002,31.57,32.330002,3700300,31.05448
"2021-05-14",32.52,32.630001,32.310001,32.52,3131300,31.236984
"2021-05-17",32.59,32.709999,32.360001,32.57,1985400,31.285013
"2021-05-18",32.73,33.029999,32.470001,32.5,3095700,31.217772
"2021-05-19",32.119999,33.290001,31.6,32.59,4833300,31.304224
"2021-05-20",32.709999,33.130001,32.490002,33.02,3362800,31.717257
"2021-05-21",33.09,33.630001,33.060001,33.220001,3021700,31.909369
"2021-05-24",33.380001,33.599998,33.130001,33.330002,3016500,32.015034
"2021-05-25",33.529999,33.759998,32.740002,32.77,4448800,31.477123
"2021-05-26",32.939999,33.220001,32.830002,33.16,4183300,31.851736
"2021-05-27",33.450001,33.66,33.220001,33.330002,9740000,32.015034
"2021-05-28",33.389999,33.720001,32.98,33.689999,4461600,32.360821
"2021-06-01",34.18,34.41,33.720001,33.990002,3720400,32.648987
"2021-06-02",34.040001,34.07,33.639999,33.93,3721400,32.591354
"2021-06-03",33.66,34.049999,33.48,34.009998,4433500,32.668194
"2021-06-04",33.799999,34.009998,33.279999,33.740002,2913800,32.668198
"2021-06-07",33.900002,33.91,33.259998,33.439999,3214200,32.377731
"2021-06-08",33.240002,33.610001,32.939999,33.57,2842700,32.503601
"2021-06-09",33.5,33.599998,33.32,33.52,2654300,32.455185
"2021-06-10",33.68,33.959999,33.360001,33.560001,4673000,32.493916
"2021-06-11",33.68,34.349998,33.639999,34.16,5051100,33.07486
"2021-06-14",34.16,34.43,33.48,33.630001,3853300,32.561695
"2021-06-15",33.709999,33.799999,33.400002,33.740002,2595900,32.668198
"2021-06-16",33.639999,33.73,33.119999,33.450001,2338900,32.387409
"2021-06-17",33.540001,33.779999,32.009998,32.43,3533000,31.399813
"2021-06-18",31.98,32.18,31.35,31.51,8422400,30.509041
"2021-06-21",31.77,32.419998,31.77,32.389999,2814700,31.361082
"2021-06-22",32.34,32.470001,31.709999,31.940001,3117600,30.925379
"2021-06-23",32.009998,32.279999,31.91,32.040001,2697600,31.022203
"2021-06-24",32.299999,32.650002,32.07,32.549999,2933100,31.515999
"2021-06-25",32.599998,32.990002,32.529999,32.709999,2811100,31.670918
"2021-06-28",32.630001,32.889999,31.65,31.860001,3392000,30.847919
"2021-06-29",32.040001,32.200001,31.68,31.780001,3022200,30.770462
"2021-06-30",31.68,32.509998,31.639999,32.490002,4645400,31.457911
"2021-07-01",32.779999,33.34,32.630001,33.150002,2951500,32.096943
"2021-07-02",33.360001,33.450001,32.990002,33.040001,2972400,31.99044
"2021-07-06",33.09,33.16,32,32.389999,3673000,31.361082
"2021-07-07",32.119999,32.540001,31.66,32.360001,3396500,31.332035
"2021-07-08",31.73,32.349998,31.540001,31.93,4280000,30.915695
"2021-07-09",32.52,33.169998,32.23,33.080002,2512300,32.029171
"2021-07-12",32.77,33.34,32.52,33,2557600,31.95171
"2021-07-13",32.830002,32.93,32.34,32.360001,2518400,31.332035
"2021-07-14",32.630001,33.02,32.419998,32.490002,3616700,31.457911
"2021-07-15",32.16,32.599998,32.040001,32.060001,3289000,31.041571
"2021-07-16",32.18,32.299999,31.379999,31.440001,3015500,30.441265
"2021-07-19",30.969999,31.219999,30.459999,30.9,7085300,29.918417
"2021-07-20",31.200001,31.51,30.450001,31.27,7614900,30.276661
"2021-07-21",34.540001,35.639999,33.919998,34.810001,14571800,33.704212
"2021-07-22",35.41,35.41,33.900002,34.110001,5636100,33.026447
"2021-07-23",34.380001,35.32,34.209999,35.290001,6731500,34.168961
"2021-07-26",35.419998,35.950001,35.009998,35.630001,4863500,34.498165
"2021-07-27",35.27,35.740002,34.91,35.34,4447100,34.217377
"2021-07-28",35.529999,35.529999,34.799999,35.25,4612500,34.13023
"2021-07-29",35.549999,35.669998,34.900002,34.939999,5398000,33.830078
"2021-07-30",34.82,35.43,34.810001,35.360001,6122100,34.23674
"2021-08-02",35.669998,36.259998,35.41,35.549999,3596900,34.4207
"2021-08-03",35.599998,36.169998,34.98,36.029999,3910100,34.885456
"2021-08-04",35.75,36.23,35.509998,35.560001,3913100,34.430389
"2021-08-05",35.84,36.52,35.73,36.48,3104800,35.321163
"2021-08-06",36.689999,37.049999,36.310001,36.93,2750200,35.756863
"2021-08-09",36.720001,36.720001,35.990002,36.380001,3386100,35.224335
"2021-08-10",36.380001,37.119999,36.25,36.919998,2475800,35.747181
"2021-08-11",36.900002,37.59,36.720001,37.5,2736100,36.308758
"2021-08-12",37.549999,37.779999,36.900002,37.580002,2946500,36.386215
"2021-08-13",37.610001,37.880001,37.279999,37.52,2318700,36.328121
"2021-08-16",37.389999,37.73,37.110001,37.599998,2517600,36.405579
"2021-08-17",37.68,37.75,37.09,37.450001,3501200,36.260345
"2021-08-18",37.299999,37.580002,36.84,36.869999,3251000,35.698769
"2021-08-19",36.41,36.919998,36.09,36.099998,3425500,34.953228
"2021-08-20",36.130001,36.560001,35.830002,36.450001,4467900,35.292114
"2021-08-23",36.82,37.209999,36.560001,37.009998,3538500,35.83432
"2021-08-24",37.029999,37.299999,36.889999,37.02,3687000,35.844006
"2021-08-25",37.110001,37.439999,36.830002,37.119999,4429600,35.940826
"2021-08-26",36.970001,37.009998,36.439999,36.450001,2293900,35.292114
"2021-08-27",36.490002,36.990002,36.450001,36.84,2497700,35.669724
"2021-08-30",36.66,36.959999,36.48,36.540001,2617500,35.379257
"2021-08-31",36.57,37.290001,36.299999,37.23,4168200,36.315678
"2021-09-01",37.220001,37.529999,36.91,37.150002,3373000,36.237648
"2021-09-02",37.25,37.529999,36.98,37.509998,2583200,36.588799
"2021-09-03",37.52,37.599998,37.09,37.299999,2267100,36.383957
"2021-09-07",37.290001,37.490002,36.77,36.82,2219900,35.915745
"2021-09-08",36.93,37.27,36.68,37.150002,3094400,36.237648
"2021-09-09",37.169998,37.25,36.419998,36.82,3649800,35.915745
"2021-09-10",36.990002,37.029999,36.130001,36.16,2237900,35.271957
"2021-09-13",36.619999,37.029999,36.259998,37.009998,3620100,36.101082
"2021-09-14",37.029999,37.290001,36.860001,37.02,3218200,36.110832
"2021-09-15",37,37.669998,36.759998,37.66,3040400,36.735119
"2021-09-16",37.75,37.759998,36.93,37.07,2599200,36.159607
"2021-09-17",36.950001,37.349998,36.759998,36.990002,3827200,36.081573
"2021-09-20",36.169998,36.580002,35.669998,36.220001,2657000,35.330486
"2021-09-21",36.610001,37.09,35.990002,36.02,5705800,35.135399
"2021-09-22",36.459999,37.360001,36.360001,36.990002,3937800,36.081573
"2021-09-23",37.360001,38.650002,37.23,38.41,3919800,37.466702
"2021-09-24",38.330002,39.029999,38.279999,38.880001,3274000,37.925156
"2021-09-27",39.119999,39.349998,38.68,38.720001,3219100,37.769089
"2021-09-28",38.619999,38.790001,37.490002,37.540001,3237500,36.618069
"2021-09-29",37.779999,37.91,37.200001,37.490002,2585900,36.569294
"2021-09-30",37.75,37.799999,36.66,36.669998,3502100,35.769428
"2021-10-01",37,38.060001,36.720001,37.84,2825100,36.910694
"2021-10-04",37.66,38.18,37.25,37.470001,2610900,36.549786
"2021-10-05",38.130001,38.369999,37.32,38,3378300,37.066769
"2021-10-06",37.360001,37.869999,36.689999,37.400002,2760400,36.481506
"2021-10-07",37.759998,38.200001,37.59,37.720001,2550700,36.793644
"2021-10-08",37.91,38.07,37.169998,37.23,2794000,36.315678
"2021-10-11",37.200001,37.529999,36.900002,37.380001,2543700,36.461994
"2021-10-12",37.509998,37.560001,36.740002,36.880001,2900600,35.974274
"2021-10-13",36.950001,37.09,36.419998,36.830002,2548900,35.925503
"2021-10-14",37.209999,38.290001,37.209999,38.099998,3369700,37.164314
"2021-10-15",38.330002,38.59,38.139999,38.220001,2269700,37.281364
"2021-10-18",38.009998,38.439999,37.860001,38.16,2298100,37.222839
"2021-10-19",38.48,38.709999,37.990002,38.259998,4475200,37.320377
"2021-10-20",37.830002,38.400002,37.189999,38.009998,4665800,37.076519
"2021-10-21",37.279999,38.18,36.09,37.080002,6638300,36.169365
"2021-10-22",37.080002,37.790001,36.650002,36.959999,3087800,36.052307
"2021-10-25",36.970001,37.130001,35.93,36.150002,3522300,35.262203
"2021-10-26",36.290001,36.68,36.040001,36.580002,3441600,35.681644
"2021-10-27",36.48,36.66,36.009998,36.02,2681200,35.135399
"2021-10-28",36.200001,36.669998,35.939999,36.66,2317600,35.759674
"2021-10-29",36.59,37.009998,36.369999,36.57,2388100,35.671886
"2021-11-01",36.93,37,36.490002,36.799999,3009600,35.896236
"2021-11-02",36.57,36.810001,35.360001,35.66,3847600,34.784237
"2021-11-03",35.459999,35.84,35.07,35.830002,4121800,34.950062
"2021-11-04",35.700001,36.130001,35.369999,35.779999,2806000,34.901283
"2021-11-05",36.240002,36.630001,36.150002,36.419998,3324300,35.52557
"2021-11-08",36.790001,36.849998,36.07,36.27,2789800,35.379257
"2021-11-09",36.099998,36.32,35.509998,36.029999,2127700,35.145145
"2021-11-10",36.009998,36.720001,35.610001,36.09,2250600,35.203674
"2021-11-11",36.099998,37.029999,35.869999,36.990002,2952900,36.081573
"2021-11-12",37.09,37.220001,36.330002,36.34,1964500,35.447536
"2021-11-15",36.380001,36.720001,35.98,36.130001,1858100,35.242699
"2021-11-16",36.09,36.18,35.740002,35.849998,2823000,34.969566
"2021-11-17",35.709999,36.27,35.709999,35.889999,2430800,35.008583
"2021-11-18",35.959999,36.040001,34.59,34.700001,4416200,33.847813
"2021-11-19",34.41,34.57,34.060001,34.349998,3984400,33.506405
"2021-11-22",34.490002,34.639999,34.240002,34.32,2488200,33.477142
"2021-11-23",34.540001,34.810001,34.389999,34.509998,3612100,33.662476
"2021-11-24",34.25,34.68,34.119999,34.470001,2018400,33.623466
"2021-11-26",33.25,33.849998,32.93,33.790001,2411800,32.960159
"2021-11-29",34.16,34.27,33.32,34.02,2819100,33.184513
"2021-11-30",33.400002,33.68,32.709999,33.189999,8506800,32.633896
"2021-12-01",33.860001,34.639999,33.029999,33.060001,6385800,32.506073
"2021-12-02",33.240002,34.779999,33.200001,34.490002,3412200,33.912117
"2021-12-03",34.59,35.099998,34.209999,34.419998,4157800,33.843285
"2021-12-06",34.810001,35.279999,34.650002,34.73,2863300,34.14809
"2021-12-07",35,35.599998,34.889999,35.43,2945200,34.836365
"2021-12-08",35.459999,36.419998,35.459999,36.240002,4981900,35.632793
"2021-12-09",35.990002,36.959999,35.93,36.48,3903800,35.868771
"2021-12-10",36.759998,37.099998,36.57,37.040001,4479300,36.419392
"2021-12-13",37.040001,37.07,36.389999,36.849998,3972400,36.232571
"2021-12-14",37.009998,37.009998,36.299999,36.650002,5579500,36.035927
"2021-12-15",36.77,36.900002,35.689999,36.380001,3954100,35.770447
"2021-12-16",36.689999,37.200001,36.330002,36.619999,4190800,36.006424
"2021-12-17",36.68,36.919998,35.959999,36.709999,5502400,36.094917
"2021-12-20",36.290001,36.32,35.330002,35.52,4073600,34.924858
"2021-12-21",35.990002,36.959999,35.68,36.950001,2262000,36.330894
"2021-12-22",36.889999,36.98,36.57,36.689999,2201800,36.075253
"2021-12-23",36.779999,37.130001,36.619999,36.849998,1894000,36.232571
"2021-12-27",37.009998,37.900002,36.639999,37.889999,2246100,37.255146
"2021-12-28",37.740002,38.150002,37.709999,37.84,1386500,37.205982
"2021-12-29",37.849998,37.98,37.689999,37.779999,1565800,37.146988
"2021-12-30",38.09,38.200001,37.700001,37.77,1487900,37.137157
"2021-12-31",37.68,37.810001,37.380001,37.450001,1898900,36.822517
"2022-01-03",37.68,37.959999,37.41,37.650002,2835200,37.019169
"2022-01-04",37.900002,38.73,37.889999,38.400002,3275100,37.756603
"2022-01-05",38.5,38.77,37.200001,37.240002,4178500,36.616039
"2022-01-06",37.59,37.990002,37.349998,37.799999,3238100,37.166653
"2022-01-07",37.830002,38.360001,37.450001,37.540001,3489600,36.911015
"2022-01-10",37.43,37.669998,36.950001,37.330002,2927300,36.704533
"2022-01-11",37.509998,37.77,36.799999,37.349998,2655500,36.724194
"2022-01-12",37.5,38.09,37.299999,37.75,2600800,37.117493
"2022-01-13",37.860001,38.610001,37.779999,38.049999,2945600,37.412464
"2022-01-14",37.580002,38.130001,37.279999,38.060001,2480800,37.422298
"2022-01-18",37.720001,37.84,36.57,36.82,2913800,36.203075
"2022-01-19",37.029999,37.060001,36.450001,36.48,2562600,35.868771
"2022-01-20",36.549999,37.049999,35.939999,36.02,3500600,35.416481
"2022-01-21",35.75,36.330002,35.18,35.349998,3654800,34.757706
"2022-01-24",34.630001,35.68,34.099998,35.610001,4571000,35.013348
