"","TFX.Open","TFX.High","TFX.Low","TFX.Close","TFX.Volume","TFX.Adjusted"
"2021-09-21",381.570007,384.660004,377.230011,378.140015,140400,376.909607
"2021-09-22",380.350006,385.880005,376.929993,383.329987,122600,382.082642
"2021-09-23",385.5,390.540009,381.950012,389.299988,198000,388.033234
"2021-09-24",388.420013,391.390015,385.670013,388.089996,110400,386.827179
"2021-09-27",386.100006,390.48999,382.089996,387.220001,225900,385.960022
"2021-09-28",384.480011,389.670013,381.290009,387.420013,368400,386.159393
"2021-09-29",389.5,391.100006,385.200012,385.200012,178200,383.946625
"2021-09-30",388.070007,388.980011,376.380005,376.549988,183800,375.324707
"2021-10-01",379.420013,384.709991,373.51001,383.269989,133400,382.022858
"2021-10-04",381.420013,383.109985,371.640015,374.339996,223500,373.121948
"2021-10-05",375.200012,381.48999,373.049988,375.609985,179100,374.387787
"2021-10-06",371.73999,378.910004,367.660004,378.73999,211500,377.507599
"2021-10-07",373.459991,382.459991,372.649994,373.98999,250100,372.773041
"2021-10-08",374.679993,374.869995,359.369995,362.910004,519900,361.729126
"2021-10-11",363.519989,364.350006,352.600006,354.140015,446000,352.987701
"2021-10-12",355.140015,356.660004,350.799988,351.459991,399300,350.316406
"2021-10-13",350.480011,357.269989,350.230011,354.51001,227500,353.356506
"2021-10-14",358.220001,366.600006,357.450012,364.480011,203200,363.294037
"2021-10-15",366.350006,370,363.170013,363.200012,212400,362.018188
"2021-10-18",361.179993,362.850006,354.880005,359.869995,169000,358.699005
"2021-10-19",362.019989,369.320007,362.019989,367.820007,260400,366.623138
"2021-10-20",369.809998,374.149994,367.959991,372.25,231100,371.038757
"2021-10-21",371.820007,379.299988,370.579987,378.279999,203900,377.049103
"2021-10-22",378.399994,381.230011,375.98999,376.51001,137700,375.284912
"2021-10-25",376.220001,379.220001,373.829987,376.899994,227200,375.673615
"2021-10-26",378.019989,381.970001,373.059998,373.359985,311300,372.145111
"2021-10-27",373.880005,375.73999,364.059998,366.269989,324500,365.078186
"2021-10-28",348,358.890015,343.149994,347.359985,949300,346.229736
"2021-10-29",345.670013,359.399994,343.290009,356.940002,516600,355.778564
"2021-11-01",357.079987,361.290009,354.959991,359.23999,558700,358.071045
"2021-11-02",362.730011,370.200012,358.059998,369.709991,286900,368.506989
"2021-11-03",369.220001,369.220001,342.779999,348.029999,516600,346.897552
"2021-11-04",350.299988,350.299988,342.859985,346.459991,502300,345.332642
"2021-11-05",348.589996,356.809998,346.459991,353.309998,244500,352.16037
"2021-11-08",355.140015,355.25,350.399994,352.410004,282800,351.263306
"2021-11-09",352.700012,353.309998,338.679993,342.320007,664900,341.206146
"2021-11-10",343.279999,350.339996,340.600006,341.940002,311300,340.827362
"2021-11-11",340.730011,342.059998,328.399994,338.26001,529100,337.159363
"2021-11-12",334.130005,341.369995,334.130005,340.119995,285900,339.35437
"2021-11-15",339.98999,339.98999,335.26001,338.140015,331300,337.378876
"2021-11-16",338.369995,342.130005,337.640015,340.709991,320800,339.943054
"2021-11-17",338.299988,342.480011,338.299988,339.519989,548200,338.755737
"2021-11-18",341.26001,341.26001,329.880005,329.98999,337300,329.247192
"2021-11-19",332.040009,332.040009,318.190002,318.829987,698400,318.112335
"2021-11-22",320.01001,326.890015,318.630005,321.23999,448700,320.516876
"2021-11-23",319.950012,319.950012,312.679993,315.290009,596000,314.580292
"2021-11-24",314.809998,322.200012,314.619995,317.769989,360100,317.054688
"2021-11-26",314.619995,314.619995,304.570007,305.149994,304500,304.463104
"2021-11-29",309.230011,312.359985,304.589996,308.950012,396600,308.254578
"2021-11-30",305.959991,308.579987,297.269989,297.420013,637700,296.750549
"2021-12-01",301.929993,302.980011,289,289.480011,551500,288.8284
"2021-12-02",290.059998,302.549988,290.059998,298.299988,511400,297.62851
"2021-12-03",301.910004,306.329987,297.440002,305.220001,565100,304.532959
"2021-12-06",309.369995,324.679993,308.75,320.420013,575600,319.698761
"2021-12-07",323.540009,329.399994,321.709991,321.809998,474600,321.085602
"2021-12-08",321.850006,325.660004,321.48999,323.279999,325300,322.552307
"2021-12-09",321.230011,325.799988,320.350006,320.350006,293900,319.628906
"2021-12-10",321,322.149994,316.470001,321.290009,342700,320.566803
"2021-12-13",317.600006,325.01001,314.839996,320.76001,495900,320.037994
"2021-12-14",318.459991,323.109985,317.76001,317.779999,368300,317.064697
"2021-12-15",315.980011,320.160004,313.200012,319.029999,395700,318.311859
"2021-12-16",320.570007,325.029999,316.869995,318,450100,317.28418
"2021-12-17",317.980011,325.929993,314.040009,321.5,582600,320.776306
"2021-12-20",316.769989,317.880005,311.190002,312.399994,558600,311.696777
"2021-12-21",315.890015,324.190002,314.23999,321.5,260600,320.776306
"2021-12-22",322.600006,328.329987,320.959991,328.190002,367800,327.451263
"2021-12-23",329.480011,329.730011,325.559998,327.380005,228700,326.643066
"2021-12-27",328.059998,331.420013,325.690002,331.160004,131500,330.414581
"2021-12-28",331.459991,333.619995,328.380005,330.029999,233100,329.287109
"2021-12-29",331.399994,335.980011,330.75,333.690002,289200,332.938873
"2021-12-30",332.220001,335.73999,330.339996,330.890015,140000,330.145203
"2021-12-31",331.049988,335.339996,328.369995,328.480011,168300,327.740631
"2022-01-03",328.480011,337.890015,328.019989,334.730011,403500,333.976532
"2022-01-04",331.019989,336.529999,330.880005,334.549988,296800,333.796936
"2022-01-05",337.230011,340.420013,328.640015,328.640015,252500,327.900269
"2022-01-06",327.929993,334.190002,326.380005,326.859985,287800,326.124237
"2022-01-07",322.369995,325,312.559998,316.420013,423200,315.707764
"2022-01-10",315.950012,324.25,309.609985,323.519989,582100,322.791779
"2022-01-11",324.519989,331.140015,322.109985,330.200012,320000,329.456757
"2022-01-12",329.940002,337.779999,329.420013,334.660004,375200,333.906677
"2022-01-13",334.23999,335.910004,328.589996,329.859985,286400,329.117493
