"","PWR.Open","PWR.High","PWR.Low","PWR.Close","PWR.Volume","PWR.Adjusted"
"2020-08-13",49.040001,50.099998,48.919998,49.27,1216600,49.006161
"2020-08-14",48.959999,49.619999,48.869999,49.450001,1002200,49.1852
"2020-08-17",49.779999,51.139999,49.700001,50.790001,2139100,50.518021
"2020-08-18",50.73,50.939999,49.439999,50.34,1491800,50.070435
"2020-08-19",50.27,50.560001,49.689999,49.849998,1188600,49.583054
"2020-08-20",49.27,50.299999,48.919998,49.77,989400,49.50349
"2020-08-21",49.68,50.25,49.459999,49.580002,879800,49.314503
"2020-08-24",49.970001,50.959999,49.91,50.900002,985700,50.627438
"2020-08-25",51.240002,51.450001,50.48,51.139999,836200,50.86615
"2020-08-26",51.139999,51.700001,50.59,51.43,787300,51.154591
"2020-08-27",51.380001,51.82,50.939999,51,984900,50.726894
"2020-08-28",51.16,51.41,50.759998,51.389999,588600,51.114807
"2020-08-31",51.080002,51.790001,50.48,51.25,907500,50.975559
"2020-09-01",51.189999,52.869999,50.77,52.57,1197000,52.28849
"2020-09-02",52.68,53.610001,52.110001,53.34,1093000,53.054363
"2020-09-03",53.240002,53.360001,51.049999,51.5,1319300,51.22422
"2020-09-04",52.209999,52.84,51.349998,51.98,1042600,51.701653
"2020-09-08",51.27,52.060001,50.529999,51.360001,1122400,51.084976
"2020-09-09",52.029999,52.939999,51.759998,52.23,980000,51.950314
"2020-09-10",52.490002,52.509998,50.849998,51.16,833300,50.886044
"2020-09-11",51.580002,52.349998,51.279999,51.560001,804500,51.283905
"2020-09-14",52.080002,52.369999,51.130001,52.259998,1039200,51.980148
"2020-09-15",52.349998,52.459999,51.529999,51.990002,1016200,51.711601
"2020-09-16",52.349998,52.990002,51.98,52.529999,1098900,52.248711
"2020-09-17",51.810001,53.360001,51.369999,52.580002,1173300,52.298439
"2020-09-18",52.43,53.099998,51.66,51.900002,1902100,51.622082
"2020-09-21",50.849998,50.849998,48.529999,49.220001,1791200,48.956432
"2020-09-22",49.169998,50.389999,49.130001,50.080002,1206400,49.811829
"2020-09-23",51.139999,52.66,50.549999,51.290001,1756700,51.015347
"2020-09-24",51.029999,52.009998,50.080002,51.419998,984000,51.144646
"2020-09-25",51.009998,51.970001,50.59,51.709999,708000,51.433098
"2020-09-28",52.490002,53.099998,51.919998,52.889999,944600,52.606773
"2020-09-29",52.610001,53.32,52.450001,52.740002,919800,52.457584
"2020-09-30",52.700001,54.119999,52.389999,52.860001,1739800,52.626831
"2020-10-01",53.419998,53.970001,52.610001,53.560001,1831300,53.323742
"2020-10-02",52.73,55.830002,52.650002,55.200001,1516100,54.956509
"2020-10-05",55.549999,57.66,55.549999,56.900002,1727500,56.649014
"2020-10-06",57.080002,57.790001,56.240002,56.740002,1535600,56.489719
"2020-10-07",57.330002,58.889999,57.299999,58.360001,959200,58.10257
"2020-10-08",58.560001,59.25,57.810001,59,1217900,58.739746
"2020-10-09",59.200001,59.360001,58.18,59.23,1244300,58.968735
"2020-10-12",60,61.68,59.77,61.34,1679600,61.069427
"2020-10-13",60.740002,60.970001,60.23,60.369999,813800,60.103699
"2020-10-14",60.68,61.34,59.669998,60.82,1554300,60.551716
"2020-10-15",59.84,62.400002,59.75,62.049999,1197000,61.776295
"2020-10-16",62.099998,62.529999,61.720001,61.98,1922300,61.7066
"2020-10-19",62.349998,63.889999,61.169998,61.889999,1364300,61.617001
"2020-10-20",62.040001,64.139999,61.849998,63.040001,889400,62.761925
"2020-10-21",62.259998,63.57,61.450001,61.57,1651800,61.298412
"2020-10-22",61.700001,62.279999,60.959999,61.119999,1146900,60.850395
"2020-10-23",61.599998,62.470001,61.110001,62.27,1072200,61.995323
"2020-10-26",61.360001,61.509998,60.349998,61.139999,1416000,60.870304
"2020-10-27",61.630001,61.98,60.310001,60.77,916900,60.501942
"2020-10-28",59.310001,61.310001,58.93,60.880001,2227300,60.611458
"2020-10-29",59.869999,64.25,59.599998,62.66,1832500,62.383602
"2020-10-30",61.900002,63.369999,60.939999,62.43,1272300,62.154617
"2020-11-02",63.650002,66.940002,62.779999,66.449997,2849400,66.156883
"2020-11-03",66.949997,68.269997,65.970001,67.32,2117700,67.023056
"2020-11-04",65.970001,66.300003,61.740002,63.459999,3029900,63.180073
"2020-11-05",65.07,66.260002,64.449997,64.489998,1475600,64.205528
"2020-11-06",64.699997,65.989998,64.099998,65.120003,1204000,64.832748
"2020-11-09",68.870003,70.32,65.400002,65.489998,1248400,65.201126
"2020-11-10",65.860001,68.410004,65.68,66.580002,1768100,66.286308
"2020-11-11",66.940002,67.800003,64.75,67.540001,1738200,67.242088
"2020-11-12",66.970001,67.580002,66.07,67.07,1591900,66.774147
"2020-11-13",67.620003,69.279999,67.099998,68.940002,1011800,68.635895
"2020-11-16",70,70.190002,68.699997,69.349998,976400,69.044098
"2020-11-17",68.669998,68.870003,67.059998,67.389999,1839800,67.092735
"2020-11-18",67.940002,68.730003,67.269997,67.580002,1461600,67.281898
"2020-11-19",67.639999,69.010002,66.919998,68.220001,1254300,67.91909
"2020-11-20",68.160004,68.389999,66.629997,66.879997,1401800,66.584984
"2020-11-23",67.620003,68.959999,67.32,68.910004,920200,68.606041
"2020-11-24",69.139999,70.919998,68.239998,70.629997,1393200,70.318443
"2020-11-25",70.059998,70.32,68.769997,69.690002,706100,69.382591
"2020-11-27",69.839996,70.110001,69.230003,69.93,400900,69.621529
"2020-11-30",69.730003,70.199997,67.910004,68.339996,1332000,68.038536
"2020-12-01",69.419998,70.480003,68.949997,69.959999,1213800,69.651405
"2020-12-02",69.830002,69.860001,68.220001,68.57,975800,68.267532
"2020-12-03",68.599998,69.790001,68,69.370003,1651600,69.064011
"2020-12-04",69.580002,71.669998,69.339996,70.730003,1330100,70.417999
"2020-12-07",70.790001,71.620003,70.379997,71.510002,805000,71.194572
"2020-12-08",71.370003,72.400002,71.190002,71.730003,1015100,71.413597
"2020-12-09",72.120003,73.519997,72.120003,73.099998,1072300,72.777557
"2020-12-10",72.540001,73.980003,71.589996,73.010002,1324000,72.68795
"2020-12-11",73.5,73.760002,72,72.07,1446700,71.752098
"2020-12-14",72.230003,72.43,68.290001,68.510002,2101400,68.207802
"2020-12-15",68.900002,69.620003,68.599998,69.239998,1874700,68.93457
"2020-12-16",68.610001,69.220001,67.190002,68.400002,4594900,68.098282
"2020-12-17",68.790001,69.209999,68.150002,68.82,1425700,68.516434
"2020-12-18",68.910004,69.300003,67.410004,68.290001,2172300,67.98877
"2020-12-21",67.379997,68.629997,66.75,68.580002,1271100,68.277489
"2020-12-22",68.459999,69.480003,68.309998,69.129997,1179800,68.825066
"2020-12-23",69.400002,71.080002,69.370003,70.809998,1201800,70.49765
"2020-12-24",71.050003,71.18,70.389999,70.93,243900,70.617126
"2020-12-28",71.550003,71.989998,70.580002,70.709999,625600,70.398094
"2020-12-29",71.43,71.43,69.769997,70.620003,593000,70.308495
"2020-12-30",70.790001,71.650002,70.629997,71.150002,610900,70.836159
"2020-12-31",71.32,72.199997,70.940002,72.019997,524200,71.762825
"2021-01-04",70.900002,71.830002,67.599998,68.25,3380800,68.006287
"2021-01-05",68.25,70.019997,68.150002,69.57,1929400,69.321587
"2021-01-06",70.919998,74.959999,70.699997,74.800003,1939600,74.532906
"2021-01-07",75.919998,77.400002,74.900002,76.389999,1166700,76.117218
"2021-01-08",76.620003,76.800003,75.010002,75.980003,809400,75.708687
"2021-01-11",75.059998,76.639999,75,75.309998,915900,75.041084
"2021-01-12",75.889999,76.589996,74.43,76.260002,728500,75.987701
"2021-01-13",75.849998,76.260002,74,74.769997,882300,74.503014
"2021-01-14",75.209999,77.889999,74.620003,77.580002,1307900,77.302979
"2021-01-15",76.779999,77.199997,74.800003,76.160004,1021300,75.888054
"2021-01-19",77.199997,78.370003,76.620003,78.25,1151300,77.970581
"2021-01-20",78.620003,79.860001,78.129997,79.269997,1328000,78.986938
"2021-01-21",79.160004,79.809998,77.349998,77.809998,827300,77.53215
"2021-01-22",77.559998,78.120003,76.639999,77.660004,1034600,77.38269
"2021-01-25",77.540001,77.769997,74.410004,75.720001,697200,75.449615
"2021-01-26",76.290001,76.290001,74.739998,74.839996,698300,74.572762
"2021-01-27",73.169998,73.360001,70.379997,71.669998,1130500,71.414078
"2021-01-28",72.93,73.43,71.599998,72.550003,996400,72.290939
"2021-01-29",72.150002,72.269997,69.839996,70.470001,957000,70.218369
"2021-02-01",71.559998,73.099998,70.470001,72.879997,1458700,72.619766
"2021-02-02",73.93,76.790001,73.559998,75.82,1320800,75.549263
"2021-02-03",75.629997,75.629997,74.059998,74.120003,861300,73.855339
"2021-02-04",74.260002,75.43,73.709999,75.309998,929500,75.041084
"2021-02-05",76.139999,76.209999,74.800003,75.949997,687000,75.678787
"2021-02-08",76.75,77.07,76.080002,76.580002,852700,76.306549
"2021-02-09",76.650002,77.889999,76.099998,77.169998,773000,76.894432
"2021-02-10",77.440002,77.440002,76.150002,76.220001,848800,75.947838
"2021-02-11",76.57,78.529999,76.120003,77.010002,876100,76.735023
"2021-02-12",76.699997,78.050003,76.559998,77.870003,637300,77.591949
"2021-02-16",78.75,79.550003,77.339996,77.610001,629300,77.332886
"2021-02-17",77.360001,78.019997,76.019997,76.830002,604800,76.555649
"2021-02-18",76.360001,76.5,73.900002,75.879997,793900,75.609047
"2021-02-19",76.599998,77.779999,76.419998,77.25,802700,76.974159
"2021-02-22",77.160004,78.68,76.059998,77.910004,1110800,77.631805
"2021-02-23",77.199997,78.739998,74.839996,78.209999,1217900,77.930733
"2021-02-24",78.68,81.989998,78.370003,81.129997,1720500,80.840294
"2021-02-25",84,86.230003,83.43,84.610001,2031900,84.307884
"2021-02-26",84.589996,85.760002,82.650002,83.849998,1536000,83.550591
"2021-03-01",85.68,87.669998,85.220001,85.699997,1495700,85.393974
"2021-03-02",85.349998,85.379997,83.559998,84.209999,1331000,83.909294
"2021-03-03",84.209999,85.040001,82.580002,82.730003,1382400,82.434601
"2021-03-04",82.25,82.510002,79.040001,81.830002,2443000,81.537811
"2021-03-05",82.669998,83.639999,78.790001,83.120003,1650200,82.823204
"2021-03-08",84.239998,84.900002,82.849998,83.339996,1507600,83.042404
"2021-03-09",84.129997,84.660004,83.050003,83.230003,948600,82.9328
"2021-03-10",83.169998,85.809998,82.690002,85.489998,1421000,85.184731
"2021-03-11",86.379997,88.25,85.82,87.410004,1391400,87.09787
"2021-03-12",87.389999,88.709999,87.150002,88.639999,675400,88.323479
"2021-03-15",88.18,88.970001,87.339996,88.849998,893500,88.53273
"2021-03-16",88.900002,88.910004,86.949997,87.260002,965800,86.948418
"2021-03-17",87.510002,88.400002,86.940002,87.93,1038400,87.616028
"2021-03-18",88.040001,88.739998,85.699997,85.809998,1157900,85.503593
"2021-03-19",85.209999,86.379997,83.830002,85.459999,1392000,85.154839
"2021-03-22",85.459999,85.769997,83.870003,85.050003,733700,84.746307
"2021-03-23",84.120003,84.940002,81.610001,82.389999,1900400,82.095802
"2021-03-24",83.339996,84.459999,82.129997,82.279999,1744700,81.986198
"2021-03-25",81.739998,84.010002,80.389999,83.480003,1118000,83.181915
"2021-03-26",84.660004,87.199997,83.709999,87.139999,1253700,86.828842
"2021-03-29",86.559998,87.760002,84.080002,84.32,1016000,84.018921
"2021-03-30",84.290001,87.760002,84.139999,87.57,1571000,87.257301
"2021-03-31",88.18,88.900002,86.660004,87.980003,1412000,87.665855
"2021-04-01",89,90.220001,88.110001,89.169998,1358800,88.851585
"2021-04-05",90.910004,92.150002,90.169998,91.93,1368100,91.663406
"2021-04-06",91.800003,94.099998,91.800003,92.150002,1928600,91.882782
"2021-04-07",92.150002,92.230003,90.43,91.099998,1562800,90.835831
"2021-04-08",91.290001,91.889999,90.110001,91.519997,1109600,91.254608
"2021-04-09",91.910004,93.75,91.400002,93.720001,933700,93.448219
"2021-04-12",93.809998,94.129997,92.739998,93.25,976200,92.979591
"2021-04-13",93.519997,94.489998,92.669998,94.059998,1856300,93.787231
"2021-04-14",93.5,95.010002,93.32,94.010002,1176100,93.737389
"2021-04-15",94.519997,95.32,93.730003,95.279999,907900,95.003708
"2021-04-16",95.919998,96.489998,94.629997,95.699997,918900,95.422478
"2021-04-19",96.290001,96.480003,95.209999,95.830002,714700,95.552109
"2021-04-20",95.290001,95.360001,92.18,93.75,1209800,93.478134
"2021-04-21",94,95.660004,93.370003,95.57,853500,95.292862
"2021-04-22",95.760002,96.769997,94.849998,95.919998,1125000,95.641838
"2021-04-23",95.82,97.949997,95.529999,97.639999,847300,97.356857
"2021-04-26",98.470001,98.949997,97.349998,97.720001,833100,97.43663
"2021-04-27",97.760002,98.370003,97.019997,98.18,726500,97.895294
"2021-04-28",98.25,98.419998,97.699997,97.849998,581500,97.566246
"2021-04-29",98.629997,98.919998,97.379997,98.739998,552000,98.453667
"2021-04-30",98.040001,98.629997,96.379997,96.639999,1727700,96.359756
"2021-05-03",97.839996,98.5,97.050003,97.18,866600,96.898193
"2021-05-04",96.769997,97.690002,95.300003,97.650002,729100,97.366821
"2021-05-05",97.919998,98.470001,96.769997,97.379997,905100,97.09761
"2021-05-06",97.300003,100,96.309998,98.589996,1195300,98.304092
"2021-05-07",97.529999,101.720001,97.32,100.18,1584400,99.889496
"2021-05-10",100.730003,101.959999,100.120003,100.599998,1075100,100.308258
"2021-05-11",99,100.040001,97.279999,98.589996,1362300,98.304092
"2021-05-12",98.529999,99.150002,94.510002,94.669998,1109300,94.39547
"2021-05-13",94.339996,96.349998,93.690002,96.019997,940900,95.741547
"2021-05-14",96.949997,97.730003,96.199997,97.419998,575900,97.137497
"2021-05-17",96.889999,97.639999,95.800003,96.779999,683500,96.499359
"2021-05-18",96.779999,97.050003,93.110001,93.190002,1404000,92.919769
"2021-05-19",92.330002,92.470001,90.029999,91.269997,1900200,91.005325
"2021-05-20",91.82,92.010002,89.860001,90.940002,1978500,90.676285
"2021-05-21",91.940002,93.360001,91.900002,92.620003,959500,92.35141
"2021-05-24",93.059998,93.239998,92.220001,92.480003,560100,92.211815
"2021-05-25",93.330002,94.269997,92.800003,93.82,1258300,93.547928
"2021-05-26",93.669998,94.839996,93.370003,94.300003,808200,94.02655
"2021-05-27",95.68,96.75,95.18,95.580002,1134900,95.302841
"2021-05-28",95.660004,95.82,94.529999,95.349998,650300,95.073502
"2021-06-01",97.360001,97.989998,96.120003,96.449997,996000,96.170296
"2021-06-02",96.559998,96.68,92.940002,93.550003,1489700,93.278725
"2021-06-03",93.07,93.830002,91.25,93.459999,807200,93.188972
"2021-06-04",93.639999,94.260002,91.980003,93.160004,851300,92.889847
"2021-06-07",92.959999,93.32,91.68,92.239998,1080500,91.972519
"2021-06-08",93.25,94.879997,92.5,94.519997,978700,94.245903
"2021-06-09",94.040001,94.480003,92.779999,92.839996,753000,92.570778
"2021-06-10",93.769997,93.980003,91.43,91.669998,1738400,91.404167
"2021-06-11",92.32,93.059998,91.400002,92.120003,1598900,91.852875
"2021-06-14",92.82,93.629997,91.169998,91.709999,831800,91.444046
"2021-06-15",91.5,92.400002,91.099998,92.050003,686100,91.783073
"2021-06-16",91.870003,92.110001,90.410004,91.099998,1079000,90.835831
"2021-06-17",91.099998,91.660004,87.110001,87.150002,1820500,86.897278
"2021-06-18",85.610001,86.669998,85.230003,85.910004,2179100,85.660873
"2021-06-21",86.779999,88.910004,86.779999,88.209999,1772400,87.954208
"2021-06-22",88.330002,89.400002,87.279999,88.940002,1278000,88.682083
"2021-06-23",89.440002,90.699997,88.800003,89.82,1055500,89.559532
"2021-06-24",90.5,92.519997,89.709999,92.059998,1401000,91.793037
"2021-06-25",92.489998,93.139999,92.110001,92.309998,2015000,92.042313
"2021-06-28",92.239998,92.800003,90.040001,91.190002,731000,90.92556
"2021-06-29",91.709999,92.150002,90.43,90.709999,703800,90.44696
"2021-06-30",90.269997,91.199997,89.800003,90.57,1040700,90.367126
"2021-07-01",91.860001,91.860001,90.360001,90.760002,724700,90.556709
"2021-07-02",90.75,90.870003,89.050003,89.529999,800500,89.329453
"2021-07-06",89.639999,89.639999,86.940002,87.989998,906900,87.792908
"2021-07-07",86.980003,88.879997,86.940002,87.970001,1618400,87.772957
"2021-07-08",86.449997,88.559998,85.059998,87.260002,1404000,87.064545
"2021-07-09",88.68,90.139999,88.400002,89.790001,904200,89.588882
"2021-07-12",89.690002,91,88.68,90.629997,722300,90.426987
"2021-07-13",90.019997,90.410004,89.339996,89.739998,688100,89.538994
"2021-07-14",90.410004,91.389999,88.339996,88.809998,623600,88.611076
"2021-07-15",87.760002,89.760002,87.440002,88.330002,791400,88.132141
"2021-07-16",88.870003,89.419998,87.57,87.940002,927100,87.743027
"2021-07-19",86.440002,86.629997,84.400002,85.440002,882500,85.248619
"2021-07-20",85.300003,88.839996,84.93,88.300003,946300,88.102219
"2021-07-21",89.5,90.580002,89.239998,89.550003,604400,89.349426
"2021-07-22",89.410004,89.889999,88.580002,89.220001,598300,89.020157
"2021-07-23",89.709999,89.93,88.739998,89.769997,540200,89.568924
"2021-07-26",89.940002,90.639999,87.82,88.18,683500,87.982483
"2021-07-27",87.550003,88.75,87.089996,88.089996,639400,87.892693
"2021-07-28",88.32,90.57,86.940002,89.660004,757800,89.459175
"2021-07-29",90.889999,91.900002,90.07,91.449997,637400,91.245155
"2021-07-30",90.879997,91.860001,90.529999,90.900002,630400,90.696388
"2021-08-02",91.860001,93.419998,89.019997,89.099998,688300,88.900421
"2021-08-03",89.580002,91.300003,88.309998,91.18,870000,90.975761
"2021-08-04",90.529999,90.970001,89.019997,89.040001,1054400,88.840561
"2021-08-05",88.309998,94.260002,88.309998,92.529999,1216300,92.322739
"2021-08-06",93.599998,94.589996,92.050003,92.349998,739500,92.143143
"2021-08-09",91.790001,92.550003,90.089996,92.080002,811000,91.873749
"2021-08-10",92.239998,94.849998,91.290001,94.239998,812900,94.028915
"2021-08-11",94.529999,97.330002,94.099998,97.139999,1352200,96.922409
"2021-08-12",98.169998,99.519997,97.389999,98.360001,1199500,98.139687
"2021-08-13",98.370003,98.650002,97.050003,97.470001,636400,97.251671
"2021-08-16",96.760002,97.5,96.32,96.970001,627200,96.752792
"2021-08-17",96.110001,96.110001,92.860001,95.050003,1041100,94.837105
"2021-08-18",94.720001,96.980003,94.57,96.239998,885800,96.024429
"2021-08-19",94.989998,96.279999,94.910004,95.879997,820300,95.665245
"2021-08-20",95.68,96.410004,95.18,96.300003,607300,96.084297
"2021-08-23",97.279999,98.059998,96.57,97.510002,634500,97.291588
"2021-08-24",97.760002,99.360001,97.529999,99.050003,809000,98.82814
"2021-08-25",99.480003,102.699997,99.050003,102.190002,1263400,101.961105
"2021-08-26",102,102.889999,101.139999,101.589996,776800,101.362442
"2021-08-27",102.220001,103.790001,101.75,103.349998,1007600,103.1185
"2021-08-30",104.07,104.389999,103,103.410004,641900,103.178368
"2021-08-31",103.690002,103.940002,101.980003,102.099998,822500,101.8713
"2021-09-01",102.209999,102.660004,100.610001,101.769997,750600,101.542046
"2021-09-02",110.269997,114.730003,108.720001,114.040001,3668800,113.784561
"2021-09-03",114.440002,116.43,113.32,116,2387500,115.740166
"2021-09-07",115.720001,116.120003,113.459999,115.260002,1511900,115.001831
"2021-09-08",115.260002,116.720001,114.790001,115.709999,1095200,115.450829
"2021-09-09",115.190002,116.300003,113.919998,114.5,892100,114.24353
"2021-09-10",115.389999,117.07,114.400002,115.800003,1325900,115.540627
"2021-09-13",116.660004,117.190002,114.419998,115.160004,1075400,114.902061
"2021-09-14",115.489998,116.669998,114.360001,116,1398400,115.740166
"2021-09-15",115.660004,119.699997,115.050003,118.169998,1306000,117.905304
"2021-09-16",118,119.419998,116.610001,116.870003,1082500,116.608223
"2021-09-17",117.529999,118.910004,116.349998,118.419998,2272300,118.154747
"2021-09-20",115.230003,117.07,114.07,116.709999,1320400,116.448578
"2021-09-21",117.699997,117.779999,113.860001,114.870003,1212400,114.612709
"2021-09-22",115.900002,118.010002,115.769997,115.870003,1037500,115.610458
"2021-09-23",116.690002,119.300003,116.300003,118.610001,1326600,118.344322
"2021-09-24",118.019997,119.410004,117.269997,117.290001,1027500,117.027283
"2021-09-27",118.010002,118.720001,116.739998,117.029999,931500,116.767853
"2021-09-28",115.860001,117.120003,114.099998,115.830002,901500,115.570549
"2021-09-29",116.389999,116.449997,114.529999,115.849998,1262000,115.590508
"2021-09-30",116.580002,116.580002,113.82,113.82,1093300,113.623894
"2021-10-01",114.300003,117.629997,113.349998,116.669998,1512600,116.468987
"2021-10-04",116.150002,117.449997,112.879997,113.139999,1552300,112.945068
"2021-10-05",113.160004,114.690002,111.690002,112.660004,2449400,112.465904
"2021-10-06",111.470001,112.860001,108.559998,111.709999,1485900,111.517532
"2021-10-07",112.169998,114.010002,111.440002,113.389999,1632700,113.194633
"2021-10-08",113.190002,114.080002,112.190002,112.769997,617500,112.575706
"2021-10-11",112.470001,113.209999,110.860001,110.900002,624000,110.708931
"2021-10-12",110.940002,112.489998,110.309998,111.639999,664500,111.447647
"2021-10-13",111.900002,112.150002,110.449997,111,635200,110.808754
"2021-10-14",112.230003,113.290001,111.650002,113.139999,743800,112.945068
"2021-10-15",114.790001,115.230003,112.160004,112.339996,1145700,112.146446
"2021-10-18",111.889999,113.279999,111.540001,112.669998,716900,112.475883
"2021-10-19",113.209999,114.220001,111.970001,113.25,843600,113.054886
"2021-10-20",113.260002,114.849998,112.360001,114.32,901200,114.123039
"2021-10-21",114.279999,116.769997,113.150002,116.599998,1320500,116.399109
"2021-10-22",116.589996,118.75,116.589996,118.059998,777300,117.856598
"2021-10-25",118.169998,121.389999,117.699997,120.519997,929200,120.312347
"2021-10-26",121.669998,121.949997,119.540001,119.699997,676800,119.493767
"2021-10-27",119.32,119.629997,116.32,116.470001,790800,116.269333
"2021-10-28",117.139999,121.849998,117.139999,121.510002,880000,121.300652
"2021-10-29",121.019997,122.949997,120.559998,121.279999,905200,121.071045
"2021-11-01",122.010002,122.389999,120.519997,120.980003,926900,120.771568
"2021-11-02",120.980003,121.400002,118.889999,120.68,913000,120.472076
"2021-11-03",119.919998,120.230003,115.160004,116.82,1638900,116.618736
"2021-11-04",112.260002,117.419998,110.800003,113.279999,1803500,113.084831
"2021-11-05",114.089996,118.830002,112.559998,117.419998,1657700,117.217697
"2021-11-08",121.43,124.690002,119.589996,119.800003,1313600,119.593597
"2021-11-09",120,121.199997,117.709999,118.209999,891100,118.006332
"2021-11-10",117.480003,118.690002,115.480003,116.040001,635300,115.840073
"2021-11-11",116.199997,118.160004,116.150002,116.540001,607200,116.339211
"2021-11-12",116.639999,117.510002,113.559998,116.980003,1233900,116.778458
"2021-11-15",118.57,119.279999,117.709999,118.68,1182200,118.475525
"2021-11-16",118.82,120,117.940002,119.489998,869700,119.284134
"2021-11-17",119.43,119.980003,117.510002,118.5,957600,118.295837
"2021-11-18",118.910004,119.82,117.900002,119.059998,566700,118.854874
"2021-11-19",118.400002,121.589996,117.980003,121.059998,813900,120.851425
"2021-11-22",122,122.639999,119.269997,120.57,1056300,120.362267
"2021-11-23",120.449997,121.830002,119.349998,120.830002,1038300,120.621819
"2021-11-24",120.370003,122.550003,119.019997,121.980003,861700,121.769836
"2021-11-26",118.470001,119.410004,116,117.540001,647100,117.337486
"2021-11-29",121.029999,124.199997,119.949997,121.68,1100100,121.470352
"2021-11-30",120.190002,121.370003,113.599998,113.779999,1647600,113.583961
"2021-12-01",116.599998,117.830002,110.489998,110.510002,1129400,110.319611
"2021-12-02",111.150002,115.919998,110.599998,113.589996,1731000,113.394287
"2021-12-03",114.190002,114.449997,110.129997,112.610001,1047700,112.415985
"2021-12-06",114.150002,114.839996,111.57,112.959999,1191300,112.765381
"2021-12-07",115,117.510002,114.489998,117,797600,116.798424
"2021-12-08",116.940002,117.389999,115.720001,116.059998,1018200,115.860039
"2021-12-09",115.25,117.029999,113.580002,113.660004,844100,113.46418
"2021-12-10",114.5,115.269997,113.239998,114.360001,611300,114.162971
"2021-12-13",114.760002,114.889999,111.349998,112.010002,989100,111.817024
"2021-12-14",111.660004,112.779999,109.32,110.760002,1005300,110.569176
"2021-12-15",111.419998,112.269997,108.699997,112.160004,864400,111.966766
"2021-12-16",113.139999,115.209999,110.550003,111.349998,913700,111.15815
"2021-12-17",110.660004,111.519997,107.379997,108.860001,2274600,108.672447
"2021-12-20",105.709999,107.639999,105.220001,107.440002,1690400,107.25489
"2021-12-21",108.370003,110.970001,108.370003,110.830002,951400,110.639053
"2021-12-22",111.169998,111.75,110.129997,111.519997,692300,111.327866
"2021-12-23",111.959999,113.040001,111.510002,111.879997,493100,111.687241
"2021-12-27",112.349998,114.440002,112.059998,114.379997,608100,114.182938
"2021-12-28",114.400002,115.669998,114.110001,114.300003,432200,114.103081
"2021-12-29",114.419998,115.339996,114.07,114.279999,412800,114.083107
"2021-12-30",114.389999,115.370003,112.599998,112.830002,644600,112.635605
"2021-12-31",112.830002,115.260002,112.830002,114.660004,631400,114.462456
"2022-01-03",114.75,115.889999,111.940002,112.269997,923600,112.145027
"2022-01-04",113.139999,116.720001,113,116.150002,853300,116.020714
"2022-01-05",115.919998,117.589996,109.18,109.32,1585700,109.198311
"2022-01-06",109.779999,110.489998,108.040001,109.989998,1044700,109.867569
"2022-01-07",109.800003,110.25,106.620003,106.690002,832200,106.571251
"2022-01-10",105.919998,108,103.589996,107.769997,1380400,107.65004
"2022-01-11",108.25,110.57,105.389999,109.980003,1133200,109.85759
"2022-01-12",110.730003,111.379997,108.279999,110.139999,757300,110.017403
"2022-01-13",110.709999,111.849998,107.029999,107.279999,824000,107.160591
