"","AIG.Open","AIG.High","AIG.Low","AIG.Close","AIG.Volume","AIG.Adjusted"
"2020-12-01",39.5,39.779999,39.09,39.310001,6245700,37.606255
"2020-12-02",39.060001,39.889999,38.759998,39.73,5175400,38.008057
"2020-12-03",39.669998,40.27,39.52,39.84,4581300,38.113285
"2020-12-04",40.25,40.810001,40.150002,40.689999,4597600,38.926441
"2020-12-07",40.279999,40.34,39.57,39.790001,4478500,38.065456
"2020-12-08",39.279999,39.950001,39.18,39.52,3322600,37.807156
"2020-12-09",39.91,40.290001,39.560001,39.939999,5388400,38.208946
"2020-12-10",39.279999,39.939999,39.060001,39.709999,4716300,37.988918
"2020-12-11",38.830002,39.169998,38.560001,38.790001,5299000,37.410259
"2020-12-14",39.299999,39.369999,38.080002,38.16,3942000,36.802666
"2020-12-15",38.48,38.869999,37.650002,38.540001,3292700,37.169155
"2020-12-16",38.759998,38.77,38.080002,38.32,3691200,36.956978
"2020-12-17",38.32,38.349998,37.830002,38.23,5233200,36.870178
"2020-12-18",38.200001,38.459999,36.970001,37.48,9293000,36.146858
"2020-12-21",37.110001,37.669998,36.779999,37.369999,5341700,36.040775
"2020-12-22",37.560001,37.619999,36.77,36.799999,5374200,35.491051
"2020-12-23",37.25,38.040001,37.240002,37.439999,3890600,36.10828
"2020-12-24",37.48,37.5,36.970001,37.369999,1613800,36.040775
"2020-12-28",37.549999,38.02,37.029999,37.07,3837300,35.751438
"2020-12-29",37.360001,37.43,36.919998,37.16,4047300,35.838238
"2020-12-30",37.110001,38.040001,37.099998,37.52,2522200,36.185436
"2020-12-31",37.529999,37.959999,37.23,37.860001,2956200,36.513344
"2021-01-04",37.650002,37.950001,36.82,37.130001,7081000,35.809303
"2021-01-05",37.279999,38.009998,37.18,37.75,4268000,36.407249
"2021-01-06",38.619999,40.66,38.619999,40.209999,8198600,38.779755
"2021-01-07",40.779999,41.040001,40.349998,40.889999,5109700,39.435566
"2021-01-08",41,41.119999,40.009998,40.619999,5344800,39.175171
"2021-01-11",39.919998,40.790001,39.709999,40.279999,3457000,38.847263
"2021-01-12",40.66,41.259998,40.57,41,3975800,39.541653
"2021-01-13",40.689999,41.119999,40.43,40.720001,3608400,39.27161
"2021-01-14",41,41.450001,40.68,41.299999,3984000,39.830982
"2021-01-15",40.880001,41.509998,40.529999,41.349998,7124400,39.879204
"2021-01-19",41.580002,42.419998,41.52,42.25,5159400,40.747196
"2021-01-20",42.23,42.57,42,42.080002,6421300,40.583241
"2021-01-21",41.950001,42.139999,41.049999,41.049999,5608300,39.589874
"2021-01-22",40.529999,40.93,39.959999,40.080002,4752300,38.654377
"2021-01-25",39.529999,39.799999,38.990002,39.580002,4084100,38.172161
"2021-01-26",39.869999,39.939999,39.009998,39.110001,3741300,37.71888
"2021-01-27",38.57,38.740002,37.099998,37.599998,5772000,36.262589
"2021-01-28",38.060001,38.93,37.93,38.48,5048200,37.11129
"2021-01-29",38.110001,38.110001,36.799999,37.439999,5291000,36.10828
"2021-02-01",37.73,37.91,36.869999,37.419998,3649500,36.088989
"2021-02-02",38.09,38.990002,37.849998,38.57,4878200,37.198082
"2021-02-03",38.529999,39.349998,38.48,38.950001,4680700,37.564571
"2021-02-04",39.189999,41.349998,38.950001,41.34,5088100,39.86956
"2021-02-05",41.82,41.93,41.18,41.68,3968200,40.197468
"2021-02-08",41.650002,42.32,41.470001,42.290001,3899600,40.785767
"2021-02-09",42.119999,42.509998,41.75,42.139999,3464700,40.641106
"2021-02-10",42.349998,42.77,41.959999,42.43,3705300,40.920788
"2021-02-11",42.330002,42.529999,41.290001,41.599998,3445600,40.120312
"2021-02-12",41.459999,42.189999,41.189999,41.400002,4154900,39.927433
"2021-02-16",41.740002,42.630001,41.509998,42.150002,4937300,40.650753
"2021-02-17",41.279999,43.360001,41.169998,43.27,4872000,41.730907
"2021-02-18",42.459999,43,41.490002,42.110001,4032600,40.612171
"2021-02-19",42.5,42.82,42.080002,42.580002,3664200,41.065456
"2021-02-22",42.5,44.349998,42.459999,44.099998,6263200,42.531387
"2021-02-23",44.740002,44.740002,43.84,44.369999,5021600,42.791782
"2021-02-24",44.509998,45.959999,44.459999,45.43,4552800,43.814087
"2021-02-25",45.970001,46.130001,43.880001,43.950001,5388400,42.386726
"2021-02-26",45,45.25,43.630001,43.950001,6181100,42.386726
"2021-03-01",44.900002,48,44.759998,45.310001,7864700,43.698353
"2021-03-02",45.259998,46.279999,45.220001,45.959999,4611100,44.325233
"2021-03-03",46.049999,47.68,46.049999,47.009998,5633200,45.337875
"2021-03-04",47.18,47.580002,44.98,46.27,4876400,44.624207
"2021-03-05",46.939999,47.27,45.900002,46.970001,5327800,45.299305
"2021-03-08",47.610001,48.220001,47.139999,47.240002,5921200,45.5597
"2021-03-09",46.57,47.240002,45.810001,46.619999,5638400,44.96175
"2021-03-10",46.970001,48.009998,46.700001,47.849998,3822600,46.147999
"2021-03-11",47.66,48.380001,47.5,48.009998,4514600,46.302311
"2021-03-12",48.84,48.919998,48.290001,48.439999,3069500,46.717018
"2021-03-15",48.07,48.400002,47.52,48.34,2994000,46.930599
"2021-03-16",47.939999,48.009998,46.880001,47.330002,4247300,45.95005
"2021-03-17",47.630001,48.029999,47.150002,47.669998,5361400,46.280136
"2021-03-18",48.080002,49,47.740002,47.82,5577600,46.425766
"2021-03-19",47.490002,47.619999,46.560001,46.830002,7285700,45.464634
"2021-03-22",46.560001,46.650002,45.82,46.23,4907000,44.882122
"2021-03-23",45.720001,46.189999,44.799999,44.98,3497800,43.668564
"2021-03-24",45.599998,46.150002,44.950001,44.990002,3813500,43.678276
"2021-03-25",45.060001,46.599998,44.540001,46.5,4707200,45.144249
"2021-03-26",47.040001,47.299999,46.209999,46.82,3801800,45.454922
"2021-03-29",46.130001,47.060001,45.93,46.580002,4409400,45.221916
"2021-03-30",46.970001,47.57,46.599998,47.34,3525300,45.959755
"2021-03-31",46.93,47.380001,46.189999,46.209999,4318700,44.862705
"2021-04-01",45.990002,46.43,45.880001,46.380001,3547700,45.027748
"2021-04-05",46.950001,47.16,46.5,46.75,3437700,45.386955
"2021-04-06",46.700001,47.040001,46.240002,46.66,3753100,45.299587
"2021-04-07",46.68,47.099998,46.470001,47.080002,2719700,45.707344
"2021-04-08",46.5,46.549999,45.790001,46.060001,3474900,44.717079
"2021-04-09",46.450001,46.650002,46.040001,46.599998,3141600,45.241333
"2021-04-12",46.700001,47.23,46.610001,47.16,3095300,45.785004
"2021-04-13",46.720001,47.09,46.25,46.689999,2958100,45.328712
"2021-04-14",46.599998,47.810001,46.599998,47.490002,3391100,46.105385
"2021-04-15",47.48,47.48,46.43,46.66,4451900,45.299587
"2021-04-16",47.110001,47.689999,46.860001,47.099998,4369100,45.726753
"2021-04-19",47.139999,47.279999,46.389999,46.73,2809200,45.367538
"2021-04-20",46.470001,46.650002,45.23,45.529999,4262000,44.20253
"2021-04-21",45.389999,46.799999,45.189999,46.759998,3682500,45.396664
"2021-04-22",46.68,47.200001,46.290001,46.459999,4388500,45.105412
"2021-04-23",46.619999,47.549999,46.349998,47.34,3242100,45.959755
"2021-04-26",47.669998,48.549999,47.450001,47.529999,3203500,46.144218
"2021-04-27",47.380001,48.52,47.380001,48.439999,3580400,47.027691
"2021-04-28",48.470001,48.73,48.029999,48.209999,2703400,46.804394
"2021-04-29",48.75,49.419998,48.57,48.939999,3800600,47.513103
"2021-04-30",48.66,49.09,48.310001,48.450001,3201200,47.037399
"2021-05-03",48.98,49.459999,48.650002,49.049999,2585600,47.619904
"2021-05-04",48.900002,49.299999,48.389999,48.400002,6640800,46.988853
"2021-05-05",48.459999,49.080002,48.07,48.869999,8786400,47.445152
"2021-05-06",49,50.349998,48.669998,50.169998,5557800,48.707249
"2021-05-07",50.169998,51.5,49.689999,51.189999,5582200,49.697506
"2021-05-10",51.32,52.700001,51.299999,51.919998,6870100,50.406223
"2021-05-11",51.720001,51.860001,49.919998,50.380001,4646600,48.911125
"2021-05-12",51.009998,51.040001,49.919998,50.080002,5970600,48.619873
"2021-05-13",49.709999,51.259998,49.709999,50.849998,5064400,49.367416
"2021-05-14",51,51.900002,50.849998,51.900002,4844800,50.38681
"2021-05-17",51.75,51.900002,51.060001,51.57,3247900,50.066429
"2021-05-18",51.419998,51.709999,51.080002,51.110001,3856100,49.619843
"2021-05-19",50.470001,50.759998,49.549999,50.669998,4145500,49.192665
"2021-05-20",50.700001,50.919998,50.029999,50.529999,3123500,49.056747
"2021-05-21",50.75,51.689999,50.75,51.310001,4198800,49.814011
"2021-05-24",51.5,51.990002,51.299999,51.880001,2600700,50.36739
"2021-05-25",51.990002,52.540001,50.689999,50.799999,3569600,49.318882
"2021-05-26",51.27,51.52,50.720001,51.369999,2516500,49.872261
"2021-05-27",52.02,52.799999,51.82,52.709999,6287700,51.173191
"2021-05-28",52.82,52.93,51.939999,52.84,3116300,51.299397
"2021-06-01",53.330002,53.830002,53.119999,53.549999,5278200,51.988701
"2021-06-02",53.970001,54.080002,53.02,53.040001,4146700,51.493572
"2021-06-03",52.950001,53.68,52.740002,53.540001,4030000,51.978996
"2021-06-04",53.490002,53.490002,52.830002,53.419998,2851700,51.862484
"2021-06-07",53.459999,53.529999,52.869999,53.07,2460700,51.522694
"2021-06-08",52.669998,53.380001,52.290001,53.23,2227500,51.678032
"2021-06-09",52.799999,52.880001,52.139999,52.16,2946900,50.639229
"2021-06-10",52.91,53.099998,51.52,51.57,2213500,50.066429
"2021-06-11",51.830002,52.150002,51.700001,52.02,3521800,50.503311
"2021-06-14",51.560001,51.889999,50.849998,51.099998,3130900,49.917194
"2021-06-15",51.150002,51.91,50.990002,51.529999,3705300,50.337246
"2021-06-16",51.360001,51.98,50.849998,51.68,4259200,50.483772
"2021-06-17",51.869999,51.919998,48.709999,48.77,5797500,47.641132
"2021-06-18",47.849998,48.080002,46.830002,46.849998,10722200,45.765572
"2021-06-21",47.259998,47.759998,47.23,47.75,7422800,46.644741
"2021-06-22",47.73,47.84,47.02,47.549999,3181400,46.449371
"2021-06-23",47.560001,48.060001,47.439999,47.73,2896400,46.625202
"2021-06-24",47.799999,48.439999,47.57,48.209999,2818000,47.094093
"2021-06-25",48.470001,49.23,48.299999,49.02,3276300,47.885345
"2021-06-28",48.830002,48.959999,47.59,47.959999,2961600,46.849876
"2021-06-29",48.349998,48.709999,47.18,47.400002,2742500,46.302841
"2021-06-30",47.189999,47.740002,47.189999,47.599998,2586800,46.498211
"2021-07-01",48.029999,48.560001,47.77,48.27,2888400,47.152706
"2021-07-02",48.330002,48.389999,47.810001,48.049999,1995000,46.937794
"2021-07-06",47.52,47.689999,46.32,46.610001,3598600,45.531128
"2021-07-07",46.200001,47.049999,46.02,46.790001,4108200,45.706963
"2021-07-08",45.869999,46,44.599998,44.860001,5412000,43.821636
"2021-07-09",45.869999,47.080002,45.529999,46.869999,5044800,45.785107
"2021-07-12",46.349998,47.73,45.970001,47.439999,3450700,46.341911
"2021-07-13",47.400002,47.549999,46.68,46.73,2983400,45.648346
"2021-07-14",46.889999,47.349998,46.02,46.41,2792200,45.335754
"2021-07-15",47.5,48.200001,47.02,48.07,7698900,46.957336
"2021-07-16",48.200001,48.25,46.639999,46.900002,4384800,45.814419
"2021-07-19",45.5,45.779999,44.540001,44.93,5465300,43.890011
"2021-07-20",44.970001,47.529999,44.869999,47.23,5131200,46.13678
"2021-07-21",47.650002,48.970001,47.650002,48.290001,3970900,47.172241
"2021-07-22",48.099998,48.099998,47.240002,47.560001,2815300,46.459141
"2021-07-23",47.970001,48.349998,47.130001,47.310001,3029600,46.214928
"2021-07-26",47.279999,48.009998,47.18,47.709999,3026800,46.605663
"2021-07-27",47.080002,47.810001,46.779999,47.419998,2347700,46.322376
"2021-07-28",47.57,47.75,46.18,46.950001,2956000,45.863258
"2021-07-29",47.57,47.990002,47.009998,47.869999,3492500,46.761967
"2021-07-30",47.5,48.279999,47.139999,47.349998,4695600,46.253998
"2021-08-02",47.869999,48.84,47.279999,47.369999,2779100,46.273533
"2021-08-03",47.709999,47.799999,46.439999,47.740002,2346500,46.634972
"2021-08-04",47.040001,47.639999,46.77,47.09,3592100,46.000019
"2021-08-05",47.599998,48.75,47.599998,48.66,4686400,47.533672
"2021-08-06",50.25,51.380001,50,50.950001,4807600,49.770672
"2021-08-09",50.669998,52.150002,50.389999,51.849998,4388700,50.649834
"2021-08-10",51.860001,53.41,51.860001,53.139999,7491300,51.909981
"2021-08-11",53.43,54.119999,52.779999,54.080002,5623200,52.82822
"2021-08-12",54.25,54.580002,53.630001,53.880001,3647700,52.632851
"2021-08-13",54.18,54.93,53.889999,54.610001,4675500,53.345959
"2021-08-16",54.240002,54.830002,53.73,54.610001,4648600,53.345959
"2021-08-17",54.25,54.959999,53.810001,54.009998,4490900,52.759842
"2021-08-18",53.75,54.900002,53.529999,53.759998,5002900,52.515625
"2021-08-19",52.939999,53.900002,52.540001,52.959999,7291400,51.734142
"2021-08-20",53.040001,53.830002,52.720001,53.57,4040800,52.330025
"2021-08-23",54.07,54.759998,54,54.16,3738400,52.906368
"2021-08-24",54.16,54.689999,53.889999,54.360001,3797600,53.101738
"2021-08-25",54.540001,55.5,54.220001,54.93,4019300,53.65855
"2021-08-26",55.080002,55.130001,53.990002,54.02,3308100,52.769611
"2021-08-27",54.34,55.110001,54.150002,55.009998,3485500,53.736694
"2021-08-30",55.049999,55.049999,54,54.02,3711400,52.769611
"2021-08-31",53.849998,54.82,53.849998,54.560001,5703900,53.297112
"2021-09-01",54.689999,54.82,54.209999,54.580002,4014300,53.31665
"2021-09-02",54.77,55.389999,54.650002,55.23,5228000,53.951603
"2021-09-03",55.150002,55.419998,54.59,55.099998,4556800,53.824608
"2021-09-07",55.209999,55.779999,54.650002,54.669998,4783000,53.404564
"2021-09-08",54.5,55.009998,54.299999,54.810001,3349300,53.541328
"2021-09-09",54.799999,55.790001,54.599998,54.689999,4669900,53.424099
"2021-09-10",55.169998,55.380001,54.400002,54.439999,3221700,53.179886
"2021-09-13",55.110001,55.330002,54.610001,55.119999,4962000,53.844147
"2021-09-14",55.34,55.389999,54.27,54.43,5109600,53.17012
"2021-09-15",54.200001,54.759998,53.869999,54.450001,4194300,53.504211
"2021-09-16",54.470001,55.060001,54.049999,54.349998,3423200,53.405949
"2021-09-17",54.09,55.040001,53.59,53.810001,7278400,52.875328
"2021-09-20",52.23,53.310001,52,53.23,7959300,52.305405
"2021-09-21",53.709999,53.830002,52.900002,52.959999,5580500,52.040092
"2021-09-22",53.830002,54.139999,53.459999,53.709999,4876600,52.777065
"2021-09-23",53.970001,55.029999,53.970001,54.52,4444700,53.572998
"2021-09-24",54.619999,55.209999,54.32,54.810001,5669300,53.857964
"2021-09-27",55.369999,57.209999,55.369999,57.029999,5232800,56.039398
"2021-09-28",57.080002,57.540001,55.869999,55.990002,5511600,55.017464
"2021-09-29",56.220001,56.459999,55.779999,55.84,3289600,54.870071
"2021-09-30",55.98,56.119999,54.880001,54.889999,4202000,53.936569
"2021-10-01",55.150002,55.889999,54.810001,55.48,5871800,54.516323
"2021-10-04",55.380001,56.700001,55.330002,55.82,5557000,54.850418
"2021-10-05",56.279999,57.740002,55.639999,57.450001,4845500,56.452106
"2021-10-06",56.93,57.450001,56.07,57.32,3484300,56.324364
"2021-10-07",57.630001,58.110001,57.16,57.200001,3749900,56.206448
"2021-10-08",57.110001,57.990002,57.110001,57.610001,2217200,56.609325
"2021-10-11",57.75,58.860001,57.580002,57.889999,3104700,56.88446
"2021-10-12",57.799999,58.43,57.27,57.400002,2678600,56.402973
"2021-10-13",57.220001,57.279999,55.48,56.209999,4125000,55.233643
"2021-10-14",57.040001,57.779999,56.470001,57.77,4857000,56.766548
"2021-10-15",58.310001,58.82,58.080002,58.279999,3931900,57.267685
"2021-10-18",58.23,58.5,57.610001,57.889999,3299000,56.88446
"2021-10-19",58.540001,59.18,58.330002,58.639999,3217200,57.621433
"2021-10-20",58.360001,59.759998,58.130001,59.610001,3205000,58.574585
"2021-10-21",59.360001,59.950001,58.91,59.259998,2794600,58.230659
"2021-10-22",59.639999,60.16,59.32,60.009998,3734100,58.967636
"2021-10-25",60,60.349998,59.200001,59.639999,3157100,58.604061
"2021-10-26",59.720001,60,59.169998,59.23,2497400,58.201183
"2021-10-27",59.029999,60.02,58.43,58.549999,3984800,57.532993
"2021-10-28",58.82,59.950001,58.82,59.900002,2668200,58.859547
"2021-10-29",60,60.919998,59.060001,59.09,4668700,58.063618
"2021-11-01",59.709999,60.369999,59.619999,60.189999,2732100,59.144508
"2021-11-02",60,60.369999,59.799999,59.98,3318100,58.938156
"2021-11-03",59.700001,61.799999,59.669998,61.080002,4537700,60.019051
"2021-11-04",60.700001,60.830002,59.650002,60.389999,4685900,59.341038
"2021-11-05",62,62.540001,58.709999,58.959999,6787500,57.935875
"2021-11-08",59.060001,59.869999,58.599998,59.16,5118300,58.132401
"2021-11-09",58.799999,59.529999,58.27,58.759998,3097700,57.739349
"2021-11-10",58.639999,59.389999,58.290001,58.860001,3645500,57.837612
"2021-11-11",58.810001,59.290001,58.77,58.860001,3113300,57.837612
"2021-11-12",58.75,59.060001,58.099998,58.209999,3538100,57.198902
"2021-11-15",58.389999,58.59,57.869999,58.09,3819900,57.08099
"2021-11-16",58.450001,58.68,57.16,57.189999,3772300,56.196621
"2021-11-17",56.98,57.32,56.59,56.950001,4567200,55.960789
"2021-11-18",56.98,57.25,55.799999,56.119999,4568000,55.145203
"2021-11-19",55.200001,55.709999,54.709999,54.950001,4864300,53.995529
"2021-11-22",55.5,57.779999,55.299999,56.939999,6027000,55.950958
"2021-11-23",57.549999,59.34,57.529999,58.900002,7055100,57.876919
"2021-11-24",58.66,59.139999,57.720001,57.889999,5072800,56.88446
"2021-11-26",55.310001,56.529999,53.849998,56.049999,4009600,55.07642
"2021-11-29",56.759998,56.860001,54.93,54.950001,4800300,53.995529
"2021-11-30",54.32,54.32,52.360001,52.599998,10816400,51.686344
"2021-12-01",53.700001,54.209999,51.689999,51.720001,5845600,50.821636
"2021-12-02",52.200001,54.25,52.200001,53.959999,6570900,53.022724
"2021-12-03",53.91,54.189999,53.060001,53.32,5056200,52.393841
"2021-12-06",54.200001,55.490002,54.09,54.77,6051100,53.818653
"2021-12-07",55.150002,55.950001,54.900002,55.189999,4852800,54.231361
"2021-12-08",55.369999,55.650002,54.790001,54.970001,4018600,54.015182
"2021-12-09",54.650002,55.360001,54.470001,54.810001,3716400,53.857964
"2021-12-10",55.09,55.200001,54.130001,54.389999,4023500,53.445251
"2021-12-13",54.279999,54.310001,53.25,53.84,4304600,52.904808
"2021-12-14",53.75,55.09,53.650002,54.66,5066200,53.710567
"2021-12-15",54.580002,54.580002,53.459999,54.360001,4523900,53.730335
"2021-12-16",54.93,55.82,54.619999,55.279999,6340200,54.639679
"2021-12-17",55.080002,55.130001,53.549999,54.110001,11164300,53.483227
"2021-12-20",53.209999,53.220001,51.849998,52.91,4458400,52.297127
"2021-12-21",53.610001,55.599998,53.59,55.139999,6431000,54.501297
"2021-12-22",55,55.619999,54.900002,55.27,4694000,54.629795
"2021-12-23",55.610001,56.75,55.599998,56.57,3980700,55.914734
"2021-12-27",56.66,57.040001,56.259998,56.900002,2079300,56.240913
"2021-12-28",56.790001,57.599998,56.599998,56.669998,2449500,56.013573
"2021-12-29",56.639999,57.139999,56.560001,56.779999,1977500,56.122303
"2021-12-30",56.900002,57.34,56.709999,56.740002,2144300,56.082767
"2021-12-31",56.700001,57.23,56.650002,56.860001,2075300,56.201378
"2022-01-03",57.18,58.080002,57.130001,57.389999,3376300,56.725235
"2022-01-04",58.25,59.48,58.029999,59,5281300,58.316589
"2022-01-05",59.130001,59.700001,58.150002,58.189999,4639400,57.515968
"2022-01-06",59.240002,59.52,57.790001,59.189999,6331600,58.504387
"2022-01-07",59.599998,60.970001,59.310001,60.740002,5318900,60.036434
"2022-01-10",61.119999,61.560001,59.830002,61.41,7913200,60.698673
"2022-01-11",61.529999,61.77,60.860001,61.77,6091500,61.054501
"2022-01-12",61.48,62.110001,60.509998,61.369999,6150500,60.659134
"2022-01-13",61.790001,62.25,61.549999,61.869999,3476900,61.153343
"2022-01-14",60.939999,62.18,60.830002,61.91,4465100,61.192879
"2022-01-18",62,62.18,60.740002,60.900002,4265200,60.19458
