"","PYPL.Open","PYPL.High","PYPL.Low","PYPL.Close","PYPL.Volume","PYPL.Adjusted"
"2021-04-15",271.359985,276.119995,270.160004,274,7542800,274
"2021-04-16",273.160004,274.149994,268.589996,269.869995,6061600,269.869995
"2021-04-19",267.130005,268.5,263.899994,267.910004,5258200,267.910004
"2021-04-20",269.619995,272.579987,262.23999,264.429993,6208400,264.429993
"2021-04-21",261.410004,266,259.269989,264.890015,4669100,264.890015
"2021-04-22",265.130005,268.160004,259.399994,262.269989,5983200,262.269989
"2021-04-23",260.970001,267.790009,260.970001,266.029999,6297500,266.029999
"2021-04-26",266.660004,271.75,265.920013,271.720001,5327800,271.720001
"2021-04-27",272.049988,273.820007,268.029999,268.820007,4296200,268.820007
"2021-04-28",268.757996,275.25,267.170013,271.089996,5530300,271.089996
"2021-04-29",273.26001,273.869995,263.529999,267.850006,5663700,267.850006
"2021-04-30",265,266.149994,261.600006,262.290009,6594500,262.290009
"2021-05-03",265.059998,265.799988,256.179993,259.089996,7522000,259.089996
"2021-05-04",255.729996,256.799988,246.649994,250.160004,9217300,250.160004
"2021-05-05",254.919998,254.919998,246.244995,247.399994,9507300,247.399994
"2021-05-06",256,256.30899,245.110001,252.020004,17998700,252.020004
"2021-05-07",255.919998,258.640015,251.639999,253.360001,10170000,253.360001
"2021-05-10",252.014999,252.410004,243.449997,243.630005,8909200,243.630005
"2021-05-11",235,250.554993,233.610001,248.600006,9258200,248.600006
"2021-05-12",240.589005,246.5,238.820007,239.910004,8649800,239.910004
"2021-05-13",241.919998,245.679993,237.800003,240.800003,7274000,240.800003
"2021-05-14",244.018997,247.119995,242.270004,246.289993,6729700,246.289993
"2021-05-17",245.149994,246.240005,240.600006,244.360001,5185100,244.360001
"2021-05-18",243.5,247.434998,242.654999,243.210007,4726800,243.210007
"2021-05-19",235.860001,245.339996,235.110001,244.630005,7210500,244.630005
"2021-05-20",246.990005,252.929993,245.350006,251.539993,8112900,251.539993
"2021-05-21",253.800995,255.210007,250.410004,250.690002,6842200,250.690002
"2021-05-24",254.130005,257.600006,252.429993,257.170013,6370100,257.170013
"2021-05-25",258.5,260.369995,257.279999,258.649994,6048100,258.649994
